Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																														
Дата голосования: 04.12.2011																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Тайшетская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	362	10	0	3	1	0	25	0	3	1	2	6	4	0	1	0	0	4	2	0	1	2	4	3	1	0	1	0	0	1	1	3	1	1	0	2	4	1	6	2	2	6	1	0	1	1	5	3	3	4	4	1	6	5	1	3	4	1	3	1	1	0	0	0	0	3	26	3	1	4	4	3	1	5	3	0	1	4	3	1	2	0	3	0	3	2	1	137					
14	Число погашенных неиспользованных открепительных удостоверений	452	2	2	7	0	0	8	0	5	3	3	5	2	2	4	0	0	0	0	11	0	5	3	2	6	10	1	2	4	1	2	0	0	1	0	3	5	5	9	2	0	0	0	0	0	0	6	1	5	3	4	5	5	8	3	9	3	1	4	7	2	10	9	10	8	9	17	10	7	14	11	16	15	9	17	17	3	3	10	14	19	8	2	7	3	13	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	138	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	5	2	0	2	2	1	1	0	2	2	0	8	3	9	2	2	6	4	7	3	3	3	2	1	3	8	5	9	5	0	3	5	3	7	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3218	20	0	29	10	0	83	51	25	7	11	13	36	8	17	10	12	16	7	48	36	12	26	3	64	50	46	9	41	5	11	8	12	26	0	24	66	21	46	5	46	27	6	13	20	11	51	21	24	28	21	8	10	76	53	87	89	56	14	36	40	45	37	41	71	81	115	95	52	85	62	95	93	125	100	71	9	27	47	35	61	36	15	44	51	50	24	0					
		11.21%	9.66%	0.00%	5.79%	6.02%	0.00%	12.21%	7.69%	8.62%	5.74%	11.70%	5.78%	9.33%	5.16%	5.28%	4.72%	14.46%	7.34%	6.42%	9.76%	7.86%	9.45%	10.08%	4.76%	8.73%	6.40%	18.25%	7.76%	14.44%	5.05%	10.28%	7.27%	7.14%	8.33%	0.00%	12.50%	14.44%	18.92%	8.65%	1.79%	14.38%	13.04%	10.34%	4.83%	11.49%	13.75%	14.74%	16.41%	9.60%	10.14%	14.19%	7.92%	9.71%	12.38%	13.02%	16.20%	14.42%	10.31%	8.33%	13.43%	12.23%	14.06%	9.87%	11.78%	11.60%	13.39%	15.95%	14.26%	12.24%	13.41%	14.52%	13.67%	17.61%	14.29%	17.01%	15.11%	8.18%	12.44%	10.88%	8.79%	10.43%	12.08%	18.29%	12.79%	10.85%	9.82%	8.16%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5565	38	8	66	10	0	130	138	92	17	18	25	69	25	33	58	19	53	34	83	97	46	41	14	110	90	61	18	43	17	42	36	68	73	6	42	102	15	117	18	71	47	16	60	28	19	67	31	55	51	34	15	27	144	78	125	150	129	32	45	47	77	76	61	134	123	144	140	68	125	96	118	75	150	78	87	25	42	72	65	134	75	17	70	100	103	54	13					
		19.39%	18.36%	7.55%	13.17%	6.02%	0.00%	19.12%	20.81%	31.72%	13.93%	19.15%	11.11%	17.88%	16.13%	10.25%	27.36%	22.89%	24.31%	31.19%	16.87%	21.18%	36.22%	15.89%	22.22%	15.01%	11.52%	24.21%	15.52%	15.14%	17.17%	39.25%	32.73%	40.48%	23.40%	33.33%	21.88%	22.32%	13.51%	21.99%	6.45%	22.19%	22.71%	27.59%	22.30%	16.09%	23.75%	19.36%	24.22%	22.00%	18.48%	22.97%	14.85%	26.21%	23.45%	19.16%	23.28%	24.31%	23.76%	19.05%	16.79%	14.37%	24.06%	20.27%	17.53%	21.90%	20.33%	19.97%	21.02%	16.00%	19.72%	22.48%	16.98%	14.20%	17.14%	13.27%	18.51%	22.73%	19.35%	16.67%	16.33%	22.91%	25.17%	20.73%	20.35%	21.28%	20.24%	18.37%	5.46%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	286	0	0	5	0	0	7	7	3	1	0	1	5	2	3	2	1	3	0	6	3	1	2	0	2	6	3	1	4	4	1	1	0	8	1	4	4	2	5	0	6	1	0	3	2	1	3	0	4	4	1	0	0	3	2	8	4	4	0	3	5	4	3	4	8	2	10	15	8	10	5	12	5	6	7	5	0	3	5	2	2	5	2	1	3	5	2	0					
		0.99%	0.00%	0.00%	0.99%	0.00%	0.00%	1.03%	1.06%	1.03%	0.82%	0.00%	0.44%	1.30%	1.29%	0.93%	0.94%	1.20%	1.38%	0.00%	1.22%	0.66%	0.79%	0.78%	0.00%	0.27%	0.77%	1.19%	0.86%	1.41%	4.04%	0.93%	0.91%	0.00%	2.56%	5.56%	2.08%	0.88%	1.80%	0.94%	0.00%	1.88%	0.48%	0.00%	1.12%	1.15%	1.25%	0.87%	0.00%	1.60%	1.45%	0.68%	0.00%	0.00%	0.49%	0.49%	1.49%	0.65%	0.74%	0.00%	1.12%	1.53%	1.25%	0.80%	1.15%	1.31%	0.33%	1.39%	2.25%	1.88%	1.58%	1.17%	1.73%	0.95%	0.69%	1.19%	1.06%	0.00%	1.38%	1.16%	0.50%	0.34%	1.68%	2.44%	0.29%	0.64%	0.98%	0.68%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6902	48	10	64	7	3	111	108	66	26	18	16	66	17	85	45	16	49	17	140	147	8	11	9	95	73	31	10	113	28	16	16	24	58	3	42	60	21	156	18	60	33	8	65	43	20	79	16	37	43	37	30	29	193	121	148	182	169	62	61	96	65	70	107	186	179	192	165	116	215	129	212	165	258	172	134	44	51	142	137	197	87	16	102	159	126	86	7					
		24.04%	23.19%	9.43%	12.77%	4.22%	30.00%	16.32%	16.29%	22.76%	21.31%	19.15%	7.11%	17.10%	10.97%	26.40%	21.23%	19.28%	22.48%	15.60%	28.46%	32.10%	6.30%	4.26%	14.29%	12.96%	9.35%	12.30%	8.62%	39.79%	28.28%	14.95%	14.55%	14.29%	18.59%	16.67%	21.88%	13.13%	18.92%	29.32%	6.45%	18.75%	15.94%	13.79%	24.16%	24.71%	25.00%	22.83%	12.50%	14.80%	15.58%	25.00%	29.70%	28.16%	31.43%	29.73%	27.56%	29.50%	31.12%	36.90%	22.76%	29.36%	20.31%	18.67%	30.75%	30.39%	29.59%	26.63%	24.77%	27.29%	33.91%	30.21%	30.50%	31.25%	29.49%	29.25%	28.51%	40.00%	23.50%	32.87%	34.42%	33.68%	29.19%	19.51%	29.65%	33.83%	24.75%	29.25%	2.94%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	446	1	2	0	1	0	13	8	4	0	1	0	4	4	2	2	1	0	3	11	4	1	2	0	10	3	0	1	4	0	1	1	2	0	0	0	1	2	6	0	4	1	0	4	5	0	6	1	1	4	2	0	1	22	13	20	14	6	1	5	3	5	7	3	14	6	13	15	19	28	7	16	9	17	8	7	1	4	8	4	6	8	2	9	6	7	9	0					
		1.55%	0.48%	1.89%	0.00%	0.60%	0.00%	1.91%	1.21%	1.38%	0.00%	1.06%	0.00%	1.04%	2.58%	0.62%	0.94%	1.20%	0.00%	2.75%	2.24%	0.87%	0.79%	0.78%	0.00%	1.36%	0.38%	0.00%	0.86%	1.41%	0.00%	0.93%	0.91%	1.19%	0.00%	0.00%	0.00%	0.22%	1.80%	1.13%	0.00%	1.25%	0.48%	0.00%	1.49%	2.87%	0.00%	1.73%	0.78%	0.40%	1.45%	1.35%	0.00%	0.97%	3.58%	3.19%	3.72%	2.27%	1.10%	0.60%	1.87%	0.92%	1.56%	1.87%	0.86%	2.29%	0.99%	1.80%	2.25%	4.47%	4.42%	1.64%	2.30%	1.70%	1.94%	1.36%	1.49%	0.91%	1.84%	1.85%	1.01%	1.03%	2.68%	2.44%	2.62%	1.28%	1.38%	3.06%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11757	98	86	328	137	7	331	336	89	66	44	168	194	96	179	88	30	92	46	197	166	56	171	37	443	551	105	76	79	40	35	46	58	138	8	75	213	48	189	230	127	93	27	124	71	25	130	56	125	139	49	48	31	169	133	137	171	163	52	110	129	117	174	124	187	200	235	223	156	165	122	233	169	306	212	160	27	86	151	148	178	86	28	107	140	207	114	217					
		40.96%	47.34%	81.13%	65.47%	82.53%	70.00%	48.68%	50.68%	30.69%	54.10%	46.81%	74.67%	50.26%	61.94%	55.59%	41.51%	36.14%	42.20%	42.20%	40.04%	36.24%	44.09%	66.28%	58.73%	60.44%	70.55%	41.67%	65.52%	27.82%	40.40%	32.71%	41.82%	34.52%	44.23%	44.44%	39.06%	46.61%	43.24%	35.53%	82.44%	39.69%	44.93%	46.55%	46.10%	40.80%	31.25%	37.57%	43.75%	50.00%	50.36%	33.11%	47.52%	30.10%	27.52%	32.68%	25.51%	27.71%	30.02%	30.95%	41.04%	39.45%	36.56%	46.40%	35.63%	30.56%	33.06%	32.59%	33.48%	36.71%	26.03%	28.57%	33.53%	32.01%	34.97%	36.05%	34.04%	24.55%	39.63%	34.95%	37.19%	30.43%	28.86%	34.15%	31.10%	29.79%	40.67%	38.78%	91.18%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	125	0	0	3	0	0	2	4	3	2	0	0	3	0	0	1	0	0	1	2	2	1	0	0	1	0	4	1	0	1	0	1	2	2	0	2	2	0	3	1	0	1	1	0	0	0	1	0	1	1	1	0	3	1	0	5	3	1	2	4	0	2	1	2	2	4	5	6	1	1	2	4	2	4	2	0	0	3	2	1	4	1	1	0	3	3	0	0					
		0.44%	0.00%	0.00%	0.60%	0.00%	0.00%	0.29%	0.60%	1.03%	1.64%	0.00%	0.00%	0.78%	0.00%	0.00%	0.47%	0.00%	0.00%	0.92%	0.41%	0.44%	0.79%	0.00%	0.00%	0.14%	0.00%	1.59%	0.86%	0.00%	1.01%	0.00%	0.91%	1.19%	0.64%	0.00%	1.04%	0.44%	0.00%	0.56%	0.36%	0.00%	0.48%	1.72%	0.00%	0.00%	0.00%	0.29%	0.00%	0.40%	0.36%	0.68%	0.00%	2.91%	0.16%	0.00%	0.93%	0.49%	0.18%	1.19%	1.49%	0.00%	0.63%	0.27%	0.57%	0.33%	0.66%	0.69%	0.90%	0.24%	0.16%	0.47%	0.58%	0.38%	0.46%	0.34%	0.00%	0.00%	1.38%	0.46%	0.25%	0.68%	0.34%	1.22%	0.00%	0.64%	0.59%	0.00%	0.00%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
