Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Таборинская 																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	1	0	0	0	0	0	1	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	209	11	13	8	14	0	94	19	2	23	17	6	2					
		9.93%	12.94%	13.82%	7.07%	11.2%	0.0%	11.86%	7.39%	3.33%	12.10%	7.87%	8.95%	2.94%					
																			
41	Против всех	53	4	0	2	4	1	17	5	4	4	3	4	5					
		2.52%	4.70%	0.0%	1.76%	3.2%	2.77%	2.14%	1.94%	6.66%	2.10%	1.38%	5.97%	7.35%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
