Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
Наименование Избирательной комиссии:    Домодедовская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404					
18	1.Политическая партия «Аграрная партия России»	1893	35	37	38	44	40	46	38	44	38	28	38	52	39	21	24	44	39	49	44	50	31	50	23	36	23	21	38	36	29	28	16	20	27	18	6	26	24	37	4	2	43	2	59	15	27	7	12	41	13	5	18	36	44	21	10	21	29	12	39	13	40	13	29	12	13	36					
		2.65%	2.33%	2.82%	2.54%	2.46%	3.18%	3.23%	2.68%	2.36%	2.47%	2.81%	2.77%	3.24%	2.95%	1.73%	2.23%	4.03%	2.45%	3.20%	3.12%	2.99%	2.16%	3.31%	2.26%	2.60%	2.49%	2.10%	3.03%	2.46%	3.26%	3.44%	2.52%	2.25%	2.97%	2.30%	1.54%	3.12%	3.03%	3.59%	2.30%	1.40%	2.99%	1.80%	3.56%	1.92%	2.57%	2.46%	1.33%	2.38%	5.83%	2.66%	3.28%	2.83%	3.06%	3.76%	1.74%	2.14%	2.43%	1.58%	4.17%	1.46%	3.17%	2.74%	1.77%	1.09%	4.09%	1.54%					
19	2.Всероссийская политическая партия «Гражданская Сила»	938	14	11	21	29	25	25	25	15	21	12	26	17	11	22	16	12	30	21	19	68	31	25	14	27	14	13	9	27	5	7	13	10	8	4	4	8	13	2	0	4	16	1	17	6	9	3	7	17	0	2	2	6	26	11	7	9	13	7	15	8	14	3	12	9	3	37					
		1.31%	0.93%	0.84%	1.40%	1.62%	1.99%	1.76%	1.77%	0.80%	1.37%	1.20%	1.90%	1.06%	0.83%	1.81%	1.49%	1.10%	1.88%	1.37%	1.35%	4.06%	2.16%	1.65%	1.38%	1.95%	1.52%	1.30%	0.72%	1.84%	0.56%	0.86%	2.04%	1.13%	0.88%	0.51%	1.03%	0.96%	1.64%	0.19%	0.00%	2.80%	1.12%	0.90%	1.02%	0.77%	0.86%	1.05%	0.78%	0.99%	0.00%	1.06%	0.36%	0.47%	1.81%	1.97%	1.22%	0.92%	1.09%	0.92%	1.60%	0.90%	1.11%	0.63%	0.73%	0.81%	0.94%	1.58%					
20	3.Политическая партия «Демократическая партия России»	110	0	3	7	2	1	1	1	3	1	1	4	3	1	4	1	1	5	5	1	2	2	2	3	4	1	2	2	5	0	1	2	0	3	2	0	1	0	0	0	0	2	0	0	0	1	0	1	1	2	0	1	1	2	0	1	1	0	1	4	0	3	0	2	2	0	8					
		0.15%	0.00%	0.23%	0.47%	0.11%	0.08%	0.07%	0.07%	0.16%	0.07%	0.10%	0.29%	0.19%	0.08%	0.33%	0.09%	0.09%	0.31%	0.33%	0.07%	0.12%	0.14%	0.13%	0.29%	0.29%	0.11%	0.20%	0.16%	0.34%	0.00%	0.12%	0.31%	0.00%	0.33%	0.26%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.10%	0.00%	0.11%	0.06%	0.90%	0.00%	0.18%	0.08%	0.14%	0.00%	0.17%	0.10%	0.00%	0.13%	0.43%	0.00%	0.24%	0.00%	0.12%	0.18%	0.00%	0.34%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8866	167	151	151	179	149	213	217	224	174	139	186	201	193	134	150	151	176	172	187	165	168	228	139	239	170	165	222	244	99	156	55	82	115	80	60	73	90	93	11	16	213	14	217	135	133	37	146	218	25	22	70	114	170	39	66	150	162	37	146	99	179	63	110	109	43	165					
		12.42%	11.11%	11.49%	10.10%	9.99%	11.83%	14.96%	15.32%	12.00%	11.33%	13.96%	13.57%	12.54%	14.60%	11.01%	13.95%	13.83%	11.05%	11.23%	13.27%	9.85%	11.72%	15.08%	13.65%	17.29%	18.42%	16.52%	17.69%	16.67%	11.12%	19.14%	8.65%	9.24%	12.67%	10.22%	15.42%	8.76%	11.36%	9.03%	6.32%	11.19%	14.85%	12.61%	13.08%	17.24%	12.64%	12.98%	16.24%	12.65%	11.21%	11.70%	12.77%	8.98%	11.84%	6.99%	11.46%	15.26%	13.56%	4.88%	15.61%	11.11%	14.18%	13.26%	6.71%	9.86%	13.52%	7.05%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	701	21	13	24	27	17	40	18	12	18	10	17	19	13	18	11	9	15	16	29	27	17	15	3	23	7	5	11	17	5	2	7	11	24	5	4	7	2	4	0	5	13	0	15	8	1	0	5	9	5	0	1	3	5	3	1	4	3	2	3	7	12	3	5	6	3	36					
		0.98%	1.40%	0.99%	1.61%	1.51%	1.35%	2.81%	1.27%	0.64%	1.17%	1.00%	1.24%	1.19%	0.98%	1.48%	1.02%	0.82%	0.94%	1.05%	2.06%	1.61%	1.19%	0.99%	0.29%	1.66%	0.76%	0.50%	0.88%	1.16%	0.56%	0.25%	1.10%	1.24%	2.64%	0.64%	1.03%	0.84%	0.25%	0.39%	0.00%	3.50%	0.91%	0.00%	0.90%	1.02%	0.10%	0.00%	0.56%	0.52%	2.24%	0.00%	0.18%	0.24%	0.35%	0.54%	0.17%	0.41%	0.25%	0.26%	0.32%	0.79%	0.95%	0.63%	0.30%	0.54%	0.94%	1.54%					
23	6.Политическая партия «Партия социальной справедливости»	179	1	5	4	9	1	7	4	4	5	0	5	4	4	3	3	9	4	2	2	7	5	3	2	2	3	3	1	0	2	1	1	1	6	0	0	1	7	1	0	0	1	0	3	3	2	1	0	4	0	1	2	1	9	3	0	4	2	0	0	1	5	1	3	2	1	8					
		0.25%	0.07%	0.38%	0.27%	0.50%	0.08%	0.49%	0.28%	0.21%	0.33%	0.00%	0.36%	0.25%	0.30%	0.25%	0.28%	0.82%	0.25%	0.13%	0.14%	0.42%	0.35%	0.20%	0.20%	0.14%	0.33%	0.30%	0.08%	0.00%	0.22%	0.12%	0.16%	0.11%	0.66%	0.00%	0.00%	0.12%	0.88%	0.10%	0.00%	0.00%	0.07%	0.00%	0.18%	0.38%	0.19%	0.35%	0.00%	0.23%	0.00%	0.53%	0.36%	0.08%	0.63%	0.54%	0.00%	0.41%	0.17%	0.00%	0.00%	0.11%	0.40%	0.21%	0.18%	0.18%	0.31%	0.34%					
24	7.Политическая партия «Либерально-демократическая партия России»	6076	139	114	141	156	103	104	108	215	113	76	116	139	110	84	74	80	131	116	117	151	131	93	87	112	67	77	83	122	70	80	61	74	53	72	31	73	62	63	9	4	130	14	131	53	82	23	77	139	8	14	46	86	115	45	47	88	113	46	84	96	128	64	174	133	23	306					
		8.51%	9.25%	8.68%	9.43%	8.71%	8.18%	7.30%	7.63%	11.52%	7.36%	7.63%	8.46%	8.67%	8.32%	6.90%	6.88%	7.33%	8.22%	7.58%	8.30%	9.01%	9.14%	6.15%	8.55%	8.10%	7.26%	7.71%	6.61%	8.33%	7.87%	9.82%	9.59%	8.34%	5.84%	9.20%	7.97%	8.76%	7.83%	6.12%	5.17%	2.80%	9.07%	12.61%	7.90%	6.77%	7.79%	8.07%	8.57%	8.06%	3.59%	7.45%	8.39%	6.77%	8.01%	8.06%	8.16%	8.95%	9.46%	6.07%	8.98%	10.77%	10.14%	13.47%	10.61%	12.04%	7.23%	13.07%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5064	101	95	112	146	79	135	93	143	105	67	114	140	102	83	77	89	118	98	105	130	116	107	85	137	69	103	78	138	65	30	60	80	87	65	27	40	70	95	7	12	91	3	95	47	83	17	49	133	12	7	30	83	82	37	49	80	75	32	56	43	70	16	62	43	21	145					
		7.09%	6.72%	7.23%	7.49%	8.15%	6.27%	9.48%	6.57%	7.66%	6.84%	6.73%	8.32%	8.73%	7.72%	6.82%	7.16%	8.15%	7.41%	6.40%	7.45%	7.76%	8.09%	7.08%	8.35%	9.91%	7.48%	10.31%	6.22%	9.43%	7.30%	3.68%	9.43%	9.02%	9.58%	8.30%	6.94%	4.80%	8.84%	9.22%	4.02%	8.39%	6.35%	2.70%	5.73%	6.00%	7.89%	5.96%	5.45%	7.71%	5.38%	3.72%	5.47%	6.54%	5.71%	6.63%	8.51%	8.14%	6.28%	4.22%	5.99%	4.83%	5.55%	3.37%	3.78%	3.89%	6.60%	6.19%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	764	12	12	13	16	12	13	18	17	14	17	18	8	10	15	7	15	18	16	12	37	25	22	9	7	10	4	19	18	6	9	7	19	15	6	6	16	7	4	2	1	11	0	16	4	6	6	6	20	0	3	9	10	19	10	8	12	13	5	9	8	16	4	17	8	5	27					
		1.07%	0.80%	0.91%	0.87%	0.89%	0.95%	0.91%	1.27%	0.91%	0.91%	1.71%	1.31%	0.50%	0.76%	1.23%	0.65%	1.37%	1.13%	1.05%	0.85%	2.21%	1.74%	1.46%	0.88%	0.51%	1.08%	0.40%	1.51%	1.23%	0.67%	1.10%	1.10%	2.14%	1.65%	0.77%	1.54%	1.92%	0.88%	0.39%	1.15%	0.70%	0.77%	0.00%	0.96%	0.51%	0.57%	2.11%	0.67%	1.16%	0.00%	1.60%	1.64%	0.79%	1.32%	1.79%	1.39%	1.22%	1.09%	0.66%	0.96%	0.90%	1.27%	0.84%	1.04%	0.72%	1.57%	1.15%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	44132	943	843	909	1118	781	785	809	1121	977	602	790	967	767	767	665	638	970	984	840	950	841	925	614	730	513	577	754	795	584	476	366	539	527	522	210	536	503	710	140	96	886	69	1065	492	691	183	575	1099	156	125	353	887	896	368	381	582	749	600	543	570	761	302	1201	759	193	1462					
		61.81%	62.74%	64.16%	60.80%	62.42%	62.03%	55.13%	57.13%	60.08%	63.61%	60.44%	57.62%	60.32%	58.02%	63.02%	61.86%	58.42%	60.89%	64.27%	59.62%	56.72%	58.69%	61.18%	60.31%	52.82%	55.58%	57.76%	60.08%	54.30%	65.62%	58.40%	57.55%	60.77%	58.04%	66.67%	53.98%	64.35%	63.51%	68.93%	80.46%	67.13%	61.79%	62.16%	64.20%	62.84%	65.68%	64.21%	63.96%	63.75%	69.96%	66.49%	64.42%	69.84%	62.40%	65.95%	66.15%	59.21%	62.68%	79.16%	58.07%	63.97%	60.30%	63.58%	73.23%	68.69%	60.69%	62.45%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1666	41	16	16	47	35	35	58	41	53	37	38	34	54	51	29	36	62	27	37	71	42	23	23	43	26	19	25	39	15	9	36	35	33	7	9	41	8	6	1	1	17	7	23	4	10	6	12	26	0	3	5	31	45	17	3	14	14	2	20	36	19	0	15	14	7	57					
		2.33%	2.73%	1.22%	1.07%	2.62%	2.78%	2.46%	4.10%	2.20%	3.45%	3.71%	2.77%	2.12%	4.08%	4.19%	2.70%	3.30%	3.89%	1.76%	2.63%	4.24%	2.93%	1.52%	2.26%	3.11%	2.82%	1.90%	1.99%	2.66%	1.69%	1.10%	5.66%	3.95%	3.63%	0.89%	2.31%	4.92%	1.01%	0.58%	0.57%	0.70%	1.19%	6.31%	1.39%	0.51%	0.95%	2.11%	1.33%	1.51%	0.00%	1.60%	0.91%	2.44%	3.13%	3.05%	0.52%	1.42%	1.17%	0.26%	2.14%	4.04%	1.51%	0.00%	0.91%	1.27%	2.20%	2.43%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
