Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Северская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122	УИК №4123	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4131	УИК №4132	УИК №4133	УИК №4134	УИК №4135	УИК №4136	УИК №4137	УИК №4138	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145	УИК №4146	УИК №4147	УИК №4148	УИК №4149	УИК №4150	УИК №4151	УИК №4152	УИК №4153	УИК №4154	УИК №4155	УИК №4156	УИК №4157	УИК №4158	УИК №4159	УИК №4160	УИК №4161	УИК №4162	УИК №4163	УИК №4164	УИК №4165	УИК №4166	УИК №4167	УИК №4168	УИК №4169									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	621	6	5	15	15	25	27	1	13	1	4	6	13	1	1	0	9	3	7	10	12	14	5	17	10	14	6	8	3	7	3	14	8	9	4	3	1	0	6	3	8	15	4	20	14	18	5	14	11	13	9	12	29	11	3	9	6	8	11	4	0	13	19	6	7	9	27	5	1	1									
		1.01%	0.78%	0.32%	1.09%	0.94%	1.68%	1.37%	0.23%	1.27%	0.06%	0.34%	2.45%	1.00%	0.10%	0.42%	0.00%	1.05%	0.62%	0.49%	0.85%	1.06%	1.10%	0.46%	1.41%	1.09%	2.08%	0.82%	1.10%	0.56%	0.71%	0.84%	1.47%	0.95%	0.84%	0.82%	0.84%	0.81%	0.00%	0.61%	1.59%	0.83%	1.17%	1.45%	0.93%	0.72%	1.44%	0.56%	1.01%	1.10%	1.93%	1.66%	1.32%	1.64%	1.12%	1.29%	0.63%	0.64%	0.61%	1.16%	1.10%	0.00%	1.53%	2.21%	0.77%	0.97%	1.06%	3.36%	1.47%	0.55%	0.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	979	2	9	11	17	21	59	6	19	8	13	20	23	0	4	2	16	0	16	15	14	16	13	20	18	20	14	30	12	16	7	13	15	9	4	13	0	0	15	1	13	27	15	14	17	31	13	27	27	6	15	13	37	14	4	28	10	11	9	17	0	20	15	18	17	14	23	7	4	2									
		1.59%	0.26%	0.58%	0.80%	1.07%	1.42%	2.99%	1.39%	1.86%	0.51%	1.10%	8.16%	1.78%	0.00%	1.67%	1.18%	1.87%	0.00%	1.12%	1.27%	1.24%	1.26%	1.20%	1.66%	1.96%	2.97%	1.90%	4.11%	2.24%	1.62%	1.96%	1.36%	1.78%	0.84%	0.82%	3.63%	0.00%	0.00%	1.53%	0.53%	1.35%	2.11%	5.43%	0.65%	0.88%	2.48%	1.46%	1.95%	2.70%	0.89%	2.77%	1.43%	2.10%	1.42%	1.72%	1.95%	1.06%	0.85%	0.95%	4.67%	0.00%	2.36%	1.75%	2.31%	2.37%	1.65%	2.86%	2.06%	2.21%	1.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	903	3	15	16	16	25	21	1	5	12	7	5	15	2	2	0	11	0	10	19	5	25	18	18	13	20	14	28	9	12	6	8	13	25	3	11	5	0	11	1	16	30	5	20	29	45	10	21	9	9	24	13	41	13	9	21	9	15	4	7	0	18	15	29	11	23	16	8	3	0									
		1.47%	0.39%	0.96%	1.17%	1.00%	1.68%	1.07%	0.23%	0.49%	0.76%	0.59%	2.04%	1.16%	0.21%	0.83%	0.00%	1.29%	0.00%	0.70%	1.61%	0.44%	1.97%	1.67%	1.50%	1.42%	2.97%	1.90%	3.84%	1.68%	1.21%	1.68%	0.84%	1.54%	2.33%	0.61%	3.07%	4.07%	0.00%	1.12%	0.53%	1.67%	2.35%	1.81%	0.93%	1.50%	3.60%	1.12%	1.52%	0.90%	1.34%	4.44%	1.43%	2.32%	1.32%	3.86%	1.46%	0.96%	1.15%	0.42%	1.92%	0.00%	2.12%	1.75%	3.72%	1.53%	2.70%	1.99%	2.36%	1.66%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	41411	493	1019	1044	1078	802	1211	355	788	1023	840	155	987	622	164	158	560	316	1172	849	909	962	806	868	608	325	480	379	308	777	251	765	668	619	348	156	91	158	801	137	430	919	157	1329	1360	539	597	1029	646	338	255	596	1020	780	147	1113	697	974	727	224	57	506	542	414	486	522	491	182	137	145									
		67.29%	64.19%	65.36%	76.15%	67.63%	54.04%	61.53%	81.99%	77.03%	65.03%	71.07%	63.27%	76.28%	65.27%	68.33%	92.94%	65.57%	65.02%	82.25%	72.13%	80.30%	75.75%	74.70%	72.15%	66.30%	48.29%	65.31%	51.92%	57.46%	78.48%	70.31%	80.19%	79.33%	57.64%	71.02%	43.58%	73.98%	69.91%	81.65%	72.49%	44.79%	71.97%	56.88%	61.81%	70.32%	43.12%	66.85%	74.46%	64.66%	50.15%	47.13%	65.49%	57.76%	79.35%	63.09%	77.56%	74.07%	74.87%	76.45%	61.54%	66.28%	59.67%	63.17%	53.08%	67.69%	61.34%	61.15%	53.69%	75.69%	73.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	343	2	5	9	3	22	26	3	4	8	5	2	11	1	0	0	9	0	3	10	1	4	5	5	13	2	1	3	8	4	2	2	1	7	3	4	0	0	8	0	7	21	0	5	4	15	6	5	6	5	4	4	3	1	0	5	7	5	2	3	0	4	4	18	2	6	1	2	0	2									
		0.56%	0.26%	0.32%	0.66%	0.19%	1.48%	1.32%	0.69%	0.39%	0.51%	0.42%	0.82%	0.85%	0.10%	0.00%	0.00%	1.05%	0.00%	0.21%	0.85%	0.09%	0.31%	0.46%	0.42%	1.42%	0.30%	0.14%	0.41%	1.49%	0.40%	0.56%	0.21%	0.12%	0.65%	0.61%	1.12%	0.00%	0.00%	0.82%	0.00%	0.73%	1.64%	0.00%	0.23%	0.21%	1.20%	0.67%	0.36%	0.60%	0.74%	0.74%	0.44%	0.17%	0.10%	0.00%	0.35%	0.74%	0.38%	0.21%	0.82%	0.00%	0.47%	0.47%	2.31%	0.28%	0.71%	0.12%	0.59%	0.00%	1.02%									
24	"6. Политическая партия ""Гражданская Платформа"""	142	0	2	2	7	7	16	1	1	6	3	1	3	0	0	1	0	0	0	1	0	0	1	3	0	2	0	3	3	1	0	1	2	4	0	1	0	2	2	0	12	15	1	2	0	8	0	2	1	0	1	0	1	1	1	1	1	0	0	7	0	4	3	1	2	1	0	0	1	0									
		0.23%	0.00%	0.13%	0.15%	0.44%	0.47%	0.81%	0.23%	0.10%	0.38%	0.25%	0.41%	0.23%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.09%	0.25%	0.00%	0.30%	0.00%	0.41%	0.56%	0.10%	0.00%	0.10%	0.24%	0.37%	0.00%	0.28%	0.00%	0.88%	0.20%	0.00%	1.25%	1.17%	0.36%	0.09%	0.00%	0.64%	0.00%	0.14%	0.10%	0.00%	0.18%	0.00%	0.06%	0.10%	0.43%	0.07%	0.11%	0.00%	0.00%	1.92%	0.00%	0.47%	0.35%	0.13%	0.28%	0.12%	0.00%	0.00%	0.55%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5827	31	40	97	80	129	194	15	90	47	121	32	94	60	12	5	104	25	108	130	63	98	90	90	102	114	85	158	71	73	44	67	72	122	64	59	16	37	55	23	93	81	42	152	200	218	99	125	112	134	80	130	265	47	42	158	110	148	108	54	4	79	83	34	43	89	98	45	20	17									
		9.47%	4.04%	2.57%	7.08%	5.02%	8.69%	9.86%	3.46%	8.80%	2.99%	10.24%	13.06%	7.26%	6.30%	5.00%	2.94%	12.18%	5.14%	7.58%	11.05%	5.57%	7.72%	8.34%	7.48%	11.12%	16.94%	11.56%	21.64%	13.25%	7.37%	12.32%	7.02%	8.55%	11.36%	13.06%	16.48%	13.01%	16.37%	5.61%	12.17%	9.69%	6.34%	15.22%	7.07%	10.34%	17.44%	11.09%	9.04%	11.21%	19.88%	14.79%	14.29%	15.01%	4.78%	18.03%	11.01%	11.69%	11.38%	11.36%	14.84%	4.65%	9.32%	9.67%	4.36%	5.99%	10.46%	12.20%	13.27%	11.05%	8.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	198	5	3	6	3	11	16	0	7	6	5	0	0	0	0	0	4	2	1	4	4	0	2	4	2	8	2	4	4	4	0	1	0	4	0	5	0	0	0	0	11	2	1	4	3	8	3	2	1	0	2	3	1	3	2	3	1	1	2	5	0	6	6	5	1	1	1	1	0	2									
		0.32%	0.65%	0.19%	0.44%	0.19%	0.74%	0.81%	0.00%	0.68%	0.38%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.41%	0.07%	0.34%	0.35%	0.00%	0.19%	0.33%	0.22%	1.19%	0.27%	0.55%	0.75%	0.40%	0.00%	0.10%	0.00%	0.37%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	1.15%	0.16%	0.36%	0.19%	0.16%	0.64%	0.34%	0.14%	0.10%	0.00%	0.37%	0.33%	0.06%	0.31%	0.86%	0.21%	0.11%	0.08%	0.21%	1.37%	0.00%	0.71%	0.70%	0.64%	0.14%	0.12%	0.12%	0.29%	0.00%	1.02%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1118	60	130	16	57	38	78	0	1	141	2	1	16	63	19	2	3	44	6	6	9	8	8	6	0	6	5	2	6	3	1	4	2	5	0	4	0	0	1	0	14	7	1	194	9	21	7	7	6	9	7	10	16	3	1	5	7	3	4	1	0	2	4	8	6	6	2	4	0	1									
		1.82%	7.81%	8.34%	1.17%	3.58%	2.56%	3.96%	0.00%	0.10%	8.96%	0.17%	0.41%	1.24%	6.61%	7.92%	1.18%	0.35%	9.05%	0.42%	0.51%	0.80%	0.63%	0.74%	0.50%	0.00%	0.89%	0.68%	0.27%	1.12%	0.30%	0.28%	0.42%	0.24%	0.47%	0.00%	1.12%	0.00%	0.00%	0.10%	0.00%	1.46%	0.55%	0.36%	9.02%	0.47%	1.68%	0.78%	0.51%	0.60%	1.34%	1.29%	1.10%	0.91%	0.31%	0.43%	0.35%	0.74%	0.23%	0.42%	0.27%	0.00%	0.24%	0.47%	1.03%	0.84%	0.71%	0.25%	1.18%	0.00%	0.51%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	111	1	2	1	4	4	12	1	0	6	2	0	0	2	0	0	0	1	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0	7	1	3	0	0	0	0	17	0	0	0	2	15	2	1	2	1	0	2	1	1	1	1	0	3	0	1	0	1	0	2	0	0	2	3	0	0									
		0.18%	0.13%	0.13%	0.07%	0.25%	0.27%	0.61%	0.23%	0.00%	0.38%	0.17%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.21%	0.07%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.15%	0.00%	0.14%	0.19%	0.00%	0.00%	0.00%	0.00%	0.65%	0.20%	0.84%	0.00%	0.00%	0.00%	0.00%	1.77%	0.00%	0.00%	0.00%	0.10%	1.20%	0.22%	0.07%	0.20%	0.15%	0.00%	0.22%	0.06%	0.10%	0.43%	0.07%	0.00%	0.23%	0.00%	0.27%	0.00%	0.12%	0.00%	0.26%	0.00%	0.00%	0.25%	0.88%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	373	2	4	5	7	15	17	2	1	11	3	0	12	8	2	0	2	0	1	5	7	6	3	6	7	4	5	2	5	1	1	1	1	5	5	10	0	0	2	2	14	9	6	12	7	19	2	7	7	9	7	2	10	4	0	1	4	8	8	5	0	3	13	20	12	5	3	4	2	0									
		0.61%	0.26%	0.26%	0.36%	0.44%	1.01%	0.86%	0.46%	0.10%	0.70%	0.25%	0.00%	0.93%	0.84%	0.83%	0.00%	0.23%	0.00%	0.07%	0.42%	0.62%	0.47%	0.28%	0.50%	0.76%	0.59%	0.68%	0.27%	0.93%	0.10%	0.28%	0.10%	0.12%	0.47%	1.02%	2.79%	0.00%	0.00%	0.20%	1.06%	1.46%	0.70%	2.17%	0.56%	0.36%	1.52%	0.22%	0.51%	0.70%	1.34%	1.29%	0.22%	0.57%	0.41%	0.00%	0.07%	0.43%	0.61%	0.84%	1.37%	0.00%	0.35%	1.52%	2.56%	1.67%	0.59%	0.37%	1.18%	1.10%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6785	114	210	108	221	309	194	29	67	267	164	20	89	96	26	0	109	54	78	102	89	92	94	109	114	129	102	101	69	69	40	66	48	205	49	65	8	14	54	9	272	110	43	237	208	239	112	109	115	107	102	92	248	71	15	72	61	102	68	28	24	90	79	102	45	83	107	26	12	23									
		11.03%	14.84%	13.47%	7.88%	13.86%	20.82%	9.86%	6.70%	6.55%	16.97%	13.87%	8.16%	6.88%	10.07%	10.83%	0.00%	12.76%	11.11%	5.47%	8.67%	7.86%	7.24%	8.71%	9.06%	12.43%	19.17%	13.88%	13.84%	12.87%	6.97%	11.20%	6.92%	5.70%	19.09%	10.00%	18.16%	6.50%	6.19%	5.50%	4.76%	28.33%	8.61%	15.58%	11.02%	10.75%	19.12%	12.54%	7.89%	11.51%	15.88%	18.85%	10.11%	14.04%	7.22%	6.44%	5.02%	6.48%	7.84%	7.15%	7.69%	27.91%	10.61%	9.21%	13.08%	6.27%	9.75%	13.33%	7.67%	6.63%	11.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	176	2	2	3	1	5	7	3	3	4	0	0	1	6	0	0	2	1	4	2	2	2	4	0	3	2	2	0	0	3	0	2	1	1	0	3	1	2	0	1	15	2	1	3	2	12	1	2	3	9	3	3	6	3	0	0	11	2	5	0	0	5	1	3	5	2	0	1	0	1									
		0.29%	0.26%	0.13%	0.22%	0.06%	0.34%	0.36%	0.69%	0.29%	0.25%	0.00%	0.00%	0.08%	0.63%	0.00%	0.00%	0.23%	0.21%	0.28%	0.17%	0.18%	0.16%	0.37%	0.00%	0.33%	0.30%	0.27%	0.00%	0.00%	0.30%	0.00%	0.21%	0.12%	0.09%	0.00%	0.84%	0.81%	0.88%	0.00%	0.53%	1.56%	0.16%	0.36%	0.14%	0.10%	0.96%	0.11%	0.14%	0.30%	1.34%	0.55%	0.33%	0.34%	0.31%	0.00%	0.00%	1.17%	0.15%	0.53%	0.00%	0.00%	0.59%	0.12%	0.38%	0.70%	0.24%	0.00%	0.29%	0.00%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1676	44	110	24	79	67	80	10	17	20	3	3	18	82	10	1	20	35	14	20	8	39	30	38	18	20	14	10	21	15	0	6	8	44	6	8	1	2	16	5	21	17	0	151	20	33	25	23	45	13	15	25	71	14	4	10	11	11	3	3	0	43	30	46	16	32	12	14	1	1									
		2.72%	5.73%	7.06%	1.75%	4.96%	4.51%	4.07%	2.31%	1.66%	1.27%	0.25%	1.22%	1.39%	8.60%	4.17%	0.59%	2.34%	7.20%	0.98%	1.70%	0.71%	3.07%	2.78%	3.16%	1.96%	2.97%	1.90%	1.37%	3.92%	1.52%	0.00%	0.63%	0.95%	4.10%	1.22%	2.23%	0.81%	0.88%	1.63%	2.65%	2.19%	1.33%	0.00%	7.02%	1.03%	2.64%	2.80%	1.66%	4.50%	1.93%	2.77%	2.75%	4.02%	1.42%	1.72%	0.70%	1.17%	0.85%	0.32%	0.82%	0.00%	5.07%	3.50%	5.90%	2.23%	3.76%	1.49%	4.13%	0.55%	0.51%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
