Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																							
Дата голосования: 18.09.2016																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Тюменская																																																																																							
																																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																							
																																																																																							
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2618	38	37	50	40	76	24	6	39	6	39	48	51	53	46	50	51	48	57	62	36	42	34	34	15	64	69	63	17	41	12	15	64	53	49	22	17	59	47	52	7	66	56	12	23	42	39	26	9	8	7	12	75	12	9	73	24	51	18	6	22	25	34	39	41	21	3	7	44	51	23	13	11	12	40	16	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	989	32	12	15	6	24	13	4	39	6	8	8	11	7	4	12	8	7	10	7	3	7	4	9	3	14	14	6	4	11	3	12	29	33	43	22	8	17	16	31	0	22	16	2	4	26	39	6	0	8	7	12	69	7	2	23	8	18	10	0	13	13	21	34	9	18	3	0	12	13	8	4	11	2	13	5	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	329	11	11	0	5	2	3	0	2	4	2	3	10	7	6	4	1	4	14	1	4	0	5	10	26	6	8	0	3	6	0	2	1	2	5	0	4	6	5	6	1	7	7	1	3	4	5	3	0	1	1	0	11	7	1	9	0	4	0	0	7	2	10	4	5	2	5	0	10	8	1	2	8	3	2	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	1629	6	25	35	34	52	11	2	0	0	31	40	40	46	42	38	43	41	47	55	33	35	30	25	12	50	55	57	13	30	9	3	35	20	6	0	9	42	31	21	7	44	40	10	19	16	0	20	9	0	0	0	6	5	7	50	16	33	8	6	9	12	13	5	32	3	0	7	32	38	15	9	0	10	27	11	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	2	1	0	1	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	356	0	13	2	4	3	4	0	7	1	2	0	2	0	13	0	17	14	17	12	13	0	0	0	0	13	123	0	2	1	0	0	2	6	1	0	0	1	0	2	0	2	1	0	0	0	0	1	0	1	2	0	3	0	0	12	6	1	0	1	1	8	4	9	0	8	0	1	6	3	0	2	2	0	7	0	0									
		0.50%	0.00%	1.19%	0.14%	0.36%	0.16%	0.74%	0.00%	0.58%	0.52%	0.19%	0.00%	0.19%	0.00%	1.00%	0.00%	1.72%	1.42%	1.47%	0.93%	1.82%	0.00%	0.00%	0.00%	0.00%	0.71%	5.96%	0.00%	0.38%	0.08%	0.00%	0.00%	0.11%	0.37%	0.07%	0.00%	0.00%	0.06%	0.00%	0.12%	0.00%	0.10%	0.06%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.49%	1.08%	0.00%	0.14%	0.00%	0.00%	0.53%	0.83%	0.07%	0.00%	0.53%	0.14%	1.13%	0.50%	0.78%	0.00%	1.27%	0.00%	0.47%	0.47%	0.18%	0.00%	0.54%	0.60%	0.00%	0.81%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	792	5	13	2	3	13	4	0	0	0	4	0	2	1	112	0	15	21	29	21	15	0	0	0	0	36	5	16	2	4	2	0	1	6	7	0	0	0	0	0	0	2	4	0	3	0	4	1	0	1	2	0	6	0	0	269	8	1	0	0	1	7	28	12	0	7	0	2	17	0	24	9	8	0	35	2	0									
		1.11%	0.45%	1.19%	0.14%	0.27%	0.71%	0.74%	0.00%	0.00%	0.00%	0.38%	0.00%	0.19%	0.08%	8.66%	0.00%	1.51%	2.14%	2.51%	1.62%	2.09%	0.00%	0.00%	0.00%	0.00%	1.96%	0.24%	0.86%	0.38%	0.33%	0.55%	0.00%	0.05%	0.37%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.24%	0.00%	0.44%	0.00%	0.76%	0.20%	0.00%	0.49%	1.08%	0.00%	0.28%	0.00%	0.00%	11.81%	1.11%	0.07%	0.00%	0.00%	0.14%	0.99%	3.49%	1.04%	0.00%	1.11%	0.00%	0.94%	1.34%	0.00%	4.99%	2.43%	2.42%	0.00%	4.04%	0.46%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	662	3	20	3	1	5	260	0	10	1	1	0	2	0	16	0	14	19	26	21	16	1	0	15	0	13	54	3	0	1	1	1	1	3	1	6	1	0	0	2	1	3	6	0	0	0	0	1	0	1	5	0	7	1	1	15	7	1	1	0	1	4	16	12	0	0	0	2	18	7	0	4	9	0	18	0	0									
		0.93%	0.27%	1.82%	0.21%	0.09%	0.27%	48.42%	0.00%	0.83%	0.52%	0.10%	0.00%	0.19%	0.00%	1.24%	0.00%	1.41%	1.93%	2.25%	1.62%	2.23%	0.10%	0.00%	1.38%	0.00%	0.71%	2.62%	0.16%	0.00%	0.08%	0.28%	0.23%	0.05%	0.19%	0.07%	0.91%	0.19%	0.00%	0.00%	0.12%	0.47%	0.15%	0.36%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.49%	2.69%	0.00%	0.33%	0.40%	0.36%	0.66%	0.97%	0.07%	0.19%	0.00%	0.14%	0.57%	1.99%	1.04%	0.00%	0.00%	0.00%	0.94%	1.42%	0.42%	0.00%	1.08%	2.72%	0.00%	2.08%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	40787	629	546	814	619	1041	0	50	647	165	542	760	610	674	601	886	508	526	481	885	341	679	693	668	303	1058	1113	1021	320	692	202	249	1105	907	846	382	338	790	817	920	125	1227	989	217	388	601	329	250	150	123	118	148	1225	154	170	1316	442	848	307	108	399	496	356	797	710	396	61	130	840	996	269	260	228	214	450	317	205									
		57.15%	56.16%	49.82%	57.16%	55.07%	57.17%	0.00%	51.02%	53.60%	86.39%	51.62%	60.08%	58.43%	54.35%	46.45%	59.46%	51.26%	53.51%	41.68%	68.29%	47.63%	71.25%	67.81%	61.57%	61.96%	57.56%	53.90%	55.13%	60.49%	56.91%	55.96%	56.46%	59.96%	56.37%	57.24%	57.97%	63.65%	50.67%	55.81%	57.14%	58.96%	61.32%	58.94%	57.11%	57.14%	52.49%	62.67%	50.81%	55.76%	60.00%	63.44%	52.86%	57.43%	61.11%	60.50%	57.77%	61.47%	57.69%	58.03%	56.84%	56.36%	70.25%	44.33%	68.83%	56.80%	62.66%	57.55%	61.03%	66.04%	59.75%	55.93%	70.27%	68.88%	59.12%	51.90%	73.21%	57.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	127	4	5	3	2	0	1	0	0	0	1	0	3	0	12	0	8	8	4	11	8	0	0	0	0	10	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	3	7	11	0	5	0	0	4	0	0	2	2	0	2	0	0									
		0.18%	0.36%	0.46%	0.21%	0.18%	0.00%	0.19%	0.00%	0.00%	0.00%	0.10%	0.00%	0.29%	0.00%	0.93%	0.00%	0.81%	0.81%	0.35%	0.85%	1.12%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.05%	0.00%	0.08%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.14%	0.42%	0.87%	0.95%	0.00%	0.79%	0.00%	0.00%	0.31%	0.00%	0.00%	0.54%	0.60%	0.00%	0.23%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	114	4	2	0	1	0	80	0	0	0	1	0	0	0	1	0	0	5	1	2	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0									
		0.16%	0.36%	0.18%	0.00%	0.09%	0.00%	14.90%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.51%	0.09%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.06%	0.00%	0.06%	0.00%	0.10%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.12%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	10222	138	196	180	166	211	0	17	167	6	222	156	287	290	250	179	248	178	350	127	180	109	207	147	77	452	45	111	64	157	43	57	298	241	193	88	53	153	99	174	36	289	214	54	76	52	54	75	40	45	30	25	287	21	36	380	135	193	69	20	93	106	202	176	195	129	17	52	165	231	62	58	37	50	120	29	53									
		14.32%	12.32%	17.88%	12.64%	14.77%	11.59%	0.00%	17.35%	13.84%	3.14%	21.14%	12.33%	27.49%	23.39%	19.32%	12.01%	25.03%	18.11%	30.33%	9.80%	25.14%	11.44%	20.25%	13.55%	15.75%	24.59%	2.18%	5.99%	12.10%	12.91%	11.91%	12.93%	16.17%	14.98%	13.06%	13.35%	9.98%	9.81%	6.76%	10.81%	16.98%	14.44%	12.75%	14.21%	11.19%	4.54%	10.29%	15.24%	14.87%	21.95%	16.13%	8.93%	13.46%	8.33%	12.81%	16.68%	18.78%	13.13%	13.04%	10.53%	13.14%	15.01%	25.16%	15.20%	15.60%	20.41%	16.04%	24.41%	12.97%	13.86%	12.89%	15.68%	11.18%	13.81%	13.84%	6.70%	14.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	108	2	3	8	4	0	0	0	0	0	2	0	0	0	10	1	6	5	5	8	2	0	0	0	0	4	0	0	1	1	1	0	0	4	2	0	0	1	1	1	0	3	5	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	3	7	0	0	0	0	6	0	0	1	1	0	2	1	0									
		0.15%	0.18%	0.27%	0.56%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.77%	0.07%	0.61%	0.51%	0.43%	0.62%	0.28%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.19%	0.08%	0.28%	0.00%	0.00%	0.25%	0.14%	0.00%	0.00%	0.06%	0.07%	0.06%	0.00%	0.15%	0.30%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.14%	0.42%	0.37%	0.60%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.27%	0.30%	0.00%	0.23%	0.23%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	149	2	7	2	2	3	0	0	0	0	3	0	1	0	6	0	11	12	7	4	9	0	0	0	1	13	0	2	0	1	0	0	0	5	2	0	0	2	0	1	0	2	0	0	0	1	2	0	0	2	0	0	0	0	0	1	1	2	0	0	1	4	3	13	4	0	0	0	8	0	0	2	1	0	6	0	0									
		0.21%	0.18%	0.64%	0.14%	0.18%	0.16%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.10%	0.00%	0.46%	0.00%	1.11%	1.22%	0.61%	0.31%	1.26%	0.00%	0.00%	0.00%	0.20%	0.71%	0.00%	0.11%	0.00%	0.08%	0.00%	0.00%	0.00%	0.31%	0.14%	0.00%	0.00%	0.13%	0.00%	0.06%	0.00%	0.10%	0.00%	0.00%	0.00%	0.09%	0.38%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.14%	0.14%	0.00%	0.00%	0.14%	0.57%	0.37%	1.12%	0.32%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.54%	0.30%	0.00%	0.69%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	40	0	1	1	0	0	0	1	3	1	2	0	2	0	2	0	0	2	3	1	2	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0									
		0.06%	0.00%	0.09%	0.07%	0.00%	0.00%	0.00%	1.02%	0.25%	0.52%	0.19%	0.00%	0.19%	0.00%	0.15%	0.00%	0.00%	0.20%	0.26%	0.08%	0.28%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.14%	0.00%	0.12%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	202	0	8	1	1	2	0	0	23	0	1	0	1	1	7	0	8	7	14	9	15	0	1	0	0	9	1	1	0	0	0	0	1	3	0	5	0	1	1	3	0	3	0	1	0	1	3	2	0	1	1	0	5	0	0	6	3	3	1	0	2	2	9	3	4	3	0	0	6	5	0	2	1	1	9	0	1									
		0.28%	0.00%	0.73%	0.07%	0.09%	0.11%	0.00%	0.00%	1.91%	0.00%	0.10%	0.00%	0.10%	0.08%	0.54%	0.00%	0.81%	0.71%	1.21%	0.69%	2.09%	0.00%	0.10%	0.00%	0.00%	0.49%	0.05%	0.05%	0.00%	0.00%	0.00%	0.00%	0.05%	0.19%	0.00%	0.76%	0.00%	0.06%	0.07%	0.19%	0.00%	0.15%	0.00%	0.26%	0.00%	0.09%	0.57%	0.41%	0.00%	0.49%	0.54%	0.00%	0.23%	0.00%	0.00%	0.26%	0.42%	0.20%	0.19%	0.00%	0.28%	0.28%	1.12%	0.26%	0.32%	0.47%	0.00%	0.00%	0.47%	0.30%	0.00%	0.54%	0.30%	0.28%	1.04%	0.00%	0.28%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8698	209	121	196	151	206	53	11	188	12	127	153	123	171	132	222	102	116	147	116	70	95	44	124	52	105	418	40	69	177	68	66	227	209	201	82	47	419	234	210	22	296	281	45	89	181	83	51	23	13	15	60	303	36	29	10	5	194	63	23	84	43	101	68	191	20	12	17	117	227	104	19	23	51	146	83	57									
		12.19%	18.66%	11.04%	13.76%	13.43%	11.31%	9.87%	11.22%	15.58%	6.28%	12.10%	12.09%	11.78%	13.79%	10.20%	14.90%	10.29%	11.80%	12.74%	8.95%	9.78%	9.97%	4.31%	11.43%	10.63%	5.71%	20.24%	2.16%	13.04%	14.56%	18.84%	14.97%	12.32%	12.99%	13.60%	12.44%	8.85%	26.88%	15.98%	13.04%	10.38%	14.79%	16.75%	11.84%	13.11%	15.81%	15.81%	10.37%	8.55%	6.34%	8.06%	21.43%	14.21%	14.29%	10.32%	0.44%	0.70%	13.20%	11.91%	12.11%	11.86%	6.09%	12.58%	5.87%	15.28%	3.16%	11.32%	7.98%	9.20%	13.62%	21.62%	5.14%	6.95%	14.09%	16.84%	19.17%	16.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	93	0	1	2	2	3	1	0	0	0	1	1	1	0	6	0	3	5	3	6	2	1	0	0	0	8	0	6	1	2	4	0	1	4	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	3	3	0	0	1	0	0	6	1	0	2	0	0	5	0	0									
		0.13%	0.00%	0.09%	0.14%	0.18%	0.16%	0.19%	0.00%	0.00%	0.00%	0.10%	0.08%	0.10%	0.00%	0.46%	0.00%	0.30%	0.51%	0.26%	0.46%	0.28%	0.10%	0.00%	0.00%	0.00%	0.44%	0.00%	0.32%	0.19%	0.16%	1.11%	0.00%	0.05%	0.25%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.14%	0.00%	0.00%	0.00%	0.14%	0.42%	0.37%	0.00%	0.00%	0.16%	0.00%	0.00%	0.47%	0.06%	0.00%	0.54%	0.00%	0.00%	0.58%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8604	122	150	207	165	330	132	18	162	5	140	192	7	101	80	201	48	44	39	60	42	67	76	130	55	70	300	649	69	175	39	67	205	213	221	91	91	189	311	290	27	162	173	62	120	308	48	108	56	17	10	47	292	39	44	265	103	224	87	37	116	19	35	33	143	55	14	8	48	195	22	7	8	44	36	0	39									
		12.06%	10.89%	13.69%	14.54%	14.68%	18.12%	24.58%	18.37%	13.42%	2.62%	13.33%	15.18%	0.67%	8.15%	6.18%	13.49%	4.84%	4.48%	3.38%	4.63%	5.87%	7.03%	7.44%	11.98%	11.25%	3.81%	14.53%	35.04%	13.04%	14.39%	10.80%	15.19%	11.12%	13.24%	14.95%	13.81%	17.14%	12.12%	21.24%	18.01%	12.74%	8.10%	10.31%	16.32%	17.67%	26.90%	9.14%	21.95%	20.82%	8.29%	5.38%	16.79%	13.69%	15.48%	15.66%	11.63%	14.33%	15.24%	16.45%	19.47%	16.38%	2.69%	4.36%	2.85%	11.44%	8.70%	13.21%	3.76%	3.77%	11.70%	4.57%	1.89%	2.42%	12.15%	4.15%	0.00%	10.96%									
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
