Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																									
Дата голосования: 04.12.2011																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Воскресенская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2415	50	34	30	35	35	40	35	30	30	35	30	30	10	40	30	0	20	20	30	60	45	30	45	45	35	40	35	35	35	10	25	30	55	30	50	15	30	30	30	45	0	30	40	40	40	35	15	20	20	15	30	5	30	40	20	10	10	26	20	5	50	45	50	50	50	50	40	5	15	20	5	20	20	10	35	35	5	30	30	30	40	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1884	39	32	20	21	28	25	23	29	22	25	30	22	5	31	25	0	20	10	24	41	39	29	43	40	30	35	15	26	29	10	24	27	54	26	47	15	14	26	20	29	0	18	22	22	27	25	15	19	20	10	30	5	30	32	20	7	10	26	20	5	50	44	28	23	23	34	28	2	15	9	1	18	15	8	25	35	2	29	23	27	28	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1066	20	7	6	8	9	13	8	8	24	24	12	22	13	54	13	3	15	6	13	21	17	23	19	7	9	10	13	10	15	19	18	14	10	14	9	15	20	12	12	13	18	16	10	7	6	16	12	18	5	20	6	7	5	7	5	5	5	14	3	6	23	22	16	22	22	20	9	2	14	3	9	12	4	11	13	19	8	4	12	22	15	15					
14	Число погашенных неиспользованных открепительных удостоверений	531	11	2	10	14	7	15	12	1	8	10	0	8	5	9	5	0	0	10	6	19	6	1	2	5	5	5	20	9	6	0	1	3	1	4	3	0	16	4	10	16	0	12	18	18	13	10	0	1	0	5	0	0	0	8	0	3	0	0	0	0	0	1	22	27	27	16	12	3	0	11	4	2	5	2	10	0	3	1	7	3	12	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	2	2	1	2	2	3	2	0	0	0	0	0	1	4	3	2	0	2	1	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9903	173	137	187	157	154	186	181	166	153	164	145	142	72	173	194	31	94	84	124	174	235	100	178	128	170	165	111	155	117	100	122	123	209	149	163	64	137	111	110	181	19	153	161	130	178	114	39	76	57	33	112	24	86	132	72	37	33	74	36	16	159	198	296	254	270	203	155	14	38	41	5	60	60	44	92	112	24	148	139	81	152	57					
		18.71%	20.09%	20.42%	22.80%	19.55%	20.84%	18.06%	21.78%	23.28%	19.27%	19.45%	20.34%	18.02%	25.26%	19.01%	23.52%	15.50%	20.09%	22.83%	18.79%	18.16%	21.44%	20.53%	15.49%	16.39%	19.65%	17.61%	17.16%	19.57%	15.39%	25.71%	20.03%	20.99%	21.11%	22.64%	17.32%	18.08%	19.86%	18.32%	18.55%	19.03%	12.34%	18.61%	19.90%	15.85%	20.44%	14.92%	11.89%	15.51%	11.20%	11.15%	14.58%	15.69%	18.30%	15.83%	16.63%	11.31%	17.84%	13.50%	12.90%	12.12%	16.75%	20.73%	24.22%	21.69%	22.13%	18.47%	18.04%	20.00%	15.20%	22.78%	4.63%	17.09%	12.96%	17.05%	13.77%	15.51%	21.05%	20.93%	17.22%	16.14%	17.99%	23.36%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7837	144	106	133	104	108	153	142	88	130	118	81	101	25	119	104	34	71	49	94	124	165	80	183	130	102	149	126	112	134	53	66	66	133	84	140	57	112	89	93	124	22	148	133	162	121	107	75	72	67	31	119	32	51	138	77	39	22	89	18	25	177	153	176	163	163	203	130	9	33	21	15	57	79	32	101	106	14	115	118	68	110	20					
		14.81%	16.72%	15.80%	16.22%	12.95%	14.61%	14.85%	17.09%	12.34%	16.37%	13.99%	11.36%	12.82%	8.77%	13.08%	12.61%	17.00%	15.17%	13.32%	14.24%	12.94%	15.05%	16.43%	15.93%	16.65%	11.79%	15.90%	19.47%	14.14%	17.63%	13.62%	10.84%	11.26%	13.43%	12.77%	14.88%	16.10%	16.23%	14.69%	15.68%	13.04%	14.29%	18.00%	16.44%	19.76%	13.89%	14.01%	22.87%	14.69%	13.16%	10.47%	15.49%	20.92%	10.85%	16.55%	17.78%	11.93%	11.89%	16.24%	6.45%	18.94%	18.65%	16.02%	14.40%	13.92%	13.36%	18.47%	15.13%	12.86%	13.20%	11.67%	13.89%	16.24%	17.06%	12.40%	15.12%	14.68%	12.28%	16.27%	14.62%	13.55%	13.02%	8.20%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	585	13	8	14	12	9	10	7	7	9	6	6	12	2	4	9	1	11	3	3	8	10	6	10	7	5	11	5	14	5	6	5	8	15	9	12	3	11	6	6	11	0	2	10	9	11	12	4	12	3	1	6	1	3	8	4	4	2	5	4	1	4	11	18	17	20	11	12	0	2	4	0	7	5	0	10	9	1	7	16	3	7	0					
		1.11%	1.51%	1.19%	1.71%	1.49%	1.22%	0.97%	0.84%	0.98%	1.13%	0.71%	0.84%	1.52%	0.70%	0.44%	1.09%	0.50%	2.35%	0.82%	0.45%	0.84%	0.91%	1.23%	0.87%	0.90%	0.58%	1.17%	0.77%	1.77%	0.66%	1.54%	0.82%	1.37%	1.52%	1.37%	1.28%	0.85%	1.59%	0.99%	1.01%	1.16%	0.00%	0.24%	1.24%	1.10%	1.26%	1.57%	1.22%	2.45%	0.59%	0.34%	0.78%	0.65%	0.64%	0.96%	0.92%	1.22%	1.08%	0.91%	1.43%	0.76%	0.42%	1.15%	1.47%	1.45%	1.64%	1.00%	1.40%	0.00%	0.80%	2.22%	0.00%	1.99%	1.08%	0.00%	1.50%	1.25%	0.88%	0.99%	1.98%	0.60%	0.83%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14197	238	210	199	224	223	308	208	204	203	269	209	207	65	262	207	43	127	109	181	301	279	140	317	215	265	280	167	214	227	89	175	161	265	165	238	86	159	149	152	258	30	213	209	209	223	190	81	158	90	51	154	31	110	227	80	65	25	110	49	34	283	301	329	362	363	342	225	16	50	51	33	84	147	66	168	197	26	159	211	142	235	70					
		26.83%	27.64%	31.30%	24.27%	27.90%	30.18%	29.90%	25.03%	28.61%	25.57%	31.91%	29.31%	26.27%	22.81%	28.79%	25.09%	21.50%	27.14%	29.62%	27.42%	31.42%	25.46%	28.75%	27.59%	27.53%	30.64%	29.88%	25.81%	27.02%	29.87%	22.88%	28.74%	27.47%	26.77%	25.08%	25.29%	24.29%	23.04%	24.59%	25.63%	27.13%	19.48%	25.91%	25.83%	25.49%	25.60%	24.87%	24.70%	32.24%	17.68%	17.23%	20.05%	20.26%	23.40%	27.22%	18.48%	19.88%	13.51%	20.07%	17.56%	25.76%	29.82%	31.52%	26.92%	30.91%	29.75%	31.12%	26.19%	22.86%	20.00%	28.33%	30.56%	23.93%	31.75%	25.58%	25.15%	27.29%	22.81%	22.49%	26.15%	28.29%	27.81%	28.69%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2364	34	30	39	39	28	53	39	32	35	44	47	34	16	79	44	4	28	18	9	84	102	15	72	35	27	47	18	31	29	10	44	32	50	35	46	18	28	23	26	40	1	23	22	41	40	21	14	14	7	7	17	4	10	5	13	7	7	12	2	2	30	41	82	63	110	71	22	5	5	3	5	12	10	10	12	15	2	27	27	34	38	7					
		4.47%	3.95%	4.47%	4.76%	4.86%	3.79%	5.15%	4.69%	4.49%	4.41%	5.22%	6.59%	4.31%	5.61%	8.68%	5.33%	2.00%	5.98%	4.89%	1.36%	8.77%	9.31%	3.08%	6.27%	4.48%	3.12%	5.02%	2.78%	3.91%	3.82%	2.57%	7.22%	5.46%	5.05%	5.32%	4.89%	5.08%	4.06%	3.80%	4.38%	4.21%	0.65%	2.80%	2.72%	5.00%	4.59%	2.75%	4.27%	2.86%	1.38%	2.36%	2.21%	2.61%	2.13%	0.60%	3.00%	2.14%	3.78%	2.19%	0.72%	1.52%	3.16%	4.29%	6.71%	5.38%	9.02%	6.46%	2.56%	7.14%	2.00%	1.67%	4.63%	3.42%	2.16%	3.88%	1.80%	2.08%	1.75%	3.82%	3.35%	6.77%	4.50%	2.87%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16149	232	159	220	236	195	289	211	191	224	227	196	250	101	237	238	74	130	93	226	234	260	132	332	238	263	250	197	241	220	122	165	166	279	198	297	110	223	193	203	308	77	250	234	233	270	288	103	147	277	167	336	59	202	311	147	164	96	237	166	50	270	215	288	261	250	240	296	24	119	58	49	120	144	102	252	253	40	226	278	146	269	75					
		30.52%	26.95%	23.70%	26.83%	29.39%	26.39%	28.06%	25.39%	26.79%	28.21%	26.93%	27.49%	31.73%	35.44%	26.04%	28.85%	37.00%	27.78%	25.27%	34.24%	24.43%	23.72%	27.10%	28.89%	30.47%	30.40%	26.68%	30.45%	30.43%	28.95%	31.36%	27.09%	28.33%	28.18%	30.09%	31.56%	31.07%	32.32%	31.85%	34.23%	32.39%	50.00%	30.41%	28.92%	28.41%	30.99%	37.70%	31.40%	30.00%	54.42%	56.42%	43.75%	38.56%	42.98%	37.29%	33.95%	50.15%	51.89%	43.25%	59.50%	37.88%	28.45%	22.51%	23.57%	22.29%	20.49%	21.84%	34.46%	34.29%	47.60%	32.22%	45.37%	34.19%	31.10%	39.53%	37.72%	35.04%	35.09%	31.97%	34.45%	29.08%	31.83%	30.74%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	401	5	7	7	7	2	12	5	4	7	5	3	11	2	12	8	3	3	6	4	9	12	2	13	9	9	6	3	5	4	0	4	6	17	1	14	2	4	5	3	4	0	8	7	3	4	3	1	6	0	0	3	1	3	4	3	6	0	3	2	0	4	12	13	10	5	8	3	2	1	0	1	2	2	3	7	6	0	4	4	8	2	2					
		0.76%	0.58%	1.04%	0.85%	0.87%	0.27%	1.17%	0.60%	0.56%	0.88%	0.59%	0.42%	1.40%	0.70%	1.32%	0.97%	1.50%	0.64%	1.63%	0.61%	0.94%	1.09%	0.41%	1.13%	1.15%	1.04%	0.64%	0.46%	0.63%	0.53%	0.00%	0.66%	1.02%	1.72%	0.15%	1.49%	0.56%	0.58%	0.83%	0.51%	0.42%	0.00%	0.97%	0.87%	0.37%	0.46%	0.39%	0.30%	1.22%	0.00%	0.00%	0.39%	0.65%	0.64%	0.48%	0.69%	1.83%	0.00%	0.55%	0.72%	0.00%	0.42%	1.26%	1.06%	0.85%	0.41%	0.73%	0.35%	2.86%	0.40%	0.00%	0.93%	0.57%	0.43%	1.16%	1.05%	0.83%	0.00%	0.57%	0.50%	1.59%	0.24%	0.82%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
