Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																								
Дата голосования: 02.12.2007																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Воскресенская																																																																																								
																																																																																								
Сводная таблица результатов выборов																																																																																								
																																																																																								
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3199	63	65	58	48	40	40	40	36	39	45	41	0	15	15	60	35	30	47	20	78	66	58	59	70	15	30	55	70	30	45	30	50	38	30	50	0	35	65	50	65	50	83	50	30	20	72	36	35	5	30	20	30	21	20	40	20	45	55	30	35	42	50	40	30	30	36	30	50	25	90	20	20	20	25	20	30	25	55	65	20	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3066	63	64	58	47	33	40	40	36	36	42	37	0	13	15	60	35	30	47	14	78	66	53	59	70	9	29	55	70	27	45	22	50	38	30	50	0	35	65	42	63	38	83	39	30	20	67	36	35	5	22	20	30	21	20	40	20	45	55	30	35	42	50	40	30	30	35	30	50	25	90	3	10	17	25	20	24	25	55	65	20	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1743	29	11	17	29	6	79	37	14	37	75	25	31	18	15	131	21	35	17	5	36	24	26	23	28	14	15	12	45	64	22	17	39	13	16	20	41	14	26	33	20	20	38	17	19	11	17	12	9	8	14	12	6	11	10	13	10	9	9	10	7	12	15	21	10	3	20	20	19	16	18	6	12	3	4	17	29	11	24	17	9	15					
14	Число погашенных неиспользованных открепительных удостоверений	133	0	1	0	1	7	0	0	0	3	3	4	0	2	0	0	0	0	0	6	0	0	5	0	0	6	1	0	0	3	0	8	0	0	0	0	0	0	0	8	2	12	0	11	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	10	3	0	0	6	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	262	9	9	3	5	4	5	8	2	3	9	2	0	1	1	6	5	7	6	1	12	5	6	10	10	3	6	6	10	3	3	3	5	5	2	4	0	5	4	3	3	4	7	1	0	1	0	0	2	2	1	0	3	1	0	5	0	3	4	1	4	0	4	1	6	1	4	2	2	1	0	1	0	2	0	1	0	1	0	2	1	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																								
18	1.Политическая партия «Аграрная партия России»	1807	48	30	46	42	37	43	39	34	24	36	28	9	11	4	41	20	13	31	8	45	40	31	45	33	11	19	25	25	20	23	11	24	22	20	30	7	28	19	25	38	45	51	31	15	6	42	17	28	3	24	25	17	7	8	25	7	14	30	17	34	3	15	14	4	25	23	11	24	10	51	5	6	6	2	6	19	10	19	14	5	4					
		2.64%	3.05%	1.83%	3.08%	3.10%	2.92%	2.90%	3.10%	3.82%	2.42%	2.62%	3.16%	2.65%	1.75%	0.93%	2.81%	2.42%	1.93%	3.60%	3.28%	2.79%	2.64%	2.21%	3.15%	2.44%	2.68%	2.30%	2.08%	1.70%	2.72%	2.68%	1.67%	2.14%	2.04%	2.20%	2.27%	2.92%	3.16%	1.73%	1.91%	2.73%	3.70%	3.12%	2.59%	2.77%	2.99%	3.75%	1.71%	3.82%	1.65%	2.11%	5.33%	2.66%	1.38%	2.53%	2.83%	3.74%	2.26%	2.44%	2.98%	8.13%	1.03%	2.14%	3.41%	2.07%	2.87%	2.54%	1.73%	2.14%	3.13%	4.45%	5.00%	4.05%	2.80%	0.65%	1.20%	2.91%	2.56%	1.85%	1.66%	2.82%	2.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	713	14	29	20	13	7	19	18	17	17	23	8	4	14	7	25	27	9	5	6	26	9	8	24	16	3	8	16	21	8	7	4	8	8	11	17	1	8	13	20	18	16	22	13	1	2	7	3	6	0	7	3	4	2	0	9	0	16	4	5	0	2	1	2	1	8	6	1	7	2	8	1	0	2	1	4	2	3	1	1	4	0					
		1.04%	0.89%	1.77%	1.34%	0.96%	0.55%	1.28%	1.43%	1.91%	1.72%	1.67%	0.90%	1.18%	2.23%	1.62%	1.71%	3.26%	1.34%	0.58%	2.46%	1.61%	0.59%	0.57%	1.68%	1.18%	0.73%	0.97%	1.33%	1.43%	1.09%	0.81%	0.61%	0.71%	0.74%	1.21%	1.28%	0.42%	0.90%	1.19%	1.52%	1.29%	1.31%	1.34%	1.09%	0.18%	0.99%	0.63%	0.30%	0.82%	0.00%	0.61%	0.64%	0.63%	0.39%	0.00%	1.02%	0.00%	2.58%	0.33%	0.88%	0.00%	0.68%	0.14%	0.49%	0.52%	0.92%	0.66%	0.16%	0.63%	0.63%	0.70%	1.00%	0.00%	0.93%	0.32%	0.80%	0.31%	0.77%	0.10%	0.12%	2.26%	0.00%					
20	3.Политическая партия «Демократическая партия России»	83	2	0	2	0	2	4	1	2	0	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	4	2	0	3	1	2	0	0	5	0	0	0	3	2	5	4	0	2	0	0	0	2	0	1	2	0	2	1	2	1	0	1	0	1	0	2	2	0	0	1	1	1	0	0	0	0	0	0	0	2	1	3	0	2	0					
		0.12%	0.13%	0.00%	0.13%	0.00%	0.16%	0.27%	0.08%	0.22%	0.00%	0.07%	0.00%	0.00%	0.00%	0.23%	0.07%	0.00%	0.15%	0.00%	0.41%	0.06%	0.07%	0.07%	0.00%	0.07%	0.00%	0.00%	0.33%	0.14%	0.00%	0.35%	0.15%	0.18%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.23%	0.14%	0.41%	0.24%	0.00%	0.37%	0.00%	0.00%	0.00%	0.27%	0.00%	0.09%	0.43%	0.00%	0.39%	0.32%	0.23%	0.53%	0.00%	0.08%	0.00%	0.24%	0.00%	0.29%	0.49%	0.00%	0.00%	0.11%	0.16%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.26%	0.29%	0.00%	1.13%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9307	212	171	188	171	168	163	182	113	135	216	136	43	119	74	266	123	89	94	28	212	222	201	176	167	55	112	136	180	94	111	71	134	149	128	139	21	102	184	178	222	194	277	205	64	41	217	124	99	15	185	38	105	49	27	126	24	95	140	78	39	27	87	40	17	119	131	93	123	48	191	11	19	47	19	69	132	28	101	122	41	15					
		13.60%	13.48%	10.43%	12.58%	12.64%	13.28%	11.01%	14.44%	12.71%	13.62%	15.70%	15.33%	12.65%	18.92%	17.13%	18.21%	14.87%	13.24%	10.93%	11.48%	13.16%	14.62%	14.36%	12.32%	12.35%	13.41%	13.54%	11.33%	12.23%	12.77%	12.92%	10.79%	11.94%	13.82%	14.10%	10.51%	8.75%	11.53%	16.79%	13.57%	15.96%	15.94%	16.93%	17.15%	11.81%	20.40%	19.38%	12.50%	13.51%	8.24%	16.24%	8.10%	16.46%	9.65%	8.54%	14.25%	12.83%	15.32%	11.39%	13.66%	9.33%	9.25%	12.43%	9.73%	8.81%	13.65%	14.48%	14.60%	10.99%	15.00%	16.68%	11.00%	12.84%	21.96%	6.17%	13.75%	20.21%	7.16%	9.84%	14.45%	23.16%	8.06%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	767	5	21	21	13	6	17	11	10	13	10	15	0	16	0	19	20	8	6	1	18	12	9	9	6	3	8	19	15	13	12	6	5	10	9	9	0	7	6	12	21	17	24	16	2	3	19	5	2	0	9	3	18	7	1	4	0	6	6	31	2	0	4	4	2	4	6	13	50	4	32	1	2	4	1	7	14	8	5	7	2	1					
		1.12%	0.32%	1.28%	1.40%	0.96%	0.47%	1.15%	0.87%	1.12%	1.31%	0.73%	1.69%	0.00%	2.54%	0.00%	1.30%	2.42%	1.19%	0.70%	0.41%	1.12%	0.79%	0.64%	0.63%	0.44%	0.73%	0.97%	1.58%	1.02%	1.77%	1.40%	0.91%	0.45%	0.93%	0.99%	0.68%	0.00%	0.79%	0.55%	0.91%	1.51%	1.40%	1.47%	1.34%	0.37%	1.49%	1.70%	0.50%	0.27%	0.00%	0.79%	0.64%	2.82%	1.38%	0.32%	0.45%	0.00%	0.97%	0.49%	5.43%	0.48%	0.00%	0.57%	0.97%	1.04%	0.46%	0.66%	2.04%	4.47%	1.25%	2.79%	1.00%	1.35%	1.87%	0.32%	1.39%	2.14%	2.05%	0.49%	0.83%	1.13%	0.54%					
23	6.Политическая партия «Партия социальной справедливости»	189	3	6	2	6	1	20	4	0	4	1	1	2	1	2	2	2	4	2	1	2	4	1	3	1	0	2	1	6	2	1	5	5	1	3	1	1	3	4	2	8	6	3	7	4	0	1	6	0	0	2	0	0	0	0	4	0	6	1	2	2	0	1	1	1	3	3	3	4	2	1	0	0	1	0	1	1	1	1	1	0	0					
		0.28%	0.19%	0.37%	0.13%	0.44%	0.08%	1.35%	0.32%	0.00%	0.40%	0.07%	0.11%	0.59%	0.16%	0.46%	0.14%	0.24%	0.60%	0.23%	0.41%	0.12%	0.26%	0.07%	0.21%	0.07%	0.00%	0.24%	0.08%	0.41%	0.27%	0.12%	0.76%	0.45%	0.09%	0.33%	0.08%	0.42%	0.34%	0.36%	0.15%	0.58%	0.49%	0.18%	0.59%	0.74%	0.00%	0.09%	0.60%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.97%	0.08%	0.35%	0.48%	0.00%	0.14%	0.24%	0.52%	0.34%	0.33%	0.47%	0.36%	0.63%	0.09%	0.00%	0.00%	0.47%	0.00%	0.20%	0.15%	0.26%	0.10%	0.12%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5519	133	160	134	133	97	127	93	64	73	107	60	29	57	45	118	54	52	72	21	130	124	127	115	135	28	53	106	132	34	52	60	109	82	59	97	12	82	71	100	118	80	160	100	48	17	86	72	55	14	67	39	61	26	11	61	16	46	138	40	19	18	43	25	16	80	81	37	110	30	73	3	8	20	20	51	63	38	100	70	11	11					
		8.06%	8.46%	9.76%	8.96%	9.83%	7.67%	8.58%	7.38%	7.20%	7.37%	7.78%	6.76%	8.53%	9.06%	10.42%	8.08%	6.53%	7.74%	8.37%	8.61%	8.07%	8.17%	9.07%	8.05%	9.99%	6.83%	6.41%	8.83%	8.97%	4.62%	6.05%	9.12%	9.71%	7.61%	6.50%	7.33%	5.00%	9.27%	6.48%	7.62%	8.48%	6.57%	9.78%	8.37%	8.86%	8.46%	7.68%	7.26%	7.50%	7.69%	5.88%	8.32%	9.56%	5.12%	3.48%	6.90%	8.56%	7.42%	11.23%	7.01%	4.55%	6.16%	6.14%	6.08%	8.29%	9.17%	8.95%	5.81%	9.83%	9.38%	6.38%	3.00%	5.41%	9.35%	6.49%	10.16%	9.65%	9.72%	9.75%	8.29%	6.21%	5.91%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6578	167	163	162	151	146	186	118	87	106	151	103	22	50	36	133	94	49	67	28	205	189	141	156	94	40	65	122	129	67	67	62	104	118	99	145	10	81	102	132	141	137	187	130	50	13	128	88	45	10	43	43	53	39	31	65	13	45	106	36	31	14	55	30	15	112	102	79	137	36	72	6	7	16	9	48	49	22	89	73	18	8					
		9.61%	10.62%	9.94%	10.84%	11.16%	11.54%	12.56%	9.37%	9.79%	10.70%	10.97%	11.61%	6.47%	7.95%	8.33%	9.10%	11.37%	7.29%	7.79%	11.48%	12.73%	12.45%	10.07%	10.92%	6.95%	9.76%	7.86%	10.17%	8.76%	9.10%	7.80%	9.42%	9.27%	10.95%	10.90%	10.96%	4.17%	9.15%	9.31%	10.06%	10.14%	11.26%	11.43%	10.88%	9.23%	6.47%	11.43%	8.87%	6.14%	5.49%	3.78%	9.17%	8.31%	7.68%	9.81%	7.35%	6.95%	7.26%	8.62%	6.30%	7.42%	4.79%	7.86%	7.30%	7.77%	12.84%	11.27%	12.40%	12.24%	11.25%	6.29%	6.00%	4.73%	7.48%	2.92%	9.56%	7.50%	5.63%	8.67%	8.65%	10.17%	4.30%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	870	27	25	25	25	23	15	16	7	9	25	17	3	9	4	24	14	11	4	3	13	15	15	10	16	5	9	20	25	8	10	3	10	10	21	16	2	7	12	14	26	29	26	20	5	1	11	22	5	1	3	9	9	6	2	7	3	8	8	7	18	5	13	6	0	17	13	8	7	1	10	1	3	1	3	2	3	7	9	6	2	0					
		1.27%	1.72%	1.52%	1.67%	1.85%	1.82%	1.01%	1.27%	0.79%	0.91%	1.82%	1.92%	0.88%	1.43%	0.93%	1.64%	1.69%	1.64%	0.47%	1.23%	0.81%	0.99%	1.07%	0.70%	1.18%	1.22%	1.09%	1.67%	1.70%	1.09%	1.16%	0.46%	0.89%	0.93%	2.31%	1.21%	0.83%	0.79%	1.09%	1.07%	1.87%	2.38%	1.59%	1.67%	0.92%	0.50%	0.98%	2.22%	0.68%	0.55%	0.26%	1.92%	1.41%	1.18%	0.63%	0.79%	1.60%	1.29%	0.65%	1.23%	4.31%	1.71%	1.86%	1.46%	0.00%	1.95%	1.44%	1.26%	0.63%	0.31%	0.87%	1.00%	2.03%	0.47%	0.97%	0.40%	0.46%	1.79%	0.88%	0.71%	1.13%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	40610	915	978	842	768	722	838	736	523	574	749	490	221	338	252	776	436	422	564	138	924	868	826	852	837	253	531	716	900	473	550	422	692	634	522	826	183	547	670	782	736	634	796	623	335	115	568	626	478	136	775	297	360	364	231	565	121	365	742	349	268	220	464	281	134	470	521	364	621	183	690	72	99	115	248	301	360	269	666	525	87	146					
		59.34%	58.17%	59.63%	56.32%	56.76%	57.08%	56.58%	58.41%	58.83%	57.92%	54.43%	55.24%	65.00%	53.74%	58.33%	53.11%	52.72%	62.80%	65.58%	56.56%	57.36%	57.18%	59.00%	59.66%	61.91%	61.71%	64.21%	59.67%	61.14%	64.27%	64.03%	64.13%	61.68%	58.81%	57.49%	62.43%	76.25%	61.81%	61.13%	59.60%	52.91%	52.10%	48.66%	52.13%	61.81%	57.21%	50.71%	63.10%	65.21%	74.73%	68.04%	63.33%	56.43%	71.65%	73.10%	63.91%	64.71%	58.87%	60.37%	61.12%	64.11%	75.34%	66.29%	68.37%	69.43%	53.90%	57.57%	57.14%	55.50%	57.19%	60.26%	72.00%	66.89%	53.74%	80.52%	59.96%	55.13%	68.80%	64.91%	62.20%	49.15%	78.49%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1026	28	25	25	18	24	28	29	19	17	39	19	3	8	5	38	33	3	5	6	15	14	20	24	26	7	14	16	22	9	8	3	21	19	18	19	2	15	12	23	28	24	56	33	8	2	18	10	5	1	7	2	6	3	4	4	2	10	5	2	2	2	7	5	2	7	7	12	24	3	5	0	3	2	5	6	5	3	12	5	0	0					
		1.50%	1.78%	1.52%	1.67%	1.33%	1.90%	1.89%	2.30%	2.14%	1.72%	2.83%	2.14%	0.88%	1.27%	1.16%	2.60%	3.99%	0.45%	0.58%	2.46%	0.93%	0.92%	1.43%	1.68%	1.92%	1.71%	1.69%	1.33%	1.49%	1.22%	0.93%	0.46%	1.87%	1.76%	1.98%	1.44%	0.83%	1.69%	1.09%	1.75%	2.01%	1.97%	3.42%	2.76%	1.48%	0.99%	1.61%	1.01%	0.68%	0.55%	0.61%	0.43%	0.94%	0.59%	1.27%	0.45%	1.07%	1.61%	0.41%	0.35%	0.48%	0.68%	1.00%	1.22%	1.04%	0.80%	0.77%	1.88%	2.14%	0.94%	0.44%	0.00%	2.03%	0.93%	1.62%	1.20%	0.77%	0.77%	1.17%	0.59%	0.00%	0.00%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
