Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																								
Дата голосования: 18.09.2016																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Губкинская																																																																																																								
																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																								
																																																																																																								
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №1248									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	412	8	5	5	5	5	8	5	5	8	5	7	6	5	5	6	6	6	5	5	5	5	5	5	5	5	5	10	8	5	5	7	5	10	7	5	5	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6	5	3	6	3	3	3	3	3	5	3	3	3	3	6	3	3	3	6	3	3	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	252	8	4	1	1	5	7	5	3	7	2	7	5	1	5	5	4	6	4	5	3	4	2	3	5	0	2	9	8	4	3	7	3	10	7	2	3	5	1	0	0	5	0	2	2	1	3	3	1	1	3	0	1	0	1	3	3	0	0	0	0	3	0	3	0	1	0	2	3	0	1	3	6	5	0	6	0	0	0	0	3	4	1	2	0	1	4	3	2	0	2	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	2	3	1	1	4	3	0	3	5	3	2	1	0	1	3	1	3	2	1	2	8	0	6	3	3	0	1	2	1	0	1	1	5	1	1	1	0	1	0	1	2	2	1	2	2	0	6	0	3	2	1	0	0	1	1	2	1	0	0	1	1	0	3	0	2	0	5	1	1	0	1	1	2	2	1	4	2	1	0	0	2	0	1	1	1	2	0	2	1	1	2	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	160	0	1	4	4	0	1	0	2	1	3	0	1	4	0	1	2	0	1	0	2	1	3	2	0	5	3	1	0	1	2	0	2	0	0	3	2	0	4	5	5	0	5	3	3	2	0	0	2	2	0	3	2	3	2	0	0	3	3	3	3	0	3	0	3	2	3	1	0	3	2	0	0	0	3	0	3	3	3	3	0	1	2	1	3	2	2	0	1	3	4	3	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	0	2	0	2	0	2	1	0	1	2	2	0	1	2	0	1	2	4	9	2	2	0	0	2	0	3	3	2	1	4	1	3	1	3	0	0	2	0	1	1	0	0	0	0	5	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	3	1	0	0	0	1	0	0	0	3	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	464	12	6	11	10	5	5	4	6	6	5	17	7	9	11	13	5	17	8	19	6	9	4	9	9	4	5	14	10	8	10	8	14	15	8	5	3	6	5	3	0	3	6	6	9	3	12	6	2	0	10	0	4	0	1	0	0	0	0	1	0	2	1	4	0	0	0	0	10	0	4	5	4	1	0	3	3	0	0	0	0	9	1	2	0	0	9	2	4	0	2	2	2	0									
		0.99%	2.02%	1.17%	2.72%	1.56%	1.12%	0.80%	0.81%	1.14%	0.89%	1.28%	1.91%	1.19%	1.31%	1.14%	1.95%	0.90%	1.46%	0.82%	1.47%	1.35%	1.87%	0.67%	1.35%	1.51%	0.59%	0.92%	1.24%	0.92%	1.12%	1.22%	0.86%	1.92%	1.40%	1.47%	0.86%	0.72%	0.79%	1.47%	0.51%	0.00%	0.77%	1.35%	1.54%	1.06%	0.36%	2.06%	0.71%	0.82%	0.00%	2.42%	0.00%	1.42%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.81%	0.82%	0.65%	0.00%	0.00%	0.00%	0.00%	1.76%	0.00%	1.24%	1.51%	0.76%	0.85%	0.00%	0.51%	0.29%	0.00%	0.00%	0.00%	0.00%	1.51%	0.27%	0.53%	0.00%	0.00%	1.63%	0.31%	1.07%	0.00%	0.35%	0.60%	0.45%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1083	13	15	8	15	8	19	10	13	24	11	12	13	23	21	20	16	34	21	35	10	7	13	18	20	28	12	19	35	13	19	22	19	18	10	10	12	22	8	13	6	9	5	11	27	22	16	20	8	9	14	4	11	8	9	2	0	4	1	3	9	15	1	15	3	6	0	0	11	1	4	8	13	2	0	5	25	3	1	0	20	14	7	9	3	5	13	10	4	5	11	4	2	6									
		2.32%	2.18%	2.91%	1.98%	2.34%	1.79%	3.03%	2.02%	2.47%	3.56%	2.81%	1.35%	2.21%	3.34%	2.17%	2.99%	2.89%	2.91%	2.15%	2.71%	2.24%	1.46%	2.18%	2.70%	3.36%	4.16%	2.21%	1.68%	3.21%	1.82%	2.32%	2.37%	2.60%	1.68%	1.84%	1.72%	2.86%	2.89%	2.35%	2.20%	2.88%	2.31%	1.12%	2.83%	3.19%	2.65%	2.75%	2.36%	3.27%	2.17%	3.39%	1.99%	3.91%	2.57%	1.89%	1.38%	0.00%	1.65%	0.46%	2.13%	3.36%	6.10%	0.82%	2.45%	1.11%	3.24%	0.00%	0.00%	1.94%	0.78%	1.24%	2.42%	2.49%	1.69%	0.00%	0.86%	2.43%	0.66%	0.45%	0.00%	3.70%	2.34%	1.88%	2.39%	3.23%	4.20%	2.36%	1.57%	1.07%	3.91%	1.94%	1.19%	0.45%	3.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	812	9	18	11	5	11	19	4	7	7	4	16	8	21	11	5	13	17	33	35	9	13	14	10	12	17	12	22	22	24	16	20	14	30	17	15	6	12	6	12	7	7	9	5	12	11	10	13	1	2	6	5	4	2	8	2	2	4	1	4	2	3	2	15	10	1	0	8	8	0	7	2	2	0	0	5	6	2	4	0	4	12	1	3	0	2	5	9	9	2	7	4	1	4									
		1.74%	1.51%	3.50%	2.72%	0.78%	2.46%	3.03%	0.81%	1.33%	1.04%	1.02%	1.80%	1.36%	3.05%	1.14%	0.75%	2.35%	1.46%	3.37%	2.71%	2.02%	2.70%	2.35%	1.50%	2.01%	2.53%	2.21%	1.95%	2.01%	3.37%	1.95%	2.16%	1.92%	2.80%	3.13%	2.57%	1.43%	1.58%	1.76%	2.03%	3.37%	1.79%	2.02%	1.29%	1.42%	1.32%	1.72%	1.54%	0.41%	0.48%	1.45%	2.49%	1.42%	0.64%	1.68%	1.38%	1.43%	1.65%	0.46%	2.84%	0.75%	1.22%	1.64%	2.45%	3.69%	0.54%	0.00%	4.12%	1.41%	0.00%	2.17%	0.60%	0.38%	0.00%	0.00%	0.86%	0.58%	0.44%	1.80%	0.00%	0.74%	2.01%	0.27%	0.80%	0.00%	1.68%	0.91%	1.41%	2.40%	1.56%	1.23%	1.19%	0.22%	2.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23238	260	184	175	237	188	268	225	203	239	181	369	237	258	517	267	247	415	352	543	155	163	251	268	222	261	206	495	425	271	345	391	271	457	232	286	167	351	132	288	102	193	203	161	326	373	281	459	160	289	248	123	128	213	308	104	94	184	185	111	190	147	105	320	193	122	142	119	357	88	214	228	355	94	190	382	636	378	177	135	374	233	275	260	43	54	280	443	239	95	416	251	369	87									
		49.80%	43.70%	35.73%	43.32%	36.92%	41.96%	42.74%	45.36%	38.59%	35.46%	46.29%	41.46%	40.31%	37.45%	53.35%	40.03%	44.58%	35.53%	35.96%	42.09%	34.75%	33.89%	42.04%	40.18%	37.25%	38.78%	37.94%	43.88%	38.92%	38.01%	42.07%	42.18%	37.12%	42.59%	42.73%	49.06%	39.86%	46.12%	38.82%	48.73%	49.04%	49.49%	45.62%	41.39%	38.53%	44.89%	48.28%	54.26%	65.31%	69.64%	60.05%	61.19%	45.55%	68.49%	64.84%	71.72%	67.14%	76.03%	85.25%	78.72%	70.90%	59.76%	86.07%	52.20%	71.22%	65.95%	81.14%	61.34%	62.96%	68.75%	66.46%	68.88%	67.88%	79.66%	79.50%	65.41%	61.75%	82.89%	79.73%	91.84%	69.13%	38.96%	73.73%	68.97%	46.24%	45.38%	50.82%	69.44%	63.73%	74.22%	73.24%	74.93%	82.74%	47.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	263	6	4	2	7	3	3	4	2	7	0	5	5	6	4	3	6	17	2	11	0	1	6	4	6	4	7	10	12	6	2	7	3	8	2	8	1	0	1	2	1	3	2	1	6	4	2	3	1	3	0	0	0	2	1	0	0	0	1	0	0	1	1	3	0	4	0	1	2	0	1	3	1	1	0	3	3	0	0	0	2	9	0	0	0	1	5	1	0	1	0	1	0	2									
		0.56%	1.01%	0.78%	0.50%	1.09%	0.67%	0.48%	0.81%	0.38%	1.04%	0.00%	0.56%	0.85%	0.87%	0.41%	0.45%	1.08%	1.46%	0.20%	0.85%	0.00%	0.21%	1.01%	0.60%	1.01%	0.59%	1.29%	0.89%	1.10%	0.84%	0.24%	0.76%	0.41%	0.75%	0.37%	1.37%	0.24%	0.00%	0.29%	0.34%	0.48%	0.77%	0.45%	0.26%	0.71%	0.48%	0.34%	0.35%	0.41%	0.72%	0.00%	0.00%	0.00%	0.64%	0.21%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.41%	0.82%	0.49%	0.00%	2.16%	0.00%	0.52%	0.35%	0.00%	0.31%	0.91%	0.19%	0.85%	0.00%	0.51%	0.29%	0.00%	0.00%	0.00%	0.37%	1.51%	0.00%	0.00%	0.00%	0.84%	0.91%	0.16%	0.00%	0.78%	0.00%	0.30%	0.00%	1.09%									
24	"6. Политическая партия ""Гражданская Платформа"""	80	1	0	1	1	2	1	1	1	1	1	2	2	1	1	0	1	9	2	2	1	1	2	3	2	1	2	1	3	1	2	2	2	0	1	4	1	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0									
		0.17%	0.17%	0.00%	0.25%	0.16%	0.45%	0.16%	0.20%	0.19%	0.15%	0.26%	0.22%	0.34%	0.15%	0.10%	0.00%	0.18%	0.77%	0.20%	0.16%	0.22%	0.21%	0.34%	0.45%	0.34%	0.15%	0.37%	0.09%	0.27%	0.14%	0.24%	0.22%	0.27%	0.00%	0.18%	0.69%	0.24%	0.00%	0.29%	0.00%	0.00%	0.51%	0.22%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.31%	0.30%	0.00%	0.85%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.84%	0.36%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6549	100	58	63	103	76	82	91	64	78	53	129	110	83	122	117	86	143	146	208	86	90	88	80	86	99	78	182	180	117	145	170	131	179	107	88	70	139	45	69	24	63	92	83	163	120	56	95	31	31	57	24	60	21	79	17	22	14	17	8	21	28	2	107	35	10	15	24	70	17	52	27	41	10	19	75	146	31	10	3	63	111	28	39	22	7	95	52	38	4	55	20	32	22									
		14.03%	16.81%	11.26%	15.59%	16.04%	16.96%	13.08%	18.35%	12.17%	11.57%	13.55%	14.49%	18.71%	12.05%	12.59%	17.54%	15.52%	12.24%	14.91%	16.12%	19.28%	18.71%	14.74%	11.99%	14.43%	14.71%	14.36%	16.13%	16.48%	16.41%	17.68%	18.34%	17.95%	16.68%	19.71%	15.09%	16.71%	18.27%	13.24%	11.68%	11.54%	16.15%	20.67%	21.34%	19.27%	14.44%	9.62%	11.23%	12.65%	7.47%	13.80%	11.94%	21.35%	6.75%	16.63%	11.72%	15.71%	5.79%	7.83%	5.67%	7.84%	11.38%	1.64%	17.46%	12.92%	5.41%	8.57%	12.37%	12.35%	13.28%	16.15%	8.16%	7.84%	8.47%	7.95%	12.84%	14.17%	6.80%	4.50%	2.04%	11.65%	18.56%	7.51%	10.34%	23.66%	5.88%	17.24%	8.15%	10.13%	3.13%	9.68%	5.97%	7.17%	12.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	182	5	1	3	1	0	5	2	4	4	0	6	5	4	5	3	1	6	2	8	3	4	4	4	5	2	5	8	1	8	2	2	4	8	3	0	0	7	1	1	0	0	4	1	3	5	1	5	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	8	0	0	0	0	5	0	0	0	2	1	0	0									
		0.39%	0.84%	0.19%	0.74%	0.16%	0.00%	0.80%	0.40%	0.76%	0.59%	0.00%	0.67%	0.85%	0.58%	0.52%	0.45%	0.18%	0.51%	0.20%	0.62%	0.67%	0.83%	0.67%	0.60%	0.84%	0.30%	0.92%	0.71%	0.09%	1.12%	0.24%	0.22%	0.55%	0.75%	0.55%	0.00%	0.00%	0.92%	0.29%	0.17%	0.00%	0.00%	0.90%	0.26%	0.35%	0.60%	0.17%	0.59%	0.41%	0.00%	0.24%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.31%	0.30%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	1.34%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.35%	0.30%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	223	0	10	1	5	9	3	4	1	10	1	4	6	4	1	3	2	9	2	14	1	1	4	2	1	5	4	5	8	4	3	4	14	8	4	0	3	2	1	1	1	2	1	2	7	1	3	1	0	2	0	0	2	1	2	0	0	1	1	2	2	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	6	0	0	0	3	3	0	2	0	1	1	0	0	1	0	5	0	0									
		0.48%	0.00%	1.94%	0.25%	0.78%	2.01%	0.48%	0.81%	0.19%	1.48%	0.26%	0.45%	1.02%	0.58%	0.10%	0.45%	0.36%	0.77%	0.20%	1.09%	0.22%	0.21%	0.67%	0.30%	0.17%	0.74%	0.74%	0.44%	0.73%	0.56%	0.37%	0.43%	1.92%	0.75%	0.74%	0.00%	0.72%	0.26%	0.29%	0.17%	0.48%	0.51%	0.22%	0.51%	0.83%	0.12%	0.52%	0.12%	0.00%	0.48%	0.00%	0.00%	0.71%	0.32%	0.42%	0.00%	0.00%	0.41%	0.46%	1.42%	0.75%	0.41%	0.00%	0.16%	0.00%	0.54%	0.00%	0.52%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.58%	0.00%	0.00%	0.00%	0.55%	0.50%	0.00%	0.53%	0.00%	0.84%	0.18%	0.00%	0.00%	0.78%	0.00%	1.49%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	2	1	1	0	2	0	1	0	1	0	2	0	0	1	0	2	2	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	3	0	0	0	0	1	2	1	1	0	1	1	0	0									
		0.10%	0.17%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.15%	0.00%	0.00%	0.18%	0.17%	0.10%	0.08%	0.00%	0.42%	0.00%	0.15%	0.00%	0.15%	0.00%	0.18%	0.00%	0.00%	0.12%	0.00%	0.27%	0.19%	0.18%	0.17%	0.00%	0.13%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.24%	0.24%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.19%	0.00%	0.45%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.84%	0.36%	0.16%	0.27%	0.00%	0.18%	0.30%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	285	10	6	1	11	3	3	5	6	7	4	6	5	9	4	4	5	16	10	12	8	2	4	6	7	3	4	4	7	3	5	6	8	9	2	3	2	3	3	0	2	1	1	1	5	4	3	4	0	1	1	1	2	2	1	1	0	2	2	0	0	0	0	2	0	1	0	2	2	0	0	5	1	0	0	0	2	0	0	0	1	13	0	0	1	1	2	0	0	0	1	0	0	1									
		0.61%	1.68%	1.17%	0.25%	1.71%	0.67%	0.48%	1.01%	1.14%	1.04%	1.02%	0.67%	0.85%	1.31%	0.41%	0.60%	0.90%	1.37%	1.02%	0.93%	1.79%	0.42%	0.67%	0.90%	1.17%	0.45%	0.74%	0.35%	0.64%	0.42%	0.61%	0.65%	1.10%	0.84%	0.37%	0.51%	0.48%	0.39%	0.88%	0.00%	0.96%	0.26%	0.22%	0.26%	0.59%	0.48%	0.52%	0.47%	0.00%	0.24%	0.24%	0.50%	0.71%	0.64%	0.21%	0.69%	0.00%	0.83%	0.92%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.54%	0.00%	1.03%	0.35%	0.00%	0.00%	1.51%	0.19%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.18%	2.17%	0.00%	0.00%	1.08%	0.84%	0.36%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8367	110	136	81	155	79	111	83	128	171	84	178	112	152	165	128	123	267	241	247	101	85	122	158	127	162	132	218	245	156	146	185	144	207	100	119	80	119	73	107	47	58	81	91	212	155	99	130	34	62	46	31	44	47	41	11	18	25	8	9	32	29	9	110	24	36	10	24	65	19	33	39	87	7	30	77	154	35	26	7	58	98	52	45	15	32	91	99	64	16	55	34	32	37									
		17.93%	18.49%	26.41%	20.05%	24.14%	17.63%	17.70%	16.73%	24.33%	25.37%	21.48%	20.00%	19.05%	22.06%	17.03%	19.19%	22.20%	22.86%	24.62%	19.15%	22.65%	17.67%	20.44%	23.69%	21.31%	24.07%	24.31%	19.33%	22.44%	21.88%	17.80%	19.96%	19.73%	19.29%	18.42%	20.41%	19.09%	15.64%	21.47%	18.10%	22.60%	14.87%	18.20%	23.39%	25.06%	18.65%	17.01%	15.37%	13.88%	14.94%	11.14%	15.42%	15.66%	15.11%	8.63%	7.59%	12.86%	10.33%	3.69%	6.38%	11.94%	11.79%	7.38%	17.94%	8.86%	19.46%	5.71%	12.37%	11.46%	14.84%	10.25%	11.78%	16.63%	5.93%	12.55%	13.18%	14.95%	7.68%	11.71%	4.76%	10.72%	16.39%	13.94%	11.94%	16.13%	26.89%	16.52%	15.52%	17.07%	12.50%	9.68%	10.15%	7.17%	20.22%									
