Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Уфа, Калининская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1700	30	30	30	30	30	30	30	30	30	30	20	20	30	40	40	30	30	20	20	30	15	15	30	30	30	30	50	30	30	20	30	30	30	30	23	20	20	20	20	21	25	30	31	20	30	40	20	20	20	30	20	20	30	30	20	30	30	20	20	30	50	10	10	10	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1543	30	30	30	30	30	28	30	30	28	23	20	20	28	38	37	30	26	18	20	28	11	11	27	30	23	19	47	30	29	19	15	30	26	22	20	20	20	20	20	21	25	17	30	20	30	35	19	18	20	30	18	20	28	30	18	27	26	20	20	19	35	4	10	10	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	329	5	5	1	2	3	3	6	4	8	4	1	7	4	5	4	5	2	6	21	2	6	5	4	3	14	7	10	4	10	5	2	4	2	3	1	2	3	2	6	6	4	1	5	2	3	4	13	2	3	5	5	8	5	5	0	5	1	8	1	8	12	1	4	0	2	18	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	157	0	0	0	0	0	2	0	0	2	7	0	0	2	2	3	0	4	2	0	2	4	4	3	0	7	11	3	0	1	1	15	0	4	8	3	0	0	0	0	0	0	13	1	0	0	5	1	2	0	0	2	0	2	0	2	3	4	0	0	11	15	6	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	608	7	11	12	6	9	11	10	10	7	7	8	8	10	8	17	16	21	9	15	8	1	5	7	9	92	16	21	15	20	13	11	9	4	4	6	3	5	14	6	6	5	10	10	5	6	8	9	8	5	6	4	5	5	11	2	5	5	4	2	4	5	0	0	7	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	209	8	4	2	0	18	0	3	2	0	6	2	0	5	5	1	7	5	1	2	4	9	0	0	16	2	4	12	1	0	6	0	5	4	2	12	0	1	0	2	3	1	5	9	1	7	0	2	0	1	4	1	4	2	0	0	2	6	0	0	0	2	0	0	5	1	0	1	1									
		0.21%	0.40%	0.24%	0.10%	0.00%	0.95%	0.00%	0.15%	0.12%	0.00%	0.35%	0.14%	0.00%	0.25%	0.26%	0.05%	0.36%	0.25%	0.07%	0.13%	0.25%	1.15%	0.00%	0.00%	2.01%	0.11%	0.23%	0.63%	0.06%	0.00%	0.36%	0.00%	0.28%	0.39%	0.13%	0.71%	0.00%	0.07%	0.00%	0.13%	0.19%	0.07%	0.28%	0.47%	0.07%	0.51%	0.00%	0.12%	0.00%	0.07%	0.23%	0.09%	0.29%	0.11%	0.00%	0.00%	0.14%	0.42%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.50%	0.29%	0.00%	0.29%	1.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	374	11	10	20	3	16	11	8	1	3	2	6	5	3	6	3	6	8	4	3	2	0	2	11	20	5	4	3	14	8	4	1	4	14	2	19	1	5	10	7	4	3	2	10	2	1	0	3	4	2	11	2	3	3	15	8	2	4	2	1	0	3	0	2	16	1	2	2	1									
		0.38%	0.55%	0.59%	1.00%	0.18%	0.85%	0.58%	0.41%	0.06%	0.20%	0.12%	0.41%	0.30%	0.15%	0.31%	0.15%	0.30%	0.39%	0.29%	0.19%	0.12%	0.00%	0.21%	0.58%	2.51%	0.28%	0.23%	0.16%	0.80%	0.57%	0.24%	0.16%	0.22%	1.36%	0.13%	1.13%	0.06%	0.34%	0.59%	0.47%	0.25%	0.20%	0.11%	0.52%	0.13%	0.07%	0.00%	0.19%	0.26%	0.14%	0.63%	0.17%	0.22%	0.16%	0.88%	0.55%	0.14%	0.28%	0.14%	0.08%	0.00%	0.25%	0.00%	1.85%	1.61%	0.29%	4.00%	0.59%	1.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	329	18	9	10	14	0	6	10	3	2	9	1	10	4	6	12	2	2	8	5	7	0	0	5	19	6	10	7	2	4	0	0	6	18	3	16	0	8	0	0	1	3	6	4	5	3	0	4	0	2	2	1	2	6	0	6	3	6	5	1	14	2	0	0	8	1	1	0	1									
		0.33%	0.90%	0.53%	0.50%	0.85%	0.00%	0.32%	0.51%	0.18%	0.13%	0.53%	0.07%	0.60%	0.20%	0.31%	0.61%	0.10%	0.10%	0.57%	0.32%	0.43%	0.00%	0.00%	0.26%	2.38%	0.34%	0.58%	0.37%	0.11%	0.29%	0.00%	0.00%	0.33%	1.75%	0.19%	0.95%	0.00%	0.54%	0.00%	0.00%	0.06%	0.20%	0.33%	0.21%	0.34%	0.22%	0.00%	0.25%	0.00%	0.14%	0.11%	0.09%	0.15%	0.33%	0.00%	0.41%	0.20%	0.42%	0.35%	0.08%	1.07%	0.16%	0.00%	0.00%	0.80%	0.29%	2.00%	0.00%	1.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	47500	966	816	966	802	925	925	937	822	723	828	730	828	989	924	956	955	995	675	755	786	374	454	920	474	843	523	911	846	672	805	221	876	606	765	808	756	502	824	717	766	721	880	940	719	665	845	781	739	707	852	564	661	892	810	701	509	686	693	617	621	592	48	76	494	340	27	276	78									
		48.13%	48.18%	48.31%	48.42%	48.81%	48.89%	48.76%	48.25%	48.18%	48.69%	48.76%	49.36%	49.34%	48.82%	48.50%	48.53%	48.50%	49.04%	48.49%	47.72%	48.82%	47.89%	48.25%	48.34%	59.47%	47.65%	30.57%	47.95%	48.04%	48.24%	48.58%	34.86%	48.48%	58.89%	47.81%	47.90%	48.93%	33.87%	48.39%	48.28%	48.15%	48.55%	48.75%	48.58%	48.22%	48.12%	48.40%	48.63%	47.89%	48.62%	48.66%	48.08%	48.04%	48.96%	47.54%	48.05%	34.72%	48.04%	48.19%	48.13%	47.37%	48.37%	48.48%	70.37%	49.60%	97.14%	54.00%	81.18%	82.11%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	0	5	4	0	0	0	0	1	1	1	0	0	2	3	1	2	2	2	1	1	0	0	0	9	3	1	6	2	0	4	0	5	10	4	3	4	0	0	0	1	3	2	0	2	1	0	3	0	1	1	1	2	4	6	2	2	5	0	4	0	0	0	0	5	1	0	2	1									
		0.13%	0.00%	0.30%	0.20%	0.00%	0.00%	0.00%	0.00%	0.06%	0.07%	0.06%	0.00%	0.00%	0.10%	0.16%	0.05%	0.10%	0.10%	0.14%	0.06%	0.06%	0.00%	0.00%	0.00%	1.13%	0.17%	0.06%	0.32%	0.11%	0.00%	0.24%	0.00%	0.28%	0.97%	0.25%	0.18%	0.26%	0.00%	0.00%	0.00%	0.06%	0.20%	0.11%	0.00%	0.13%	0.07%	0.00%	0.19%	0.00%	0.07%	0.06%	0.09%	0.15%	0.22%	0.35%	0.14%	0.14%	0.35%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.50%	0.29%	0.00%	0.59%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	127	1	0	5	2	0	0	0	5	2	2	6	0	3	4	1	2	3	0	3	2	0	0	3	5	2	1	5	2	0	0	0	6	3	3	3	5	1	0	0	1	2	5	9	3	1	0	3	0	1	1	0	1	2	4	1	1	0	0	0	0	2	0	0	6	0	0	4	0									
		0.13%	0.05%	0.00%	0.25%	0.12%	0.00%	0.00%	0.00%	0.29%	0.13%	0.12%	0.41%	0.00%	0.15%	0.21%	0.05%	0.10%	0.15%	0.00%	0.19%	0.12%	0.00%	0.00%	0.16%	0.63%	0.11%	0.06%	0.26%	0.11%	0.00%	0.00%	0.00%	0.33%	0.29%	0.19%	0.18%	0.32%	0.07%	0.00%	0.00%	0.06%	0.13%	0.28%	0.47%	0.20%	0.07%	0.00%	0.19%	0.00%	0.07%	0.06%	0.00%	0.07%	0.11%	0.23%	0.07%	0.07%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.60%	0.00%	0.00%	1.18%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	19833	407	344	409	335	383	386	394	349	299	340	298	337	408	387	403	395	411	278	320	326	159	193	387	129	357	348	381	359	285	334	150	365	156	327	341	315	298	348	304	324	298	365	391	304	281	358	324	313	294	353	240	280	368	342	289	366	285	295	260	264	249	20	13	177	2	5	20	8									
		20.10%	20.30%	20.37%	20.50%	20.39%	20.24%	20.35%	20.29%	20.46%	20.13%	20.02%	20.15%	20.08%	20.14%	20.31%	20.46%	20.06%	20.26%	19.97%	20.23%	20.25%	20.36%	20.51%	20.34%	16.19%	20.18%	20.34%	20.05%	20.39%	20.46%	20.16%	23.66%	20.20%	15.16%	20.44%	20.21%	20.39%	20.11%	20.43%	20.47%	20.36%	20.07%	20.22%	20.21%	20.39%	20.33%	20.50%	20.17%	20.29%	20.22%	20.16%	20.46%	20.35%	20.20%	20.07%	19.81%	24.97%	19.96%	20.51%	20.28%	20.14%	20.34%	20.20%	12.04%	17.77%	0.57%	10.00%	5.88%	8.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	109	0	0	1	0	0	0	0	0	2	2	1	0	5	1	2	2	2	0	0	2	0	0	3	4	3	2	0	2	0	3	3	5	1	4	6	6	0	0	0	4	2	4	0	2	1	0	4	6	1	5	1	2	0	0	0	1	0	0	0	0	2	0	1	11	0	0	0	0									
		0.11%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.12%	0.07%	0.00%	0.25%	0.05%	0.10%	0.10%	0.10%	0.00%	0.00%	0.12%	0.00%	0.00%	0.16%	0.50%	0.17%	0.12%	0.00%	0.11%	0.00%	0.18%	0.47%	0.28%	0.10%	0.25%	0.36%	0.39%	0.00%	0.00%	0.00%	0.25%	0.13%	0.22%	0.00%	0.13%	0.07%	0.00%	0.25%	0.39%	0.07%	0.29%	0.09%	0.15%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.93%	1.10%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	132	0	0	4	0	0	0	0	0	4	1	6	0	3	2	2	2	3	0	3	7	0	0	2	1	1	3	2	1	2	0	0	6	4	3	5	0	1	0	0	2	2	4	0	3	4	0	2	8	2	1	1	4	0	0	0	2	0	0	1	15	1	0	2	8	0	0	1	1									
		0.13%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.06%	0.41%	0.00%	0.15%	0.10%	0.10%	0.10%	0.15%	0.00%	0.19%	0.43%	0.00%	0.00%	0.11%	0.13%	0.06%	0.18%	0.11%	0.06%	0.14%	0.00%	0.00%	0.33%	0.39%	0.19%	0.30%	0.00%	0.07%	0.00%	0.00%	0.13%	0.13%	0.22%	0.00%	0.20%	0.29%	0.00%	0.12%	0.52%	0.14%	0.06%	0.09%	0.29%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.08%	1.14%	0.08%	0.00%	1.85%	0.80%	0.00%	0.00%	0.29%	1.05%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	86	0	0	2	3	0	0	0	0	2	1	3	0	4	6	1	3	2	0	3	1	0	0	4	0	1	1	0	1	2	0	0	4	1	3	0	0	1	0	0	7	3	2	0	4	0	0	3	0	1	1	0	3	3	0	0	1	1	0	0	0	2	0	0	2	1	0	3	0									
		0.09%	0.00%	0.00%	0.10%	0.18%	0.00%	0.00%	0.00%	0.00%	0.13%	0.06%	0.20%	0.00%	0.20%	0.31%	0.05%	0.15%	0.10%	0.00%	0.19%	0.06%	0.00%	0.00%	0.21%	0.00%	0.06%	0.06%	0.00%	0.06%	0.14%	0.00%	0.00%	0.22%	0.10%	0.19%	0.00%	0.00%	0.07%	0.00%	0.00%	0.44%	0.20%	0.11%	0.00%	0.27%	0.00%	0.00%	0.19%	0.00%	0.07%	0.06%	0.00%	0.22%	0.16%	0.00%	0.00%	0.07%	0.07%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.20%	0.29%	0.00%	0.88%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	614	2	0	10	9	0	5	10	10	3	4	1	0	6	4	9	10	7	5	16	1	6	6	6	11	6	6	11	4	5	0	54	9	8	3	10	8	21	10	8	2	2	3	4	6	2	0	3	10	14	5	13	5	3	7	2	119	12	21	13	0	9	0	0	52	0	0	3	0									
		0.62%	0.10%	0.00%	0.50%	0.55%	0.00%	0.26%	0.51%	0.59%	0.20%	0.24%	0.07%	0.00%	0.30%	0.21%	0.46%	0.51%	0.34%	0.36%	1.01%	0.06%	0.77%	0.64%	0.32%	1.38%	0.34%	0.35%	0.58%	0.23%	0.36%	0.00%	8.52%	0.50%	0.78%	0.19%	0.59%	0.52%	1.42%	0.59%	0.54%	0.13%	0.13%	0.17%	0.21%	0.40%	0.14%	0.00%	0.19%	0.65%	0.96%	0.29%	1.11%	0.36%	0.16%	0.41%	0.14%	8.12%	0.84%	1.46%	1.01%	0.00%	0.74%	0.00%	0.00%	5.22%	0.00%	0.00%	0.88%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	19942	415	345	387	330	381	383	395	346	305	341	299	338	409	388	402	402	406	279	321	327	160	193	381	65	358	649	378	360	286	341	115	351	75	300	342	305	502	348	304	325	299	366	392	304	282	359	325	314	294	354	240	281	367	343	291	258	290	295	261	263	251	20	8	121	2	7	16	2									
		20.21%	20.70%	20.43%	19.40%	20.09%	20.14%	20.19%	20.34%	20.28%	20.54%	20.08%	20.22%	20.14%	20.19%	20.37%	20.41%	20.42%	20.01%	20.04%	20.29%	20.31%	20.49%	20.51%	20.02%	8.16%	20.24%	37.93%	19.89%	20.44%	20.53%	20.58%	18.14%	19.42%	7.29%	18.75%	20.27%	19.74%	33.87%	20.43%	20.47%	20.43%	20.13%	20.28%	20.26%	20.39%	20.41%	20.56%	20.24%	20.35%	20.22%	20.22%	20.46%	20.42%	20.14%	20.13%	19.95%	17.60%	20.31%	20.51%	20.36%	20.06%	20.51%	20.20%	7.41%	12.15%	0.57%	14.00%	4.71%	2.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	296	1	5	3	0	0	12	7	13	2	3	8	0	4	0	1	2	5	5	3	4	0	5	3	3	5	1	5	3	4	14	0	3	2	4	5	2	1	6	10	7	8	2	10	1	6	34	4	2	1	3	3	1	12	0	27	3	0	0	3	9	1	0	0	5	0	0	0	0									
		0.30%	0.05%	0.30%	0.15%	0.00%	0.00%	0.63%	0.36%	0.76%	0.13%	0.18%	0.54%	0.00%	0.20%	0.00%	0.05%	0.10%	0.25%	0.36%	0.19%	0.25%	0.00%	0.53%	0.16%	0.38%	0.28%	0.06%	0.26%	0.17%	0.29%	0.84%	0.00%	0.17%	0.19%	0.25%	0.30%	0.13%	0.07%	0.35%	0.67%	0.44%	0.54%	0.11%	0.52%	0.07%	0.43%	1.95%	0.25%	0.13%	0.07%	0.17%	0.26%	0.07%	0.66%	0.00%	1.85%	0.20%	0.00%	0.00%	0.23%	0.69%	0.08%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8523	176	148	167	145	169	169	170	149	129	147	113	149	176	167	173	170	178	123	138	140	68	83	167	29	154	150	169	155	123	141	85	160	98	141	102	132	129	150	131	133	131	159	157	125	118	150	140	129	131	152	103	121	158	147	121	197	125	127	112	112	108	9	2	77	1	1	12	2									
		8.64%	8.78%	8.76%	8.37%	8.83%	8.93%	8.91%	8.75%	8.73%	8.69%	8.66%	7.64%	8.88%	8.69%	8.77%	8.78%	8.63%	8.77%	8.84%	8.72%	8.70%	8.71%	8.82%	8.78%	3.64%	8.71%	8.77%	8.89%	8.80%	8.83%	8.51%	13.41%	8.85%	9.52%	8.81%	6.05%	8.54%	8.70%	8.81%	8.82%	8.36%	8.82%	8.81%	8.11%	8.38%	8.54%	8.59%	8.72%	8.36%	9.01%	8.68%	8.78%	8.79%	8.67%	8.63%	8.29%	13.44%	8.75%	8.83%	8.74%	8.54%	8.82%	9.09%	1.85%	7.73%	0.29%	2.00%	3.53%	2.11%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
