Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Гулькевичская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	801	12	22	22	22	11	19	15	13	12	12	12	24	9	27	23	7	10	16	13	5	18	17	9	6	10	20	14	8	13	15	5	5	5	7	5	20	9	21	8	5	5	8	5	7	15	12	5	11	7	5	5	5	11	15	17	5	10	24	14	5	10	5	20	5	5	6	5	9	14	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	291	12	15	16	10	11	6	7	7	6	9	9	14	5	10	6	4	10	2	1	0	3	6	2	1	4	4	1	2	0	1	1	0	2	0	1	20	6	9	0	1	0	2	0	1	8	2	0	6	1	0	0	0	1	2	5	0	6	2	3	0	1	5	6	0	5	2	1	5	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	138	0	6	5	3	2	3	2	6	3	13	2	4	1	7	3	0	3	3	3	0	1	3	2	1	1	2	0	1	4	0	0	0	2	0	0	4	5	2	1	2	0	4	1	0	0	1	1	1	1	0	1	1	3	3	1	3	1	4	2	0	0	2	1	1	1	0	2	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	510	0	7	6	12	0	13	8	6	6	3	3	10	4	17	17	3	0	14	12	5	15	11	7	5	6	16	13	6	13	14	4	5	3	7	4	0	3	12	8	4	5	6	5	6	7	10	5	5	6	5	5	5	10	13	12	5	4	22	11	5	9	0	14	5	0	4	4	4	11	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	2	2	5	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	3	3	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	329	5	23	10	11	3	7	13	9	6	9	2	9	2	23	18	2	10	3	2	0	3	6	7	2	6	10	3	1	2	0	0	0	0	2	2	5	6	14	4	1	0	6	0	1	3	1	2	3	3	2	1	0	2	3	4	0	3	12	6	3	5	0	6	5	0	5	1	2	6	3									
		0.92%	1.11%	1.38%	0.80%	0.82%	0.74%	0.62%	2.43%	1.87%	0.91%	1.83%	0.42%	0.99%	0.54%	2.44%	1.53%	0.58%	1.34%	0.40%	0.36%	0.00%	0.47%	1.09%	2.30%	1.01%	1.65%	1.27%	0.51%	0.30%	0.23%	0.00%	0.00%	0.00%	0.00%	0.57%	0.87%	0.92%	1.58%	1.59%	1.27%	0.35%	0.00%	1.92%	0.00%	0.20%	0.28%	0.12%	2.35%	0.61%	1.07%	1.44%	1.32%	0.00%	0.52%	0.58%	0.61%	0.00%	0.65%	1.23%	1.01%	1.33%	0.93%	0.00%	0.80%	4.85%	0.00%	2.17%	0.53%	0.42%	0.81%	2.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	928	9	5	32	20	16	39	11	15	8	20	7	42	13	33	24	8	18	23	15	2	22	13	8	9	18	24	23	6	20	19	0	9	0	15	5	9	2	27	13	4	8	13	8	1	5	4	0	18	13	11	1	5	0	24	14	1	22	39	19	6	12	2	20	6	8	10	8	9	32	3									
		2.61%	1.99%	0.30%	2.55%	1.49%	3.94%	3.44%	2.06%	3.12%	1.21%	4.07%	1.46%	4.65%	3.49%	3.50%	2.04%	2.33%	2.42%	3.08%	2.70%	2.15%	3.41%	2.37%	2.63%	4.52%	4.95%	3.06%	3.93%	1.78%	2.34%	2.21%	0.00%	5.00%	0.00%	4.27%	2.17%	1.66%	0.53%	3.07%	4.14%	1.41%	5.37%	4.15%	3.56%	0.20%	0.47%	0.48%	0.00%	3.67%	4.64%	7.91%	1.32%	2.86%	0.00%	4.67%	2.14%	1.35%	4.78%	3.99%	3.20%	2.65%	2.24%	1.10%	2.67%	5.83%	4.21%	4.35%	4.23%	1.90%	4.33%	2.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	631	16	9	21	24	10	30	24	8	18	12	6	21	8	18	28	5	17	8	16	1	20	18	10	2	5	32	13	5	15	0	0	0	0	3	1	10	5	28	3	2	0	4	2	1	2	11	1	11	2	5	2	2	0	4	18	1	15	23	10	2	8	0	9	1	3	2	3	3	11	3									
		1.77%	3.54%	0.54%	1.67%	1.78%	2.46%	2.64%	4.49%	1.66%	2.73%	2.44%	1.25%	2.33%	2.15%	1.91%	2.37%	1.46%	2.28%	1.07%	2.88%	1.08%	3.10%	3.28%	3.29%	1.01%	1.37%	4.08%	2.22%	1.48%	1.76%	0.00%	0.00%	0.00%	0.00%	0.85%	0.43%	1.85%	1.32%	3.19%	0.96%	0.70%	0.00%	1.28%	0.89%	0.20%	0.19%	1.33%	1.18%	2.24%	0.71%	3.60%	2.63%	1.14%	0.00%	0.78%	2.75%	1.35%	3.26%	2.35%	1.68%	0.88%	1.50%	0.00%	1.20%	0.97%	1.58%	0.87%	1.59%	0.63%	1.49%	2.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17736	156	1064	470	702	165	653	230	191	291	172	296	338	148	377	718	201	473	432	289	39	246	236	99	80	183	336	266	187	547	586	119	83	82	102	127	327	169	380	156	161	64	115	103	286	586	463	57	218	121	65	43	103	199	203	335	51	226	420	247	138	313	96	343	38	88	112	88	269	391	78									
		49.86%	34.51%	63.64%	37.48%	52.15%	40.64%	57.53%	42.99%	39.71%	44.09%	35.03%	61.80%	37.43%	39.78%	39.94%	60.90%	58.60%	63.49%	57.83%	51.98%	41.94%	38.14%	43.07%	32.57%	40.20%	50.27%	42.80%	45.47%	55.33%	64.05%	68.06%	57.21%	46.11%	41.41%	29.06%	55.22%	60.33%	44.47%	43.23%	49.68%	56.69%	42.95%	36.74%	45.78%	55.86%	55.02%	55.99%	67.06%	44.49%	43.21%	46.76%	56.58%	58.86%	52.23%	39.49%	51.15%	68.92%	49.13%	42.94%	41.58%	61.06%	58.50%	52.75%	45.86%	36.89%	46.32%	48.70%	46.56%	56.87%	52.91%	64.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	152	0	9	8	4	1	5	0	3	4	3	1	8	0	6	7	2	6	2	0	0	5	3	1	3	0	1	3	2	3	0	0	1	0	0	0	2	3	4	1	2	0	0	1	1	0	3	2	3	1	0	0	0	1	6	7	1	2	6	1	2	0	1	2	0	1	1	3	0	3	1									
		0.43%	0.00%	0.54%	0.64%	0.30%	0.25%	0.44%	0.00%	0.62%	0.61%	0.61%	0.21%	0.89%	0.00%	0.64%	0.59%	0.58%	0.81%	0.27%	0.00%	0.00%	0.78%	0.55%	0.33%	1.51%	0.00%	0.13%	0.51%	0.59%	0.35%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.37%	0.79%	0.46%	0.32%	0.70%	0.00%	0.00%	0.44%	0.20%	0.00%	0.36%	2.35%	0.61%	0.36%	0.00%	0.00%	0.00%	0.26%	1.17%	1.07%	1.35%	0.43%	0.61%	0.17%	0.88%	0.00%	0.55%	0.27%	0.00%	0.53%	0.43%	1.59%	0.00%	0.41%	0.83%									
24	"6. Политическая партия ""Гражданская Платформа"""	59	0	0	4	1	2	1	1	1	1	2	1	1	0	2	0	1	0	0	1	0	4	2	1	0	0	4	1	1	3	0	0	0	0	0	1	1	2	2	1	1	0	0	3	0	1	0	0	0	0	1	0	1	0	1	2	0	0	2	0	1	0	0	2	0	0	0	1	1	0	0									
		0.17%	0.00%	0.00%	0.32%	0.07%	0.49%	0.09%	0.19%	0.21%	0.15%	0.41%	0.21%	0.11%	0.00%	0.21%	0.00%	0.29%	0.00%	0.00%	0.18%	0.00%	0.62%	0.36%	0.33%	0.00%	0.00%	0.51%	0.17%	0.30%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.18%	0.53%	0.23%	0.32%	0.35%	0.00%	0.00%	1.33%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.57%	0.00%	0.19%	0.31%	0.00%	0.00%	0.20%	0.00%	0.44%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.53%	0.21%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7110	130	193	379	219	96	174	100	94	139	123	78	219	80	234	186	59	98	137	109	20	133	128	90	48	68	190	133	65	127	120	41	49	48	122	40	98	101	148	62	49	28	90	39	84	187	89	10	104	78	38	15	33	73	101	126	8	88	215	179	52	123	31	186	27	36	63	47	55	165	13									
		19.99%	28.76%	11.54%	30.22%	16.27%	23.65%	15.33%	18.69%	19.54%	21.06%	25.05%	16.28%	24.25%	21.51%	24.79%	15.78%	17.20%	13.15%	18.34%	19.60%	21.51%	20.62%	23.36%	29.61%	24.12%	18.68%	24.20%	22.74%	19.23%	14.87%	13.94%	19.71%	27.22%	24.24%	34.76%	17.39%	18.08%	26.58%	16.84%	19.75%	17.25%	18.79%	28.75%	17.33%	16.41%	17.56%	10.76%	11.76%	21.22%	27.86%	27.34%	19.74%	18.86%	19.16%	19.65%	19.24%	10.81%	19.13%	21.98%	30.13%	23.01%	22.99%	17.03%	24.87%	26.21%	18.95%	27.39%	24.87%	11.63%	22.33%	10.74%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	168	5	10	9	6	11	2	1	7	4	4	2	11	5	6	3	1	0	0	3	0	6	0	0	0	8	4	7	0	1	0	0	0	0	2	0	3	5	3	1	2	0	4	0	1	1	6	1	1	0	0	0	1	2	2	3	0	1	1	2	1	2	0	4	0	0	0	0	0	3	0									
		0.47%	1.11%	0.60%	0.72%	0.45%	2.71%	0.18%	0.19%	1.46%	0.61%	0.81%	0.42%	1.22%	1.34%	0.64%	0.25%	0.29%	0.00%	0.00%	0.54%	0.00%	0.93%	0.00%	0.00%	0.00%	2.20%	0.51%	1.20%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.55%	1.32%	0.34%	0.32%	0.70%	0.00%	1.28%	0.00%	0.20%	0.09%	0.73%	1.18%	0.20%	0.00%	0.00%	0.00%	0.57%	0.52%	0.39%	0.46%	0.00%	0.22%	0.10%	0.34%	0.44%	0.37%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	215	5	21	13	5	1	7	3	6	0	3	2	8	5	9	6	7	5	8	3	0	5	5	4	1	3	6	0	2	4	0	0	0	0	0	3	5	0	3	3	1	0	3	0	1	1	2	0	4	0	0	0	3	0	5	6	0	1	9	4	0	1	1	5	0	0	0	1	0	6	0									
		0.60%	1.11%	1.26%	1.04%	0.37%	0.25%	0.62%	0.56%	1.25%	0.00%	0.61%	0.42%	0.89%	1.34%	0.95%	0.51%	2.04%	0.67%	1.07%	0.54%	0.00%	0.78%	0.91%	1.32%	0.50%	0.82%	0.76%	0.00%	0.59%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.92%	0.00%	0.34%	0.96%	0.35%	0.00%	0.96%	0.00%	0.20%	0.09%	0.24%	0.00%	0.82%	0.00%	0.00%	0.00%	1.71%	0.00%	0.97%	0.92%	0.00%	0.22%	0.92%	0.67%	0.00%	0.19%	0.55%	0.67%	0.00%	0.00%	0.00%	0.53%	0.00%	0.81%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	0	2	6	0	0	2	1	0	1	0	0	3	1	2	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	1	1	2	0	0	3	0	0	0	0	1	0	0	0	0	1	2	1									
		0.12%	0.00%	0.12%	0.48%	0.00%	0.00%	0.18%	0.19%	0.00%	0.15%	0.00%	0.00%	0.33%	0.27%	0.21%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	1.18%	0.00%	0.00%	0.72%	0.00%	0.00%	0.26%	0.19%	0.31%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.21%	0.27%	0.83%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	226	8	11	6	3	4	3	5	8	6	8	1	12	6	10	3	2	3	3	0	0	4	2	1	1	5	3	5	3	5	0	0	0	0	0	0	6	32	4	2	1	0	0	0	1	2	8	0	5	3	2	0	0	2	0	2	2	1	5	4	0	2	0	3	1	0	1	0	3	1	2									
		0.64%	1.77%	0.66%	0.48%	0.22%	0.99%	0.26%	0.93%	1.66%	0.91%	1.63%	0.21%	1.33%	1.61%	1.06%	0.25%	0.58%	0.40%	0.40%	0.00%	0.00%	0.62%	0.36%	0.33%	0.50%	1.37%	0.38%	0.85%	0.89%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	8.42%	0.46%	0.64%	0.35%	0.00%	0.00%	0.00%	0.20%	0.19%	0.97%	0.00%	1.02%	1.07%	1.44%	0.00%	0.00%	0.52%	0.00%	0.31%	2.70%	0.22%	0.51%	0.67%	0.00%	0.37%	0.00%	0.40%	0.97%	0.00%	0.43%	0.00%	0.63%	0.14%	1.65%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5409	82	206	189	159	79	133	109	89	137	94	68	148	87	165	144	32	74	100	89	20	132	87	51	38	42	120	80	48	99	112	14	20	46	67	40	51	36	191	44	41	25	61	37	105	198	131	3	95	41	7	1	4	82	130	109	4	56	178	84	20	57	22	117	9	31	25	23	101	79	11									
		15.21%	18.14%	12.32%	15.07%	11.81%	19.46%	11.72%	20.37%	18.50%	20.76%	19.14%	14.20%	16.39%	23.39%	17.48%	12.21%	9.33%	9.93%	13.39%	16.01%	21.51%	20.47%	15.88%	16.78%	19.10%	11.54%	15.29%	13.68%	14.20%	11.59%	13.01%	6.73%	11.11%	23.23%	19.09%	17.39%	9.41%	9.47%	21.73%	14.01%	14.44%	16.78%	19.49%	16.44%	20.51%	18.59%	15.84%	3.53%	19.39%	14.64%	5.04%	1.32%	2.29%	21.52%	25.29%	16.64%	5.41%	12.17%	18.20%	14.14%	8.85%	10.65%	12.09%	15.64%	8.74%	16.32%	10.87%	12.17%	21.35%	10.69%	9.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	120	3	5	6	3	2	4	0	5	2	5	1	2	0	4	3	1	1	1	0	0	2	0	0	3	2	2	3	3	1	0	0	1	0	4	0	3	2	3	2	0	0	0	0	0	0	0	3	1	1	2	1	1	0	2	0	1	7	8	2	0	1	0	5	0	0	0	0	0	6	0									
		0.34%	0.66%	0.30%	0.48%	0.22%	0.49%	0.35%	0.00%	1.04%	0.30%	1.02%	0.21%	0.22%	0.00%	0.42%	0.25%	0.29%	0.13%	0.13%	0.00%	0.00%	0.31%	0.00%	0.00%	1.51%	0.55%	0.25%	0.51%	0.89%	0.12%	0.00%	0.00%	0.56%	0.00%	1.14%	0.00%	0.55%	0.53%	0.34%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.53%	0.20%	0.36%	1.44%	1.32%	0.57%	0.00%	0.39%	0.00%	1.35%	1.52%	0.82%	0.34%	0.00%	0.19%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1827	24	102	86	163	14	46	15	35	30	25	14	68	12	37	27	13	21	23	20	11	51	28	22	3	15	37	32	15	13	16	31	16	20	8	4	13	9	50	18	8	24	12	30	30	76	98	5	20	9	1	11	22	17	26	22	3	17	45	18	1	11	26	24	4	15	8	6	25	20	6									
		5.14%	5.31%	6.10%	6.86%	12.11%	3.45%	4.05%	2.80%	7.28%	4.55%	5.09%	2.92%	7.53%	3.23%	3.92%	2.29%	3.79%	2.82%	3.08%	3.60%	11.83%	7.91%	5.11%	7.24%	1.51%	4.12%	4.71%	5.47%	4.44%	1.52%	1.86%	14.90%	8.89%	10.10%	2.28%	1.74%	2.40%	2.37%	5.69%	5.73%	2.82%	16.11%	3.83%	13.33%	5.86%	7.14%	11.85%	5.88%	4.08%	3.21%	0.72%	14.47%	12.57%	4.46%	5.06%	3.36%	4.05%	3.70%	4.60%	3.03%	0.44%	2.06%	14.29%	3.21%	3.88%	7.89%	3.48%	3.17%	5.29%	2.71%	4.96%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
