Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Новосибирская - 136																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №801	УИК №802	УИК №803	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	164	11	19	11	21	10	11	2	0	16	14	0	11	10	7	6	1	13	1									
		2.12%	1.97%	2.35%	1.68%	9.17%	4.95%	2.06%	0.45%	0.00%	3.07%	2.69%	0.00%	1.52%	1.91%	2.70%	1.44%	0.87%	1.54%	0.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	284	17	30	19	6	6	16	24	10	23	13	1	27	17	10	16	5	36	8									
		3.67%	3.05%	3.71%	2.91%	2.62%	2.97%	3.00%	5.35%	9.43%	4.41%	2.50%	1.45%	3.73%	3.24%	3.86%	3.83%	4.35%	4.28%	3.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	127	15	24	6	11	2	17	4	4	3	3	4	12	8	4	6	0	3	1									
		1.64%	2.69%	2.97%	0.92%	4.80%	0.99%	3.19%	0.89%	3.77%	0.57%	0.58%	5.80%	1.66%	1.53%	1.54%	1.44%	0.00%	0.36%	0.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3210	196	274	272	86	72	252	214	57	222	243	22	308	217	103	175	47	353	97									
		41.50%	35.19%	33.87%	41.65%	37.55%	35.64%	47.28%	47.66%	53.77%	42.53%	46.73%	31.88%	42.54%	41.41%	39.77%	41.87%	40.87%	41.92%	47.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	4	3	3	3	2	3	1	1	3	5	0	6	10	1	6	0	2	3									
		0.72%	0.72%	0.37%	0.46%	1.31%	0.99%	0.56%	0.22%	0.94%	0.57%	0.96%	0.00%	0.83%	1.91%	0.39%	1.44%	0.00%	0.24%	1.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	2	2	1	0	1	1	1	0	1	0	0	1	1	0	0	0	2	0									
		0.17%	0.36%	0.25%	0.15%	0.00%	0.50%	0.19%	0.22%	0.00%	0.19%	0.00%	0.00%	0.14%	0.19%	0.00%	0.00%	0.00%	0.24%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1927	152	217	166	22	53	137	95	19	149	116	21	184	127	63	84	42	218	62									
		24.91%	27.29%	26.82%	25.42%	9.61%	26.24%	25.70%	21.16%	17.92%	28.54%	22.31%	30.43%	25.41%	24.24%	24.32%	20.10%	36.52%	25.89%	30.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	63	8	4	4	12	1	7	1	0	3	6	0	4	4	0	3	1	5	0									
		0.81%	1.44%	0.49%	0.61%	5.24%	0.50%	1.31%	0.22%	0.00%	0.57%	1.15%	0.00%	0.55%	0.76%	0.00%	0.72%	0.87%	0.59%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	59	3	5	7	2	1	3	3	1	7	5	0	2	6	2	4	0	6	2									
		0.76%	0.54%	0.62%	1.07%	0.87%	0.50%	0.56%	0.67%	0.94%	1.34%	0.96%	0.00%	0.28%	1.15%	0.77%	0.96%	0.00%	0.71%	0.98%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	1	2	1	1	0	0	0	1	0	1	0	0	0	0	2	0									
		0.12%	0.00%	0.00%	0.15%	0.87%	0.50%	0.19%	0.00%	0.00%	0.00%	0.19%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	120	14	14	9	11	7	2	1	0	9	5	2	12	14	2	9	0	8	1									
		1.55%	2.51%	1.73%	1.38%	4.80%	3.47%	0.38%	0.22%	0.00%	1.72%	0.96%	2.90%	1.66%	2.67%	0.77%	2.15%	0.00%	0.95%	0.49%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1192	84	149	103	38	36	56	76	13	58	73	10	111	74	48	82	15	147	19									
		15.41%	15.08%	18.42%	15.77%	16.59%	17.82%	10.51%	16.93%	12.26%	11.11%	14.04%	14.49%	15.33%	14.12%	18.53%	19.62%	13.04%	17.46%	9.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	1	6	4	0	1	1	2	0	1	3	0	5	5	0	0	0	3	0									
		0.41%	0.18%	0.74%	0.61%	0.00%	0.50%	0.19%	0.45%	0.00%	0.19%	0.58%	0.00%	0.69%	0.95%	0.00%	0.00%	0.00%	0.36%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	237	22	32	35	12	4	17	6	1	7	19	2	11	14	6	16	3	26	4									
		3.06%	3.95%	3.96%	5.36%	5.24%	1.98%	3.19%	1.34%	0.94%	1.34%	3.65%	2.90%	1.52%	2.67%	2.32%	3.83%	2.61%	3.09%	1.96%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
