Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																																		
																																																																																																																																		
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																		
																																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																		
																																																																																																																																		
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №7101	УИК №7102	УИК №7103	УИК №7105	УИК №7106	УИК №7107	УИК №7108	УИК №7109	УИК №7111	УИК №7113	УИК №7116	УИК №7117	УИК №7118	УИК №7119	УИК №7126	УИК №7127	УИК №7128	УИК №7129	УИК №7130	УИК №7131	УИК №7132	УИК №7133	УИК №7134	УИК №7135	УИК №7136	УИК №7137	УИК №7138	УИК №7139	УИК №7141	УИК №7142	УИК №7143	УИК №7144	УИК №7145	УИК №7146	УИК №7147	УИК №7148	УИК №7149	УИК №7150	УИК №7151	УИК №7152	УИК №7153	УИК №7154	УИК №7155	УИК №7156	УИК №7157	УИК №7158									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2620	20	30	50	60	40	10	10	30	30	30	30	30	10	20	10	50	30	40	30	30	50	80	60	40	30	40	30	40	30	30	40	50	30	30	30	30	30	30	30	50	50	30	30	40	20	30	30	40	30	40	30	30	50	20	40	50	40	30	30	40	30	50	40	50	50	50	60	30	50	30	30	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	720	2	2	12	9	6	1	2	8	7	12	8	6	3	7	2	22	11	12	5	8	21	48	26	11	10	4	5	15	5	7	16	11	4	9	10	5	9	10	18	16	15	6	3	10	3	10	9	10	13	8	1	9	8	5	7	5	9	7	6	4	9	16	13	20	13	16	19	8	18	13	7	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	673	8	8	4	33	3	4	5	4	19	10	3	12	7	28	9	12	2	6	8	9	6	30	28	14	21	7	2	10	7	3	11	11	8	1	13	6	5	2	6	9	5	14	7	11	11	12	13	5	5	3	6	4	3	4	1	13	5	3	14	1	12	13	0	5	7	5	14	3	13	3	22	7	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	1900	18	28	38	51	34	9	8	22	23	18	22	24	7	13	8	28	19	28	25	22	29	32	34	29	20	36	25	25	25	23	24	39	26	21	20	25	21	20	12	34	35	24	27	30	17	20	21	30	17	32	29	21	42	15	33	45	31	23	24	36	21	34	27	30	37	34	41	22	32	17	23	30	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	227	0	1	4	1	1	2	1	0	4	2	1	2	0	1	0	0	0	2	4	2	5	70	13	2	1	0	0	5	3	2	1	2	0	2	2	0	2	2	7	3	3	2	2	2	0	0	1	2	5	2	2	4	1	0	6	4	0	0	2	0	0	1	0	8	1	6	6	1	6	3	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	921	1	8	17	18	8	0	6	22	18	18	16	6	1	2	6	16	6	16	7	20	10	16	42	14	9	6	4	17	10	9	21	13	10	13	11	12	21	17	14	22	11	4	10	8	12	22	10	13	11	10	9	11	19	9	8	14	14	8	12	8	9	18	12	21	12	22	20	11	11	6	6	8	13	0	0	0	0	0	0	5	11	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0									
		2.05%	0.50%	1.76%	1.10%	1.15%	1.34%	0.00%	2.99%	3.25%	2.59%	2.55%	2.18%	1.24%	0.36%	1.06%	3.55%	2.44%	1.13%	3.13%	1.76%	5.59%	1.45%	1.48%	4.38%	2.65%	1.98%	1.51%	0.81%	3.09%	1.92%	1.60%	3.39%	2.35%	2.29%	2.80%	2.12%	3.21%	3.52%	2.96%	2.34%	2.83%	1.69%	1.15%	2.27%	1.92%	1.93%	4.04%	2.07%	1.50%	2.66%	2.38%	1.55%	1.67%	2.65%	2.46%	1.35%	2.23%	3.27%	2.04%	2.41%	1.34%	1.38%	2.76%	1.55%	2.75%	1.39%	2.42%	2.25%	1.68%	1.06%	1.02%	1.18%	1.49%	2.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	7.69%	0.00%	0.00%	4.35%	0.00%	4.55%	3.85%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	5.56%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1535	7	25	36	38	16	3	9	21	26	125	25	27	13	5	4	33	25	12	10	10	28	29	24	22	18	9	10	16	22	12	18	18	9	10	18	10	21	25	16	13	20	15	17	18	17	13	18	30	15	20	17	24	32	7	18	14	16	15	15	28	21	17	24	26	20	43	40	18	29	14	1	23	18	0	0	0	0	0	0	20	5	1	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	1	2	2	0	0	0	1	2	0	2	1	0	3	1	2	0	1	0									
		3.41%	3.50%	5.51%	2.34%	2.43%	2.68%	3.03%	4.48%	3.10%	3.74%	17.71%	3.41%	5.58%	4.71%	2.66%	2.37%	5.04%	4.73%	2.34%	2.52%	2.79%	4.05%	2.69%	2.50%	4.16%	3.96%	2.27%	2.02%	2.90%	4.22%	2.14%	2.91%	3.25%	2.06%	2.16%	3.46%	2.67%	3.52%	4.35%	2.68%	1.67%	3.07%	4.30%	3.85%	4.32%	2.73%	2.39%	3.73%	3.46%	3.63%	4.76%	2.93%	3.64%	4.47%	1.91%	3.04%	2.23%	3.74%	3.83%	3.01%	4.71%	3.22%	2.60%	3.11%	3.41%	2.31%	4.73%	4.51%	2.75%	2.80%	2.37%	0.20%	4.28%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.01%	3.50%	4.17%	8.00%	4.35%	0.00%	4.55%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	4.55%	0.00%	5.00%	2.50%	3.45%	6.90%	6.90%	0.00%	0.00%	0.00%	5.00%	9.09%	0.00%	9.09%	4.55%	0.00%	13.64%	4.55%	11.11%	0.00%	3.33%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1615	9	16	46	37	23	7	8	28	24	36	20	17	11	3	1	27	27	15	16	14	31	37	34	25	24	17	0	21	21	17	37	18	22	22	31	25	38	28	29	15	25	7	19	25	21	27	18	28	17	14	28	16	35	11	9	32	19	12	20	3	19	30	24	37	30	38	50	23	14	9	12	12	16	0	0	0	0	0	0	5	3	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	2	1	2	2	4	7									
		3.59%	4.50%	3.52%	2.99%	2.36%	3.86%	7.07%	3.98%	4.14%	3.45%	5.10%	2.73%	3.51%	3.99%	1.60%	0.59%	4.12%	5.10%	2.93%	4.03%	3.91%	4.48%	3.43%	3.55%	4.73%	5.27%	4.28%	0.00%	3.81%	4.03%	3.03%	5.98%	3.25%	5.05%	4.74%	5.96%	6.68%	6.38%	4.87%	4.85%	1.93%	3.83%	2.01%	4.31%	5.99%	3.37%	4.95%	3.73%	3.23%	4.12%	3.33%	4.83%	2.43%	4.89%	3.01%	1.52%	5.10%	4.44%	3.06%	4.02%	0.50%	2.91%	4.59%	3.11%	4.85%	3.46%	4.18%	5.64%	3.51%	1.35%	1.53%	2.35%	2.23%	3.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	2.10%	4.17%	0.00%	13.04%	4.55%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	21.05%	0.00%	4.55%	0.00%	0.00%	4.55%	0.00%	9.09%	4.55%	11.11%	8.70%	13.33%	43.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18566	119	213	803	952	365	50	79	205	220	244	311	132	71	65	94	198	177	162	134	122	197	513	302	151	145	113	209	165	190	280	181	161	131	123	144	91	168	178	189	376	235	175	135	164	322	184	126	411	111	145	232	356	248	184	299	205	141	164	154	303	293	212	343	240	394	326	266	323	479	282	275	241	211	29	24	20	26	28	27	256	82	15	16	10	15	12	14	85	80	85	75	80	80	85	80	26	78	20	18	17	65	26	25	26	22	19	6	11	16	0	9	11	10	1	7	4	12	8	3									
		41.27%	59.50%	46.92%	52.11%	60.79%	61.24%	50.51%	39.30%	30.28%	31.65%	34.56%	42.43%	27.27%	25.72%	34.57%	55.62%	30.23%	33.46%	31.64%	33.75%	34.08%	28.47%	47.54%	31.49%	28.54%	31.87%	28.46%	42.31%	29.95%	36.47%	49.91%	29.24%	29.11%	30.05%	26.51%	27.69%	24.33%	28.19%	30.96%	31.61%	48.33%	36.04%	50.14%	30.61%	39.33%	51.69%	33.76%	26.14%	47.46%	26.88%	34.52%	40.00%	54.02%	34.64%	50.27%	50.42%	32.70%	32.94%	41.84%	30.92%	50.92%	44.94%	32.47%	44.43%	31.45%	45.50%	35.86%	29.99%	49.31%	46.28%	47.80%	53.92%	44.80%	43.33%	100.00%	88.89%	90.91%	86.67%	100.00%	100.00%	64.16%	57.34%	62.50%	64.00%	43.48%	68.18%	54.55%	53.85%	91.40%	90.91%	93.41%	89.29%	89.89%	88.89%	91.40%	91.95%	89.66%	92.86%	90.91%	90.00%	85.00%	81.25%	89.66%	86.21%	89.66%	100.00%	100.00%	31.58%	55.00%	72.73%	0.00%	40.91%	50.00%	55.56%	4.55%	31.82%	22.22%	52.17%	26.67%	18.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	477	1	3	11	14	1	0	0	13	7	7	4	2	2	4	0	2	6	5	6	3	3	8	16	2	8	8	3	9	2	5	9	7	5	7	8	13	7	6	12	2	9	5	11	2	9	7	12	6	4	5	6	6	8	2	9	11	5	3	8	8	9	5	6	14	7	9	13	5	11	9	12	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0									
		1.06%	0.50%	0.66%	0.71%	0.89%	0.17%	0.00%	0.00%	1.92%	1.01%	0.99%	0.55%	0.41%	0.72%	2.13%	0.00%	0.31%	1.13%	0.98%	1.51%	0.84%	0.43%	0.74%	1.67%	0.38%	1.76%	2.02%	0.61%	1.63%	0.38%	0.89%	1.45%	1.27%	1.15%	1.51%	1.54%	3.48%	1.17%	1.04%	2.01%	0.26%	1.38%	1.43%	2.49%	0.48%	1.44%	1.28%	2.49%	0.69%	0.97%	1.19%	1.03%	0.91%	1.12%	0.55%	1.52%	1.75%	1.17%	0.77%	1.61%	1.34%	1.38%	0.77%	0.78%	1.83%	0.81%	0.99%	1.47%	0.76%	1.06%	1.53%	2.35%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	1.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	4.55%	0.00%	4.35%	3.33%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	78	0	0	3	0	0	0	0	0	1	4	2	0	1	0	1	2	0	0	1	0	0	2	0	1	2	0	0	1	1	1	2	1	0	2	1	0	1	1	3	1	0	0	5	0	1	0	1	0	1	0	2	4	0	1	0	2	0	1	0	1	0	1	0	1	1	3	3	1	4	1	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0									
		0.17%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.57%	0.27%	0.00%	0.36%	0.00%	0.59%	0.31%	0.00%	0.00%	0.25%	0.00%	0.00%	0.19%	0.00%	0.19%	0.44%	0.00%	0.00%	0.18%	0.19%	0.18%	0.32%	0.18%	0.00%	0.43%	0.19%	0.00%	0.17%	0.17%	0.50%	0.13%	0.00%	0.00%	1.13%	0.00%	0.16%	0.00%	0.21%	0.00%	0.24%	0.00%	0.34%	0.61%	0.00%	0.27%	0.00%	0.32%	0.00%	0.26%	0.00%	0.17%	0.00%	0.15%	0.00%	0.13%	0.12%	0.33%	0.34%	0.15%	0.39%	0.17%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9057	34	85	375	238	97	19	37	140	155	155	122	134	74	58	35	148	128	148	95	89	180	250	203	144	85	108	112	151	95	95	133	127	94	108	114	94	128	106	127	161	136	41	99	111	87	133	119	124	97	106	106	93	154	58	98	152	110	101	127	95	106	117	138	169	135	158	190	110	152	102	91	110	120	0	3	0	0	0	0	83	29	6	5	8	4	1	3	2	2	2	2	5	4	2	5	0	3	1	1	1	4	0	0	1	0	0	5	1	2	0	6	5	4	7	9	7	1	6	1									
		20.13%	17.00%	18.72%	24.33%	15.20%	16.28%	19.19%	18.41%	20.68%	22.30%	21.95%	16.64%	27.69%	26.81%	30.85%	20.71%	22.60%	24.20%	28.91%	23.93%	24.86%	26.01%	23.17%	21.17%	27.22%	18.68%	27.20%	22.67%	27.40%	18.23%	16.93%	21.49%	22.97%	21.56%	23.28%	21.92%	25.13%	21.48%	18.43%	21.24%	20.69%	20.86%	11.75%	22.45%	26.62%	13.96%	24.40%	24.69%	14.32%	23.49%	25.24%	18.28%	14.11%	21.51%	15.85%	16.53%	24.24%	25.70%	25.77%	25.50%	15.97%	16.26%	17.92%	17.88%	22.15%	15.59%	17.38%	21.42%	16.79%	14.69%	17.29%	17.84%	20.45%	24.64%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	20.80%	20.28%	25.00%	20.00%	34.78%	18.18%	4.55%	11.54%	2.15%	2.27%	2.20%	2.38%	5.62%	4.44%	2.15%	5.75%	0.00%	3.57%	4.55%	5.00%	5.00%	5.00%	0.00%	0.00%	3.45%	0.00%	0.00%	26.32%	5.00%	9.09%	0.00%	27.27%	22.73%	22.22%	31.82%	40.91%	38.89%	4.35%	20.00%	6.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	384	0	0	5	7	1	0	0	8	6	8	6	4	4	2	0	9	5	2	11	3	8	6	18	6	5	5	2	4	4	0	6	11	3	4	8	2	4	7	7	6	11	4	5	3	12	3	6	11	5	7	4	6	1	3	7	6	2	8	5	3	4	13	6	5	13	8	5	3	9	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
