Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Муром округ																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1078					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2205	25	190	0	25	260	25	30	30	45	25	25	25	25	25	25	25	25	25	25	25	40	25	40	25	25	25	25	25	25	30	25	30	25	30	25	30	30	30	30	30	35	30	45	0	45	30	25	30	25	25	0	80	30	0	40	25	25	25	25	25	0	25	25	25	40	0	25	25	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1399	8	113	0	16	162	18	13	20	32	12	22	22	16	15	16	16	19	22	19	12	31	12	31	15	16	13	15	13	9	25	9	13	5	27	15	18	14	20	19	26	31	19	36	0	30	17	4	17	18	16	0	73	5	0	30	21	18	23	12	17	0	12	18	13	28	0	16	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	793	12	28	3	9	16	7	4	6	7	16	6	8	8	6	4	9	7	4	2	14	16	11	8	17	10	3	7	6	11	9	64	3	1	7	8	8	13	11	14	11	8	6	7	177	17	7	9	10	12	5	0	27	5	0	4	8	3	16	3	6	0	1	6	13	6	0	10	8	5	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	806	17	77	0	9	98	7	17	10	13	13	3	3	9	10	9	9	6	3	6	13	9	13	9	10	9	12	10	12	16	5	16	17	20	3	10	12	16	10	11	4	4	11	9	0	15	13	21	13	7	9	0	7	25	0	10	4	7	2	13	8	0	13	7	12	12	0	9	19	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	160	2	2	0	0	46	4	1	7	0	1	1	1	2	7	2	0	3	2	1	2	1	4	1	1	1	2	2	3	2	2	0	2	0	0	0	2	0	0	5	3	1	0	2	0	2	4	0	2	3	6	0	2	0	0	0	3	3	6	0	1	0	3	1	2	0	0	4	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12576	115	205	7	176	282	230	207	290	196	146	235	197	268	132	196	227	149	247	175	192	315	230	198	212	183	139	150	218	211	177	168	163	82	84	184	210	171	211	203	217	247	170	286	0	276	186	72	81	234	158	9	250	60	12	221	265	304	300	230	253	81	117	259	168	138	70	201	124	126	46	34					
		21.99%	22.77%	20.42%	10.00%	20.58%	30.13%	28.64%	25.91%	31.02%	26.20%	25.09%	25.35%	25.92%	31.35%	29.93%	30.96%	29.56%	27.34%	27.88%	24.89%	25.57%	35.63%	30.14%	29.69%	29.49%	24.11%	24.01%	19.35%	26.46%	26.74%	21.61%	22.55%	20.82%	22.28%	18.75%	23.59%	21.88%	24.89%	25.48%	29.38%	26.99%	26.50%	24.32%	25.74%	0.00%	23.06%	26.35%	17.65%	17.57%	25.00%	15.52%	1.94%	17.67%	25.75%	2.57%	33.95%	26.71%	28.31%	28.41%	26.38%	25.45%	8.32%	28.40%	28.37%	31.05%	21.10%	5.48%	23.13%	22.30%	4.31%	2.35%	3.16%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6756	79	177	4	132	106	83	106	106	91	82	139	119	83	67	81	100	84	119	102	104	109	97	91	87	118	99	102	129	120	121	104	111	45	62	138	116	88	99	88	116	106	95	136	1	183	111	67	84	143	103	6	321	34	13	72	123	153	133	126	140	5	42	123	71	96	0	118	103	16	21	7					
		11.81%	15.64%	17.63%	5.71%	15.44%	11.32%	10.34%	13.27%	11.34%	12.17%	14.09%	14.99%	15.66%	9.71%	15.19%	12.80%	13.02%	15.41%	13.43%	14.51%	13.85%	12.33%	12.71%	13.64%	12.10%	15.55%	17.10%	13.16%	15.66%	15.21%	14.77%	13.96%	14.18%	12.23%	13.84%	17.69%	12.08%	12.81%	11.96%	12.74%	14.43%	11.37%	13.59%	12.24%	0.56%	15.29%	15.72%	16.42%	18.22%	15.28%	10.12%	1.29%	22.69%	14.59%	2.78%	11.06%	12.40%	14.25%	12.59%	14.45%	14.08%	0.51%	10.19%	13.47%	13.12%	14.68%	0.00%	13.58%	18.53%	0.55%	1.07%	0.65%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	575	12	9	0	12	17	14	7	10	12	5	11	12	5	6	5	10	3	3	10	12	9	7	8	4	12	6	3	4	14	9	8	6	5	5	10	11	7	9	6	3	16	9	16	0	14	8	3	7	10	16	0	21	4	1	11	8	11	9	12	17	1	9	19	5	6	0	15	5	0	1	0					
		1.01%	2.38%	0.90%	0.00%	1.40%	1.82%	1.74%	0.88%	1.07%	1.60%	0.86%	1.19%	1.58%	0.58%	1.36%	0.79%	1.30%	0.55%	0.34%	1.42%	1.60%	1.02%	0.92%	1.20%	0.56%	1.58%	1.04%	0.39%	0.49%	1.77%	1.10%	1.07%	0.77%	1.36%	1.12%	1.28%	1.15%	1.02%	1.09%	0.87%	0.37%	1.72%	1.29%	1.44%	0.00%	1.17%	1.13%	0.74%	1.52%	1.07%	1.57%	0.00%	1.48%	1.72%	0.21%	1.69%	0.81%	1.02%	0.85%	1.38%	1.71%	0.10%	2.18%	2.08%	0.92%	0.92%	0.00%	1.73%	0.90%	0.00%	0.05%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10833	100	191	4	205	210	190	203	195	176	119	223	176	200	101	131	192	123	215	141	161	188	174	155	182	184	100	149	192	183	200	157	116	117	95	194	191	169	202	157	213	238	179	246	1	306	172	82	99	211	144	5	214	40	9	158	198	258	248	202	261	27	95	224	115	142	0	215	137	12	18	3					
		18.94%	19.80%	19.02%	5.71%	23.98%	22.44%	23.66%	25.41%	20.86%	23.53%	20.45%	24.06%	23.16%	23.39%	22.90%	20.70%	25.00%	22.57%	24.27%	20.06%	21.44%	21.27%	22.80%	23.24%	25.31%	24.24%	17.27%	19.23%	23.30%	23.19%	24.42%	21.07%	14.81%	31.79%	21.21%	24.87%	19.90%	24.60%	24.40%	22.72%	26.49%	25.54%	25.61%	22.14%	0.56%	25.56%	24.36%	20.10%	21.48%	22.54%	14.15%	1.08%	15.12%	17.17%	1.93%	24.27%	19.96%	24.02%	23.48%	23.17%	26.26%	2.77%	23.06%	24.53%	21.26%	21.71%	0.00%	24.74%	24.64%	0.41%	0.92%	0.28%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1678	15	26	0	24	33	27	32	16	26	20	60	26	44	14	28	32	18	39	35	33	37	36	28	39	30	20	28	26	30	32	15	17	15	13	33	44	24	27	22	38	28	17	30	0	45	21	12	13	44	27	2	33	5	3	15	30	33	28	23	25	0	11	32	18	24	0	35	16	1	5	0					
		2.93%	2.97%	2.59%	0.00%	2.81%	3.53%	3.36%	4.01%	1.71%	3.48%	3.44%	6.47%	3.42%	5.15%	3.17%	4.42%	4.17%	3.30%	4.40%	4.98%	4.39%	4.19%	4.72%	4.20%	5.42%	3.95%	3.45%	3.61%	3.16%	3.80%	3.91%	2.01%	2.17%	4.08%	2.90%	4.23%	4.58%	3.49%	3.26%	3.18%	4.73%	3.00%	2.43%	2.70%	0.00%	3.76%	2.97%	2.94%	2.82%	4.70%	2.65%	0.43%	2.33%	2.15%	0.64%	2.30%	3.02%	3.07%	2.65%	2.64%	2.52%	0.00%	2.67%	3.50%	3.33%	3.67%	0.00%	4.03%	2.88%	0.03%	0.25%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23752	178	373	54	290	272	244	225	307	235	197	250	219	245	112	175	188	157	244	221	225	207	197	168	179	219	202	326	244	206	273	277	352	101	183	209	376	217	256	206	202	272	220	372	175	350	189	153	165	274	558	436	548	85	429	160	344	298	312	255	270	853	128	238	152	238	1206	265	159	2759	1851	1027					
		41.53%	35.25%	37.15%	77.14%	33.92%	29.06%	30.39%	28.16%	32.83%	31.42%	33.85%	26.97%	28.82%	28.65%	25.40%	27.65%	24.48%	28.81%	27.54%	31.44%	29.96%	23.42%	25.82%	25.19%	24.90%	28.85%	34.89%	42.06%	29.61%	26.11%	33.33%	37.18%	44.96%	27.45%	40.85%	26.79%	39.17%	31.59%	30.92%	29.81%	25.12%	29.18%	31.47%	33.48%	98.87%	29.24%	26.77%	37.50%	35.79%	29.27%	54.81%	93.97%	38.73%	36.48%	91.86%	24.58%	34.68%	27.75%	29.55%	29.24%	27.16%	87.58%	31.07%	26.07%	28.10%	36.39%	94.44%	30.49%	28.60%	94.32%	94.39%	95.45%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	232	0	6	1	5	6	2	3	4	3	5	3	4	2	2	5	2	3	5	2	5	2	6	5	4	3	4	4	3	11	1	6	4	0	0	3	3	3	5	1	2	6	2	1	0	7	4	5	2	7	3	0	7	3	0	0	4	3	6	3	5	0	2	7	1	6	0	5	1	1	0	3					
		0.41%	0.00%	0.60%	1.43%	0.58%	0.64%	0.25%	0.38%	0.43%	0.40%	0.86%	0.32%	0.53%	0.23%	0.45%	0.79%	0.26%	0.55%	0.56%	0.28%	0.67%	0.23%	0.79%	0.75%	0.56%	0.40%	0.69%	0.52%	0.36%	1.39%	0.12%	0.81%	0.51%	0.00%	0.00%	0.38%	0.31%	0.44%	0.60%	0.14%	0.25%	0.64%	0.29%	0.09%	0.00%	0.58%	0.57%	1.23%	0.43%	0.75%	0.29%	0.00%	0.49%	1.29%	0.00%	0.00%	0.40%	0.28%	0.57%	0.34%	0.50%	0.00%	0.49%	0.77%	0.18%	0.92%	0.00%	0.58%	0.18%	0.03%	0.00%	0.28%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
