Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Миасская городская																																																																																											
																																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																											
																																																																																											
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №2193					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	748	4	3	4	1	10	18	20	14	9	11	9	17	10	19	23	8	18	12	11	11	22	11	17	12	11	6	7	9	12	13	4	14	16	11	5	12	6	6	7	5	11	7	10	8	7	8	10	7	10	10	7	18	7	10	7	4	6	14	10	4	10	4	8	4	9	3	4	5	12	5	6	6	6	4	6	9	3	9	4	4	2	1	3	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	522	4	1	1	1	5	11	17	11	6	10	7	15	10	13	18	4	11	12	9	11	20	9	16	12	4	2	4	1	12	7	2	14	14	5	3	7	1	6	7	4	10	7	8	4	6	8	8	5	6	7	2	13	7	6	3	0	1	10	9	1	6	1	8	0	9	0	4	4	9	0	0	6	2	0	4	6	3	7	0	0	1	0	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	562	8	4	2	0	33	6	3	2	14	12	5	11	3	9	4	3	6	3	5	5	7	10	5	7	22	4	3	3	10	2	8	5	7	3	12	44	5	2	80	9	0	5	4	4	5	6	3	9	5	2	8	4	16	7	4	8	7	7	3	6	2	1	4	3	1	3	7	3	0	5	2	2	2	4	4	1	1	4	3	1	4	0	3	3					
14	Число погашенных открепительных удостоверений	226	0	2	3	0	5	7	3	3	3	1	2	2	0	6	5	4	7	0	2	0	2	2	1	0	7	4	3	8	0	6	2	0	2	6	2	5	5	0	0	1	1	0	2	4	1	0	2	2	4	3	5	5	0	4	4	4	5	4	1	3	4	3	0	4	0	3	0	1	3	5	6	0	4	4	2	3	0	2	4	4	1	1	0	7					
15	Число открепительных удостоверений выданных ТИК	63	2	2	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	3	0	2	0	0	1	1	1	1	1	1	0	1	0	1	2	0	1	1	0	2	0	0	1	1	0	0	0	0	1	1	0	2	2	2	0	3	1	2	0	4	5	1	0	1	0	0	0	0	0	1	1	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																											
18	"1. ""ЕДИНЕНИЕ"""	495	2	2	3	0	7	3	8	6	2	4	5	6	1	4	2	6	6	8	7	5	8	2	9	17	8	7	6	6	6	8	4	7	15	3	7	8	6	7	5	3	7	1	4	5	5	5	15	4	4	3	5	9	10	6	4	7	12	10	9	10	11	4	3	6	5	4	3	3	6	5	9	7	5	5	6	4	7	7	7	5	4	0	13	2					
		0.73%	0.52%	0.76%	1.07%	0.0%	0.91%	0.34%	0.62%	0.51%	0.18%	0.44%	0.50%	0.51%	0.12%	0.40%	0.20%	0.66%	0.54%	0.62%	0.51%	0.37%	0.54%	0.15%	0.60%	1.47%	0.73%	0.94%	0.77%	0.69%	0.52%	0.69%	0.74%	0.65%	1.66%	0.41%	1.19%	0.64%	0.76%	1.26%	0.62%	0.45%	0.61%	0.12%	0.51%	0.65%	0.61%	0.51%	1.09%	0.42%	0.35%	0.25%	0.59%	1.00%	1.18%	0.55%	0.64%	2.05%	1.66%	0.90%	0.76%	2.40%	0.90%	1.01%	0.36%	1.30%	0.66%	1.44%	1.27%	0.54%	0.87%	0.95%	1.79%	1.29%	0.98%	1.22%	0.94%	1.01%	2.48%	1.41%	1.41%	1.63%	2.10%	0.0%	2.04%	0.26%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4098	7	4	10	2	33	99	85	138	78	81	74	95	66	95	66	61	100	134	129	128	119	147	139	89	108	50	47	42	61	57	34	60	32	47	41	76	79	37	32	44	48	51	39	31	45	71	70	54	53	66	39	54	44	37	31	8	41	54	58	22	34	21	27	25	19	9	2	18	17	16	14	18	16	16	10	6	9	9	12	5	0	0	26	27					
		6.11%	1.84%	1.53%	3.59%	4.54%	4.32%	11.24%	6.64%	11.78%	7.37%	9.04%	7.46%	8.16%	7.97%	9.59%	6.79%	6.78%	9.12%	10.44%	9.45%	9.60%	8.09%	11.70%	9.29%	7.69%	9.96%	6.73%	6.08%	4.83%	5.33%	4.97%	6.29%	5.58%	3.55%	6.46%	7.02%	6.08%	10.02%	6.66%	4.02%	6.64%	4.22%	6.15%	4.98%	4.04%	5.54%	7.28%	5.11%	5.77%	4.64%	5.66%	4.67%	6.04%	5.20%	3.40%	4.99%	2.34%	5.70%	4.87%	4.89%	5.30%	2.80%	5.34%	3.32%	5.43%	2.52%	3.24%	0.85%	3.24%	2.47%	3.07%	2.79%	3.33%	3.16%	3.92%	1.57%	1.51%	3.19%	1.82%	2.42%	1.63%	0.0%	0.0%	4.09%	3.63%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3395	20	12	20	0	37	30	93	58	61	54	48	70	35	56	67	73	47	72	63	50	77	36	75	54	54	52	59	39	60	68	26	53	31	29	36	41	33	17	45	23	84	43	42	55	52	62	40	30	59	34	25	41	32	81	31	18	24	70	88	18	52	14	52	29	42	11	10	51	29	29	18	36	18	16	30	19	18	0	37	9	12	0	24	36					
		5.06%	5.26%	4.59%	7.19%	0.0%	4.84%	3.40%	7.26%	4.95%	5.76%	6.02%	4.84%	6.01%	4.22%	5.65%	6.90%	8.12%	4.28%	5.61%	4.61%	3.75%	5.23%	2.86%	5.01%	4.67%	4.98%	7.00%	7.63%	4.49%	5.24%	5.93%	4.81%	4.93%	3.44%	3.98%	6.16%	3.28%	4.18%	3.06%	5.66%	3.47%	7.38%	5.18%	5.37%	7.17%	6.41%	6.36%	2.92%	3.20%	5.16%	2.91%	2.99%	4.59%	3.78%	7.45%	4.99%	5.27%	3.33%	6.31%	7.43%	4.33%	4.28%	3.56%	6.39%	6.30%	5.57%	3.97%	4.25%	9.18%	4.22%	5.56%	3.59%	6.67%	3.55%	3.92%	4.73%	4.79%	6.38%	0.0%	7.47%	2.95%	6.31%	0.0%	3.77%	4.84%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	5672	21	7	16	2	46	117	133	104	86	78	114	130	105	102	92	98	93	141	150	151	166	137	152	74	84	67	53	71	102	105	53	73	62	59	62	111	72	58	76	60	79	60	53	55	48	83	144	96	90	84	82	67	83	94	59	27	44	92	82	43	106	38	45	24	41	23	18	30	60	26	36	27	27	18	30	9	19	18	14	18	7	1	38	51					
		8.46%	5.52%	2.68%	5.75%	4.54%	6.02%	13.29%	10.39%	8.88%	8.12%	8.70%	11.50%	11.16%	12.68%	10.30%	9.47%	10.90%	8.48%	10.98%	10.98%	11.33%	11.29%	10.90%	10.16%	6.40%	7.74%	9.02%	6.85%	8.17%	8.92%	9.16%	9.81%	6.79%	6.88%	8.11%	10.61%	8.88%	9.13%	10.45%	9.55%	9.06%	6.94%	7.23%	6.77%	7.17%	5.91%	8.52%	10.51%	10.26%	7.88%	7.21%	9.83%	7.50%	9.81%	8.65%	9.50%	7.91%	6.11%	8.30%	6.92%	10.36%	8.73%	9.66%	5.53%	5.21%	5.44%	8.30%	7.65%	5.40%	8.74%	4.99%	7.18%	5.00%	5.33%	4.41%	4.73%	2.27%	6.73%	3.64%	2.82%	5.90%	3.68%	1.72%	5.98%	6.86%					
22	"5. ""За Русь Святую"""	343	5	0	3	0	7	1	6	7	2	2	5	4	2	4	2	9	3	2	7	8	1	3	9	2	6	6	4	5	6	3	2	3	7	2	0	2	1	2	2	2	4	61	10	4	2	5	5	1	3	4	3	4	1	5	1	0	1	3	9	0	4	2	3	3	4	1	2	3	5	4	2	4	2	1	4	2	1	5	3	0	0	5	7	3					
		0.51%	1.31%	0.0%	1.07%	0.0%	0.91%	0.11%	0.46%	0.59%	0.18%	0.22%	0.50%	0.34%	0.24%	0.40%	0.20%	1.00%	0.27%	0.15%	0.51%	0.60%	0.06%	0.23%	0.60%	0.17%	0.55%	0.80%	0.51%	0.57%	0.52%	0.26%	0.37%	0.27%	0.77%	0.27%	0.0%	0.16%	0.12%	0.36%	0.25%	0.30%	0.35%	7.35%	1.27%	0.52%	0.24%	0.51%	0.36%	0.10%	0.26%	0.34%	0.35%	0.44%	0.11%	0.46%	0.16%	0.0%	0.13%	0.27%	0.76%	0.0%	0.32%	0.50%	0.36%	0.65%	0.53%	0.36%	0.85%	0.54%	0.72%	0.76%	0.39%	0.74%	0.39%	0.24%	0.63%	0.50%	0.35%	1.01%	0.60%	0.0%	0.0%	8.62%	1.10%	0.40%					
23	"6. ""Объединенная Российская партия ""Русь"""	138	1	2	3	1	0	1	2	2	3	0	0	2	1	1	1	1	2	5	0	2	2	1	3	5	0	3	6	1	0	5	0	1	3	1	2	2	2	1	3	0	2	0	1	2	1	3	5	1	2	1	1	0	1	0	5	2	1	2	0	0	2	1	0	1	3	2	1	3	2	0	2	3	3	0	3	2	3	0	0	1	2	1	1	1					
		0.20%	0.26%	0.76%	1.07%	2.27%	0.0%	0.11%	0.15%	0.17%	0.28%	0.0%	0.0%	0.17%	0.12%	0.10%	0.10%	0.11%	0.18%	0.38%	0.0%	0.15%	0.13%	0.07%	0.20%	0.43%	0.0%	0.40%	0.77%	0.11%	0.0%	0.43%	0.0%	0.09%	0.33%	0.13%	0.34%	0.16%	0.25%	0.18%	0.37%	0.0%	0.17%	0.0%	0.12%	0.26%	0.12%	0.30%	0.36%	0.10%	0.17%	0.08%	0.11%	0.0%	0.11%	0.0%	0.80%	0.58%	0.13%	0.18%	0.0%	0.0%	0.16%	0.25%	0.0%	0.21%	0.39%	0.72%	0.42%	0.54%	0.29%	0.0%	0.39%	0.55%	0.59%	0.0%	0.47%	0.50%	1.06%	0.0%	0.0%	0.32%	1.05%	1.72%	0.15%	0.13%					
24	"7. ""Новый курс - Автомобильная Россия"""	543	1	5	3	0	3	10	9	10	14	6	9	12	11	8	8	9	4	10	8	20	21	18	12	9	6	5	3	9	7	4	5	11	9	7	1	12	5	4	6	5	6	6	5	3	2	3	19	9	12	8	7	5	4	8	2	4	10	4	9	3	8	2	2	2	2	1	0	8	4	5	5	7	6	4	11	3	1	2	2	1	3	0	11	5					
		0.81%	0.26%	1.91%	1.07%	0.0%	0.39%	1.13%	0.70%	0.85%	1.32%	0.66%	0.90%	1.03%	1.32%	0.80%	0.82%	1.00%	0.36%	0.77%	0.58%	1.50%	1.42%	1.43%	0.80%	0.77%	0.55%	0.67%	0.38%	1.03%	0.61%	0.34%	0.92%	1.02%	1.0%	0.96%	0.17%	0.96%	0.63%	0.72%	0.75%	0.75%	0.52%	0.72%	0.63%	0.39%	0.24%	0.30%	1.38%	0.96%	1.05%	0.68%	0.83%	0.55%	0.47%	0.73%	0.32%	1.17%	1.39%	0.36%	0.76%	0.72%	0.65%	0.50%	0.24%	0.43%	0.26%	0.36%	0.0%	1.44%	0.58%	0.95%	0.99%	1.29%	1.18%	0.98%	1.73%	0.75%	0.35%	0.40%	0.40%	0.32%	1.57%	0.0%	1.73%	0.67%					
25	"8. ""Народно-республиканская партия России"""	39	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	2	1	2	1	1	0	0	0	0	1	1	1	2	0	0	0	0					
		0.05%	0.0%	0.0%	0.0%	2.27%	0.13%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.10%	0.0%	0.09%	0.0%	0.07%	0.07%	0.0%	0.0%	0.0%	0.08%	0.09%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.08%	0.0%	0.0%	0.12%	0.0%	0.08%	0.12%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.08%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.18%	0.0%	0.0%	0.08%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.14%	0.38%	0.19%	0.18%	0.0%	0.0%	0.0%	0.0%	0.35%	0.20%	0.20%	0.65%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	361	0	0	1	0	1	4	4	10	18	5	7	10	10	7	6	5	9	5	2	13	12	6	6	0	3	2	11	1	8	2	2	4	5	2	9	7	5	5	3	7	8	4	2	2	2	6	8	6	5	11	3	5	3	4	3	1	6	8	6	4	5	3	9	3	2	1	0	1	2	3	1	0	3	0	1	2	0	0	2	0	1	0	6	2					
		0.53%	0.0%	0.0%	0.35%	0.0%	0.13%	0.45%	0.31%	0.85%	1.70%	0.55%	0.70%	0.85%	1.20%	0.70%	0.61%	0.55%	0.82%	0.38%	0.14%	0.97%	0.81%	0.47%	0.40%	0.0%	0.27%	0.26%	1.42%	0.11%	0.69%	0.17%	0.37%	0.37%	0.55%	0.27%	1.54%	0.56%	0.63%	0.90%	0.37%	1.05%	0.70%	0.48%	0.25%	0.26%	0.24%	0.61%	0.58%	0.64%	0.43%	0.94%	0.35%	0.55%	0.35%	0.36%	0.48%	0.29%	0.83%	0.72%	0.50%	0.96%	0.41%	0.76%	1.10%	0.65%	0.26%	0.36%	0.0%	0.18%	0.29%	0.57%	0.19%	0.0%	0.59%	0.0%	0.15%	0.50%	0.0%	0.0%	0.40%	0.0%	0.52%	0.0%	0.94%	0.26%					
27	"10. ""Аграрная партия России"""	1281	7	4	5	1	19	14	17	20	22	14	18	19	17	16	10	21	17	24	21	22	20	23	21	25	17	15	17	21	25	30	11	20	21	11	12	21	10	8	16	20	17	14	17	17	32	10	19	8	19	23	19	21	16	15	7	7	12	14	25	4	28	10	18	16	15	2	3	5	11	11	5	4	5	6	16	13	6	6	52	20	14	0	14	13					
		1.91%	1.84%	1.53%	1.79%	2.27%	2.49%	1.59%	1.32%	1.70%	2.07%	1.56%	1.81%	1.63%	2.05%	1.61%	1.02%	2.33%	1.55%	1.87%	1.53%	1.65%	1.36%	1.83%	1.40%	2.16%	1.56%	2.02%	2.19%	2.41%	2.18%	2.61%	2.03%	1.86%	2.33%	1.51%	2.05%	1.68%	1.26%	1.44%	2.01%	3.02%	1.49%	1.68%	2.17%	2.21%	3.94%	1.02%	1.38%	0.85%	1.66%	1.97%	2.27%	2.35%	1.89%	1.38%	1.12%	2.05%	1.66%	1.26%	2.11%	0.96%	2.30%	2.54%	2.21%	3.47%	1.99%	0.72%	1.27%	0.90%	1.60%	2.11%	0.99%	0.74%	0.98%	1.47%	2.52%	3.28%	2.12%	1.21%	10.50%	6.55%	7.36%	0.0%	2.20%	1.74%					
28	"11. ""Истинные патриоты России"""	80	1	1	1	0	1	1	1	1	2	1	1	1	0	1	1	2	2	1	0	1	1	3	0	3	3	1	1	0	2	1	0	0	0	0	0	4	2	2	1	4	0	0	2	0	0	0	0	0	0	0	1	2	3	1	0	1	1	1	1	0	2	2	2	0	0	0	0	0	0	0	1	0	1	0	2	4	0	0	0	1	0	0	4	0					
		0.11%	0.26%	0.38%	0.35%	0.0%	0.13%	0.11%	0.07%	0.08%	0.18%	0.11%	0.10%	0.08%	0.0%	0.10%	0.10%	0.22%	0.18%	0.07%	0.0%	0.07%	0.06%	0.23%	0.0%	0.25%	0.27%	0.13%	0.12%	0.0%	0.17%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.25%	0.36%	0.12%	0.60%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.22%	0.35%	0.09%	0.0%	0.29%	0.13%	0.09%	0.08%	0.0%	0.16%	0.50%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.19%	0.0%	0.31%	1.01%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.62%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	350	0	2	3	0	8	0	3	2	3	4	5	4	3	2	3	5	9	2	5	4	5	7	8	6	8	8	4	6	5	8	0	9	4	6	9	3	4	4	8	3	4	7	4	5	5	3	4	4	7	3	6	4	4	7	7	4	2	4	7	1	6	0	7	1	6	2	1	2	4	5	9	1	0	2	6	2	3	5	1	3	1	0	5	4					
		0.52%	0.0%	0.76%	1.07%	0.0%	1.04%	0.0%	0.23%	0.17%	0.28%	0.44%	0.50%	0.34%	0.36%	0.20%	0.30%	0.55%	0.82%	0.15%	0.36%	0.30%	0.34%	0.55%	0.53%	0.51%	0.73%	1.07%	0.51%	0.69%	0.43%	0.69%	0.0%	0.83%	0.44%	0.82%	1.54%	0.24%	0.50%	0.72%	1.00%	0.45%	0.35%	0.84%	0.51%	0.65%	0.61%	0.30%	0.29%	0.42%	0.61%	0.25%	0.71%	0.44%	0.47%	0.64%	1.12%	1.17%	0.27%	0.36%	0.59%	0.24%	0.49%	0.0%	0.86%	0.21%	0.79%	0.72%	0.42%	0.36%	0.58%	0.95%	1.79%	0.18%	0.0%	0.49%	0.94%	0.50%	1.06%	1.01%	0.20%	0.98%	0.52%	0.0%	0.78%	0.53%					
30	"13. ""Демократическая партия России"""	119	0	0	0	0	3	1	0	4	1	0	4	3	1	1	1	2	2	1	0	2	4	2	2	1	4	1	0	2	1	2	1	1	2	1	0	2	0	0	2	0	1	2	3	4	1	2	0	1	7	2	0	2	0	2	3	1	1	1	0	2	1	3	2	0	1	1	1	2	1	1	2	0	0	2	2	1	1	1	5	1	0	0	2	0					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.39%	0.11%	0.0%	0.34%	0.09%	0.0%	0.40%	0.25%	0.12%	0.10%	0.10%	0.22%	0.18%	0.07%	0.0%	0.15%	0.27%	0.15%	0.13%	0.08%	0.36%	0.13%	0.0%	0.23%	0.08%	0.17%	0.18%	0.09%	0.22%	0.13%	0.0%	0.16%	0.0%	0.0%	0.25%	0.0%	0.08%	0.24%	0.38%	0.52%	0.12%	0.20%	0.0%	0.10%	0.61%	0.17%	0.0%	0.22%	0.0%	0.18%	0.48%	0.29%	0.13%	0.09%	0.0%	0.48%	0.08%	0.76%	0.24%	0.0%	0.13%	0.36%	0.42%	0.36%	0.14%	0.19%	0.39%	0.0%	0.0%	0.49%	0.31%	0.25%	0.35%	0.20%	1.01%	0.32%	0.0%	0.0%	0.31%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	100	5	0	0	0	0	0	2	1	2	1	0	2	1	1	1	1	2	0	2	3	2	0	1	3	0	0	0	5	0	2	1	1	3	2	1	2	1	1	1	0	2	1	3	1	1	2	2	2	0	3	0	1	0	2	2	0	0	1	0	1	1	0	2	2	2	1	0	0	1	3	1	2	2	1	0	1	1	2	0	0	0	0	4	0					
		0.14%	1.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.08%	0.18%	0.11%	0.0%	0.17%	0.12%	0.10%	0.10%	0.11%	0.18%	0.0%	0.14%	0.22%	0.13%	0.0%	0.06%	0.25%	0.0%	0.0%	0.0%	0.57%	0.0%	0.17%	0.18%	0.09%	0.33%	0.27%	0.17%	0.16%	0.12%	0.18%	0.12%	0.0%	0.17%	0.12%	0.38%	0.13%	0.12%	0.20%	0.14%	0.21%	0.0%	0.25%	0.0%	0.11%	0.0%	0.18%	0.32%	0.0%	0.0%	0.09%	0.0%	0.24%	0.08%	0.0%	0.24%	0.43%	0.26%	0.36%	0.0%	0.0%	0.14%	0.57%	0.19%	0.37%	0.39%	0.24%	0.0%	0.25%	0.35%	0.40%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%					
32	"15. ""Партия СЛОН"""	262	0	0	0	0	0	6	6	5	11	2	3	7	7	7	7	6	7	9	13	4	15	7	11	1	2	3	3	3	5	7	1	9	1	5	3	3	2	2	3	1	1	1	1	1	0	1	6	8	2	4	1	1	2	3	0	1	4	3	2	3	1	0	5	0	1	0	2	1	1	6	2	0	2	0	2	1	0	0	2	0	0	0	1	3					
