Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Пыщугская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	61	35	1	1	4	2	2	5	6	2	3					
		2.25%	2.53%	1.25%	0.67%	2.56%	1.88%	2.06%	2.32%	2.69%	1.61%	1.66%					
37	"20. ""Политическая партия ""Единая Россия"""	1122	538	42	45	89	29	45	89	104	57	84					
		41.38%	38.95%	52.5%	30.20%	57.05%	27.35%	46.39%	41.39%	46.63%	45.96%	46.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	2	0	0	1	0	0	1	0	1	0					
		0.18%	0.14%	0.0%	0.0%	0.64%	0.0%	0.0%	0.46%	0.0%	0.80%	0.0%					
39	"22. ""Развитие предпринимательства"""	4	1	0	0	1	0	0	1	0	0	1					
		0.14%	0.07%	0.0%	0.0%	0.64%	0.0%	0.0%	0.46%	0.0%	0.0%	0.55%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	240	137	6	10	4	19	7	23	14	2	18					
		8.85%	9.92%	7.5%	6.71%	2.56%	17.92%	7.21%	10.69%	6.27%	1.61%	10.0%					
																	
41	Против всех	74	45	1	5	0	2	5	4	2	3	7					
		2.72%	3.25%	1.25%	3.35%	0.0%	1.88%	5.15%	1.86%	0.89%	2.41%	3.88%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
