Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Ирбитская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №2606	УИК №2608	УИК №2609									
		2.04%	0.86%	2.76%	1.74%	0.00%	1.48%	1.65%	1.96%	0.00%	2.19%	2.22%	1.83%	1.08%	2.16%	0.00%	4.62%	1.11%	0.00%	2.62%	1.59%	3.17%	2.58%	2.63%	2.46%	0.53%	4.35%	2.40%	3.39%	1.62%	2.98%	6.95%	1.44%	2.94%	6.10%	1.77%	0.56%	1.41%	1.06%	0.99%	2.36%	1.18%	1.31%	2.07%	0.00%	0.79%	2.90%	0.00%	2.40%	0.00%	4.35%	1.10%	1.47%	0.00%	1.79%	3.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6369	155	138	146	89	97	188	191	71	140	114	144	270	75	80	135	50	32	162	59	125	256	121	181	120	29	185	54	156	188	78	130	58	75	64	129	133	121	94	248	109	91	178	41	78	44	50	170	101	30	110	283	59	42	102									
		51.86%	66.52%	63.59%	50.87%	62.68%	71.85%	51.65%	46.81%	70.30%	43.89%	50.67%	52.75%	58.19%	53.96%	77.67%	44.55%	55.56%	47.06%	47.09%	46.83%	49.60%	47.15%	53.07%	40.49%	64.17%	42.03%	49.33%	45.76%	42.05%	43.12%	41.71%	46.93%	56.86%	45.73%	56.64%	72.07%	62.44%	64.36%	46.53%	53.10%	64.12%	59.48%	46.11%	51.90%	61.42%	63.77%	70.42%	58.22%	57.06%	65.22%	60.77%	41.50%	64.13%	75.00%	42.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	0	1	2	1	0	3	4	0	3	3	0	2	0	0	3	1	0	1	3	5	2	0	5	0	1	4	1	8	2	1	0	1	3	1	0	0	0	1	4	0	2	2	0	0	0	0	1	0	1	0	5	0	1	2									
		0.65%	0.00%	0.46%	0.70%	0.70%	0.00%	0.82%	0.98%	0.00%	0.94%	1.33%	0.00%	0.43%	0.00%	0.00%	0.99%	1.11%	0.00%	0.29%	2.38%	1.98%	0.37%	0.00%	1.12%	0.00%	1.45%	1.07%	0.85%	2.16%	0.46%	0.53%	0.00%	0.98%	1.83%	0.88%	0.00%	0.00%	0.00%	0.50%	0.86%	0.00%	1.31%	0.52%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	2.17%	0.00%	0.73%	0.00%	1.79%	0.83%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0									
		0.11%	0.00%	0.00%	0.35%	0.70%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3440	40	40	85	30	27	107	128	19	98	63	79	113	43	15	87	27	20	108	37	71	145	63	155	45	26	113	36	120	129	52	90	21	41	30	29	47	48	81	141	43	45	135	16	28	11	15	63	38	6	38	230	28	11	84									
		28.01%	17.17%	18.43%	29.62%	21.13%	20.00%	29.40%	31.37%	18.81%	30.72%	28.00%	28.94%	24.35%	30.94%	14.56%	28.71%	30.00%	29.41%	31.40%	29.37%	28.17%	26.70%	27.63%	34.68%	24.06%	37.68%	30.13%	30.51%	32.35%	29.59%	27.81%	32.49%	20.59%	25.00%	26.55%	16.20%	22.07%	25.53%	40.10%	30.19%	25.29%	29.41%	34.97%	20.25%	22.05%	15.94%	21.13%	21.58%	21.47%	13.04%	20.99%	33.72%	30.43%	19.64%	35.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	27	0	0	0	0	0	1	1	0	1	0	1	3	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	2									
		0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.25%	0.00%	0.31%	0.00%	0.37%	0.65%	0.72%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.23%	0.00%	0.72%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	1.57%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.29%	0.00%	0.00%	0.83%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	75	11	1	0	0	0	0	0	0	5	0	2	2	1	0	2	0	0	2	2	1	4	2	2	0	1	3	1	1	9	1	2	1	0	0	1	0	3	0	2	1	0	1	0	1	0	0	2	0	0	0	4	0	0	4									
		0.61%	4.72%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.57%	0.00%	0.73%	0.43%	0.72%	0.00%	0.66%	0.00%	0.00%	0.58%	1.59%	0.40%	0.74%	0.88%	0.45%	0.00%	1.45%	0.80%	0.85%	0.27%	2.06%	0.53%	0.72%	0.98%	0.00%	0.00%	0.56%	0.00%	1.60%	0.00%	0.43%	0.59%	0.00%	0.26%	0.00%	0.79%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	1.67%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	0	0	0	1	0	0	0	1	1	1	0	0	0	0	2	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1									
		0.13%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.99%	0.31%	0.44%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	1.45%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.42%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	87	1	0	4	1	0	1	9	0	5	2	2	1	0	0	4	2	5	0	0	0	0	2	1	0	0	2	1	6	3	1	5	1	4	0	2	2	0	3	1	1	1	2	0	0	1	0	0	1	0	0	8	0	0	2									
		0.71%	0.43%	0.00%	1.39%	0.70%	0.00%	0.27%	2.21%	0.00%	1.57%	0.89%	0.73%	0.22%	0.00%	0.00%	1.32%	2.22%	7.35%	0.00%	0.00%	0.00%	0.00%	0.88%	0.22%	0.00%	0.00%	0.53%	0.85%	1.62%	0.69%	0.53%	1.81%	0.98%	2.44%	0.00%	1.12%	0.94%	0.00%	1.49%	0.21%	0.59%	0.65%	0.52%	0.00%	0.00%	1.45%	0.00%	0.00%	0.56%	0.00%	0.00%	1.17%	0.00%	0.00%	0.83%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	875	12	8	8	5	3	39	37	5	25	12	19	36	10	3	28	6	7	22	15	18	50	11	53	7	3	27	9	27	35	22	18	6	18	5	4	11	5	11	30	6	5	30	12	5	3	3	26	13	1	14	68	1	1	17									
		7.13%	5.15%	3.69%	2.79%	3.52%	2.22%	10.71%	9.07%	4.95%	7.84%	5.33%	6.96%	7.76%	7.19%	2.91%	9.24%	6.67%	10.29%	6.40%	11.90%	7.14%	9.21%	4.82%	11.86%	3.74%	4.35%	7.20%	7.63%	7.28%	8.03%	11.76%	6.50%	5.88%	10.98%	4.42%	2.23%	5.16%	2.66%	5.45%	6.42%	3.53%	3.27%	7.77%	15.19%	3.94%	4.35%	4.23%	8.90%	7.34%	2.17%	7.73%	9.97%	1.09%	1.79%	7.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	0	1	0	0	0	1	2	0	1	0	1	1	0	0	2	0	0	2	0	0	2	1	0	2	0	4	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0									
		0.27%	0.00%	0.46%	0.00%	0.00%	0.00%	0.27%	0.49%	0.00%	0.31%	0.00%	0.37%	0.22%	0.00%	0.00%	0.66%	0.00%	0.00%	0.58%	0.00%	0.00%	0.37%	0.44%	0.00%	1.07%	0.00%	1.07%	0.85%	0.27%	0.00%	0.53%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	451	3	9	10	6	2	7	14	1	15	12	6	16	1	0	14	0	1	22	2	11	34	8	19	5	2	7	7	24	17	14	15	5	6	2	3	7	2	3	14	3	1	15	4	3	5	0	3	11	4	6	42	0	0	8									
		3.67%	1.29%	4.15%	3.48%	4.23%	1.48%	1.92%	3.43%	0.99%	4.70%	5.33%	2.20%	3.45%	0.72%	0.00%	4.62%	0.00%	1.47%	6.40%	1.59%	4.37%	6.26%	3.51%	4.25%	2.67%	2.90%	1.87%	5.93%	6.47%	3.90%	7.49%	5.42%	4.90%	3.66%	1.77%	1.68%	3.29%	1.06%	1.49%	2.99%	1.76%	0.65%	3.89%	5.06%	2.36%	7.25%	0.00%	1.03%	6.21%	8.70%	3.31%	6.16%	0.00%	0.00%	3.33%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
