Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Старожиловская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1217	119	163	176	31	28	34	25	33	47	83	172	97	42	43	45	79									
		19.69%	17.42%	23.52%	27.63%	21.23%	16.09%	17.80%	16.34%	15.00%	17.54%	14.66%	19.68%	17.60%	25.77%	23.24%	15.85%	20.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	5	2	0	0	0	0	0	0	1	3	4	3	2	0	0	0									
		0.32%	0.73%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.53%	0.46%	0.54%	1.23%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	3	6	1	0	0	0	0	0	0	1	5	0	0	0	3	2									
		0.34%	0.44%	0.87%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.57%	0.00%	0.00%	0.00%	1.06%	0.51%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	1	2	1	0	0	0	1	0	0	1	0	0	1	0	1	1									
		0.15%	0.15%	0.29%	0.16%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.18%	0.00%	0.00%	0.61%	0.00%	0.35%	0.25%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	34	9	5	7	0	0	3	0	0	1	1	1	3	2	1	1	0									
		0.55%	1.32%	0.72%	1.10%	0.00%	0.00%	1.57%	0.00%	0.00%	0.37%	0.18%	0.11%	0.54%	1.23%	0.54%	0.35%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	740	100	106	51	9	17	19	16	31	26	50	108	77	15	44	29	42									
		11.97%	14.64%	15.30%	8.01%	6.16%	9.77%	9.95%	10.46%	14.09%	9.70%	8.83%	12.36%	13.97%	9.20%	23.78%	10.21%	10.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	3	7	7	0	1	0	0	0	0	1	3	1	0	0	0	1									
		0.39%	0.44%	1.01%	1.10%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.18%	0.34%	0.18%	0.00%	0.00%	0.00%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	196	23	36	30	2	1	2	5	4	4	19	29	16	3	4	3	15									
		3.17%	3.37%	5.19%	4.71%	1.37%	0.57%	1.05%	3.27%	1.82%	1.49%	3.36%	3.32%	2.90%	1.84%	2.16%	1.06%	3.82%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
