Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																					
Дата голосования: 18.09.2016																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Борская																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																					
																																																																																																					
		Сумма	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1040	20	20	25	10	30	10	10	20	10	20	10	5	30	10	20	20	10	20	10	10	10	13	17	15	12	10	10	10	20	10	10	10	8	10	10	35	10	30	0	0	10	10	10	10	10	10	10	10	10	10	10	10	5	10	10	10	10	10	10	10	10	5	10	10	10	10	10	10	5	15	10	10	10	18	5	2	10	10	10	5	10	10	5	10	10	10	10	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	698	17	12	20	9	30	10	10	14	7	12	9	2	30	10	13	10	5	11	5	3	7	13	13	14	12	10	9	6	14	5	10	10	8	8	10	27	10	30	0	0	3	3	5	2	4	0	3	10	10	2	7	6	5	4	1	10	4	3	8	8	1	4	1	4	2	3	4	3	0	13	0	2	5	11	0	2	7	10	1	5	9	6	5	10	10	6	4	7	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	677	4	4	8	9	14	8	4	7	10	9	9	3	5	5	9	49	14	5	10	130	0	6	19	4	6	29	10	6	10	9	6	7	8	7	6	14	3	4	13	2	3	2	6	2	5	10	0	7	7	2	6	7	8	0	5	2	4	2	9	0	6	4	0	2	1	8	9	2	1	3	1	2	0	13	2	3	5	1	7	3	0	1	4	4	7	0	6	3	6	1									
14	Число погашенных неиспользованных открепительных удостоверений	342	3	8	5	1	0	0	0	6	3	8	1	3	0	0	7	10	5	9	5	7	3	0	4	1	0	0	1	4	6	5	0	0	0	2	0	8	0	0	0	0	7	7	5	8	6	10	7	0	0	8	3	4	0	6	9	0	6	7	2	2	9	1	9	6	8	7	6	7	5	2	10	8	5	7	5	0	3	0	9	0	1	4	0	0	0	4	6	3	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	159	2	3	0	1	0	0	0	0	0	0	1	1	6	9	1	3	3	3	3	1	1	1	1	2	2	1	1	1	0	0	1	3	2	4	0	6	3	1	0	0	2	1	0	1	0	0	1	0	0	0	1	3	1	3	4	10	10	1	6	3	0	0	0	1	0	2	0	6	0	3	0	7	5	1	0	0	2	3	0	2	5	0	0	0	2	3	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	428	0	16	4	9	4	4	6	5	2	2	11	1	20	6	5	2	5	5	10	2	2	4	9	5	7	7	7	5	10	4	6	7	7	7	9	15	8	12	1	2	2	5	2	2	7	1	2	4	5	4	5	9	7	4	2	5	3	6	2	3	1	2	1	2	7	2	6	4	6	1	1	2	3	5	2	1	7	10	2	2	7	0	3	0	2	4	4	3	5	0									
		1.11%	0.00%	2.44%	0.71%	2.00%	0.82%	0.89%	1.09%	0.48%	0.40%	0.35%	2.87%	0.66%	4.32%	1.10%	1.08%	0.39%	1.69%	1.42%	2.40%	0.45%	0.50%	0.94%	1.88%	1.07%	1.74%	1.75%	2.09%	1.79%	2.07%	0.65%	1.32%	0.74%	1.37%	1.99%	2.26%	2.75%	1.74%	2.23%	0.43%	0.75%	0.47%	1.37%	0.72%	0.73%	1.45%	0.19%	0.61%	1.17%	1.23%	1.21%	0.78%	3.35%	1.81%	1.39%	1.05%	0.97%	0.64%	0.90%	0.41%	0.59%	0.32%	1.25%	0.22%	0.41%	2.11%	0.42%	1.05%	0.85%	1.33%	0.22%	0.47%	0.49%	0.79%	0.88%	0.94%	0.67%	1.15%	1.35%	1.06%	0.46%	1.73%	0.00%	2.56%	0.00%	0.41%	0.93%	0.60%	1.20%	2.98%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	928	5	17	8	8	10	13	16	16	7	15	11	0	24	11	4	6	13	4	8	19	1	7	33	6	9	24	7	5	8	3	14	7	11	15	11	10	10	12	0	4	21	11	13	8	9	8	22	7	14	31	6	9	9	0	20	13	15	6	12	8	12	3	19	3	8	7	14	8	15	6	9	12	9	16	5	2	4	13	3	12	4	9	0	14	14	23	13	8	5	4									
		2.41%	1.13%	2.60%	1.41%	1.78%	2.06%	2.88%	2.90%	1.52%	1.39%	2.63%	2.87%	0.00%	5.18%	2.03%	0.86%	1.17%	4.39%	1.13%	1.92%	4.24%	0.25%	1.64%	6.89%	1.29%	2.23%	5.99%	2.09%	1.79%	1.66%	0.49%	3.09%	0.74%	2.15%	4.26%	2.76%	1.83%	2.18%	2.23%	0.00%	1.50%	4.95%	3.02%	4.68%	2.92%	1.86%	1.51%	6.75%	2.04%	3.44%	9.39%	0.93%	3.35%	2.33%	0.00%	10.47%	2.52%	3.21%	0.90%	2.45%	1.58%	3.80%	1.88%	4.19%	0.62%	2.41%	1.47%	2.46%	1.71%	3.33%	1.31%	4.25%	2.95%	2.36%	2.83%	2.35%	1.34%	0.66%	1.75%	1.60%	2.75%	0.99%	2.69%	0.00%	4.90%	2.89%	5.35%	1.95%	3.20%	2.98%	1.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	706	7	5	10	5	8	12	14	19	14	9	4	0	19	9	11	14	6	4	11	10	0	5	14	13	12	12	3	5	14	5	11	3	9	6	11	3	14	13	0	3	10	2	12	4	10	2	7	3	2	10	9	6	11	3	5	8	3	5	18	4	7	3	12	6	8	11	7	6	8	9	7	5	11	7	3	6	9	12	0	9	4	10	4	5	23	18	6	6	3	0									
		1.84%	1.58%	0.76%	1.76%	1.11%	1.65%	2.66%	2.54%	1.81%	2.77%	1.58%	1.04%	0.00%	4.10%	1.66%	2.37%	2.73%	2.03%	1.13%	2.64%	2.23%	0.00%	1.17%	2.92%	2.79%	2.98%	2.99%	0.90%	1.79%	2.90%	0.81%	2.43%	0.32%	1.76%	1.70%	2.76%	0.55%	3.05%	2.42%	0.00%	1.12%	2.36%	0.55%	4.32%	1.46%	2.07%	0.38%	2.15%	0.87%	0.49%	3.03%	1.40%	2.23%	2.85%	1.04%	2.62%	1.55%	0.64%	0.75%	3.67%	0.79%	2.22%	1.88%	2.65%	1.23%	2.41%	2.31%	1.23%	1.28%	1.77%	1.96%	3.30%	1.23%	2.89%	1.24%	1.41%	4.03%	1.48%	1.62%	0.00%	2.06%	0.99%	2.99%	3.42%	1.75%	4.75%	4.19%	0.90%	2.40%	1.79%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23095	246	427	309	204	264	196	270	695	330	361	160	108	178	313	281	303	156	221	206	323	242	256	217	200	174	208	161	155	261	491	230	733	268	183	222	256	214	243	226	152	248	220	138	157	322	371	195	194	239	171	428	138	214	196	91	343	309	543	309	322	200	97	278	352	184	308	386	352	296	343	125	269	234	361	131	75	391	423	137	251	281	207	77	147	254	182	480	170	99	214									
		60.09%	55.66%	65.19%	54.50%	45.33%	54.32%	43.46%	48.91%	66.19%	65.35%	63.33%	41.78%	71.52%	38.44%	57.64%	60.56%	59.18%	52.70%	62.61%	49.52%	72.10%	60.65%	60.09%	45.30%	42.92%	43.18%	51.87%	48.06%	55.56%	54.04%	79.84%	50.77%	76.99%	52.45%	51.99%	55.78%	46.97%	46.62%	45.25%	97.41%	56.93%	58.49%	60.44%	49.64%	57.30%	66.53%	70.13%	59.82%	56.56%	58.72%	51.82%	66.36%	51.30%	55.44%	68.06%	47.64%	66.60%	66.17%	81.65%	63.06%	63.76%	63.29%	60.63%	61.37%	72.28%	55.42%	64.71%	67.72%	75.05%	65.63%	74.73%	58.96%	66.09%	61.42%	63.89%	61.50%	50.34%	64.20%	57.09%	72.87%	57.44%	69.55%	61.98%	65.81%	51.40%	52.48%	42.33%	72.18%	68.00%	58.93%	74.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	168	2	0	2	0	1	5	0	3	3	4	2	0	0	0	4	1	5	2	2	4	1	0	3	2	1	1	4	0	0	3	3	4	6	1	5	3	2	2	0	0	1	2	5	2	3	1	3	1	1	3	2	3	0	3	2	1	3	0	3	2	1	0	0	2	2	0	3	2	2	4	2	2	3	2	3	1	0	2	0	0	2	0	0	1	4	2	4	0	2	0									
		0.44%	0.45%	0.00%	0.35%	0.00%	0.21%	1.11%	0.00%	0.29%	0.59%	0.70%	0.52%	0.00%	0.00%	0.00%	0.86%	0.20%	1.69%	0.57%	0.48%	0.89%	0.25%	0.00%	0.63%	0.43%	0.25%	0.25%	1.19%	0.00%	0.00%	0.49%	0.66%	0.42%	1.17%	0.28%	1.26%	0.55%	0.44%	0.37%	0.00%	0.00%	0.24%	0.55%	1.80%	0.73%	0.62%	0.19%	0.92%	0.29%	0.25%	0.91%	0.31%	1.12%	0.00%	1.04%	1.05%	0.19%	0.64%	0.00%	0.61%	0.40%	0.32%	0.00%	0.00%	0.41%	0.60%	0.00%	0.53%	0.43%	0.44%	0.87%	0.94%	0.49%	0.79%	0.35%	1.41%	0.67%	0.00%	0.27%	0.00%	0.00%	0.50%	0.00%	0.00%	0.35%	0.83%	0.47%	0.60%	0.00%	1.19%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	81	0	0	0	0	0	0	0	35	0	1	1	0	0	2	1	0	0	0	0	0	0	1	4	1	0	1	0	0	0	0	1	0	1	0	2	1	0	1	0	1	0	0	0	2	2	0	1	0	2	0	1	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	1	2	1	0	0	1	0	0	0	1	1									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.18%	0.26%	0.00%	0.00%	0.37%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.84%	0.21%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.20%	0.00%	0.50%	0.18%	0.00%	0.19%	0.00%	0.37%	0.00%	0.00%	0.00%	0.73%	0.41%	0.00%	0.31%	0.00%	0.49%	0.00%	0.16%	0.37%	0.26%	0.69%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.49%	0.00%	0.00%	0.47%	0.67%	0.00%	0.13%	0.00%	0.23%	0.50%	0.30%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.60%	0.35%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6438	115	109	109	99	99	112	124	177	71	79	104	21	87	111	81	89	71	85	93	59	101	73	87	105	93	66	57	67	78	54	65	90	94	59	86	123	106	108	4	62	69	56	60	61	40	78	48	71	56	57	103	61	78	41	45	60	56	46	58	66	53	24	78	59	67	52	59	37	59	41	33	59	81	101	26	33	109	141	17	101	60	58	17	46	105	78	72	31	23	35									
		16.75%	26.02%	16.64%	19.22%	22.00%	20.37%	24.83%	22.46%	16.86%	14.06%	13.86%	27.15%	13.91%	18.79%	20.44%	17.46%	17.38%	23.99%	24.08%	22.36%	13.17%	25.31%	17.14%	18.16%	22.53%	23.08%	16.46%	17.01%	24.01%	16.15%	8.78%	14.35%	9.45%	18.40%	16.76%	21.61%	22.57%	23.09%	20.11%	1.72%	23.22%	16.27%	15.38%	21.58%	22.26%	8.26%	14.74%	14.72%	20.70%	13.76%	17.27%	15.97%	22.68%	20.21%	14.24%	23.56%	11.65%	11.99%	6.92%	11.84%	13.07%	16.77%	15.00%	17.22%	12.11%	20.18%	10.92%	10.35%	7.89%	13.08%	8.93%	15.57%	14.50%	21.26%	17.88%	12.21%	22.15%	17.90%	19.03%	9.04%	23.11%	14.85%	17.37%	14.53%	16.08%	21.69%	18.14%	10.83%	12.40%	13.69%	12.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	184	2	2	7	3	4	2	4	5	1	2	0	1	1	0	2	3	1	1	2	1	0	1	6	5	3	4	1	0	5	0	5	3	5	1	1	1	4	3	0	1	1	3	0	0	1	0	5	2	0	5	5	3	4	3	4	7	2	6	4	2	3	0	1	2	1	1	0	3	1	0	0	0	0	2	0	1	2	7	0	0	2	1	0	1	0	2	3	0	1	0									
		0.48%	0.45%	0.31%	1.23%	0.67%	0.82%	0.44%	0.72%	0.48%	0.20%	0.35%	0.00%	0.66%	0.22%	0.00%	0.43%	0.59%	0.34%	0.28%	0.48%	0.22%	0.00%	0.23%	1.25%	1.07%	0.74%	0.99%	0.30%	0.00%	1.04%	0.00%	1.10%	0.32%	0.98%	0.28%	0.25%	0.18%	0.87%	0.56%	0.00%	0.37%	0.24%	0.82%	0.00%	0.00%	0.21%	0.00%	1.53%	0.58%	0.00%	1.52%	0.78%	1.12%	1.04%	1.04%	2.09%	1.36%	0.43%	0.90%	0.82%	0.40%	0.95%	0.00%	0.22%	0.41%	0.30%	0.21%	0.00%	0.64%	0.22%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.67%	0.33%	0.94%	0.00%	0.00%	0.50%	0.30%	0.00%	0.35%	0.00%	0.47%	0.45%	0.00%	0.60%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	331	0	17	10	6	2	6	6	2	3	3	1	0	10	5	4	6	2	1	4	4	1	4	5	13	7	5	9	0	3	1	5	7	14	4	6	10	8	11	0	1	2	3	3	8	5	3	4	2	3	6	6	4	5	4	4	0	0	2	4	4	0	1	2	1	3	3	2	3	3	2	0	3	2	1	0	2	2	5	2	0	1	1	0	0	2	5	5	0	2	0									
		0.86%	0.00%	2.60%	1.76%	1.33%	0.41%	1.33%	1.09%	0.19%	0.59%	0.53%	0.26%	0.00%	2.16%	0.92%	0.86%	1.17%	0.68%	0.28%	0.96%	0.89%	0.25%	0.94%	1.04%	2.79%	1.74%	1.25%	2.69%	0.00%	0.62%	0.16%	1.10%	0.74%	2.74%	1.14%	1.51%	1.83%	1.74%	2.05%	0.00%	0.37%	0.47%	0.82%	1.08%	2.92%	1.03%	0.57%	1.23%	0.58%	0.74%	1.82%	0.93%	1.49%	1.30%	1.39%	2.09%	0.00%	0.00%	0.30%	0.82%	0.79%	0.00%	0.63%	0.44%	0.21%	0.90%	0.63%	0.35%	0.64%	0.67%	0.44%	0.00%	0.74%	0.52%	0.18%	0.00%	1.34%	0.33%	0.67%	1.06%	0.00%	0.25%	0.30%	0.00%	0.00%	0.41%	1.16%	0.75%	0.00%	1.19%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	1	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	2	0	1	0	0	1	1	2	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	1	2	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0									
		0.11%	0.23%	0.00%	0.18%	0.22%	0.21%	0.00%	0.00%	0.10%	0.20%	0.18%	0.00%	0.00%	0.00%	0.00%	0.22%	0.20%	0.00%	0.00%	0.24%	0.22%	0.00%	0.23%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.33%	0.00%	0.11%	0.00%	0.00%	0.25%	0.18%	0.44%	0.19%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.26%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.20%	0.00%	0.00%	0.44%	0.00%	0.00%	0.21%	0.00%	0.00%	0.22%	0.22%	0.47%	0.49%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.53%	0.00%	0.00%	0.30%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	392	7	15	5	12	3	6	10	12	5	6	2	0	27	5	3	5	2	3	7	4	1	6	10	11	7	8	9	0	2	3	10	7	24	7	3	13	5	8	0	1	1	2	1	3	6	1	4	0	6	5	1	0	1	0	2	4	4	4	3	2	2	2	3	2	2	6	3	1	2	1	0	0	0	8	0	0	11	8	2	2	0	3	0	1	1	6	1	0	1	0									
		1.02%	1.58%	2.29%	0.88%	2.67%	0.62%	1.33%	1.81%	1.14%	0.99%	1.05%	0.52%	0.00%	5.83%	0.92%	0.65%	0.98%	0.68%	0.85%	1.68%	0.89%	0.25%	1.41%	2.09%	2.36%	1.74%	1.99%	2.69%	0.00%	0.41%	0.49%	2.21%	0.74%	4.70%	1.99%	0.75%	2.39%	1.09%	1.49%	0.00%	0.37%	0.24%	0.55%	0.36%	1.09%	1.24%	0.19%	1.23%	0.00%	1.47%	1.52%	0.16%	0.00%	0.26%	0.00%	1.05%	0.78%	0.86%	0.60%	0.61%	0.40%	0.63%	1.25%	0.66%	0.41%	0.60%	1.26%	0.53%	0.21%	0.44%	0.22%	0.00%	0.00%	0.00%	1.42%	0.00%	0.00%	1.81%	1.08%	1.06%	0.46%	0.00%	0.90%	0.00%	0.35%	0.21%	1.40%	0.15%	0.00%	0.60%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3701	47	40	53	54	51	52	62	72	46	45	49	17	39	50	49	46	23	9	42	15	45	46	57	52	61	35	56	25	66	41	70	56	66	44	25	80	57	75	0	25	48	45	33	13	52	43	21	49	69	20	49	20	34	19	9	46	58	29	58	67	22	21	33	48	33	51	63	31	40	37	29	36	27	35	23	15	49	67	18	34	34	27	13	44	53	71	57	24	13	28									
		9.63%	10.63%	6.11%	9.35%	12.00%	10.49%	11.53%	11.23%	6.86%	9.11%	7.89%	12.79%	11.26%	8.42%	9.21%	10.56%	8.98%	7.77%	2.55%	10.10%	3.35%	11.28%	10.80%	11.90%	11.16%	15.14%	8.73%	16.72%	8.96%	13.66%	6.67%	15.45%	5.88%	12.92%	12.50%	6.28%	14.68%	12.42%	13.97%	0.00%	9.36%	11.32%	12.36%	11.87%	4.74%	10.74%	8.13%	6.44%	14.29%	16.95%	6.06%	7.60%	7.43%	8.81%	6.60%	4.71%	8.93%	12.42%	4.36%	11.84%	13.27%	6.96%	13.13%	7.28%	9.86%	9.94%	10.71%	11.05%	6.61%	8.87%	8.06%	13.68%	8.85%	7.09%	6.19%	10.80%	10.07%	8.05%	9.04%	9.57%	7.78%	8.42%	8.08%	11.11%	15.38%	10.95%	16.51%	8.57%	9.60%	7.74%	9.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	113	1	2	0	3	1	1	0	2	1	2	1	0	25	0	2	3	0	1	0	0	0	3	1	7	1	3	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0	4	0	2	2	0	0	0	1	1	1	0	2	0	0	1	2	3	0	0	1	1	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	8	0	1	0	3	0	1	1	2	0	1	1	0									
