Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Белорецкая																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	945	25	25	37	20	10	26	10	27	23	26	18	25	26	13	21	11	15	11	10	12	7	14	4	25	20	5	19	10	20	10	11	13	8	2	2	2	2	6	3	2	13	5	9	10	8	4	7	2	4	7	22	2	4	2	2	8	10	2	9	7	7	35	15	4	6	10	12	1	3	5	5	3	2	1	10	2	3	9	7	7	7	7	2	1	1	3	3	4	3	6	25	3	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	782	25	25	37	20	10	26	5	27	23	26	18	25	26	13	13	6	12	10	10	12	7	8	4	25	12	5	8	6	12	10	10	13	8	2	1	2	2	1	0	2	13	5	7	10	3	4	7	2	1	7	22	1	2	2	0	1	2	2	3	7	7	35	11	4	6	10	12	0	3	2	2	3	2	0	5	0	2	9	7	1	3	7	0	0	0	0	0	3	2	6	25	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	657	23	34	9	17	8	15	8	17	5	15	13	25	5	3	9	6	65	2	2	4	9	9	9	9	26	1	5	8	6	7	9	12	79	1	0	0	1	1	3	2	8	6	5	2	2	2	7	4	6	2	2	1	3	0	1	3	0	2	7	5	0	1	4	3	0	0	5	1	2	3	4	1	1	0	11	0	33	5	2	3	3	2	0	0	2	2	1	2	1	3	5	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	163	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	5	3	1	0	0	0	6	0	0	8	0	11	4	8	0	1	0	0	0	1	0	0	5	3	0	0	0	2	0	5	0	0	0	3	0	0	1	2	0	2	7	8	0	6	0	0	0	4	0	0	0	0	1	0	3	3	0	0	1	5	2	1	0	0	6	4	0	2	1	1	3	3	1	1	0	0	3	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	0	0	5	0	0	0	1	1	2	1	1	3	1	1	0	1	2	2	0	1	0	2	1	0	2	1	0	1	1	1	4	1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5047	172	153	162	89	65	204	57	192	139	158	78	154	141	49	131	64	91	41	77	62	49	103	23	130	181	20	114	50	76	31	61	130	15	9	5	4	2	20	12	7	99	46	56	44	30	34	59	9	27	13	5	19	10	5	4	82	109	5	89	33	36	22	19	29	23	12	38	8	14	19	28	18	10	1	43	8	33	53	41	59	42	52	11	1	2	12	17	18	13	51	120	9	86					
		8.64%	9.96%	10.00%	10.02%	8.04%	7.81%	10.78%	12.00%	10.37%	9.34%	8.76%	4.98%	7.39%	13.64%	7.54%	7.44%	10.19%	7.71%	6.72%	10.92%	5.87%	9.82%	9.12%	10.50%	9.75%	9.59%	6.90%	9.90%	11.49%	9.11%	8.91%	8.21%	11.01%	2.91%	5.88%	3.33%	3.08%	1.53%	3.66%	3.58%	3.93%	8.83%	9.45%	12.28%	9.95%	12.66%	7.96%	11.55%	5.23%	6.28%	6.16%	3.11%	6.93%	3.32%	5.81%	4.12%	11.08%	12.60%	2.62%	11.66%	5.70%	6.08%	5.95%	5.00%	9.57%	4.81%	3.47%	9.79%	9.76%	7.14%	4.90%	5.98%	6.84%	6.71%	1.05%	7.54%	4.62%	13.92%	8.70%	8.84%	11.09%	7.18%	7.88%	7.43%	1.23%	2.30%	4.62%	8.06%	5.54%	6.13%	10.16%	13.16%	3.56%	11.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4227	140	125	182	60	65	47	71	168	114	153	45	150	135	36	130	76	130	56	61	58	34	81	26	160	147	24	158	69	110	45	63	107	0	2	4	1	1	6	4	4	46	34	48	45	23	35	44	5	13	2	5	11	9	4	2	40	35	5	32	16	22	29	11	27	33	8	25	6	5	4	14	4	3	1	18	0	12	59	55	46	42	45	8	13	3	13	8	12	7	2	92	5	93					
		7.23%	8.11%	8.17%	11.26%	5.42%	7.81%	2.48%	14.95%	9.07%	7.66%	8.49%	2.87%	7.19%	13.06%	5.54%	7.38%	12.10%	11.01%	9.18%	8.65%	5.49%	6.81%	7.17%	11.87%	11.99%	7.79%	8.28%	13.72%	15.86%	13.19%	12.93%	8.48%	9.06%	0.00%	1.31%	2.67%	0.77%	0.76%	1.10%	1.19%	2.25%	4.10%	6.98%	10.53%	10.18%	9.70%	8.20%	8.61%	2.91%	3.02%	0.95%	3.11%	4.01%	2.99%	4.65%	2.06%	5.41%	4.05%	2.62%	4.19%	2.76%	3.72%	7.84%	2.89%	8.91%	6.90%	2.31%	6.44%	7.32%	2.55%	1.03%	2.99%	1.52%	2.01%	1.05%	3.16%	0.00%	5.06%	9.69%	11.85%	8.65%	7.18%	6.82%	5.41%	16.05%	3.45%	5.00%	3.79%	3.69%	3.30%	0.40%	10.09%	1.98%	12.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	520	9	11	36	89	1	16	8	7	13	14	1	11	11	2	6	6	9	6	13	2	10	8	3	17	25	2	11	4	5	2	6	6	0	0	0	2	0	0	1	3	12	7	8	6	2	3	4	0	4	0	1	1	2	1	2	0	4	0	3	4	5	1	0	0	8	3	3	0	3	1	2	2	1	0	8	0	1	2	2	2	1	5	0	2	0	0	0	6	0	2	13	0	7					
		0.89%	0.52%	0.72%	2.23%	8.04%	0.12%	0.85%	1.68%	0.38%	0.87%	0.78%	0.06%	0.53%	1.06%	0.31%	0.34%	0.96%	0.76%	0.98%	1.84%	0.19%	2.00%	0.71%	1.37%	1.27%	1.32%	0.69%	0.95%	0.92%	0.60%	0.57%	0.81%	0.51%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.30%	1.69%	1.07%	1.44%	1.75%	1.36%	0.84%	0.70%	0.78%	0.00%	0.93%	0.00%	0.62%	0.36%	0.66%	1.16%	2.06%	0.00%	0.46%	0.00%	0.39%	0.69%	0.84%	0.27%	0.00%	0.00%	1.67%	0.87%	0.77%	0.00%	1.53%	0.26%	0.43%	0.76%	0.67%	0.00%	1.40%	0.00%	0.42%	0.33%	0.43%	0.38%	0.17%	0.76%	0.00%	2.47%	0.00%	0.00%	0.00%	1.85%	0.00%	0.40%	1.43%	0.00%	0.91%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9665	316	326	348	163	132	306	115	317	282	331	213	305	286	96	246	98	155	87	119	107	114	150	35	282	230	71	270	90	189	73	141	187	5	25	10	40	19	54	6	31	251	77	54	85	43	82	142	32	75	37	57	18	51	19	4	67	63	47	54	106	35	44	22	52	78	104	69	5	32	14	87	61	32	14	114	30	71	83	80	78	71	210	17	9	3	14	18	107	35	6	183	11	142					
		16.54%	18.30%	21.31%	21.53%	14.72%	15.87%	16.17%	24.21%	17.12%	18.95%	18.36%	13.60%	14.63%	27.66%	14.77%	13.97%	15.61%	13.12%	14.26%	16.88%	10.12%	22.85%	13.27%	15.98%	21.14%	12.19%	24.48%	23.44%	20.69%	22.66%	20.98%	18.98%	15.83%	0.97%	16.34%	6.67%	30.77%	14.50%	9.89%	1.79%	17.42%	22.39%	15.81%	11.84%	19.23%	18.14%	19.20%	27.79%	18.60%	17.44%	17.54%	35.40%	6.57%	16.94%	22.09%	4.12%	9.05%	7.28%	24.61%	7.08%	18.31%	5.91%	11.89%	5.79%	17.16%	16.32%	30.06%	17.78%	6.10%	16.33%	3.61%	18.59%	23.19%	21.48%	14.74%	20.00%	17.34%	29.96%	13.63%	17.24%	14.66%	12.14%	31.82%	11.49%	11.11%	3.45%	5.38%	8.53%	32.92%	16.51%	1.20%	20.07%	4.35%	18.54%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	737	27	25	44	11	7	29	8	30	29	37	13	24	17	11	29	7	8	3	14	11	21	7	3	34	20	3	18	4	13	4	4	16	0	2	0	2	0	4	0	0	11	20	4	3	5	4	8	0	7	0	0	1	0	0	2	0	10	2	9	3	2	0	4	3	1	3	4	1	0	2	3	1	0	0	5	1	6	12	2	7	4	11	1	1	1	6	1	4	0	2	16	1	4					
		1.26%	1.56%	1.63%	2.72%	0.99%	0.84%	1.53%	1.68%	1.62%	1.95%	2.05%	0.83%	1.15%	1.64%	1.69%	1.65%	1.11%	0.68%	0.49%	1.99%	1.04%	4.21%	0.62%	1.37%	2.55%	1.06%	1.03%	1.56%	0.92%	1.56%	1.15%	0.54%	1.35%	0.00%	1.31%	0.00%	1.54%	0.00%	0.73%	0.00%	0.00%	0.98%	4.11%	0.88%	0.68%	2.11%	0.94%	1.57%	0.00%	1.63%	0.00%	0.00%	0.36%	0.00%	0.00%	2.06%	0.00%	1.16%	1.05%	1.18%	0.52%	0.34%	0.00%	1.05%	0.99%	0.21%	0.87%	1.03%	1.22%	0.00%	0.52%	0.64%	0.38%	0.00%	0.00%	0.88%	0.58%	2.53%	1.97%	0.43%	1.32%	0.68%	1.67%	0.68%	1.23%	1.15%	2.31%	0.47%	1.23%	0.00%	0.40%	1.75%	0.40%	0.52%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	37150	1002	867	822	680	561	1257	216	1124	864	1076	1208	1418	435	446	1198	373	780	403	413	802	266	770	125	676	1251	164	559	210	423	190	455	723	489	114	131	70	106	431	311	129	675	252	281	229	132	263	239	100	296	121	93	182	227	54	81	548	643	132	570	388	491	273	324	186	332	211	243	61	138	346	331	150	100	77	366	121	111	397	277	339	413	328	108	54	78	213	166	164	157	435	475	226	415					
		63.58%	58.02%	56.67%	50.87%	61.43%	67.43%	66.44%	45.47%	60.69%	58.06%	59.68%	77.14%	68.01%	42.07%	68.62%	68.03%	59.39%	66.05%	66.07%	58.58%	75.88%	53.31%	68.14%	57.08%	50.67%	66.30%	56.55%	48.52%	48.28%	50.72%	54.60%	61.24%	61.22%	94.77%	74.51%	87.33%	53.85%	80.92%	78.94%	92.84%	72.47%	60.21%	51.75%	61.62%	51.81%	55.70%	61.59%	46.77%	58.14%	68.84%	57.35%	57.76%	66.42%	75.42%	62.79%	83.51%	74.05%	74.34%	69.11%	74.71%	67.01%	82.94%	73.78%	85.26%	61.39%	69.46%	60.98%	62.63%	74.39%	70.41%	89.18%	70.73%	57.03%	67.11%	81.05%	64.21%	69.94%	46.84%	65.19%	59.70%	63.72%	70.60%	49.70%	72.97%	66.67%	89.66%	81.92%	78.67%	50.46%	74.06%	86.65%	52.08%	89.33%	54.18%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	218	5	7	10	1	1	8	0	1	13	5	2	4	1	2	8	2	1	7	3	4	1	5	1	10	13	2	6	2	1	1	2	3	0	0	0	0	0	0	1	0	13	6	1	1	1	1	6	0	0	17	0	0	0	0	0	0	1	0	1	3	0	0	0	3	1	1	1	0	0	0	1	0	0	2	6	0	0	3	1	0	3	5	0	0	0	0	1	3	0	2	0	0	1					
		0.37%	0.29%	0.46%	0.62%	0.09%	0.12%	0.42%	0.00%	0.05%	0.87%	0.28%	0.13%	0.19%	0.10%	0.31%	0.45%	0.32%	0.08%	1.15%	0.43%	0.38%	0.20%	0.44%	0.46%	0.75%	0.69%	0.69%	0.52%	0.46%	0.12%	0.29%	0.27%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	1.16%	1.23%	0.22%	0.23%	0.42%	0.23%	1.17%	0.00%	0.00%	8.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.13%	0.52%	0.00%	0.00%	0.00%	0.99%	0.21%	0.29%	0.26%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	2.11%	1.05%	0.00%	0.00%	0.49%	0.22%	0.00%	0.51%	0.76%	0.00%	0.00%	0.00%	0.00%	0.47%	0.92%	0.00%	0.40%	0.00%	0.00%	0.13%					
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
