Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																														
Дата голосования: 02.12.2007																																																																																																														
																																																																																																														
Наименование Избирательной комиссии:    Белорецкая																																																																																																														
																																																																																																														
Сводная таблица результатов выборов																																																																																																														
																																																																																																														
		Сумма	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	911	11	40	18	10	13	13	19	14	17	12	12	10	18	20	25	33	53	12	9	6	16	16	3	10	20	15	7	20	5	25	3	4	13	5	3	6	5	3	2	4	3	2	7	4	3	2	2	2	2	3	0	8	27	25	3	20	2	12	3	2	2	15	5	3	2	2	2	2	5	5	3	6	12	15	5	10	1	0	0	0	2	2	30	2	15	7	8	7	3	6	3	3	13	5	3	5	5	5	3	2	3	2	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	829	11	40	18	10	13	13	19	14	17	12	11	10	18	20	25	33	53	10	9	6	16	14	1	10	19	15	7	20	4	22	3	4	5	4	3	3	5	3	0	1	3	2	7	4	3	0	0	0	2	0	0	8	27	25	0	20	0	0	3	2	2	15	5	0	2	1	2	0	5	5	3	3	12	15	4	8	1	0	0	0	0	0	30	2	15	7	7	7	3	6	3	1	13	5	3	5	5	5	1	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	797	5	15	8	10	6	10	9	13	8	4	1	8	9	8	7	8	19	7	4	7	21	22	3	5	17	9	235	17	3	11	1	44	4	6	4	3	8	31	1	1	1	1	0	5	36	5	1	0	2	4	0	0	3	5	0	6	1	0	2	4	3	7	5	8	0	2	0	0	0	2	7	3	5	3	6	5	3	2	0	2	3	1	5	0	4	1	1	2	0	2	4	2	2	1	1	6	4	2	2	1	1	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	82	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	2	0	1	0	0	0	1	3	0	0	8	1	0	3	0	0	2	3	0	0	0	0	0	2	2	2	0	3	0	0	0	0	3	0	2	12	0	0	0	0	0	3	0	1	0	2	0	0	0	3	0	0	1	2	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	1	3	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	89	1	3	2	3	2	1	1	1	2	0	2	1	3	0	1	2	0	3	6	0	2	2	0	1	1	2	3	3	2	8	0	3	0	4	2	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	1	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																														
18	1.Политическая партия «Аграрная партия России»	468	18	2	9	15	6	6	8	11	10	19	20	7	14	4	4	17	15	0	3	1	7	3	2	6	2	9	21	2	4	7	2	3	6	1	11	4	15	5	3	5	8	0	3	7	4	0	0	2	0	0	0	2	2	0	1	0	0	0	1	1	2	2	5	8	1	0	0	1	2	3	6	1	2	1	19	6	0	0	0	1	0	0	2	0	9	0	0	3	4	7	5	1	3	6	8	0	13	2	0	3	4	0	0					
		0.84%	1.50%	0.19%	0.85%	1.01%	0.85%	0.85%	0.87%	0.86%	0.74%	2.15%	2.59%	0.97%	2.48%	0.80%	0.37%	1.44%	1.19%	0.00%	0.28%	0.31%	0.68%	0.21%	0.72%	0.56%	0.21%	0.92%	1.53%	0.23%	1.00%	0.50%	0.82%	0.38%	1.20%	0.16%	1.50%	0.72%	2.31%	1.74%	1.79%	2.56%	3.04%	0.00%	5.26%	1.48%	0.87%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	1.22%	0.25%	0.00%	0.41%	0.00%	0.00%	0.00%	0.21%	0.33%	0.71%	0.40%	1.14%	2.62%	0.77%	0.00%	0.00%	1.28%	1.08%	0.71%	1.41%	0.34%	0.49%	0.26%	2.25%	0.41%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.24%	0.00%	2.30%	0.00%	0.00%	1.56%	0.86%	1.12%	0.78%	0.18%	0.36%	0.96%	1.55%	0.00%	2.60%	0.64%	0.00%	0.77%	1.62%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	161	5	1	14	10	2	4	2	4	2	3	3	5	6	5	1	9	7	4	1	1	2	2	2	5	1	2	12	2	2	3	0	2	1	1	5	0	3	0	0	1	1	1	0	1	2	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0					
		0.29%	0.42%	0.09%	1.32%	0.67%	0.28%	0.57%	0.22%	0.31%	0.15%	0.34%	0.39%	0.69%	1.06%	1.00%	0.09%	0.76%	0.55%	0.43%	0.09%	0.31%	0.19%	0.14%	0.72%	0.47%	0.11%	0.21%	0.88%	0.23%	0.50%	0.22%	0.00%	0.25%	0.20%	0.16%	0.68%	0.00%	0.46%	0.00%	0.00%	0.51%	0.38%	0.72%	0.00%	0.21%	0.43%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.38%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.23%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.26%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.12%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.16%	0.16%	0.00%	0.00%	0.16%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	58	0	0	3	2	2	1	0	1	2	2	2	1	1	0	0	2	0	0	0	0	1	0	0	2	1	2	5	0	1	4	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	1	2	2	0	2	1	0	1	0	0	0					
		0.10%	0.00%	0.00%	0.28%	0.13%	0.28%	0.14%	0.00%	0.08%	0.15%	0.23%	0.26%	0.14%	0.18%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.19%	0.11%	0.21%	0.36%	0.00%	0.25%	0.29%	0.41%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.36%	0.12%	0.32%	0.39%	0.00%	0.40%	0.32%	0.00%	0.26%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5027	145	106	120	179	60	107	138	161	146	103	118	93	67	70	90	140	105	63	58	36	137	145	9	66	42	86	185	77	30	164	11	16	38	23	61	58	36	21	34	23	30	2	6	38	5	0	1	5	4	41	56	5	66	42	19	18	0	1	2	3	26	43	29	27	3	5	6	0	9	22	44	44	56	10	41	100	3	2	1	6	4	17	105	18	26	1	7	19	48	60	13	15	143	155	44	18	42	5	39	41	6	12	1					
		8.98%	12.04%	9.89%	11.35%	12.05%	8.55%	15.16%	15.03%	12.59%	10.86%	11.66%	15.30%	12.90%	11.88%	14.03%	8.33%	11.82%	8.30%	6.80%	5.34%	11.15%	13.31%	9.94%	3.25%	6.14%	4.46%	8.84%	13.50%	9.01%	7.52%	11.79%	4.53%	2.01%	7.57%	3.76%	8.34%	10.38%	5.54%	7.29%	20.24%	11.79%	11.41%	1.44%	10.53%	8.03%	1.08%	0.00%	0.71%	3.47%	2.74%	5.39%	6.54%	3.05%	8.21%	8.03%	7.79%	7.50%	0.00%	1.14%	0.41%	1.00%	9.29%	8.65%	6.64%	8.85%	2.31%	5.62%	5.36%	0.00%	4.86%	5.18%	10.35%	14.97%	13.66%	2.62%	4.86%	6.84%	1.62%	2.74%	1.08%	2.21%	1.61%	10.06%	12.74%	7.17%	6.65%	1.67%	8.97%	9.90%	10.28%	9.60%	2.03%	2.72%	17.02%	24.72%	8.53%	4.86%	8.40%	1.60%	11.27%	10.49%	2.43%	8.05%	1.23%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	129	5	1	4	9	2	1	6	3	8	1	5	3	2	1	1	6	5	2	1	0	7	3	2	2	1	7	4	2	0	0	0	1	3	0	6	1	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	4	3	0	1	1	0	0	0	0	1	0	0	0	0					
		0.23%	0.42%	0.09%	0.38%	0.61%	0.28%	0.14%	0.65%	0.23%	0.59%	0.11%	0.65%	0.42%	0.35%	0.20%	0.09%	0.51%	0.40%	0.22%	0.09%	0.00%	0.68%	0.21%	0.72%	0.19%	0.11%	0.72%	0.29%	0.23%	0.00%	0.00%	0.00%	0.13%	0.60%	0.00%	0.82%	0.18%	0.00%	1.04%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.61%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.07%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.64%	0.47%	0.00%	0.12%	0.16%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	62	1	2	2	2	1	0	1	1	3	1	2	0	1	0	2	3	1	0	1	0	2	0	0	4	1	4	6	0	0	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0					
		0.11%	0.08%	0.19%	0.19%	0.13%	0.14%	0.00%	0.11%	0.08%	0.22%	0.11%	0.26%	0.00%	0.18%	0.00%	0.19%	0.25%	0.08%	0.00%	0.09%	0.00%	0.19%	0.00%	0.00%	0.37%	0.11%	0.41%	0.44%	0.00%	0.00%	0.14%	0.41%	0.00%	0.00%	0.00%	0.27%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.68%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.16%	0.00%	0.12%	0.00%	0.00%	0.00%	0.20%	0.32%	0.29%	0.00%	0.40%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2479	97	46	68	81	37	56	51	95	100	62	40	48	40	44	50	72	44	4	5	31	91	46	4	20	38	69	111	28	33	146	19	25	55	3	55	32	15	16	1	3	10	1	4	26	5	0	1	2	2	15	16	0	7	8	9	9	0	0	1	2	17	40	19	1	2	0	0	0	0	14	13	12	28	6	42	66	2	3	5	5	4	0	11	1	20	1	4	2	17	30	8	2	36	14	17	13	14	0	0	10	1	0	0					
		4.43%	8.06%	4.29%	6.43%	5.45%	5.27%	7.93%	5.56%	7.43%	7.43%	7.02%	5.19%	6.66%	7.09%	8.82%	4.63%	6.08%	3.48%	0.43%	0.46%	9.60%	8.84%	3.15%	1.44%	1.86%	4.04%	7.09%	8.10%	3.27%	8.27%	10.50%	7.82%	3.13%	10.96%	0.49%	7.52%	5.72%	2.31%	5.56%	0.60%	1.54%	3.80%	0.72%	7.02%	5.50%	1.08%	0.00%	0.71%	1.39%	1.37%	1.97%	1.87%	0.00%	0.87%	1.53%	3.69%	3.75%	0.00%	0.00%	0.21%	0.67%	6.07%	8.05%	4.35%	0.33%	1.54%	0.00%	0.00%	0.00%	0.00%	3.29%	3.06%	4.08%	6.83%	1.57%	4.98%	4.51%	1.08%	4.11%	5.38%	1.84%	1.61%	0.00%	1.33%	0.40%	5.12%	1.67%	5.13%	1.04%	3.64%	4.80%	1.25%	0.36%	4.29%	2.23%	3.29%	3.51%	2.80%	0.00%	0.00%	2.56%	0.40%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2886	85	75	80	95	55	74	96	108	100	75	85	73	53	50	66	90	56	15	39	28	64	87	15	74	37	94	83	51	37	134	16	20	33	28	36	25	18	8	3	6	13	1	3	33	5	0	4	3	1	16	6	7	51	0	8	4	2	1	1	2	21	37	45	2	4	0	0	0	5	23	22	15	7	11	14	45	1	0	0	0	1	0	3	7	8	1	1	4	23	20	11	3	61	16	20	0	7	5	0	9	6	0	0					
		5.16%	7.06%	6.99%	7.57%	6.39%	7.83%	10.48%	10.46%	8.44%	7.43%	8.49%	11.02%	10.12%	9.40%	10.02%	6.11%	7.60%	4.43%	1.62%	3.59%	8.67%	6.22%	5.96%	5.42%	6.88%	3.93%	9.66%	6.06%	5.96%	9.27%	9.63%	6.58%	2.51%	6.57%	4.58%	4.92%	4.47%	2.77%	2.78%	1.79%	3.08%	4.94%	0.72%	5.26%	6.98%	1.08%	0.00%	2.86%	2.08%	0.68%	2.11%	0.70%	4.27%	6.34%	0.00%	3.28%	1.67%	2.30%	1.14%	0.21%	0.67%	7.50%	7.44%	10.30%	0.66%	3.08%	0.00%	0.00%	0.00%	2.70%	5.41%	5.18%	5.10%	1.71%	2.88%	1.66%	3.08%	0.54%	0.00%	0.00%	0.00%	0.40%	0.00%	0.36%	2.79%	2.05%	1.67%	1.28%	2.08%	4.93%	3.20%	1.72%	0.54%	7.26%	2.55%	3.88%	0.00%	1.40%	1.60%	0.00%	2.30%	2.43%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	254	11	2	7	9	5	8	1	9	6	5	5	4	1	4	5	7	3	5	0	0	10	0	2	2	1	11	7	4	6	12	2	1	3	2	3	3	0	2	1	3	0	0	0	4	0	3	0	0	0	3	0	1	2	1	2	2	0	1	1	0	1	0	3	2	1	0	1	0	0	4	4	1	0	0	2	6	1	0	0	2	2	0	1	1	3	0	0	0	0	0	6	0	8	2	4	0	2	2	0	2	0	0	1					
		0.45%	0.91%	0.19%	0.66%	0.61%	0.71%	1.13%	0.11%	0.70%	0.45%	0.57%	0.65%	0.55%	0.18%	0.80%	0.46%	0.59%	0.24%	0.54%	0.00%	0.00%	0.97%	0.00%	0.72%	0.19%	0.11%	1.13%	0.51%	0.47%	1.50%	0.86%	0.82%	0.13%	0.60%	0.33%	0.41%	0.54%	0.00%	0.69%	0.60%	1.54%	0.00%	0.00%	0.00%	0.85%	0.00%	2.08%	0.00%	0.00%	0.00%	0.39%	0.00%	0.61%	0.25%	0.19%	0.82%	0.83%	0.00%	1.14%	0.21%	0.00%	0.36%	0.00%	0.69%	0.66%	0.77%	0.00%	0.89%	0.00%	0.00%	0.94%	0.94%	0.34%	0.00%	0.00%	0.24%	0.41%	0.54%	0.00%	0.00%	0.74%	0.80%	0.00%	0.12%	0.40%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.95%	0.32%	0.78%	0.00%	0.40%	0.64%	0.00%	0.51%	0.00%	0.00%	1.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	43747	814	832	736	1071	522	435	594	877	945	594	483	475	367	312	847	818	1003	834	978	222	696	1167	235	880	815	673	921	684	281	906	190	696	353	550	548	430	554	230	121	153	192	132	41	352	438	139	132	115	139	673	770	146	668	462	195	203	79	85	462	290	213	370	331	255	117	84	105	77	168	350	331	214	314	349	719	1214	176	66	87	257	236	151	693	224	318	57	64	164	374	502	586	528	580	425	409	337	415	295	293	321	208	136	79					
		78.17%	67.61%	77.61%	69.63%	72.07%	74.36%	61.61%	64.71%	68.57%	70.26%	67.27%	62.65%	65.88%	65.07%	62.53%	78.35%	69.09%	79.29%	89.97%	89.97%	68.73%	67.64%	79.99%	84.84%	81.86%	86.61%	69.17%	67.23%	80.00%	70.43%	65.13%	78.19%	87.22%	70.32%	90.02%	74.97%	76.92%	85.23%	79.86%	72.02%	78.46%	73.00%	94.96%	71.93%	74.42%	95.01%	96.53%	94.29%	79.86%	95.21%	88.55%	89.95%	89.02%	83.08%	88.34%	79.92%	84.58%	90.80%	96.59%	95.26%	96.67%	76.07%	74.45%	75.74%	83.61%	90.00%	94.38%	93.75%	98.72%	90.81%	82.35%	77.88%	72.79%	76.59%	91.36%	85.19%	82.98%	95.14%	90.41%	93.55%	94.49%	94.78%	89.35%	84.10%	89.24%	81.33%	95.00%	82.05%	85.42%	80.09%	80.32%	91.56%	95.83%	69.05%	67.78%	79.26%	91.08%	83.00%	94.25%	84.68%	82.10%	84.21%	91.28%	97.53%					
