Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																														
Дата голосования: 18.09.2016																																																																														
																																																																														
"Наименование Избирательной комиссии:    Набережные Челны, Центральная"																																																																														
																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																														
																																																																														
		Сумма	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2253	65	65	55	60	55	35	30	30	30	30	30	30	30	30	30	30	30	20	20	20	20	30	40	30	30	40	40	50	30	50	30	30	38	20	30	35	40	30	30	20	30	30	40	50	40	30	30	20	30	30	20	20	20	20	20	20	40	30	30	40	30	45	50	41	49	20	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1754	50	57	51	60	49	22	26	23	30	26	20	30	30	25	24	23	14	15	15	16	14	20	31	30	20	30	39	38	29	43	19	19	30	19	18	29	40	18	24	18	14	30	33	41	30	26	25	20	13	19	15	16	9	12	10	10	27	24	29	14	30	32	40	26	30	20	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	771	21	19	31	14	21	17	30	13	5	34	12	10	9	10	0	34	0	5	0	4	13	11	7	26	3	9	9	9	4	0	4	15	37	9	15	10	9	10	16	10	4	5	11	13	40	16	15	12	13	3	9	11	8	2	7	10	2	6	5	9	4	3	13	4	18	8	5									
14	Число погашенных неиспользованных открепительных удостоверений	499	15	8	4	0	6	13	4	7	0	4	10	0	0	5	6	7	16	5	5	4	6	10	9	0	10	10	1	12	1	7	11	11	8	1	12	6	0	12	6	2	16	0	7	9	10	4	5	0	17	11	5	4	11	8	10	10	13	6	1	26	0	13	10	15	19	0	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	0	0	2	1	3	1	2	3	0	0	3	1	2	1	1	3	1	2	0	1	2	2	2	1	4	1	1	2	1	2	0	6	0	1	3	2	3	2	3	1	1	2	1	0	3	3	1	1	1	2	0	0	3	2	0	2	3	0	2	2	1	3	4	1	0	3	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	178	7	6	10	2	3	0	5	4	4	1	3	8	1	1	3	3	21	1	2	2	1	6	8	4	0	2	4	4	2	1	2	1	1	1	2	0	6	3	1	2	1	1	2	4	3	2	0	0	2	1	0	1	0	3	2	1	2	2	0	0	3	2	1	1	1	3	2									
		0.15%	0.51%	0.30%	0.63%	0.10%	0.16%	0.00%	0.25%	0.21%	0.20%	0.05%	0.16%	0.38%	0.05%	0.06%	0.17%	0.16%	1.17%	0.06%	0.15%	0.14%	0.10%	0.33%	0.41%	0.20%	0.00%	0.13%	0.26%	0.21%	0.10%	0.05%	0.12%	0.05%	0.06%	0.06%	0.11%	0.00%	0.31%	0.16%	0.05%	0.20%	0.05%	0.06%	0.10%	0.21%	0.16%	0.12%	0.00%	0.00%	0.11%	0.05%	0.00%	0.07%	0.00%	0.18%	0.20%	0.09%	0.12%	0.11%	0.00%	0.00%	0.17%	0.11%	0.05%	0.06%	0.06%	0.20%	0.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	17399	218	319	271	277	284	259	286	291	300	293	279	357	273	250	265	287	55	248	215	196	187	298	283	281	294	249	251	319	225	263	284	292	261	263	279	238	313	284	301	168	281	248	293	275	324	234	270	278	286	257	230	237	226	260	176	179	244	230	263	254	248	275	267	234	279	232	263									
		14.99%	15.92%	15.84%	16.94%	14.24%	14.88%	15.71%	14.56%	15.63%	15.06%	15.31%	15.19%	17.11%	14.14%	15.22%	15.12%	15.00%	3.06%	15.18%	16.56%	13.91%	18.81%	16.48%	14.57%	13.93%	15.41%	16.30%	16.13%	16.96%	11.59%	14.24%	16.40%	15.80%	15.37%	15.57%	14.99%	14.03%	15.98%	15.05%	15.03%	16.88%	14.58%	16.05%	14.09%	14.57%	17.01%	13.88%	15.06%	14.99%	15.25%	13.24%	16.21%	16.64%	15.06%	15.88%	17.55%	15.65%	14.38%	12.58%	12.90%	15.00%	14.37%	15.59%	14.61%	14.75%	15.99%	15.11%	15.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	166	7	2	9	4	5	0	4	9	6	2	1	8	1	1	2	0	26	1	4	1	1	7	1	5	0	2	4	2	1	1	1	1	1	1	1	0	2	3	1	1	1	1	1	3	1	1	0	0	2	3	0	1	1	3	1	1	2	2	0	0	3	1	2	1	2	2	2									
		0.14%	0.51%	0.10%	0.56%	0.21%	0.26%	0.00%	0.20%	0.48%	0.30%	0.10%	0.05%	0.38%	0.05%	0.06%	0.11%	0.00%	1.45%	0.06%	0.31%	0.07%	0.10%	0.39%	0.05%	0.25%	0.00%	0.13%	0.26%	0.11%	0.05%	0.05%	0.06%	0.05%	0.06%	0.06%	0.05%	0.00%	0.10%	0.16%	0.05%	0.10%	0.05%	0.06%	0.05%	0.16%	0.05%	0.06%	0.00%	0.00%	0.11%	0.15%	0.00%	0.07%	0.07%	0.18%	0.10%	0.09%	0.12%	0.11%	0.00%	0.00%	0.17%	0.06%	0.11%	0.06%	0.11%	0.13%	0.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	92266	1077	1604	1216	1586	1542	1307	1578	1453	1589	1590	1472	1612	1580	1299	1402	1568	1323	1268	949	1153	741	1411	1573	1608	1545	1193	1195	1480	1356	1491	1342	1501	1354	1334	1489	1368	1528	1503	1602	737	1637	1202	1768	1528	1533	1272	1434	1328	1501	1586	1146	1140	1215	1302	761	885	1367	1480	1689	1388	1398	1429	1483	1279	1395	1228	1373									
		79.49%	78.67%	79.64%	76.00%	81.54%	80.82%	79.26%	80.35%	78.03%	79.77%	83.07%	80.13%	77.28%	81.82%	79.06%	79.98%	81.97%	73.58%	77.60%	73.11%	81.83%	74.55%	78.04%	80.99%	79.72%	80.97%	78.08%	76.80%	78.68%	69.86%	80.73%	77.48%	81.22%	79.74%	78.98%	80.01%	80.66%	77.99%	79.65%	79.98%	74.07%	84.95%	77.80%	85.00%	80.98%	80.47%	75.44%	79.98%	71.63%	80.01%	81.71%	80.76%	80.06%	80.95%	79.54%	75.87%	77.36%	80.55%	80.92%	82.83%	81.98%	80.99%	81.01%	81.17%	80.64%	79.99%	80.00%	80.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	119	4	3	9	2	2	0	2	4	6	0	1	2	0	1	4	4	17	1	3	2	1	1	2	3	0	0	3	4	1	2	1	2	1	2	1	0	0	3	0	2	0	1	1	2	0	0	0	0	1	0	0	1	0	3	2	1	2	1	0	0	0	1	1	1	3	1	1									
		0.10%	0.29%	0.15%	0.56%	0.10%	0.10%	0.00%	0.10%	0.21%	0.30%	0.00%	0.05%	0.10%	0.00%	0.06%	0.23%	0.21%	0.95%	0.06%	0.23%	0.14%	0.10%	0.06%	0.10%	0.15%	0.00%	0.00%	0.19%	0.21%	0.05%	0.11%	0.06%	0.11%	0.06%	0.12%	0.05%	0.00%	0.00%	0.16%	0.00%	0.20%	0.00%	0.06%	0.05%	0.11%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.07%	0.00%	0.18%	0.20%	0.09%	0.12%	0.05%	0.00%	0.00%	0.00%	0.06%	0.05%	0.06%	0.17%	0.07%	0.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	108	2	3	8	3	2	0	2	2	2	2	1	6	0	1	9	4	11	0	2	1	1	1	2	1	0	0	2	2	1	1	6	3	1	0	3	0	2	2	0	2	0	0	1	3	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	2	1	2	1	1									
		0.09%	0.15%	0.15%	0.50%	0.15%	0.10%	0.00%	0.10%	0.11%	0.10%	0.10%	0.05%	0.29%	0.00%	0.06%	0.51%	0.21%	0.61%	0.00%	0.15%	0.07%	0.10%	0.06%	0.10%	0.05%	0.00%	0.00%	0.13%	0.11%	0.05%	0.05%	0.35%	0.16%	0.06%	0.00%	0.16%	0.00%	0.10%	0.11%	0.00%	0.20%	0.00%	0.00%	0.05%	0.16%	0.05%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.09%	0.06%	0.05%	0.00%	0.00%	0.00%	0.00%	0.11%	0.06%	0.11%	0.07%	0.06%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	947	15	24	1	4	14	0	6	7	8	1	16	4	1	2	7	4	103	12	14	18	14	19	18	22	21	15	21	15	13	15	21	12	22	22	21	0	22	14	23	23	2	22	5	3	9	19	0	20	21	23	8	9	13	8	20	22	15	7	2	16	15	13	15	14	14	17	1									
		0.82%	1.10%	1.19%	0.06%	0.21%	0.73%	0.00%	0.31%	0.38%	0.40%	0.05%	0.87%	0.19%	0.05%	0.12%	0.40%	0.21%	5.73%	0.73%	1.08%	1.28%	1.41%	1.05%	0.93%	1.09%	1.10%	0.98%	1.35%	0.80%	0.67%	0.81%	1.21%	0.65%	1.30%	1.30%	1.13%	0.00%	1.12%	0.74%	1.15%	2.31%	0.10%	1.42%	0.24%	0.16%	0.47%	1.13%	0.00%	1.08%	1.12%	1.18%	0.56%	0.63%	0.87%	0.49%	1.99%	1.92%	0.88%	0.38%	0.10%	0.95%	0.87%	0.74%	0.82%	0.88%	0.80%	1.11%	0.06%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	160	7	5	8	2	2	0	6	8	5	1	1	12	2	1	2	2	13	1	3	1	4	5	1	4	2	7	4	3	2	1	8	2	1	1	2	0	4	2	0	2	1	1	1	2	0	0	0	0	1	0	0	2	1	2	1	1	1	2	0	0	1	0	1	1	2	1	1									
		0.14%	0.51%	0.25%	0.50%	0.10%	0.10%	0.00%	0.31%	0.43%	0.25%	0.05%	0.05%	0.58%	0.10%	0.06%	0.11%	0.10%	0.72%	0.06%	0.23%	0.07%	0.40%	0.28%	0.05%	0.20%	0.10%	0.46%	0.26%	0.16%	0.10%	0.05%	0.46%	0.11%	0.06%	0.06%	0.11%	0.00%	0.20%	0.11%	0.00%	0.20%	0.05%	0.06%	0.05%	0.11%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.14%	0.07%	0.12%	0.10%	0.09%	0.06%	0.11%	0.00%	0.00%	0.06%	0.00%	0.05%	0.06%	0.11%	0.07%	0.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	124	4	2	6	3	4	0	0	2	2	3	1	5	1	1	3	4	14	1	3	1	2	2	0	5	0	5	3	4	1	2	8	2	1	1	3	0	0	1	0	4	0	0	1	3	0	0	0	0	2	0	0	1	0	0	2	1	2	1	0	0	1	0	1	1	1	1	2									
		0.11%	0.29%	0.10%	0.38%	0.15%	0.21%	0.00%	0.00%	0.11%	0.10%	0.16%	0.05%	0.24%	0.05%	0.06%	0.17%	0.21%	0.78%	0.06%	0.23%	0.07%	0.20%	0.11%	0.00%	0.25%	0.00%	0.33%	0.19%	0.21%	0.05%	0.11%	0.46%	0.11%	0.06%	0.06%	0.16%	0.00%	0.00%	0.05%	0.00%	0.40%	0.00%	0.00%	0.05%	0.16%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.07%	0.00%	0.00%	0.20%	0.09%	0.12%	0.05%	0.00%	0.00%	0.06%	0.00%	0.05%	0.06%	0.06%	0.07%	0.12%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	80	4	1	7	1	2	0	0	2	2	0	1	7	1	1	1	1	2	1	2	0	1	1	4	1	3	0	2	2	1	1	6	1	1	0	0	0	0	2	1	2	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	1	2	1	0	0	1	0	1	1	1	1	1									
		0.07%	0.29%	0.05%	0.44%	0.05%	0.10%	0.00%	0.00%	0.11%	0.10%	0.00%	0.05%	0.34%	0.05%	0.06%	0.06%	0.05%	0.11%	0.06%	0.15%	0.00%	0.10%	0.06%	0.21%	0.05%	0.16%	0.00%	0.13%	0.11%	0.05%	0.05%	0.35%	0.05%	0.06%	0.00%	0.00%	0.00%	0.00%	0.11%	0.05%	0.20%	0.00%	0.00%	0.05%	0.11%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.09%	0.12%	0.05%	0.00%	0.00%	0.06%	0.00%	0.05%	0.06%	0.06%	0.07%	0.06%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	166	2	8	8	2	4	0	1	3	8	0	1	8	1	1	0	1	12	1	4	1	4	5	6	6	6	5	4	7	2	1	1	1	1	1	6	0	8	3	0	1	1	2	1	6	2	1	0	0	2	1	0	1	1	0	2	1	2	1	0	0	2	0	1	1	2	1	1									
		0.14%	0.15%	0.40%	0.50%	0.10%	0.21%	0.00%	0.05%	0.16%	0.40%	0.00%	0.05%	0.38%	0.05%	0.06%	0.00%	0.05%	0.67%	0.06%	0.31%	0.07%	0.40%	0.28%	0.31%	0.30%	0.31%	0.33%	0.26%	0.37%	0.10%	0.05%	0.06%	0.05%	0.06%	0.06%	0.32%	0.00%	0.41%	0.16%	0.00%	0.10%	0.05%	0.13%	0.05%	0.32%	0.10%	0.06%	0.00%	0.00%	0.11%	0.05%	0.00%	0.07%	0.07%	0.00%	0.20%	0.09%	0.12%	0.05%	0.00%	0.00%	0.12%	0.00%	0.05%	0.06%	0.11%	0.07%	0.06%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2115	1	2	37	13	29	8	47	33	46	1	32	22	2	43	33	11	134	39	29	20	18	37	31	44	23	29	43	15	103	58	42	13	41	42	42	0	20	31	44	27	1	42	2	43	20	39	0	171	46	44	19	12	28	24	20	23	30	77	9	19	31	28	30	15	22	15	20									
		1.82%	0.07%	0.10%	2.31%	0.67%	1.52%	0.49%	2.39%	1.77%	2.31%	0.05%	1.74%	1.05%	0.10%	2.62%	1.88%	0.58%	7.45%	2.39%	2.23%	1.42%	1.81%	2.05%	1.60%	2.18%	1.21%	1.90%	2.76%	0.80%	5.31%	3.14%	2.42%	0.70%	2.41%	2.49%	2.26%	0.00%	1.02%	1.64%	2.20%	2.71%	0.05%	2.72%	0.10%	2.28%	1.05%	2.31%	0.00%	9.22%	2.45%	2.27%	1.34%	0.84%	1.87%	1.47%	1.99%	2.01%	1.77%	4.21%	0.44%	1.12%	1.80%	1.59%	1.64%	0.95%	1.26%	0.98%	1.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	6	2	7	1	3	0	1	5	4	1	1	7	1	1	6	4	2	1	2	0	2	4	4	5	4	3	3	8	3	2	1	1	1	1	3	0	4	3	1	3	1	0	2	4	2	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	3	0	2	1	2	2	1									
		0.12%	0.44%	0.10%	0.44%	0.05%	0.16%	0.00%	0.05%	0.27%	0.20%	0.05%	0.05%	0.34%	0.05%	0.06%	0.34%	0.21%	0.11%	0.06%	0.15%	0.00%	0.20%	0.22%	0.21%	0.25%	0.21%	0.20%	0.19%	0.43%	0.15%	0.11%	0.06%	0.05%	0.06%	0.06%	0.16%	0.00%	0.20%	0.16%	0.05%	0.30%	0.05%	0.00%	0.10%	0.21%	0.10%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.07%	0.00%	0.00%	0.00%	0.09%	0.06%	0.05%	0.00%	0.00%	0.17%	0.00%	0.11%	0.06%	0.11%	0.13%	0.06%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1549	9	24	1	11	7	75	10	34	4	17	25	21	67	21	15	10	45	49	65	10	11	11	9	22	10	11	11	9	27	3	9	7	11	20	9	90	45	30	27	9	1	21	1	9	10	97	89	57	9	19	16	16	14	24	15	11	17	5	64	16	20	15	20	14	18	30	20									
		1.33%	0.66%	1.19%	0.06%	0.57%	0.37%	4.55%	0.51%	1.83%	0.20%	0.89%	1.36%	1.01%	3.47%	1.28%	0.86%	0.52%	2.50%	2.99%	5.01%	0.71%	1.11%	0.61%	0.46%	1.09%	0.52%	0.72%	0.71%	0.48%	1.39%	0.16%	0.52%	0.38%	0.65%	1.18%	0.48%	5.31%	2.30%	1.59%	1.35%	0.90%	0.05%	1.36%	0.05%	0.48%	0.52%	5.75%	4.96%	3.07%	0.48%	0.98%	1.13%	1.12%	0.93%	1.47%	1.50%	0.96%	1.00%	0.27%	3.14%	0.95%	1.16%	0.85%	1.09%	0.88%	1.03%	1.95%	1.18%									
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
