Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Среднеуральская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524					
		0.06%	0.0%	0.12%	0.13%	0.0%	0.13%	0.0%	0.10%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	98	14	13	14	22	7	6	10	12					
		1.58%	1.32%	1.65%	1.84%	2.46%	0.91%	1.38%	1.04%	2.28%					
30	"13. ""Демократическая партия России"""	16	2	1	1	3	4	1	3	1					
		0.25%	0.18%	0.12%	0.13%	0.33%	0.52%	0.23%	0.31%	0.19%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	4	1	2	5	3	0	3	0					
		0.29%	0.37%	0.12%	0.26%	0.55%	0.39%	0.0%	0.31%	0.0%					
32	"15. ""Партия СЛОН"""	6	1	1	1	1	2	0	0	0					
		0.09%	0.09%	0.12%	0.13%	0.11%	0.26%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	380	49	53	46	67	45	30	59	31					
		6.14%	4.62%	6.75%	6.06%	7.49%	5.88%	6.91%	6.15%	5.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	1	1	0	2	0	1	2	1					
		0.12%	0.09%	0.12%	0.0%	0.22%	0.0%	0.23%	0.20%	0.19%					
35	"18. ""ЛДПР"""	881	188	108	110	114	98	59	120	84					
		14.25%	17.75%	13.75%	14.51%	12.75%	12.81%	13.59%	12.51%	16.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	113	16	12	16	14	18	7	16	14					
		1.82%	1.51%	1.52%	2.11%	1.56%	2.35%	1.61%	1.66%	2.66%					
37	"20. ""Политическая партия ""Единая Россия"""	2385	404	307	301	345	307	156	385	180					
		38.59%	38.14%	39.10%	39.70%	38.59%	40.13%	35.94%	40.14%	34.28%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	3	2	2	2	1	1	0	2					
		0.21%	0.28%	0.25%	0.26%	0.22%	0.13%	0.23%	0.0%	0.38%					
39	"22. ""Развитие предпринимательства"""	17	2	4	1	1	4	0	5	0					
		0.27%	0.18%	0.50%	0.13%	0.11%	0.52%	0.0%	0.52%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	408	63	47	58	65	47	38	56	34					
		6.60%	5.94%	5.98%	7.65%	7.27%	6.14%	8.75%	5.83%	6.47%					
															
41	Против всех	225	31	34	16	29	24	25	43	23					
		3.64%	2.92%	4.33%	2.11%	3.24%	3.13%	5.76%	4.48%	4.38%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
