Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Гатчинская 113																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №462	УИК №463	УИК №464	УИК №465									
		0.21%	0.40%	0.00%	0.00%	0.13%	0.00%	0.00%	0.53%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.76%	0.17%	0.17%	0.13%	0.21%	0.39%	0.29%	0.16%	0.13%	0.00%	0.00%	0.30%	0.16%	0.19%	0.00%	0.42%	0.00%	0.00%	0.50%	0.28%	0.00%	0.12%	0.23%	0.21%	0.25%	0.00%	0.00%	0.51%	0.13%	0.13%	0.00%	0.00%	0.43%	0.24%	0.35%	0.65%	1.90%	0.32%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3311	72	35	15	122	50	20	19	52	23	68	18	22	89	73	121	85	72	108	74	68	80	78	182	42	41	86	38	30	39	22	65	39	57	68	111	52	84	55	12	26	33	52	94	59	29	120	157	37	50	55	99	113									
		13.17%	14.57%	12.15%	7.11%	15.66%	15.43%	12.12%	10.00%	18.37%	10.04%	14.62%	17.82%	22.68%	15.32%	18.48%	21.12%	14.05%	9.57%	11.32%	14.40%	9.87%	13.14%	10.17%	14.50%	11.26%	12.39%	13.33%	7.20%	6.47%	16.25%	12.36%	14.61%	9.80%	16.06%	8.17%	13.34%	12.12%	17.28%	13.96%	3.43%	13.76%	16.67%	6.97%	12.05%	12.47%	13.74%	17.29%	19.05%	13.12%	16.18%	11.60%	15.66%	15.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	245	5	3	4	9	9	4	4	6	5	2	3	2	4	3	3	12	9	9	9	8	5	3	10	0	5	6	4	0	1	4	5	5	0	5	7	2	4	6	1	2	1	14	6	7	1	3	7	1	2	0	7	8									
		0.97%	1.01%	1.04%	1.90%	1.16%	2.78%	2.42%	2.11%	2.12%	2.18%	0.43%	2.97%	2.06%	0.69%	0.76%	0.52%	1.98%	1.20%	0.94%	1.75%	1.16%	0.82%	0.39%	0.80%	0.00%	1.51%	0.93%	0.76%	0.00%	0.42%	2.25%	1.12%	1.26%	0.00%	0.60%	0.84%	0.47%	0.82%	1.52%	0.29%	1.06%	0.51%	1.88%	0.77%	1.48%	0.47%	0.43%	0.85%	0.35%	0.65%	0.00%	1.11%	1.11%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	629	21	11	9	32	12	12	9	11	7	11	3	1	10	2	11	15	9	27	13	13	12	19	42	6	11	27	4	5	3	7	16	7	8	13	12	12	6	13	4	7	2	10	16	9	3	16	9	8	15	17	26	25									
		2.50%	4.25%	3.82%	4.27%	4.11%	3.70%	7.27%	4.74%	3.89%	3.06%	2.37%	2.97%	1.03%	1.72%	0.51%	1.92%	2.48%	1.20%	2.83%	2.53%	1.89%	1.97%	2.48%	3.35%	1.61%	3.32%	4.19%	0.76%	1.08%	1.25%	3.93%	3.60%	1.76%	2.25%	1.56%	1.44%	2.80%	1.23%	3.30%	1.14%	3.70%	1.01%	1.34%	2.05%	1.90%	1.42%	2.31%	1.09%	2.84%	4.85%	3.59%	4.11%	3.47%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	0	0	0	1	0	0	0	0	2	1	0	1	0	0	1	1	0	2	1	0	0	2	2	0	0	3	2	1	0	1	0	0	1	1	4	3	2	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1									
		0.15%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.87%	0.22%	0.00%	1.03%	0.00%	0.00%	0.17%	0.17%	0.00%	0.21%	0.19%	0.00%	0.00%	0.26%	0.16%	0.00%	0.00%	0.47%	0.38%	0.22%	0.00%	0.56%	0.00%	0.00%	0.28%	0.12%	0.48%	0.70%	0.41%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.95%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	662	22	11	3	26	12	6	3	7	11	9	1	2	11	11	14	26	27	38	15	14	11	27	45	1	9	20	14	10	4	4	11	14	7	13	16	19	9	13	4	2	4	9	11	8	7	14	14	23	8	11	22	9									
		2.63%	4.45%	3.82%	1.42%	3.34%	3.70%	3.64%	1.58%	2.47%	4.80%	1.94%	0.99%	2.06%	1.89%	2.78%	2.44%	4.30%	3.59%	3.98%	2.92%	2.03%	1.81%	3.52%	3.59%	0.27%	2.72%	3.10%	2.65%	2.16%	1.67%	2.25%	2.47%	3.52%	1.97%	1.56%	1.92%	4.43%	1.85%	3.30%	1.14%	1.06%	2.02%	1.21%	1.41%	1.69%	3.32%	2.02%	1.70%	8.16%	2.59%	2.32%	3.48%	1.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2587	75	37	27	132	45	29	20	34	42	59	17	7	87	47	70	49	55	85	33	39	51	50	101	42	59	103	28	19	18	26	47	67	53	67	146	46	50	44	14	28	11	50	41	40	16	41	102	24	27	43	53	91									
		10.29%	15.18%	12.85%	12.80%	16.94%	13.89%	17.58%	10.53%	12.01%	18.34%	12.69%	16.83%	7.22%	14.97%	11.90%	12.22%	8.10%	7.31%	8.91%	6.42%	5.66%	8.37%	6.52%	8.05%	11.26%	17.82%	15.97%	5.30%	4.09%	7.50%	14.61%	10.56%	16.83%	14.93%	8.05%	17.55%	10.72%	10.29%	11.17%	4.00%	14.81%	5.56%	6.70%	5.26%	8.46%	7.58%	5.91%	12.38%	8.51%	8.74%	9.07%	8.39%	12.62%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	74	3	0	1	2	3	1	1	0	1	2	0	0	2	1	1	3	2	6	4	0	0	0	7	0	2	0	1	0	1	0	2	1	3	2	4	0	2	1	1	0	0	1	2	1	0	1	1	3	0	1	1	3									
		0.29%	0.61%	0.00%	0.47%	0.26%	0.93%	0.61%	0.53%	0.00%	0.44%	0.43%	0.00%	0.00%	0.34%	0.25%	0.17%	0.50%	0.27%	0.63%	0.78%	0.00%	0.00%	0.00%	0.56%	0.00%	0.60%	0.00%	0.19%	0.00%	0.42%	0.00%	0.45%	0.25%	0.85%	0.24%	0.48%	0.00%	0.41%	0.25%	0.29%	0.00%	0.00%	0.13%	0.26%	0.21%	0.00%	0.14%	0.12%	1.06%	0.00%	0.21%	0.16%	0.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2037	26	16	21	41	27	9	3	19	3	19	5	5	38	23	25	62	84	158	80	78	97	101	177	13	19	44	12	13	6	11	56	53	59	42	94	40	25	25	8	12	13	92	59	25	12	30	34	21	8	19	33	42									
		8.10%	5.26%	5.56%	9.95%	5.26%	8.33%	5.45%	1.58%	6.71%	1.31%	4.09%	4.95%	5.15%	6.54%	5.82%	4.36%	10.25%	11.17%	16.56%	15.56%	11.32%	15.93%	13.17%	14.10%	3.49%	5.74%	6.82%	2.27%	2.80%	2.50%	6.18%	12.58%	13.32%	16.62%	5.05%	11.30%	9.32%	5.14%	6.35%	2.29%	6.35%	6.57%	12.33%	7.56%	5.29%	5.69%	4.32%	4.13%	7.45%	2.59%	4.01%	5.22%	5.83%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
