Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																																																																						
Дата голосования: 02.12.2007																																																																																																																																																																																						
																																																																																																																																																																																						
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																																																						
																																																																																																																																																																																						
Сводная таблица результатов выборов																																																																																																																																																																																						
																																																																																																																																																																																						
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1431	УИК №1432	УИК №1433	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1445	УИК №1446	УИК №1447	УИК №1449	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1489	УИК №1491	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1499	УИК №1501	УИК №1502	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2910	20	20	50	20	40	20	20	20	40	40	40	40	40	20	20	20	40	40	40	40	20	40	40	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	40	40	40	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	50	50	50	50	40	40	40	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	690	7	4	11	0	9	14	0	5	7	6	6	1	8	1	2	4	19	20	16	13	1	10	12	2	15	8	8	11	7	12	7	5	7	12	8	14	12	6	9	12	10	24	1	22	13	13	6	1	14	10	11	13	12	13	9	8	5	11	8	10	6	7	14	3	7	6	13	6	12	11	6	10	7	11	4	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	607	4	2	16	0	11	3	0	4	14	8	5	3	8	3	9	4	14	2	11	6	12	7	6	3	25	11	6	3	8	8	10	5	9	14	4	11	12	10	6	0	5	5	5	12	4	12	2	20	22	15	5	4	3	12	13	4	3	4	19	13	6	10	4	7	13	7	2	4	4	18	4	4	4	4	17	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	2220	13	16	39	20	31	6	20	15	33	34	34	39	32	19	18	16	21	20	24	27	19	30	28	18	25	32	32	29	33	28	33	35	33	28	32	26	28	34	41	28	30	16	19	18	27	27	34	39	26	30	29	27	28	27	31	32	35	29	32	30	34	33	26	37	33	44	37	44	38	39	34	30	33	29	36	28	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																																																						
18	1.Политическая партия «Аграрная партия России»	1448	6	11	21	5	31	12	1	11	16	18	27	16	13	10	2	0	25	23	23	17	11	19	17	14	28	19	11	12	7	12	13	14	22	15	16	15	37	12	16	17	21	28	0	28	9	23	16	14	20	16	20	12	18	32	32	31	20	35	29	21	11	13	36	15	24	25	32	31	20	27	11	20	22	22	19	22	20	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	2	2	1	0	0	1	0	4	3	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1					
		2.16%	1.58%	1.77%	1.40%	2.29%	2.53%	2.24%	0.70%	4.37%	1.79%	1.67%	2.51%	1.66%	1.68%	2.18%	0.55%	0.00%	2.41%	2.53%	2.38%	2.73%	2.24%	1.79%	2.39%	2.49%	2.49%	2.18%	1.62%	1.47%	1.11%	1.24%	1.47%	2.15%	2.56%	1.66%	2.09%	1.80%	3.81%	1.73%	1.76%	2.10%	2.22%	2.67%	0.00%	2.94%	1.38%	3.25%	2.24%	2.04%	2.01%	1.63%	2.10%	1.80%	2.21%	3.67%	3.09%	2.82%	3.65%	3.40%	2.56%	2.24%	1.85%	1.61%	4.02%	1.90%	2.48%	2.42%	2.76%	2.86%	1.88%	2.43%	1.90%	2.29%	2.37%	2.63%	2.52%	2.38%	1.97%	0.00%	0.00%	0.00%	0.00%	10.53%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	2.15%	0.00%	2.44%	2.27%	1.12%	0.00%	0.00%	1.08%	0.00%	5.33%	4.17%	0.00%	4.11%	0.00%	0.00%	7.41%	0.00%	0.00%	0.00%	2.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	17.65%	0.00%	5.56%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	2.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	3.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	803	4	1	10	2	6	5	2	1	12	18	9	8	5	5	1	4	9	5	16	2	11	11	8	10	29	14	6	5	5	8	14	11	9	16	6	12	14	6	17	16	16	10	0	9	7	9	10	10	6	13	15	11	15	9	12	17	5	12	21	5	13	7	9	11	7	14	14	11	23	21	12	13	9	9	9	5	12	1	1	2	1	0	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	3	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0					
		1.20%	1.05%	0.16%	0.67%	0.92%	0.49%	0.93%	1.41%	0.40%	1.34%	1.67%	0.84%	0.83%	0.65%	1.09%	0.27%	1.50%	0.87%	0.55%	1.66%	0.32%	2.24%	1.04%	1.13%	1.78%	2.58%	1.60%	0.89%	0.61%	0.79%	0.83%	1.59%	1.69%	1.05%	1.77%	0.78%	1.44%	1.44%	0.87%	1.87%	1.98%	1.69%	0.95%	0.00%	0.95%	1.08%	1.27%	1.40%	1.46%	0.60%	1.33%	1.58%	1.65%	1.84%	1.03%	1.16%	1.55%	0.91%	1.17%	1.85%	0.53%	2.18%	0.87%	1.00%	1.40%	0.72%	1.35%	1.21%	1.01%	2.16%	1.89%	2.08%	1.49%	0.97%	1.08%	1.19%	0.54%	1.18%	5.26%	5.56%	11.11%	5.88%	0.00%	5.26%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	1.12%	0.00%	0.00%	0.00%	1.47%	1.33%	0.00%	1.64%	4.11%	2.86%	0.00%	0.00%	0.00%	4.76%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	16.67%	6.67%	0.00%	8.82%	6.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	3.70%	0.00%					
20	3.Политическая партия «Демократическая партия России»	104	0	0	2	0	0	2	0	0	5	1	0	0	0	0	0	0	2	0	1	2	0	2	0	2	1	0	5	1	0	0	2	0	0	0	3	2	1	3	1	2	0	2	1	2	1	1	4	0	1	3	1	1	1	1	0	4	2	0	1	0	2	0	0	1	1	2	2	2	1	4	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0					
		0.16%	0.00%	0.00%	0.13%	0.00%	0.00%	0.37%	0.00%	0.00%	0.56%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.10%	0.32%	0.00%	0.19%	0.00%	0.36%	0.09%	0.00%	0.74%	0.12%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.39%	0.24%	0.10%	0.43%	0.11%	0.25%	0.00%	0.19%	0.93%	0.21%	0.15%	0.14%	0.56%	0.00%	0.10%	0.31%	0.11%	0.15%	0.12%	0.11%	0.00%	0.36%	0.36%	0.00%	0.09%	0.00%	0.34%	0.00%	0.00%	0.13%	0.10%	0.19%	0.17%	0.18%	0.09%	0.36%	0.35%	0.23%	0.11%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	1.47%	2.67%	2.78%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%	0.00%	3.45%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	3.70%	0.00%					
