Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Нукутская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	318	11	1	5	8	8	4	3	25	12	19	3	4	23	9	1	30	14	28	21	8	4	5	9	9	1	17	15	15	6					
		4.13%	2.92%	1.42%	4.34%	5.88%	3.58%	1.74%	2.94%	5.35%	4.95%	4.16%	2.83%	4.93%	5.06%	10.58%	1.81%	5.96%	5.80%	6.73%	13.63%	2.11%	2.38%	4.76%	2.62%	8.57%	1.01%	2.42%	2.16%	3.65%	3.26%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	124	5	0	0	3	4	7	5	4	1	5	3	1	5	0	0	7	4	15	4	3	3	1	3	1	0	16	18	6	0					
		1.61%	1.32%	0.0%	0.0%	2.20%	1.79%	3.05%	4.90%	0.85%	0.41%	1.09%	2.83%	1.23%	1.10%	0.0%	0.0%	1.39%	1.65%	3.60%	2.59%	0.79%	1.78%	0.95%	0.87%	0.95%	0.0%	2.28%	2.59%	1.46%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	174	4	2	3	7	6	6	4	6	1	9	1	1	17	0	2	9	10	8	7	9	6	0	12	0	1	17	11	10	5					
		2.26%	1.06%	2.85%	2.60%	5.14%	2.69%	2.62%	3.92%	1.28%	0.41%	1.97%	0.94%	1.23%	3.74%	0.0%	3.63%	1.78%	4.14%	1.92%	4.54%	2.38%	3.57%	0.0%	3.49%	0.0%	1.01%	2.42%	1.58%	2.43%	2.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	86	3	0	1	0	4	0	1	9	2	0	0	0	2	0	0	2	0	10	1	10	1	0	3	2	0	10	15	8	2					
		1.11%	0.79%	0.0%	0.86%	0.0%	1.79%	0.0%	0.98%	1.92%	0.82%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.39%	0.0%	2.40%	0.64%	2.64%	0.59%	0.0%	0.87%	1.90%	0.0%	1.42%	2.16%	1.95%	1.08%					
22	"5. ""За Русь Святую"""	20	3	0	1	0	0	0	1	2	1	1	1	0	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1					
		0.25%	0.79%	0.0%	0.86%	0.0%	0.0%	0.0%	0.98%	0.42%	0.41%	0.21%	0.94%	0.0%	0.88%	1.17%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.48%	0.54%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	2	1	0	1	1	2	0	0	0	0	0	0	4	0	0	1	3	0	0	0	0	0	0	0	0	4	0	1	0					
		0.25%	0.53%	1.42%	0.0%	0.73%	0.44%	0.87%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.88%	0.0%	0.0%	0.19%	1.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.24%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	69	6	2	1	4	4	1	2	5	0	1	1	0	3	0	2	3	0	4	0	3	0	0	5	3	1	4	2	7	5					
		0.89%	1.59%	2.85%	0.86%	2.94%	1.79%	0.43%	1.96%	1.07%	0.0%	0.21%	0.94%	0.0%	0.66%	0.0%	3.63%	0.59%	0.0%	0.96%	0.0%	0.79%	0.0%	0.0%	1.45%	2.85%	1.01%	0.57%	0.28%	1.70%	2.71%					
25	"8. ""Народно-республиканская партия России"""	13	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	1	0	1					
		0.16%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	1.16%	0.0%	0.0%	0.28%	0.14%	0.0%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	1	0	0	0	0	1	2	3	0					
		0.18%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.44%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.14%	0.28%	0.73%	0.0%					
27	"10. ""Аграрная партия России"""	1118	64	21	20	20	51	31	23	67	24	76	11	10	67	14	5	47	19	66	11	41	34	8	67	38	12	80	96	76	19					
		14.52%	17.02%	29.99%	17.39%	14.70%	22.86%	13.53%	22.54%	14.34%	9.91%	16.66%	10.37%	12.34%	14.75%	16.47%	9.09%	9.34%	7.88%	15.86%	7.14%	10.84%	20.23%	7.61%	19.53%	36.19%	12.12%	11.42%	13.83%	18.53%	10.32%					
28	"11. ""Истинные патриоты России"""	9	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.82%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.14%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	78	4	2	0	2	0	3	0	4	3	5	2	3	5	1	1	4	2	1	3	2	0	0	6	0	9	5	5	2	4					
		1.01%	1.06%	2.85%	0.0%	1.47%	0.0%	1.31%	0.0%	0.85%	1.23%	1.09%	1.88%	3.70%	1.10%	1.17%	1.81%	0.79%	0.82%	0.24%	1.94%	0.52%	0.0%	0.0%	1.74%	0.0%	9.09%	0.71%	0.72%	0.48%	2.17%					
30	"13. ""Демократическая партия России"""	25	0	1	0	0	0	0	1	1	3	2	0	0	1	1	0	0	1	3	1	0	1	0	0	0	1	4	2	2	0					
		0.32%	0.0%	1.42%	0.0%	0.0%	0.0%	0.0%	0.98%	0.21%	1.23%	0.43%	0.0%	0.0%	0.22%	1.17%	0.0%	0.0%	0.41%	0.72%	0.64%	0.0%	0.59%	0.0%	0.0%	0.0%	1.01%	0.57%	0.28%	0.48%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	2	0	0	2	1	0	2	0	0	0					
		0.18%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.98%	0.21%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.24%	0.64%	0.52%	0.0%	0.0%	0.58%	0.95%	0.0%	0.28%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	1.81%	0.0%	1.24%	0.24%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	158	6	1	4	3	6	6	2	2	3	12	1	3	6	1	6	10	2	10	2	11	0	2	7	0	2	13	23	11	3					
		2.05%	1.59%	1.42%	3.47%	2.20%	2.69%	2.62%	1.96%	0.42%	1.23%	2.63%	0.94%	3.70%	1.32%	1.17%	10.90%	1.98%	0.82%	2.40%	1.29%	2.91%	0.0%	1.90%	2.04%	0.0%	2.02%	1.85%	3.31%	2.68%	1.63%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	0	0	0	0	0	4	0	2	2	2	0	0	3	0	1	1	4	6	3	5	1	0	1	0	0	1	1	1	0					
		0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	1.74%	0.0%	0.42%	0.82%	0.43%	0.0%	0.0%	0.66%	0.0%	1.81%	0.19%	1.65%	1.44%	1.94%	1.32%	0.59%	0.0%	0.29%	0.0%	0.0%	0.14%	0.14%	0.24%	0.0%					
35	"18. ""ЛДПР"""	495	25	0	4	6	8	2	0	49	27	30	12	2	43	11	10	4	34	10	1	19	10	7	16	3	10	47	57	29	19					
		6.43%	6.64%	0.0%	3.47%	4.41%	3.58%	0.87%	0.0%	10.49%	11.15%	6.57%	11.32%	2.46%	9.47%	12.94%	18.18%	0.79%	14.10%	2.40%	0.64%	5.02%	5.95%	6.66%	4.66%	2.85%	10.10%	6.71%	8.21%	7.07%	10.32%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	194	17	2	1	4	7	7	7	6	5	9	2	2	6	2	0	8	5	11	6	10	4	0	2	2	3	22	26	10	8					
		2.52%	4.52%	2.85%	0.86%	2.94%	3.13%	3.05%	6.86%	1.28%	2.06%	1.97%	1.88%	2.46%	1.32%	2.35%	0.0%	1.59%	2.07%	2.64%	3.89%	2.64%	2.38%	0.0%	0.58%	1.90%	3.03%	3.14%	3.74%	2.43%	4.34%					
37	"20. ""Политическая партия ""Единая Россия"""	3594	172	26	58	56	107	102	43	206	116	238	50	42	203	32	11	313	105	201	70	169	84	70	134	26	44	318	339	174	85					
		46.69%	45.74%	37.14%	50.43%	41.17%	47.98%	44.54%	42.15%	44.11%	47.93%	52.19%	47.16%	51.85%	44.71%	37.64%	20.0%	62.22%	43.56%	48.31%	45.45%	44.70%	50.0%	66.66%	39.06%	24.76%	44.44%	45.42%	48.84%	42.43%	46.19%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0					
		0.11%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.98%	0.0%	0.41%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.24%	0.0%					
39	"22. ""Развитие предпринимательства"""	13	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	1					
		0.16%	0.0%	1.42%	0.86%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.28%	0.0%	0.54%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	674	33	3	7	8	11	26	4	46	31	24	8	7	37	7	8	40	20	25	9	44	11	7	54	11	7	91	42	40	13					
		8.75%	8.77%	4.28%	6.08%	5.88%	4.93%	11.35%	3.92%	9.85%	12.80%	5.26%	7.54%	8.64%	8.14%	8.23%	14.54%	7.95%	8.29%	6.00%	5.84%	11.64%	6.54%	6.66%	15.74%	10.47%	7.07%	13.0%	6.05%	9.75%	7.06%					
																																				
41	Против всех	164	9	3	4	5	5	12	0	15	1	10	3	1	7	5	2	8	5	3	7	2	3	3	3	2	1	12	21	5	7					
		2.13%	2.39%	4.28%	3.47%	3.67%	2.24%	5.24%	0.0%	3.21%	0.41%	2.19%	2.83%	1.23%	1.54%	5.88%	3.63%	1.59%	2.07%	0.72%	4.54%	0.52%	1.78%	2.85%	0.87%	1.90%	1.01%	1.71%	3.02%	1.21%	3.80%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
