Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №8320									
		2.39%	0.82%	2.36%	0.92%	4.50%	2.84%	3.27%	0.97%	1.60%	1.70%	2.17%	4.21%	2.37%	2.58%	1.67%	2.53%	2.21%	2.12%	2.25%	1.70%	2.17%	3.17%	2.50%	2.55%	2.07%	2.72%	1.99%	1.66%	3.32%	2.65%	2.31%	3.92%	1.36%	1.98%	2.39%	1.84%	3.01%	1.78%	2.46%	3.11%	3.05%	3.17%	2.81%	3.65%	2.36%	3.20%	2.51%	3.09%	2.81%	2.10%	2.23%	1.40%	2.25%	3.66%	1.82%	1.90%	1.61%	2.93%	1.57%	2.08%	0.51%	1.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	814	13	13	4	11	14	10	3	14	10	11	9	11	16	9	15	15	20	23	20	18	16	17	21	11	9	13	13	20	13	15	17	14	9	20	0	13	25	19	7	19	11	22	10	11	16	11	5	15	12	20	12	17	14	7	12	14	18	8	21	1	7									
		2.30%	2.68%	2.19%	0.73%	2.06%	2.34%	1.82%	0.97%	2.48%	2.12%	1.99%	1.65%	1.63%	2.17%	1.50%	2.53%	2.56%	3.26%	3.44%	2.43%	2.61%	2.67%	2.84%	3.57%	2.07%	1.63%	2.35%	2.40%	4.15%	2.29%	2.48%	3.03%	1.73%	1.98%	2.66%	0.00%	2.61%	4.05%	2.75%	1.28%	2.52%	1.94%	3.09%	1.30%	1.86%	3.01%	2.12%	1.03%	3.01%	1.94%	2.79%	2.10%	2.74%	2.44%	1.82%	2.84%	2.50%	2.64%	1.40%	3.37%	0.51%	1.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14789	261	249	265	206	251	233	54	232	198	237	235	286	341	245	235	231	250	280	380	304	281	259	247	219	237	246	243	207	252	261	227	402	196	303	296	194	249	279	239	299	214	232	317	220	224	211	196	210	250	280	232	250	223	175	161	228	269	233	232	136	187									
		41.81%	53.81%	41.92%	48.53%	38.65%	41.90%	42.36%	17.48%	41.13%	42.04%	42.93%	43.04%	42.31%	46.27%	40.83%	39.70%	39.35%	40.78%	41.92%	46.12%	44.06%	46.83%	43.24%	41.94%	41.17%	43.01%	44.48%	44.83%	42.95%	44.44%	43.14%	40.46%	49.69%	43.08%	40.29%	45.33%	38.96%	40.29%	40.32%	43.69%	39.66%	37.68%	32.58%	41.33%	37.16%	42.11%	40.73%	40.33%	42.17%	40.39%	38.99%	40.63%	40.26%	38.85%	45.45%	38.15%	40.79%	39.44%	40.73%	37.18%	69.04%	40.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	371	4	5	7	5	8	4	4	10	5	5	8	6	6	8	3	5	6	13	17	7	5	4	6	3	7	3	5	4	4	6	4	12	6	8	12	3	11	4	3	3	7	9	6	9	5	4	5	6	6	9	4	7	5	3	5	2	6	9	5	4	6									
		1.05%	0.82%	0.84%	1.28%	0.94%	1.34%	0.73%	1.29%	1.77%	1.06%	0.91%	1.47%	0.89%	0.81%	1.33%	0.51%	0.85%	0.98%	1.95%	2.06%	1.01%	0.83%	0.67%	1.02%	0.56%	1.27%	0.54%	0.92%	0.83%	0.71%	0.99%	0.71%	1.48%	1.32%	1.06%	1.84%	0.60%	1.78%	0.58%	0.55%	0.40%	1.23%	1.26%	0.78%	1.52%	0.94%	0.77%	1.03%	1.20%	0.97%	1.25%	0.70%	1.13%	0.87%	0.78%	1.18%	0.36%	0.88%	1.57%	0.80%	2.03%	1.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	58	1	1	0	0	1	1	1	1	0	0	1	0	4	1	0	1	2	1	1	2	1	0	0	1	1	2	0	3	0	1	0	1	1	1	0	0	1	0	0	1	0	3	0	0	1	1	1	1	0	2	3	0	1	1	0	4	2	1	1	2	1									
		0.16%	0.21%	0.17%	0.00%	0.00%	0.17%	0.18%	0.32%	0.18%	0.00%	0.00%	0.18%	0.00%	0.54%	0.17%	0.00%	0.17%	0.33%	0.15%	0.12%	0.29%	0.17%	0.00%	0.00%	0.19%	0.18%	0.36%	0.00%	0.62%	0.00%	0.17%	0.00%	0.12%	0.22%	0.13%	0.00%	0.00%	0.16%	0.00%	0.00%	0.13%	0.00%	0.42%	0.00%	0.00%	0.19%	0.19%	0.21%	0.20%	0.00%	0.28%	0.53%	0.00%	0.17%	0.26%	0.00%	0.72%	0.29%	0.17%	0.16%	1.02%	0.22%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5830	63	76	77	87	85	77	36	114	84	98	83	105	129	101	97	89	98	120	122	107	91	112	117	100	99	101	90	86	82	119	100	125	70	120	96	81	92	107	90	112	106	131	123	114	101	103	86	79	105	119	111	97	88	70	77	111	108	97	131	8	27									
		16.48%	12.99%	12.79%	14.10%	16.32%	14.19%	14.00%	11.65%	20.21%	17.83%	17.75%	15.20%	15.53%	17.50%	16.83%	16.39%	15.16%	15.99%	17.96%	14.81%	15.51%	15.17%	18.70%	19.86%	18.80%	17.97%	18.26%	16.61%	17.84%	14.46%	19.67%	17.83%	15.45%	15.38%	15.96%	14.70%	16.27%	14.89%	15.46%	16.45%	14.85%	18.66%	18.40%	16.04%	19.26%	18.98%	19.88%	17.70%	15.86%	16.96%	16.57%	19.44%	15.62%	15.33%	18.18%	18.25%	19.86%	15.84%	16.96%	20.99%	4.06%	5.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	318	5	4	1	1	2	3	0	4	1	7	4	5	5	4	5	5	6	6	3	9	3	4	10	7	2	5	8	9	6	4	6	5	5	5	8	4	4	3	6	6	2	1	5	1	2	6	5	3	5	12	8	3	2	5	5	3	7	6	11	4	32									
		0.90%	1.03%	0.67%	0.18%	0.19%	0.33%	0.55%	0.00%	0.71%	0.21%	1.27%	0.73%	0.74%	0.68%	0.67%	0.84%	0.85%	0.98%	0.90%	0.36%	1.30%	0.50%	0.67%	1.70%	1.32%	0.36%	0.90%	1.48%	1.87%	1.06%	0.66%	1.07%	0.62%	1.10%	0.66%	1.23%	0.80%	0.65%	0.43%	1.10%	0.80%	0.35%	0.14%	0.65%	0.17%	0.38%	1.16%	1.03%	0.60%	0.81%	1.67%	1.40%	0.48%	0.35%	1.30%	1.18%	0.54%	1.03%	1.05%	1.76%	2.03%	6.91%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	431	4	4	12	5	8	1	3	8	8	18	7	6	7	5	11	4	5	10	18	8	8	4	13	7	9	6	5	3	7	4	2	9	7	6	0	6	5	15	6	12	7	6	11	5	7	9	2	0	4	6	5	19	6	8	8	8	6	5	7	1	15									
		1.22%	0.82%	0.67%	2.20%	0.94%	1.34%	0.18%	0.97%	1.42%	1.70%	3.26%	1.28%	0.89%	0.95%	0.83%	1.86%	0.68%	0.82%	1.50%	2.18%	1.16%	1.33%	0.67%	2.21%	1.32%	1.63%	1.08%	0.92%	0.62%	1.23%	0.66%	0.36%	1.11%	1.54%	0.80%	0.00%	1.20%	0.81%	2.17%	1.10%	1.59%	1.23%	0.84%	1.43%	0.84%	1.32%	1.74%	0.41%	0.00%	0.65%	0.84%	0.88%	3.06%	1.05%	2.08%	1.90%	1.43%	0.88%	0.87%	1.12%	0.51%	3.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	39	0	2	2	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	2	0	3	0	2	1	0	2	1	1	1	3	1	0	1	1	0	0	0									
		0.11%	0.00%	0.34%	0.37%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.18%	0.18%	0.00%	0.00%	0.17%	0.00%	0.00%	0.16%	0.00%	0.12%	0.29%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.18%	0.00%	0.22%	0.00%	0.15%	0.20%	0.16%	0.14%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.56%	0.00%	0.41%	0.20%	0.00%	0.28%	0.18%	0.16%	0.17%	0.78%	0.24%	0.00%	0.15%	0.17%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	886	10	21	13	13	12	11	4	12	7	10	10	19	14	14	12	19	10	8	21	28	7	15	13	11	9	15	10	9	22	11	9	20	13	14	18	11	16	14	13	17	6	15	15	10	2	4	14	14	8	21	13	25	14	7	11	16	17	9	19	3	108									
		2.50%	2.06%	3.54%	2.38%	2.44%	2.00%	2.00%	1.29%	2.13%	1.49%	1.81%	1.83%	2.81%	1.90%	2.33%	2.03%	3.24%	1.63%	1.20%	2.55%	4.06%	1.17%	2.50%	2.21%	2.07%	1.63%	2.71%	1.85%	1.87%	3.88%	1.82%	1.60%	2.47%	2.86%	1.86%	2.76%	2.21%	2.59%	2.02%	2.38%	2.25%	1.06%	2.11%	1.96%	1.69%	0.38%	0.77%	2.88%	2.81%	1.29%	2.92%	2.28%	4.03%	2.44%	1.82%	2.61%	2.86%	2.49%	1.57%	3.04%	1.52%	23.33%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6810	61	119	118	120	130	113	30	98	94	98	111	136	120	151	130	136	117	118	154	116	95	94	88	103	104	78	101	82	106	95	107	131	86	164	143	114	142	144	108	169	131	159	177	125	93	104	96	108	142	137	98	110	129	63	79	109	153	125	105	6	37									
		19.25%	12.58%	20.03%	21.61%	22.51%	21.70%	20.55%	9.71%	17.38%	19.96%	17.75%	20.33%	20.12%	16.28%	25.17%	21.96%	23.17%	19.09%	17.66%	18.69%	16.81%	15.83%	15.69%	14.94%	19.36%	18.87%	14.10%	18.63%	17.01%	18.69%	15.70%	19.07%	16.19%	18.90%	21.81%	21.90%	22.89%	22.98%	20.81%	19.74%	22.41%	23.06%	22.33%	23.08%	21.11%	17.48%	20.08%	19.75%	21.69%	22.94%	19.08%	17.16%	17.71%	22.47%	16.36%	18.72%	19.50%	22.43%	21.85%	16.83%	3.05%	7.99%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	111	1	2	1	0	3	2	0	3	2	3	0	2	1	0	3	0	4	4	4	2	2	2	1	1	2	1	0	1	0	3	0	3	1	4	5	0	1	0	3	1	6	3	3	2	0	1	3	1	2	4	2	0	2	2	1	2	0	2	4	0	3									
		0.31%	0.21%	0.34%	0.18%	0.00%	0.50%	0.36%	0.00%	0.53%	0.42%	0.54%	0.00%	0.30%	0.14%	0.00%	0.51%	0.00%	0.65%	0.60%	0.49%	0.29%	0.33%	0.33%	0.17%	0.19%	0.36%	0.18%	0.00%	0.21%	0.00%	0.50%	0.00%	0.37%	0.22%	0.53%	0.77%	0.00%	0.16%	0.00%	0.55%	0.13%	1.06%	0.42%	0.39%	0.34%	0.00%	0.19%	0.62%	0.20%	0.32%	0.56%	0.35%	0.00%	0.35%	0.52%	0.24%	0.36%	0.00%	0.35%	0.64%	0.00%	0.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1950	33	24	25	34	26	40	6	32	20	28	20	44	32	20	37	38	44	34	40	37	39	38	36	25	32	37	24	27	29	35	23	36	21	40	36	30	29	49	20	53	34	55	31	42	31	25	25	27	25	51	37	44	38	19	29	30	42	40	41	3	8									
		5.51%	6.80%	4.04%	4.58%	6.38%	4.34%	7.27%	1.94%	5.67%	4.25%	5.07%	3.66%	6.51%	4.34%	3.33%	6.25%	6.47%	7.18%	5.09%	4.85%	5.36%	6.50%	6.34%	6.11%	4.70%	5.81%	6.69%	4.43%	5.60%	5.11%	5.79%	4.10%	4.45%	4.62%	5.32%	5.51%	6.02%	4.69%	7.08%	3.66%	7.03%	5.99%	7.72%	4.04%	7.09%	5.83%	4.83%	5.14%	5.42%	4.04%	7.10%	6.48%	7.09%	6.62%	4.94%	6.87%	5.37%	6.16%	6.99%	6.57%	1.52%	1.73%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
