Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Тамбовская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019					
11	Число полученных открепительных  удостоверений	758	25	10	15	15	15	10	15	13	5	15	5	5	10	5	15	5	5	5	10	10	5	10	10	10	5	10	5	20	5	10	10	10	10	10	10	10	5	5	15	10	21	20	10	5	5	10	16	10	5	5	15	25	25	30	20	15	20	18	20	10	15	5	15	10	10					
12	Число выданных открепительных удостоверений	365	22	7	10	10	11	3	3	7	1	2	1	0	0	0	4	3	4	3	7	1	0	2	3	5	4	1	1	17	3	0	1	0	1	0	2	0	0	0	13	3	18	20	7	0	0	2	16	2	0	0	9	20	19	22	17	6	15	13	11	0	2	0	3	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	482	168	9	5	24	2	10	10	7	16	5	2	1	9	2	0	3	8	5	4	4	0	0	4	4	1	5	2	7	0	4	2	3	3	3	3	1	0	1	1	0	4	9	15	6	2	8	2	0	0	1	5	7	14	8	6	5	16	3	3	1	7	3	14	2	3					
14	Число неиспользованных открепительных удостоверений	393	3	3	5	5	4	7	12	6	4	13	4	5	10	5	11	2	1	2	3	9	5	8	7	5	1	9	4	3	2	10	9	10	9	10	8	10	5	5	2	7	3	0	3	5	5	8	0	8	5	5	6	5	6	8	3	9	5	5	9	10	13	5	12	5	7					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																								
18	. Глазьев Сергей Юрьевич	1451	59	9	16	28	13	18	38	29	14	9	14	7	6	2	24	7	6	9	24	18	2	5	8	20	7	36	1	37	5	11	2	5	1	6	8	3	6	1	16	10	30	45	47	22	0	24	22	5	5	1	39	86	79	77	56	37	48	41	35	81	65	13	34	8	11					
		2.64%	3.28%	2.27%	1.73%	2.95%	2.64%	1.89%	3.77%	2.86%	4.50%	1.25%	3.46%	2.79%	0.79%	0.63%	2.79%	1.08%	1.60%	1.50%	1.89%	1.83%	1.85%	1.24%	1.79%	2.06%	1.69%	2.95%	0.53%	1.47%	2.06%	3.82%	0.65%	1.71%	0.16%	1.12%	1.62%	0.73%	2.63%	0.46%	1.41%	1.64%	2.52%	2.34%	3.93%	8.91%	0.00%	1.95%	2.04%	1.08%	1.61%	1.06%	2.33%	4.34%	4.08%	3.77%	2.90%	4.09%	3.43%	3.11%	3.77%	7.58%	3.39%	2.52%	2.13%	1.13%	2.17%					
19	. Малышкин Олег Александрович	1019	32	8	17	18	12	15	27	16	4	13	11	4	11	9	23	16	2	12	39	20	3	6	10	16	5	21	1	26	11	6	5	7	5	4	9	7	4	3	32	7	27	28	5	7	2	30	18	2	1	1	35	41	39	35	34	18	26	33	12	24	52	9	24	13	6					
		1.85%	1.78%	2.02%	1.84%	1.89%	2.43%	1.57%	2.68%	1.58%	1.29%	1.80%	2.72%	1.59%	1.45%	2.82%	2.67%	2.47%	0.53%	2.00%	3.07%	2.04%	2.78%	1.49%	2.24%	1.65%	1.21%	1.72%	0.53%	1.03%	4.53%	2.08%	1.62%	2.40%	0.79%	0.75%	1.82%	1.69%	1.75%	1.38%	2.82%	1.15%	2.27%	1.46%	0.42%	2.83%	3.03%	2.44%	1.67%	0.43%	0.32%	1.06%	2.09%	2.07%	2.02%	1.71%	1.76%	1.99%	1.86%	2.50%	1.29%	2.25%	2.71%	1.74%	1.50%	1.83%	1.18%					
20	. Миронов Сергей Михайлович	331	14	1	3	3	3	10	5	7	2	6	3	1	6	0	4	4	4	3	10	9	1	4	6	3	0	5	2	9	7	0	2	4	1	3	5	1	2	0	8	5	4	12	3	0	0	10	5	1	0	1	11	5	22	17	7	1	7	13	5	2	9	6	13	4	7					
		0.60%	0.78%	0.25%	0.32%	0.32%	0.61%	1.05%	0.50%	0.69%	0.64%	0.83%	0.74%	0.40%	0.79%	0.00%	0.46%	0.62%	1.06%	0.50%	0.79%	0.92%	0.93%	1.00%	1.34%	0.31%	0.00%	0.41%	1.06%	0.36%	2.88%	0.00%	0.65%	1.37%	0.16%	0.56%	1.01%	0.24%	0.88%	0.00%	0.71%	0.82%	0.34%	0.62%	0.25%	0.00%	0.00%	0.81%	0.46%	0.22%	0.00%	1.06%	0.66%	0.25%	1.14%	0.83%	0.36%	0.11%	0.50%	0.98%	0.54%	0.19%	0.47%	1.16%	0.81%	0.56%	1.38%					
21	. Путин Владимир Владимирович	37913	1251	317	616	682	362	607	667	748	239	400	204	172	499	224	726	472	288	368	772	585	70	269	242	728	334	947	148	1950	183	191	242	227	465	434	311	319	174	143	720	471	822	1429	921	166	48	791	823	364	221	47	943	1308	1291	1502	1341	549	941	761	583	726	1276	372	1065	477	379					
		69.02%	69.62%	79.85%	66.67%	71.79%	73.43%	63.69%	66.17%	73.69%	76.85%	55.48%	50.37%	68.53%	65.66%	70.22%	84.32%	72.73%	76.60%	61.33%	60.79%	59.63%	64.81%	66.92%	54.14%	75.05%	80.68%	77.50%	78.72%	77.53%	75.31%	66.32%	78.32%	77.74%	73.81%	81.12%	62.83%	77.24%	76.32%	65.90%	63.55%	77.21%	69.13%	74.31%	77.07%	67.21%	72.73%	64.26%	76.27%	78.79%	71.06%	50.00%	56.33%	66.06%	66.72%	73.45%	69.45%	60.66%	67.21%	57.65%	62.76%	67.91%	66.60%	72.09%	66.65%	67.09%	74.61%					
22	. Хакамада Ирина Муцуовна	949	41	5	15	21	12	19	27	12	5	9	3	2	14	6	3	3	3	13	13	14	0	6	8	13	14	15	3	42	10	3	5	1	8	5	2	3	4	7	26	11	18	20	22	4	1	18	17	3	3	0	27	58	38	63	55	11	23	40	12	21	33	12	16	7	1					
		1.73%	2.28%	1.26%	1.62%	2.21%	2.43%	1.99%	2.68%	1.18%	1.61%	1.25%	0.74%	0.80%	1.84%	1.88%	0.35%	0.46%	0.80%	2.17%	1.02%	1.43%	0.00%	1.49%	1.79%	1.34%	3.38%	1.23%	1.60%	1.67%	4.12%	1.04%	1.62%	0.34%	1.27%	0.93%	0.40%	0.73%	1.75%	3.23%	2.29%	1.80%	1.51%	1.04%	1.84%	1.62%	1.52%	1.46%	1.58%	0.65%	0.96%	0.00%	1.61%	2.93%	1.96%	3.08%	2.85%	1.22%	1.64%	3.03%	1.29%	1.96%	1.72%	2.33%	1.00%	0.98%	0.20%					
23	. Харитонов Николай Михайлович	10840	290	38	210	158	51	237	203	164	32	260	160	52	200	72	62	127	62	170	362	286	28	94	154	158	49	171	30	360	17	55	33	44	98	74	145	72	32	58	262	86	228	315	156	42	9	311	143	76	69	42	520	388	356	275	334	229	267	356	215	173	403	76	378	175	88					
		19.73%	16.14%	9.57%	22.73%	16.63%	10.34%	24.87%	20.14%	16.16%	10.29%	36.06%	39.51%	20.72%	26.32%	22.57%	7.20%	19.57%	16.49%	28.33%	28.50%	29.15%	25.93%	23.38%	34.45%	16.29%	11.84%	13.99%	15.96%	14.31%	7.00%	19.10%	10.68%	15.07%	15.56%	13.83%	29.29%	17.43%	14.04%	26.73%	23.12%	14.10%	19.18%	16.38%	13.05%	17.00%	13.64%	25.26%	13.25%	16.45%	22.19%	44.68%	31.06%	19.60%	18.40%	13.45%	17.30%	25.30%	19.07%	26.97%	23.14%	16.18%	21.03%	14.73%	23.65%	24.61%	17.32%					
																																																																								
24	Против всех	1736	96	16	34	36	35	32	31	24	12	16	7	9	11	2	12	9	7	12	41	24	3	8	14	20	3	21	1	73	9	4	14	1	3	4	8	4	3	3	54	15	29	57	38	6	5	27	29	8	11	1	68	85	79	71	96	50	61	61	48	26	51	16	52	18	12					
		3.16%	5.34%	4.03%	3.68%	3.79%	7.10%	3.36%	3.08%	2.36%	3.86%	2.22%	1.73%	3.59%	1.45%	0.63%	1.39%	1.39%	1.86%	2.00%	3.23%	2.45%	2.78%	1.99%	3.13%	2.06%	0.72%	1.72%	0.53%	2.90%	3.70%	1.39%	4.53%	0.34%	0.48%	0.75%	1.62%	0.97%	1.32%	1.38%	4.77%	2.46%	2.44%	2.96%	3.18%	2.43%	7.58%	2.19%	2.69%	1.73%	3.54%	1.06%	4.06%	4.29%	4.08%	3.47%	4.97%	5.52%	4.36%	4.62%	5.17%	2.43%	2.66%	3.10%	3.25%	2.53%	2.36%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
