Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Купинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673									
		0.21%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.15%	0.93%	0.52%	0.31%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	1.95%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.58%	0.29%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3102	218	140	64	48	149	169	166	146	149	51	21	27	38	17	5	98	9	23	14	57	44	45	81	9	36	59	74	33	10	81	42	77	47	73	50	7	29	137	42	20	29	17	72	43	11	14	49	12	96	44	73	9	28									
		28.40%	34.22%	33.41%	29.22%	27.43%	28.99%	30.95%	24.89%	33.95%	25.82%	15.64%	27.63%	38.57%	22.22%	32.69%	16.67%	38.58%	28.13%	23.23%	16.67%	26.76%	40.74%	29.61%	31.52%	24.32%	20.69%	27.57%	31.09%	31.73%	14.71%	31.52%	19.72%	24.84%	24.74%	29.44%	31.85%	11.48%	16.86%	39.71%	32.56%	36.36%	32.22%	23.29%	27.69%	34.13%	25.00%	56.00%	23.22%	22.64%	30.77%	16.18%	28.97%	18.00%	38.36%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	3	1	0	0	1	2	8	1	5	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0									
		0.27%	0.47%	0.24%	0.00%	0.00%	0.19%	0.37%	1.20%	0.23%	0.87%	0.92%	0.00%	1.43%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.40%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	1	2	2	0	2	3	3	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.20%	0.16%	0.48%	0.91%	0.00%	0.39%	0.55%	0.45%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	1.19%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.00%	0.24%	0.00%	0.00%	0.19%	0.18%	0.00%	0.00%	0.00%	0.31%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.39%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.58%	0.58%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	43	3	4	2	0	0	5	4	3	2	1	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	1	1	0	1									
		0.39%	0.47%	0.95%	0.91%	0.00%	0.00%	0.92%	0.60%	0.70%	0.35%	0.31%	2.63%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.65%	0.00%	0.00%	0.00%	1.64%	0.00%	0.00%	1.55%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.37%	0.40%	0.00%	1.37%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1324	74	65	37	34	88	88	110	66	99	37	1	0	17	14	4	25	7	4	6	29	4	17	29	1	11	12	18	16	3	23	21	40	23	38	20	2	23	34	33	3	4	4	27	9	8	4	14	3	18	16	33	3	5									
		12.12%	11.62%	15.51%	16.89%	19.43%	17.12%	16.12%	16.49%	15.35%	17.16%	11.35%	1.32%	0.00%	9.94%	26.92%	13.33%	9.84%	21.88%	4.04%	7.14%	13.62%	3.70%	11.18%	11.28%	2.70%	6.32%	5.61%	7.56%	15.38%	4.41%	8.95%	9.86%	12.90%	12.11%	15.32%	12.74%	3.28%	13.37%	9.86%	25.58%	5.45%	4.44%	5.48%	10.38%	7.14%	18.18%	16.00%	6.64%	5.66%	5.77%	5.88%	13.10%	6.00%	6.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	3	0	1	0	3	1	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0									
		0.23%	0.47%	0.00%	0.46%	0.00%	0.58%	0.18%	0.00%	0.47%	0.17%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.32%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.38%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	335	21	12	6	6	15	25	37	16	32	23	2	1	7	0	1	3	0	2	0	6	1	8	6	1	4	4	9	2	0	1	6	12	7	4	2	2	4	5	4	3	1	2	2	0	0	1	4	2	12	5	5	0	1									
		3.07%	3.30%	2.86%	2.74%	3.43%	2.92%	4.58%	5.55%	3.72%	5.55%	7.06%	2.63%	1.43%	4.09%	0.00%	3.33%	1.18%	0.00%	2.02%	0.00%	2.82%	0.93%	5.26%	2.33%	2.70%	2.30%	1.87%	3.78%	1.92%	0.00%	0.39%	2.82%	3.87%	3.68%	1.61%	1.27%	3.28%	2.33%	1.45%	3.10%	5.45%	1.11%	2.74%	0.77%	0.00%	0.00%	4.00%	1.90%	3.77%	3.85%	1.84%	1.98%	0.00%	1.37%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
