Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Уфа, Орджоникидзевская"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2550	40	50	40	40	40	50	40	40	30	30	40	30	50	30	50	40	40	50	50	50	30	50	50	40	40	50	50	40	10	50	30	40	40	50	40	30	30	30	40	30	40	40	40	50	30	30	50	40	40	50	50	40	50	50	50	40	50	50	40	40	40	40	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1789	22	25	33	22	38	46	38	40	23	20	35	20	29	19	31	31	34	31	24	44	25	50	24	33	12	43	27	40	0	33	8	26	40	25	39	30	27	13	29	30	32	40	27	28	27	23	23	28	31	41	20	28	24	24	38	29	25	26	28	36	19	33	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1142	12	4	11	6	3	20	9	6	11	7	7	14	69	11	21	6	85	22	10	19	16	19	18	14	24	4	11	8	0	15	6	12	5	45	8	4	9	3	7	27	23	5	43	13	14	13	7	5	6	20	25	2	54	38	10	62	6	11	13	21	23	8	4	53	47	8									
14	Число погашенных неиспользованных открепительных удостоверений	761	18	25	7	18	2	4	2	0	7	10	5	10	21	11	19	9	6	19	26	6	5	0	26	7	28	7	23	0	10	17	22	14	0	25	1	0	3	17	11	0	8	0	13	22	3	7	27	12	9	9	30	12	26	26	12	11	25	24	12	4	21	7	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	109	3	0	1	5	2	1	0	1	1	2	1	1	1	2	0	3	1	3	0	2	2	2	3	4	1	4	0	0	0	0	0	3	1	4	5	0	1	0	1	1	2	1	1	4	2	1	1	3	2	1	4	4	3	1	2	2	2	2	4	3	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	584	7	4	14	4	5	6	33	0	20	1	6	14	24	3	16	31	4	2	5	3	13	19	56	4	0	5	8	0	1	34	4	9	5	10	49	7	12	5	5	0	5	7	2	0	3	1	3	18	6	1	6	2	10	2	11	2	6	11	9	10	4	9	2	5	1	0									
		0.77%	0.56%	0.32%	1.05%	0.32%	0.42%	0.46%	2.51%	0.00%	1.85%	0.07%	0.47%	2.03%	1.33%	0.25%	1.15%	1.90%	0.26%	0.10%	0.64%	0.19%	1.43%	1.35%	4.53%	0.23%	0.00%	0.32%	0.67%	0.00%	0.40%	2.73%	0.77%	1.09%	0.40%	0.54%	3.52%	0.57%	1.85%	0.79%	0.41%	0.00%	0.48%	0.59%	0.15%	0.00%	0.30%	0.06%	0.25%	1.58%	0.51%	0.08%	1.35%	0.11%	0.66%	0.20%	0.86%	0.13%	1.19%	0.76%	0.70%	0.82%	0.32%	0.70%	0.99%	2.25%	0.93%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	728	2	2	27	5	6	2	44	0	18	0	7	12	18	0	3	17	3	1	0	2	18	29	38	2	0	13	8	14	9	21	11	19	4	2	19	3	11	10	17	1	22	21	5	3	8	1	10	33	22	3	14	5	10	3	16	0	17	28	28	15	3	22	1	16	3	1									
		0.96%	0.16%	0.16%	2.02%	0.40%	0.51%	0.15%	3.34%	0.00%	1.67%	0.00%	0.55%	1.74%	0.99%	0.00%	0.21%	1.04%	0.20%	0.05%	0.00%	0.13%	1.98%	2.05%	3.07%	0.11%	0.00%	0.82%	0.67%	2.76%	3.57%	1.69%	2.12%	2.30%	0.32%	0.11%	1.36%	0.24%	1.69%	1.58%	1.40%	0.10%	2.11%	1.77%	0.37%	0.23%	0.81%	0.06%	0.83%	2.89%	1.86%	0.25%	3.16%	0.28%	0.66%	0.29%	1.24%	0.00%	3.37%	1.94%	2.18%	1.23%	0.24%	1.70%	0.50%	7.21%	2.80%	4.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	696	12	1	38	7	5	4	50	0	35	2	3	16	0	8	0	25	14	3	1	4	23	42	17	2	0	4	9	7	12	5	4	16	7	3	12	2	10	12	16	0	33	8	3	2	5	1	5	31	5	2	18	3	0	3	9	2	13	35	30	16	5	26	3	5	2	0									
		0.92%	0.95%	0.08%	2.84%	0.56%	0.42%	0.31%	3.80%	0.00%	3.24%	0.14%	0.24%	2.32%	0.00%	0.67%	0.00%	1.53%	0.92%	0.15%	0.13%	0.26%	2.52%	2.97%	1.38%	0.11%	0.00%	0.25%	0.75%	1.38%	4.76%	0.40%	0.77%	1.94%	0.56%	0.16%	0.86%	0.16%	1.54%	1.90%	1.32%	0.00%	3.16%	0.68%	0.22%	0.15%	0.51%	0.06%	0.42%	2.71%	0.42%	0.16%	4.06%	0.17%	0.00%	0.29%	0.70%	0.13%	2.57%	2.42%	2.34%	1.31%	0.40%	2.01%	1.49%	2.25%	1.87%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	37297	629	634	533	630	596	649	718	578	564	704	633	320	941	603	690	810	761	309	398	786	460	753	752	894	856	785	613	255	159	622	274	430	635	965	664	617	324	352	626	528	500	411	671	654	494	791	599	684	591	621	176	901	693	519	631	222	188	736	719	553	627	887	149	115	94	21									
		49.25%	50.04%	50.04%	39.84%	49.96%	50.38%	50.00%	54.56%	50.88%	52.27%	50.94%	49.84%	46.38%	52.05%	50.42%	49.43%	49.57%	50.10%	15.00%	50.70%	50.58%	50.49%	53.33%	60.84%	51.03%	65.95%	49.72%	50.99%	50.30%	63.10%	49.92%	52.90%	52.12%	50.64%	51.83%	47.63%	49.96%	49.92%	55.61%	51.57%	50.72%	47.94%	34.68%	50.00%	49.92%	49.95%	50.03%	50.00%	59.89%	50.00%	50.82%	39.73%	50.14%	46.02%	50.93%	49.07%	14.98%	37.23%	50.93%	55.99%	45.37%	50.08%	68.71%	73.76%	51.80%	87.85%	87.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	378	2	4	19	6	2	3	17	0	11	0	4	32	0	1	12	21	2	2	1	3	9	33	5	1	0	2	4	0	0	6	6	3	5	10	7	1	3	4	10	0	11	9	3	4	2	0	2	12	2	0	15	1	7	2	9	0	2	15	7	7	3	6	1	7	0	0									
		0.50%	0.16%	0.32%	1.42%	0.48%	0.17%	0.23%	1.29%	0.00%	1.02%	0.00%	0.31%	4.64%	0.00%	0.08%	0.86%	1.29%	0.13%	0.10%	0.13%	0.19%	0.99%	2.34%	0.40%	0.06%	0.00%	0.13%	0.33%	0.00%	0.00%	0.48%	1.16%	0.36%	0.40%	0.54%	0.50%	0.08%	0.46%	0.63%	0.82%	0.00%	1.05%	0.76%	0.22%	0.31%	0.20%	0.00%	0.17%	1.05%	0.17%	0.00%	3.39%	0.06%	0.46%	0.20%	0.70%	0.00%	0.40%	1.04%	0.55%	0.57%	0.24%	0.46%	0.50%	3.15%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	175	2	2	11	3	1	5	5	0	3	0	2	6	9	1	0	5	3	1	1	5	2	12	1	1	0	5	1	0	0	10	1	4	6	2	9	5	0	3	2	0	0	4	1	0	0	0	2	0	2	0	2	1	0	1	7	2	2	4	6	8	0	1	0	2	1	0									
		0.23%	0.16%	0.16%	0.82%	0.24%	0.08%	0.39%	0.38%	0.00%	0.28%	0.00%	0.16%	0.87%	0.50%	0.08%	0.00%	0.31%	0.20%	0.05%	0.13%	0.32%	0.22%	0.85%	0.08%	0.06%	0.00%	0.32%	0.08%	0.00%	0.00%	0.80%	0.19%	0.48%	0.48%	0.11%	0.65%	0.40%	0.00%	0.47%	0.16%	0.00%	0.00%	0.34%	0.07%	0.00%	0.00%	0.00%	0.17%	0.00%	0.17%	0.00%	0.45%	0.06%	0.00%	0.10%	0.54%	0.13%	0.40%	0.28%	0.47%	0.66%	0.00%	0.08%	0.00%	0.90%	0.93%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	16434	298	299	256	302	286	311	142	261	154	332	301	133	398	287	335	376	365	577	187	372	172	241	175	421	209	377	252	122	25	293	60	107	305	432	348	295	183	120	109	251	193	294	323	295	237	380	251	108	278	301	78	433	392	244	299	413	110	385	179	250	299	174	19	24	5	1									
		21.70%	23.71%	23.60%	19.13%	23.95%	24.18%	23.96%	10.79%	22.98%	14.27%	24.02%	23.70%	19.28%	22.01%	23.99%	23.99%	23.01%	24.03%	28.01%	23.82%	23.94%	18.88%	17.07%	14.16%	24.03%	16.10%	23.88%	20.97%	24.06%	9.92%	23.52%	11.58%	12.97%	24.32%	23.20%	24.96%	23.89%	28.20%	18.96%	8.98%	24.11%	18.50%	24.81%	24.07%	22.52%	23.96%	24.04%	20.95%	9.46%	23.52%	24.63%	17.61%	24.10%	26.03%	23.95%	23.25%	27.87%	21.78%	26.64%	13.94%	20.51%	23.88%	13.48%	9.41%	10.81%	4.67%	4.17%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	207	6	2	3	4	1	4	6	1	14	0	5	6	0	0	0	10	1	1	3	3	4	14	3	2	0	1	5	2	0	2	3	3	1	2	5	2	5	4	4	0	8	5	2	0	1	0	1	6	2	1	4	5	2	1	5	1	2	4	7	9	0	8	0	1	0	0									
		0.27%	0.48%	0.16%	0.22%	0.32%	0.08%	0.31%	0.46%	0.09%	1.30%	0.00%	0.39%	0.87%	0.00%	0.00%	0.00%	0.61%	0.07%	0.05%	0.38%	0.19%	0.44%	0.99%	0.24%	0.11%	0.00%	0.06%	0.42%	0.39%	0.00%	0.16%	0.58%	0.36%	0.08%	0.11%	0.36%	0.16%	0.77%	0.63%	0.33%	0.00%	0.77%	0.42%	0.15%	0.00%	0.10%	0.00%	0.08%	0.53%	0.17%	0.08%	0.90%	0.28%	0.13%	0.10%	0.39%	0.07%	0.40%	0.28%	0.55%	0.74%	0.00%	0.62%	0.00%	0.45%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	322	7	6	18	3	3	5	9	3	11	1	6	5	14	0	0	12	3	3	5	2	10	24	4	1	0	4	3	0	0	5	2	2	4	2	13	3	3	6	7	0	7	11	3	0	2	1	3	14	5	2	5	1	5	3	6	3	3	7	10	14	3	4	0	0	1	0									
		0.43%	0.56%	0.47%	1.35%	0.24%	0.25%	0.39%	0.68%	0.26%	1.02%	0.07%	0.47%	0.72%	0.77%	0.00%	0.00%	0.73%	0.20%	0.15%	0.64%	0.13%	1.10%	1.70%	0.32%	0.06%	0.00%	0.25%	0.25%	0.00%	0.00%	0.40%	0.39%	0.24%	0.32%	0.11%	0.93%	0.24%	0.46%	0.95%	0.58%	0.00%	0.67%	0.93%	0.22%	0.00%	0.20%	0.06%	0.25%	1.23%	0.42%	0.16%	1.13%	0.06%	0.33%	0.29%	0.47%	0.20%	0.59%	0.48%	0.78%	1.15%	0.24%	0.31%	0.00%	0.00%	0.93%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	129	3	3	0	2	2	2	2	0	1	0	8	1	0	0	0	0	2	3	0	3	2	6	2	0	0	1	0	0	0	7	0	2	2	1	7	6	0	1	0	0	1	1	1	2	1	0	2	1	4	1	1	3	0	2	0	1	0	1	3	32	1	0	1	1	0	0									
		0.17%	0.24%	0.24%	0.00%	0.16%	0.17%	0.15%	0.15%	0.00%	0.09%	0.00%	0.63%	0.14%	0.00%	0.00%	0.00%	0.00%	0.13%	0.15%	0.00%	0.19%	0.22%	0.42%	0.16%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.56%	0.00%	0.24%	0.16%	0.05%	0.50%	0.49%	0.00%	0.16%	0.00%	0.00%	0.10%	0.08%	0.07%	0.15%	0.10%	0.00%	0.17%	0.09%	0.34%	0.08%	0.23%	0.17%	0.00%	0.20%	0.00%	0.07%	0.00%	0.07%	0.23%	2.63%	0.08%	0.00%	0.50%	0.45%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	451	9	2	26	3	5	4	27	1	21	3	3	14	15	3	0	13	3	2	1	1	10	28	6	0	0	11	11	0	6	12	4	22	10	9	8	3	5	3	10	0	11	11	3	3	5	2	8	12	7	2	5	0	0	2	7	2	4	10	10	11	2	11	1	8	0	0									
		0.60%	0.72%	0.16%	1.94%	0.24%	0.42%	0.31%	2.05%	0.09%	1.95%	0.22%	0.24%	2.03%	0.83%	0.25%	0.00%	0.80%	0.20%	0.10%	0.13%	0.06%	1.10%	1.98%	0.49%	0.00%	0.00%	0.70%	0.92%	0.00%	2.38%	0.96%	0.77%	2.67%	0.80%	0.48%	0.57%	0.24%	0.77%	0.47%	0.82%	0.00%	1.05%	0.93%	0.22%	0.23%	0.51%	0.13%	0.67%	1.05%	0.59%	0.16%	1.13%	0.00%	0.00%	0.20%	0.54%	0.13%	0.79%	0.69%	0.78%	0.90%	0.16%	0.85%	0.50%	3.60%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9684	147	148	182	151	143	155	95	136	84	166	151	80	181	144	170	203	182	577	93	181	95	107	133	212	106	188	144	61	30	100	102	151	136	215	181	148	40	65	293	146	170	239	161	276	119	190	215	113	118	151	65	219	181	122	140	416	76	104	121	203	150	76	20	17	0	0									
		12.79%	11.69%	11.68%	13.60%	11.97%	12.09%	11.94%	7.22%	11.97%	7.78%	12.01%	11.89%	11.59%	10.01%	12.04%	12.18%	12.42%	11.98%	28.01%	11.85%	11.65%	10.43%	7.58%	10.76%	12.10%	8.17%	11.91%	11.98%	12.03%	11.90%	8.03%	19.69%	18.30%	10.85%	11.55%	12.98%	11.98%	6.16%	10.27%	24.14%	14.02%	16.30%	20.17%	11.99%	21.07%	12.03%	12.02%	17.95%	9.89%	9.98%	12.36%	14.67%	12.19%	12.02%	11.97%	10.89%	28.07%	15.05%	7.20%	9.42%	16.65%	11.98%	5.89%	9.90%	7.66%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	299	3	12	1	2	7	6	3	0	7	0	12	5	0	0	10	1	4	2	1	5	6	12	3	3	19	6	3	0	0	15	5	2	13	3	7	3	2	2	0	0	1	2	4	1	4	2	2	4	14	2	4	7	10	3	2	4	2	8	8	10	14	5	0	1	0	0									
		0.39%	0.24%	0.95%	0.07%	0.16%	0.59%	0.46%	0.23%	0.00%	0.65%	0.00%	0.94%	0.72%	0.00%	0.00%	0.72%	0.06%	0.26%	0.10%	0.13%	0.32%	0.66%	0.85%	0.24%	0.17%	1.46%	0.38%	0.25%	0.00%	0.00%	1.20%	0.97%	0.24%	1.04%	0.16%	0.50%	0.24%	0.31%	0.32%	0.00%	0.00%	0.10%	0.17%	0.30%	0.08%	0.40%	0.13%	0.17%	0.35%	1.18%	0.16%	0.90%	0.39%	0.66%	0.29%	0.16%	0.27%	0.40%	0.55%	0.62%	0.82%	1.12%	0.39%	0.00%	0.45%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7595	126	136	173	117	121	142	112	125	111	153	120	23	199	132	160	110	167	577	89	171	87	84	37	169	91	173	132	46	3	88	21	46	121	204	60	136	47	30	115	115	66	143	148	70	108	174	95	75	126	135	35	214	196	111	129	414	47	64	114	69	137	37	1	17	0	1									
		10.03%	10.02%	10.73%	12.93%	9.28%	10.23%	10.94%	8.51%	11.00%	10.29%	11.07%	9.45%	3.33%	11.01%	11.04%	11.46%	6.73%	10.99%	28.01%	11.34%	11.00%	9.55%	5.95%	2.99%	9.65%	7.01%	10.96%	10.98%	9.07%	1.19%	7.06%	4.05%	5.58%	9.65%	10.96%	4.30%	11.01%	7.24%	4.74%	9.47%	11.05%	6.33%	12.07%	11.03%	5.34%	10.92%	11.01%	7.93%	6.57%	10.66%	11.05%	7.90%	11.91%	13.01%	10.89%	10.03%	27.94%	9.31%	4.43%	8.88%	5.66%	10.94%	2.87%	0.50%	7.66%	0.00%	4.17%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
