Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Центральная № 16																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК  1765	УИК  1766	УИК №5294					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2700	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	200					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	504	3	18	13	11	11	11	11	11	11	8	8	7	3	9	5	4	7	19	7	8	7	8	9	17	9	7	5	2	9	14	6	10	10	7	9	15	12	16	13	10	17	13	6	23	14	6	6	20	5	14	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	569	14	27	19	16	10	16	16	8	5	16	11	7	1	6	7	7	14	9	2	8	5	5	18	12	13	9	13	20	9	9	7	7	10	7	12	11	19	14	28	11	9	10	9	6	9	14	23	11	11	4	2	2	1					
14	Число погашенных открепительных удостоверений	2196	47	32	37	39	39	39	39	39	39	42	42	43	47	41	45	46	43	31	43	42	43	42	41	33	41	43	45	48	41	36	44	40	40	43	41	35	38	34	37	40	33	37	44	27	36	44	44	30	45	36	0	0	200					
15	Число открепительных удостоверений выданных ТИК	68	0	3	1	2	2	1	1	3	2	0	0	0	2	2	1	0	1	0	1	0	6	0	1	1	1	0	2	0	2	0	3	5	0	1	2	3	0	0	1	1	0	3	2	4	0	1	2	0	2	3	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	"1. ""ЕДИНЕНИЕ"""	332	6	9	7	8	9	5	9	6	6	1	6	7	6	9	9	3	11	5	9	4	4	7	4	5	2	7	6	4	7	10	5	9	6	7	5	11	5	9	1	2	9	7	12	0	7	4	5	8	5	10	8	1	5					
		0.78%	0.91%	1.00%	0.68%	0.88%	0.97%	0.63%	0.97%	0.63%	0.77%	0.15%	0.90%	1.40%	0.78%	1.16%	1.05%	0.39%	1.25%	0.66%	0.99%	0.52%	0.60%	0.86%	0.57%	0.59%	0.28%	0.92%	0.82%	0.71%	0.54%	1.08%	0.61%	0.99%	0.89%	0.87%	0.62%	1.14%	0.57%	1.03%	0.11%	0.2%	0.86%	1.06%	1.13%	0.0%	0.61%	0.65%	0.75%	0.84%	0.62%	0.98%	2.73%	5.55%	0.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6171	126	145	154	169	111	124	135	140	139	122	89	74	111	124	153	117	139	120	146	104	98	139	96	133	107	105	98	71	154	151	118	120	77	99	97	140	146	134	137	131	139	75	131	117	151	84	62	114	96	109	22	1	177					
		14.58%	19.20%	16.23%	14.96%	18.69%	12.05%	15.83%	14.56%	14.81%	17.93%	18.31%	13.46%	14.85%	14.43%	16.02%	17.89%	15.37%	15.84%	16.04%	16.20%	13.72%	14.80%	17.11%	13.69%	15.77%	15.44%	13.83%	13.40%	12.70%	12.07%	16.35%	14.62%	13.23%	11.42%	12.39%	12.03%	14.62%	16.78%	15.40%	15.62%	13.1%	13.32%	11.39%	12.40%	13.37%	13.33%	13.70%	9.40%	12.10%	11.98%	10.76%	7.53%	5.55%	30.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1251	18	28	30	24	28	23	32	16	22	17	25	21	24	30	19	23	28	18	37	26	19	16	13	20	13	17	25	25	44	36	28	15	20	23	25	23	28	35	20	34	33	20	31	30	29	11	30	23	16	32	13	2	13					
		2.95%	2.74%	3.13%	2.91%	2.65%	3.04%	2.93%	3.45%	1.69%	2.83%	2.55%	3.78%	4.21%	3.12%	3.87%	2.22%	3.02%	3.19%	2.40%	4.10%	3.43%	2.87%	1.97%	1.85%	2.37%	1.87%	2.23%	3.41%	4.47%	3.45%	3.90%	3.46%	1.65%	2.96%	2.87%	3.10%	2.40%	3.21%	4.02%	2.28%	3.4%	3.16%	3.03%	2.93%	3.42%	2.56%	1.79%	4.55%	2.44%	1.99%	3.15%	4.45%	11.11%	2.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4990	74	91	140	135	114	110	121	113	100	88	76	49	82	101	105	88	110	69	81	120	87	93	73	96	84	76	79	67	142	92	112	108	68	81	100	98	100	105	107	103	121	73	115	80	179	76	76	110	81	89	21	3	128					
		11.79%	11.28%	10.19%	13.60%	14.93%	12.37%	14.04%	13.05%	11.95%	12.90%	13.21%	11.49%	9.83%	10.66%	13.04%	12.28%	11.56%	12.54%	9.22%	8.99%	15.83%	13.14%	11.45%	10.41%	11.38%	12.12%	10.01%	10.80%	11.98%	11.13%	9.96%	13.87%	11.90%	10.08%	10.13%	12.40%	10.24%	11.49%	12.06%	12.20%	10.3%	11.60%	11.09%	10.89%	9.14%	15.81%	12.39%	11.53%	11.67%	10.11%	8.78%	7.19%	16.66%	22.26%					
22	"5. ""За Русь Святую"""	282	3	4	10	6	12	5	3	2	5	2	6	5	4	4	6	3	13	5	5	7	2	4	7	2	6	3	6	1	8	11	8	4	2	6	6	6	7	6	5	5	2	6	6	7	1	5	4	10	5	13	5	0	3					
		0.66%	0.45%	0.44%	0.97%	0.66%	1.30%	0.63%	0.32%	0.21%	0.64%	0.30%	0.90%	1.00%	0.52%	0.51%	0.70%	0.39%	1.48%	0.66%	0.55%	0.92%	0.30%	0.49%	0.99%	0.23%	0.86%	0.39%	0.82%	0.17%	0.62%	1.19%	0.99%	0.44%	0.29%	0.75%	0.74%	0.62%	0.80%	0.68%	0.57%	0.5%	0.19%	0.91%	0.56%	0.8%	0.08%	0.81%	0.60%	1.06%	0.62%	1.28%	1.71%	0.0%	0.52%					
23	"6. ""Объединенная Российская партия ""Русь"""	68	1	3	0	2	2	0	2	3	0	2	2	0	1	0	2	3	1	2	2	0	1	0	3	0	0	3	1	2	1	0	2	4	1	0	0	1	1	1	2	2	0	2	0	2	2	0	1	1	2	4	1	0	0					
		0.16%	0.15%	0.33%	0.0%	0.22%	0.21%	0.0%	0.21%	0.31%	0.0%	0.30%	0.30%	0.0%	0.13%	0.0%	0.23%	0.39%	0.11%	0.26%	0.22%	0.0%	0.15%	0.0%	0.42%	0.0%	0.0%	0.39%	0.13%	0.35%	0.07%	0.0%	0.24%	0.44%	0.14%	0.0%	0.0%	0.10%	0.11%	0.11%	0.22%	0.2%	0.0%	0.30%	0.0%	0.22%	0.17%	0.0%	0.15%	0.10%	0.24%	0.39%	0.34%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	296	2	9	12	1	7	6	5	7	1	5	4	3	4	7	11	5	4	4	7	4	4	4	4	5	7	4	3	9	7	4	6	5	5	7	6	7	7	9	4	3	8	7	14	4	6	6	3	7	8	11	3	0	1					
		0.69%	0.30%	1.00%	1.16%	0.11%	0.76%	0.76%	0.53%	0.74%	0.12%	0.75%	0.60%	0.60%	0.52%	0.90%	1.28%	0.65%	0.45%	0.53%	0.77%	0.52%	0.60%	0.49%	0.57%	0.59%	1.01%	0.52%	0.41%	1.61%	0.54%	0.43%	0.74%	0.55%	0.74%	0.87%	0.74%	0.73%	0.80%	1.03%	0.45%	0.3%	0.76%	1.06%	1.32%	0.45%	0.53%	0.97%	0.45%	0.74%	0.99%	1.08%	1.02%	0.0%	0.17%					
25	"8. ""Народно-республиканская партия России"""	18	1	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0					
		0.04%	0.15%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.15%	0.15%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.12%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.12%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.09%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	294	4	6	11	7	5	4	8	10	6	1	5	4	6	5	5	3	2	5	10	6	4	7	5	3	5	6	0	6	7	10	4	2	6	4	10	11	5	2	7	4	6	8	5	2	13	5	5	8	6	10	1	0	4					
		0.69%	0.60%	0.67%	1.06%	0.77%	0.54%	0.51%	0.86%	1.05%	0.77%	0.15%	0.75%	0.80%	0.78%	0.64%	0.58%	0.39%	0.22%	0.66%	1.10%	0.79%	0.60%	0.86%	0.71%	0.35%	0.72%	0.79%	0.0%	1.07%	0.54%	1.08%	0.49%	0.22%	0.89%	0.50%	1.24%	1.14%	0.57%	0.22%	0.79%	0.4%	0.57%	1.21%	0.47%	0.22%	1.14%	0.81%	0.75%	0.84%	0.74%	0.98%	0.34%	0.0%	0.69%					
27	"10. ""Аграрная партия России"""	471	7	10	23	9	10	8	10	10	16	7	8	7	14	13	5	7	9	11	8	11	4	10	10	4	2	9	3	4	7	10	3	9	10	9	11	8	7	6	11	12	16	9	14	9	11	5	4	16	12	14	4	0	5					
		1.11%	1.06%	1.11%	2.23%	0.99%	1.08%	1.02%	1.07%	1.05%	2.06%	1.05%	1.21%	1.40%	1.82%	1.67%	0.58%	0.91%	1.02%	1.47%	0.88%	1.45%	0.60%	1.23%	1.42%	0.47%	0.28%	1.18%	0.41%	0.71%	0.54%	1.08%	0.37%	0.99%	1.48%	1.12%	1.36%	0.83%	0.80%	0.68%	1.25%	1.2%	1.53%	1.36%	1.32%	1.02%	0.97%	0.81%	0.60%	1.69%	1.49%	1.38%	1.36%	0.0%	0.86%					
28	"11. ""Истинные патриоты России"""	29	1	1	2	1	0	0	0	2	0	0	0	1	1	1	2	0	0	0	0	1	1	0	3	2	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0					
		0.06%	0.15%	0.11%	0.19%	0.11%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.20%	0.13%	0.12%	0.23%	0.0%	0.0%	0.0%	0.0%	0.13%	0.15%	0.0%	0.42%	0.23%	0.0%	0.13%	0.0%	0.0%	0.15%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	444	4	10	12	12	11	10	7	5	5	4	8	3	5	11	6	7	10	4	10	4	13	7	8	9	2	16	11	9	13	12	4	9	8	9	12	7	6	5	13	16	10	9	7	13	18	8	9	15	6	8	1	0	3					
		1.04%	0.60%	1.11%	1.16%	1.32%	1.19%	1.27%	0.75%	0.52%	0.64%	0.60%	1.21%	0.60%	0.65%	1.42%	0.70%	0.91%	1.14%	0.53%	1.10%	0.52%	1.96%	0.86%	1.14%	1.06%	0.28%	2.10%	1.50%	1.61%	1.01%	1.30%	0.49%	0.99%	1.18%	1.12%	1.48%	0.73%	0.68%	0.57%	1.48%	1.6%	0.95%	1.36%	0.66%	1.48%	1.59%	1.30%	1.36%	1.59%	0.74%	0.78%	0.34%	0.0%	0.52%					
30	"13. ""Демократическая партия России"""	44	0	3	0	2	2	1	0	2	0	1	2	1	0	0	0	1	1	0	0	3	2	0	0	2	0	0	0	0	1	0	2	2	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	3	1	2	0	3					
		0.10%	0.0%	0.33%	0.0%	0.22%	0.21%	0.12%	0.0%	0.21%	0.0%	0.15%	0.30%	0.20%	0.0%	0.0%	0.0%	0.13%	0.11%	0.0%	0.0%	0.39%	0.30%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.24%	0.22%	0.14%	0.0%	0.0%	0.0%	0.11%	0.0%	0.11%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.15%	0.10%	0.37%	0.09%	0.68%	0.0%	0.52%					
31	"14. ""Великая Россия - Евразийский Союз"""	82	2	2	1	3	2	2	1	1	1	4	2	1	1	1	4	1	0	2	2	0	1	2	3	3	2	0	0	3	3	2	0	2	0	1	1	2	2	0	0	1	0	2	5	1	1	1	1	1	3	1	1	0	4					
		0.19%	0.30%	0.22%	0.09%	0.33%	0.21%	0.25%	0.10%	0.10%	0.12%	0.60%	0.30%	0.20%	0.13%	0.12%	0.46%	0.13%	0.0%	0.26%	0.22%	0.0%	0.15%	0.24%	0.42%	0.35%	0.28%	0.0%	0.0%	0.53%	0.23%	0.21%	0.0%	0.22%	0.0%	0.12%	0.12%	0.20%	0.22%	0.0%	0.0%	0.1%	0.0%	0.30%	0.47%	0.11%	0.08%	0.16%	0.15%	0.10%	0.37%	0.09%	0.34%	0.0%	0.69%					
32	"15. ""Партия СЛОН"""	62	4	2	1	1	0	1	3	0	0	0	1	1	3	0	1	3	4	0	0	1	1	3	1	1	4	3	1	3	1	0	0	1	0	2	0	1	0	0	2	2	1	1	2	0	2	0	0	0	2	1	0	0	1					
		0.14%	0.60%	0.22%	0.09%	0.11%	0.0%	0.12%	0.32%	0.0%	0.0%	0.0%	0.15%	0.20%	0.39%	0.0%	0.11%	0.39%	0.45%	0.0%	0.0%	0.13%	0.15%	0.36%	0.14%	0.11%	0.57%	0.39%	0.13%	0.53%	0.07%	0.0%	0.0%	0.11%	0.0%	0.25%	0.0%	0.10%	0.0%	0.0%	0.22%	0.2%	0.09%	0.15%	0.18%	0.0%	0.17%	0.0%	0.0%	0.0%	0.24%	0.09%	0.0%	0.0%	0.17%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4853	59	114	149	91	93	97	124	115	61	76	86	68	80	76	81	93	77	92	94	69	60	101	78	92	86	94	106	55	152	118	103	102	86	80	91	102	129	100	132	99	137	64	96	105	165	63	83	120	90	123	21	1	24					
		11.47%	8.99%	12.76%	14.48%	10.06%	10.09%	12.38%	13.37%	12.16%	7.87%	11.41%	13.01%	13.65%	10.40%	9.81%	9.47%	12.22%	8.77%	12.29%	10.43%	9.10%	9.06%	12.43%	11.12%	10.91%	12.40%	12.38%	14.50%	9.83%	11.92%	12.78%	12.76%	11.24%	12.75%	10.01%	11.29%	10.65%	14.82%	11.49%	15.05%	9.9%	13.13%	9.72%	9.09%	12.0%	14.57%	10.27%	12.59%	12.73%	11.23%	12.14%	7.19%	5.55%	4.17%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	33	4	3	0	1	1	0	0	1	1	0	0	0	1	2	2	2	1	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0					
		0.07%	0.60%	0.33%	0.0%	0.11%	0.10%	0.0%	0.0%	0.10%	0.12%	0.0%	0.0%	0.0%	0.13%	0.25%	0.23%	0.26%	0.11%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.11%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.32%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2911	46	59	53	42	74	47	61	64	45	43	45	40	53	36	45	61	55	51	65	45	36	57	49	46	50	46	52	58	110	59	49	71	52	83	62	67	36	66	50	77	76	52	91	72	68	52	52	53	59	95	24	0	11					
		6.88%	7.01%	6.60%	5.15%	4.64%	8.03%	6.00%	6.58%	6.77%	5.80%	6.45%	6.80%	8.03%	6.89%	4.65%	5.26%	8.01%	6.27%	6.81%	7.21%	5.93%	5.43%	7.01%	6.99%	5.45%	7.21%	6.06%	7.11%	10.37%	8.62%	6.39%	6.07%	7.82%	7.71%	10.38%	7.69%	7.00%	4.13%	7.58%	5.70%	7.7%	7.28%	7.90%	8.61%	8.22%	6.00%	8.48%	7.89%	5.62%	7.36%	9.37%	8.21%	0.0%	1.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1531	20	38	32	23	23	26	35	35	21	21	16	17	33	24	36	25	32	25	24	20	27	29	37	41	29	31	36	11	44	25	33	42	25	36	26	27	34	23	24	41	46	26	48	42	32	26	26	41	26	50	18	0	3					
		3.61%	3.04%	4.25%	3.10%	2.54%	2.49%	3.32%	3.77%	3.70%	2.70%	3.15%	2.42%	3.41%	4.29%	3.10%	4.21%	3.28%	3.64%	3.34%	2.66%	2.63%	4.07%	3.57%	5.27%	4.86%	4.18%	4.08%	4.92%	1.96%	3.45%	2.70%	4.08%	4.63%	3.70%	4.50%	3.22%	2.82%	3.90%	2.64%	2.73%	4.1%	4.41%	3.95%	4.54%	4.8%	2.82%	4.24%	3.94%	4.35%	3.24%	4.93%	6.16%	0.0%	0.52%					
37	"20. ""Политическая партия ""Единая Россия"""	12495	181	223	268	234	295	209	251	295	249	194	198	131	245	239	227	202	263	206	254	231	201	226	216	263	205	239	219	158	397	261	230	292	224	249	259	315	237	253	219	333	287	202	339	274	298	174	207	296	263	309	100	8	147					
		29.53%	27.59%	24.97%	26.04%	25.88%	32.03%	26.69%	27.07%	31.21%	32.12%	29.12%	29.95%	26.30%	31.85%	30.87%	26.54%	26.54%	29.98%	27.54%	28.19%	30.47%	30.36%	27.83%	30.81%	31.19%	29.58%	31.48%	29.95%	28.26%	31.13%	28.27%	28.50%	32.19%	33.23%	31.16%	32.13%	32.91%	27.24%	29.08%	24.97%	33.3%	27.51%	30.69%	32.10%	31.31%	26.32%	28.38%	31.41%	31.42%	32.83%	30.50%	34.24%	44.44%	25.56%					
38	"21. ""Российская Конституционно-демократическая партия"""	99	1	3	0	0	3	0	0	1	1	1	1	1	1	1	0	2	0	3	0	0	1	0	1	2	1	1	0	3	3	3	1	3	1	0	1	3	2	0	1	4	1	0	21	0	0	2	0	1	1	21	1	0	1					
		0.23%	0.15%	0.33%	0.0%	0.0%	0.32%	0.0%	0.0%	0.10%	0.12%	0.15%	0.15%	0.20%	0.13%	0.12%	0.0%	0.26%	0.0%	0.40%	0.0%	0.0%	0.15%	0.0%	0.14%	0.23%	0.14%	0.13%	0.0%	0.53%	0.23%	0.32%	0.12%	0.33%	0.14%	0.0%	0.12%	0.31%	0.22%	0.0%	0.11%	0.4%	0.09%	0.0%	1.98%	0.0%	0.0%	0.32%	0.0%	0.10%	0.12%	2.07%	0.34%	0.0%	0.17%					
39	"22. ""Развитие предпринимательства"""	686	23	19	10	20	8	14	17	8	14	11	15	7	10	11	12	14	20	15	14	13	13	11	11	11	18	12	14	8	16	12	12	16	12	8	23	12	11	15	18	17	18	10	17	10	21	14	10	18	12	6	3	0	2					
		1.62%	3.50%	2.12%	0.97%	2.21%	0.86%	1.78%	1.83%	0.84%	1.80%	1.65%	2.26%	1.40%	1.30%	1.42%	1.40%	1.83%	2.28%	2.00%	1.55%	1.71%	1.96%	1.35%	1.56%	1.30%	2.59%	1.58%	1.91%	1.43%	1.25%	1.30%	1.48%	1.76%	1.78%	1.00%	2.85%	1.25%	1.26%	1.72%	2.05%	1.7%	1.72%	1.51%	1.60%	1.14%	1.85%	2.28%	1.51%	1.91%	1.49%	0.59%	1.02%	0.0%	0.34%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3281	44	71	79	85	70	65	77	79	55	44	44	40	66	50	94	65	64	78	86	65	52	62	55	72	50	53	51	34	98	78	46	70	42	53	45	68	71	63	88	66	77	60	68	75	87	52	52	73	69	80	19	1	30					
		7.75%	6.70%	7.95%	7.67%	9.40%	7.60%	8.30%	8.30%	8.35%	7.09%	6.60%	6.65%	8.03%	8.58%	6.45%	10.99%	8.54%	7.29%	10.42%	9.54%	8.57%	7.85%	7.63%	7.84%	8.54%	7.21%	6.98%	6.97%	6.08%	7.68%	8.45%	5.70%	7.71%	6.23%	6.63%	5.58%	7.10%	8.16%	7.24%	10.03%	6.6%	7.38%	9.11%	6.43%	8.57%	7.68%	8.48%	7.89%	7.74%	8.61%	7.89%	6.50%	5.55%	5.21%					
																																																												
41	Против всех	1379	24	32	32	26	33	22	22	28	23	19	21	15	16	21	27	26	30	31	33	20	31	29	20	30	15	30	17	24	50	27	30	17	27	35	24	38	27	32	30	37	48	21	26	30	36	15	25	23	33	18	23	1	9					
		3.25%	3.65%	3.58%	3.10%	2.87%	3.58%	2.80%	2.37%	2.96%	2.96%	2.85%	3.17%	3.01%	2.08%	2.71%	3.15%	3.41%	3.42%	4.14%	3.66%	2.63%	4.68%	3.57%	2.85%	3.55%	2.16%	3.95%	2.32%	4.29%	3.92%	2.92%	3.71%	1.87%	4.00%	4.38%	2.97%	3.97%	3.10%	3.67%	3.42%	3.7%	4.60%	3.19%	2.46%	3.42%	3.18%	2.44%	3.79%	2.44%	4.11%	1.77%	7.87%	5.55%	1.56%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
