Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																					
Дата голосования: 04.12.2011																																																																																																																					
																																																																																																																					
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																					
																																																																																																																					
Сводная таблица результатов выборов																																																																																																																					
																																																																																																																					
		Сумма	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №205	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №224	УИК №226	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №259	УИК №260	УИК №261	УИК №264	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №287	УИК №288	УИК №290	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №327					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	302	6	6	10	6	5	0	1	1	9	4	2	7	9	2	4	5	4	2	0	0	1	5	0	6	1	0	8	2	4	2	1	4	1	11	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	2	4	6	11	5	5	4	0	1	0	0	0	0	0	0	6	1	3	1	0	1	10	6	11	2	4	4	5	3	2	2	0	1	4	2	1	0	2	0	0	1	0	1	8	0	2	1	0	0	0	2	14	3	0	3	4	0	0					
		6.63%	23.08%	20.69%	13.33%	16.22%	26.32%	0.00%	3.85%	3.70%	11.39%	4.71%	4.76%	14.58%	20.00%	6.90%	13.79%	16.67%	13.33%	7.41%	0.00%	0.00%	3.45%	3.82%	0.00%	5.77%	4.55%	0.00%	13.11%	7.41%	14.29%	7.69%	3.45%	8.89%	6.25%	17.74%	34.48%	14.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	13.79%	17.95%	0.00%	13.33%	20.00%	37.50%	9.57%	6.41%	10.20%	4.88%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	42.86%	6.25%	10.71%	3.70%	0.00%	7.14%	18.52%	10.17%	19.30%	9.52%	21.05%	5.71%	7.25%	5.00%	14.29%	14.29%	0.00%	10.00%	28.57%	15.38%	4.35%	0.00%	7.14%	0.00%	0.00%	1.12%	0.00%	1.35%	20.00%	0.00%	9.52%	7.69%	0.00%	0.00%	0.00%	10.00%	13.21%	10.34%	0.00%	6.38%	14.81%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	776	6	11	13	5	4	12	6	5	25	33	21	12	13	12	10	7	7	6	1	0	3	7	10	6	1	1	12	10	5	7	9	17	1	29	0	12	0	0	0	0	1	0	0	1	0	0	1	1	1	11	12	5	6	8	2	14	9	7	6	1	1	0	0	4	0	0	2	5	3	19	4	3	3	14	19	11	7	9	8	22	26	4	6	8	8	4	3	5	0	15	1	0	1	1	1	11	12	6	3	6	4	1	14	28	10	5	19	7	8	0					
		17.04%	23.08%	37.93%	17.33%	13.51%	21.05%	50.00%	23.08%	18.52%	31.65%	38.82%	50.00%	25.00%	28.89%	41.38%	34.48%	23.33%	23.33%	22.22%	3.85%	0.00%	10.34%	5.34%	14.08%	5.77%	4.55%	4.76%	19.67%	37.04%	17.86%	26.92%	31.03%	37.78%	6.25%	46.77%	0.00%	44.44%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	1.03%	0.00%	0.00%	3.45%	5.00%	5.00%	37.93%	30.77%	29.41%	40.00%	40.00%	12.50%	12.17%	11.54%	14.29%	7.32%	5.88%	3.57%	0.00%	0.00%	20.00%	0.00%	0.00%	14.29%	35.71%	18.75%	67.86%	14.81%	15.79%	21.43%	25.93%	32.20%	19.30%	33.33%	47.37%	11.43%	31.88%	43.33%	28.57%	42.86%	57.14%	80.00%	28.57%	23.08%	21.74%	0.00%	53.57%	1.19%	0.00%	1.12%	1.11%	1.35%	27.50%	38.71%	28.57%	23.08%	37.50%	25.00%	5.00%	70.00%	26.42%	34.48%	17.24%	40.43%	25.93%	50.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	94	0	0	1	0	0	1	2	0	3	1	1	3	1	2	0	0	2	2	0	0	3	4	0	3	0	1	3	0	1	0	2	3	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	2	1	3	2	2	0	1	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	2	11	1	0	0	1	0	0					
		2.06%	0.00%	0.00%	1.33%	0.00%	0.00%	4.17%	7.69%	0.00%	3.80%	1.18%	2.38%	6.25%	2.22%	6.90%	0.00%	0.00%	6.67%	7.41%	0.00%	0.00%	10.34%	3.05%	0.00%	2.88%	0.00%	4.76%	4.92%	0.00%	3.57%	0.00%	6.90%	6.67%	6.25%	0.00%	0.00%	7.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	5.88%	0.00%	15.00%	6.25%	0.87%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.75%	3.57%	0.00%	10.53%	7.14%	5.56%	3.39%	3.51%	0.00%	5.26%	0.00%	5.80%	3.33%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	3.23%	0.00%	15.38%	0.00%	6.25%	0.00%	10.00%	10.38%	3.45%	0.00%	0.00%	3.70%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	418	2	3	7	1	3	6	6	1	12	10	4	17	2	5	3	3	6	9	1	0	3	6	4	5	2	2	5	3	10	4	2	8	3	2	10	2	0	0	0	0	0	0	1	0	0	0	1	1	0	1	9	7	2	4	2	9	3	18	4	0	1	1	0	2	0	2	0	2	8	2	20	2	5	9	9	10	1	2	3	6	8	0	1	4	1	1	1	0	0	2	1	1	0	1	1	5	10	2	0	6	9	0	1	14	6	2	14	6	2	0					
		9.18%	7.69%	10.34%	9.33%	2.70%	15.79%	25.00%	23.08%	3.70%	15.19%	11.76%	9.52%	35.42%	4.44%	17.24%	10.34%	10.00%	20.00%	33.33%	3.85%	0.00%	10.34%	4.58%	5.63%	4.81%	9.09%	9.52%	8.20%	11.11%	35.71%	15.38%	6.90%	17.78%	18.75%	3.23%	34.48%	7.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	3.45%	5.00%	0.00%	3.45%	23.08%	41.18%	13.33%	20.00%	12.50%	7.83%	3.85%	36.73%	4.88%	0.00%	3.57%	3.33%	0.00%	10.00%	0.00%	9.52%	0.00%	14.29%	50.00%	7.14%	74.07%	10.53%	35.71%	16.67%	15.25%	17.54%	4.76%	10.53%	4.29%	8.70%	13.33%	0.00%	7.14%	28.57%	10.00%	7.14%	7.69%	0.00%	0.00%	7.14%	1.19%	1.33%	0.00%	1.11%	1.35%	12.50%	32.26%	9.52%	0.00%	37.50%	56.25%	0.00%	5.00%	13.21%	20.69%	6.90%	29.79%	22.22%	12.50%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	110	1	0	6	0	1	0	0	0	1	0	2	1	2	0	1	1	1	0	24	0	1	2	0	1	0	0	1	0	0	1	2	0	1	3	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	1	1	1	0	3	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	1	6	1	0	1	1	0	0					
		2.42%	3.85%	0.00%	8.00%	0.00%	5.26%	0.00%	0.00%	0.00%	1.27%	0.00%	4.76%	2.08%	4.44%	0.00%	3.45%	3.33%	3.33%	0.00%	92.31%	0.00%	3.45%	1.53%	0.00%	0.96%	0.00%	0.00%	1.64%	0.00%	0.00%	3.85%	6.90%	0.00%	6.25%	4.84%	31.03%	7.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	11.76%	0.00%	0.00%	12.50%	0.00%	2.56%	6.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	21.43%	7.41%	1.69%	1.75%	4.76%	5.26%	0.00%	4.35%	5.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	0.00%	4.76%	23.08%	0.00%	0.00%	0.00%	5.00%	5.66%	3.45%	0.00%	2.13%	3.70%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2747	11	8	37	25	4	5	11	20	22	30	9	6	12	5	11	12	5	8	0	25	18	106	57	82	18	17	29	11	7	5	10	13	5	17	0	4	80	95	98	75	85	89	87	95	99	29	27	18	18	12	7	2	0	1	2	79	57	16	68	16	23	29	22	14	21	19	12	1	1	2	2	8	0	14	19	20	10	2	55	26	17	6	4	2	0	5	3	17	29	8	82	74	86	88	71	13	7	9	4	4	2	19	0	29	5	22	8	7	6	0					
		60.33%	42.31%	27.59%	49.33%	67.57%	21.05%	20.83%	42.31%	74.07%	27.85%	35.29%	21.43%	12.50%	26.67%	17.24%	37.93%	40.00%	16.67%	29.63%	0.00%	100.00%	62.07%	80.92%	80.28%	78.85%	81.82%	80.95%	47.54%	40.74%	25.00%	19.23%	34.48%	28.89%	31.25%	27.42%	0.00%	14.81%	100.00%	100.00%	100.00%	100.00%	98.84%	100.00%	98.86%	97.94%	100.00%	100.00%	93.10%	90.00%	90.00%	41.38%	17.95%	11.76%	0.00%	5.00%	12.50%	68.70%	73.08%	32.65%	82.93%	94.12%	82.14%	96.67%	100.00%	70.00%	100.00%	90.48%	85.71%	7.14%	6.25%	7.14%	7.41%	42.11%	0.00%	25.93%	32.20%	35.09%	47.62%	10.53%	78.57%	37.68%	28.33%	42.86%	28.57%	14.29%	0.00%	35.71%	23.08%	73.91%	100.00%	28.57%	97.62%	98.67%	96.63%	97.78%	95.95%	32.50%	22.58%	42.86%	30.77%	25.00%	12.50%	95.00%	0.00%	27.36%	17.24%	75.86%	17.02%	25.93%	37.50%	0.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	40	0	1	1	0	1	0	0	0	1	2	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	4	3	0	0	1	0	0					
		0.88%	0.00%	3.45%	1.33%	0.00%	5.26%	0.00%	0.00%	0.00%	1.27%	2.35%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.96%	0.00%	0.00%	1.64%	0.00%	0.00%	0.00%	3.45%	0.00%	6.25%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.56%	0.00%	0.00%	0.00%	6.25%	0.87%	2.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	3.39%	3.51%	0.00%	0.00%	0.00%	4.35%	1.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	3.23%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	3.77%	10.34%	0.00%	0.00%	3.70%	0.00%	0.00%					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
