Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																						
Дата голосования: 02.12.2007																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																						
																																																																																																																																						
Сводная таблица результатов выборов																																																																																																																																						
																																																																																																																																						
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №238	УИК №239	УИК №240	УИК №241	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №317	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №336	УИК №337	УИК №338	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																						
18	1.Политическая партия «Аграрная партия России»	111	0	0	1	3	1	1	1	0	0	0	0	0	2	0	1	0	0	2	0	0	2	0	0	0	0	1	0	3	2	0	1	0	3	3	0	5	0	2	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	4	6	0	0	0	1	0	0	0	2	2	0	0	0	0	2	0	0	1	0	2	1	0	0	0	0	0	3	0	11	3	0	3	5	2	0	0	1	0	0	0	0	1	0	3	0	2	2	4	0	0	1	0	0	1	0	0	0	1	0					
		2.31%	0.00%	0.00%	3.33%	5.77%	5.00%	5.26%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	1.41%	0.00%	0.00%	6.90%	0.00%	0.00%	11.76%	0.00%	0.00%	0.00%	0.00%	1.25%	0.00%	3.49%	2.30%	0.00%	1.12%	0.00%	10.71%	3.57%	0.00%	5.81%	0.00%	1.89%	5.26%	0.00%	0.00%	3.85%	13.64%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	5.00%	3.45%	3.33%	1.19%	0.00%	0.00%	15.38%	18.75%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	3.70%	11.11%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	10.00%	0.00%	3.45%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	12.00%	0.00%	7.91%	3.57%	0.00%	4.55%	21.74%	4.35%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	17.65%	0.00%	7.14%	4.44%	9.09%	0.00%	0.00%	3.57%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	1.19%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	119	0	0	5	3	0	0	1	0	0	0	0	1	2	3	3	1	3	0	0	1	0	0	1	0	0	0	0	2	2	1	0	2	1	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	1	2	0	1	0	0	1	5	0	1	2	2	1	0	0	5	1	3	0	0	1	1	0	0	2	0	1	1	0	0	0	0	0	3	0	10	2	3	5	3	1	1	0	1	0	1	0	0	0	0	1	0	8	1	0	1	0	0	0	0	0	0	3	0	0	0					
		2.48%	0.00%	0.00%	16.67%	5.77%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	3.23%	7.14%	14.29%	4.23%	6.67%	10.71%	0.00%	0.00%	2.04%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	2.33%	2.30%	1.64%	0.00%	10.00%	3.57%	0.00%	0.00%	2.33%	0.00%	0.94%	0.00%	0.00%	11.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	7.32%	9.09%	2.50%	6.90%	0.00%	1.19%	0.00%	0.00%	3.85%	15.63%	0.00%	3.13%	6.67%	11.11%	2.78%	0.00%	0.00%	9.26%	5.56%	3.75%	0.00%	0.00%	5.88%	5.00%	0.00%	0.00%	20.00%	0.00%	1.72%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	12.00%	0.00%	7.19%	2.38%	6.25%	7.58%	13.04%	2.17%	4.17%	0.00%	5.56%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	28.57%	2.22%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.71%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	42	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	1	11	0	1	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	4.76%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	3.57%	1.19%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	5.56%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	12.00%	4.76%	7.91%	0.00%	2.08%	6.06%	4.35%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	187	2	0	2	2	1	3	2	1	0	0	7	1	5	0	3	2	0	0	0	1	3	0	0	0	4	2	1	2	5	5	2	0	3	5	3	13	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	2	2	1	1	0	2	2	0	5	0	0	1	1	0	0	0	0	3	0	0	1	3	1	0	0	1	0	0	0	1	1	1	2	0	3	1	0	0	2	0	8	6	0	6	0	4	0	2	0	2	1	2	1	3	0	4	2	0	2	3	0	0	3	2	1	4	0	1	1	2	0					
		3.90%	8.33%	0.00%	6.67%	3.85%	5.00%	15.79%	2.78%	2.27%	0.00%	0.00%	53.85%	3.23%	17.86%	0.00%	4.23%	13.33%	0.00%	0.00%	0.00%	2.04%	17.65%	0.00%	0.00%	0.00%	14.81%	2.50%	1.27%	2.33%	5.75%	8.20%	2.25%	0.00%	10.71%	5.95%	4.11%	15.12%	1.30%	0.00%	7.89%	0.00%	3.85%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	7.69%	2.41%	2.33%	3.33%	2.44%	0.00%	5.00%	6.90%	0.00%	5.95%	0.00%	0.00%	3.85%	3.13%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	1.85%	16.67%	1.25%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	10.00%	6.67%	1.72%	3.13%	0.00%	10.00%	1.67%	0.00%	0.00%	8.00%	0.00%	5.76%	7.14%	0.00%	9.09%	0.00%	8.70%	0.00%	2.38%	0.00%	7.69%	5.26%	14.29%	6.25%	15.00%	0.00%	23.53%	7.41%	0.00%	4.44%	6.82%	0.00%	0.00%	10.71%	3.70%	4.00%	13.33%	0.00%	3.57%	4.55%	2.38%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	40	1	4	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0					
		0.83%	4.17%	23.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	4.76%	0.00%	0.00%	3.57%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.53%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	3.33%	2.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.13%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	5.56%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.00%	0.00%	0.00%	0.00%	2.08%	1.52%	0.00%	0.00%	4.17%	0.00%	11.11%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	2.22%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	24	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0					
		0.50%	0.00%	0.00%	0.00%	1.92%	5.00%	5.26%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.41%	0.00%	3.57%	3.45%	0.00%	2.04%	0.00%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	1.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	2.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	8.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	2.27%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	579	8	3	4	6	3	3	7	7	0	0	0	1	2	1	13	2	8	9	4	15	3	8	2	0	8	2	4	2	10	9	2	2	3	11	11	14	1	3	5	0	8	0	1	0	0	0	3	1	0	1	0	0	8	0	0	8	3	3	5	5	4	6	8	5	21	0	3	0	6	4	3	7	3	17	4	0	19	3	10	0	0	4	6	0	0	0	11	2	7	5	6	1	0	4	2	4	10	1	1	2	3	1	5	1	7	9	8	3	0	2	27	2	3	6	16	8	5	8	9	6	0	9	1	4	3	1	1					
		12.07%	33.33%	17.65%	13.33%	11.54%	15.00%	15.79%	9.72%	15.91%	0.00%	0.00%	0.00%	3.23%	7.14%	4.76%	18.31%	13.33%	28.57%	31.03%	4.65%	30.61%	17.65%	47.06%	8.00%	0.00%	29.63%	2.50%	5.06%	2.33%	11.49%	14.75%	2.25%	10.00%	10.71%	13.10%	15.07%	16.28%	1.30%	2.83%	13.16%	0.00%	30.77%	0.00%	4.55%	0.00%	0.00%	0.00%	15.00%	7.14%	0.00%	6.25%	0.00%	0.00%	18.18%	0.00%	0.00%	30.77%	3.61%	3.49%	16.67%	12.20%	36.36%	15.00%	27.59%	16.67%	25.00%	0.00%	11.11%	0.00%	18.75%	28.57%	9.38%	23.33%	16.67%	47.22%	16.67%	0.00%	35.19%	16.67%	12.50%	0.00%	0.00%	23.53%	30.00%	0.00%	0.00%	0.00%	73.33%	3.45%	10.94%	18.52%	20.00%	1.67%	0.00%	7.02%	8.00%	19.05%	7.19%	1.19%	2.08%	3.03%	13.04%	2.17%	20.83%	1.19%	38.89%	34.62%	42.11%	21.43%	0.00%	10.00%	90.00%	11.76%	11.11%	21.43%	35.56%	18.18%	13.51%	26.67%	32.14%	11.11%	0.00%	30.00%	3.57%	14.29%	13.64%	1.19%	8.33%					
