Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Кировская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357					
21	. Путин Владимир Владимирович	11807	820	623	454	612	375	225	574	460	787	927	459	577	633	239	197	142	105	131	121	141	174	144	120	295	181	213	208	82	184	764	840					
		65.95%	62.36%	60.02%	57.47%	60.24%	63.13%	70.53%	63.71%	61.09%	61.25%	65.42%	64.29%	60.80%	59.21%	85.36%	74.62%	79.33%	52.24%	73.18%	77.07%	64.98%	86.14%	79.56%	74.53%	69.91%	82.65%	72.70%	81.25%	73.87%	74.49%	76.25%	71.73%					
22	. Хакамада Ирина Муцуовна	284	21	17	13	24	17	3	10	12	11	33	11	15	17	3	0	1	3	0	0	1	1	0	3	7	3	3	4	0	0	20	31					
		1.59%	1.60%	1.64%	1.65%	2.36%	2.86%	0.94%	1.11%	1.59%	0.86%	2.33%	1.54%	1.58%	1.59%	1.07%	0.00%	0.56%	1.49%	0.00%	0.00%	0.46%	0.50%	0.00%	1.86%	1.66%	1.37%	1.02%	1.56%	0.00%	0.00%	2.00%	2.65%					
23	. Харитонов Николай Михайлович	4062	323	279	244	286	139	69	201	199	366	340	161	265	302	27	46	25	87	39	31	71	21	33	31	91	23	49	32	19	42	103	118					
		22.69%	24.56%	26.88%	30.89%	28.15%	23.40%	21.63%	22.31%	26.43%	28.48%	23.99%	22.55%	27.92%	28.25%	9.64%	17.42%	13.97%	43.28%	21.79%	19.75%	32.72%	10.40%	18.23%	19.25%	21.56%	10.50%	16.72%	12.50%	17.12%	17.00%	10.28%	10.08%					
																																						
24	Против всех	475	48	35	22	28	17	3	31	28	22	26	20	24	24	0	0	1	1	0	1	0	1	1	1	12	1	2	0	1	2	48	75					
		2.65%	3.65%	3.37%	2.78%	2.76%	2.86%	0.94%	3.44%	3.72%	1.71%	1.83%	2.80%	2.53%	2.25%	0.00%	0.00%	0.56%	0.50%	0.00%	0.64%	0.00%	0.50%	0.55%	0.62%	2.84%	0.46%	0.68%	0.00%	0.90%	0.81%	4.79%	6.40%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
