Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Поронайская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №157									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	0	0	4	3	5	3	0	0	0	4	5	0	1	0	0	1	0									
		0.35%	0.00%	0.00%	0.68%	0.43%	0.61%	0.36%	0.00%	0.00%	0.00%	0.63%	0.62%	0.00%	0.72%	0.00%	0.00%	0.81%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	180	11	9	13	22	27	19	17	1	2	16	30	4	2	5	0	0	2									
		2.42%	2.27%	2.31%	2.22%	3.17%	3.27%	2.30%	3.89%	0.45%	4.88%	2.51%	3.73%	1.05%	1.44%	0.83%	0.00%	0.00%	1.09%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
