Выборы Президента Российской Федерации																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Пермь, Мотовилихинская"																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274					
		70.35%	69.89%	66.98%	68.99%	68.11%	64.33%	68.61%	71.28%	71.10%	68.72%	72.55%	71.29%	72.86%	71.63%	64.84%	73.91%	70.16%	68.41%	69.10%	66.21%	68.95%	67.90%	70.60%	69.47%	71.84%	70.74%	65.98%	68.79%	70.67%	70.39%	68.37%	69.64%	70.99%	69.80%	72.25%	68.67%	71.37%	69.63%	79.44%	74.08%	70.00%	70.97%	63.43%	77.04%	70.46%	66.07%	69.20%	73.37%	71.13%	69.49%	69.95%	76.49%	71.13%	77.10%	71.91%	71.11%	67.86%	72.04%	73.47%	69.33%	74.37%	71.79%	72.99%	72.94%	71.31%	69.46%	72.43%	72.25%	73.01%	72.46%	72.43%	74.79%	74.77%	69.47%	70.35%					
22	. Хакамада Ирина Муцуовна	6258	104	123	68	83	120	58	55	89	80	59	79	94	79	93	47	67	99	106	106	116	159	102	83	83	127	136	141	151	144	159	150	159	138	111	150	60	98	8	20	41	79	99	49	44	112	92	67	81	130	100	30	57	14	88	107	124	49	44	45	53	56	28	19	145	146	71	95	60	59	81	48	10	20	11					
		7.91%	8.97%	8.26%	10.29%	8.54%	11.39%	6.77%	7.12%	7.63%	9.48%	7.71%	8.49%	8.28%	7.60%	8.79%	5.70%	6.62%	7.98%	9.81%	8.01%	8.83%	9.33%	6.99%	7.06%	6.89%	8.81%	11.20%	8.98%	9.97%	9.74%	10.98%	11.44%	9.59%	9.20%	8.13%	9.31%	7.63%	8.15%	3.23%	5.24%	6.95%	8.72%	12.66%	6.90%	6.60%	8.72%	6.78%	5.89%	6.53%	9.27%	7.70%	4.83%	8.03%	4.06%	6.50%	7.71%	9.42%	6.17%	5.84%	9.20%	4.80%	6.72%	5.36%	4.90%	8.30%	8.06%	4.71%	6.98%	4.59%	5.82%	5.70%	4.55%	3.00%	5.26%	6.40%					
23	. Харитонов Николай Михайлович	6060	82	153	44	98	106	93	66	86	73	42	76	55	80	105	78	89	92	100	114	122	160	109	116	87	132	92	96	91	83	105	71	102	94	64	117	72	92	8	34	45	80	58	26	35	118	127	106	86	89	112	42	49	12	88	100	99	64	51	43	96	78	49	26	103	152	123	106	93	89	96	81	21	26	12					
		7.66%	7.08%	10.27%	6.66%	10.08%	10.06%	10.85%	8.54%	7.38%	8.65%	5.49%	8.17%	4.85%	7.69%	9.92%	9.47%	8.79%	7.41%	9.25%	8.62%	9.28%	9.39%	7.47%	9.86%	7.23%	9.15%	7.58%	6.11%	6.01%	5.61%	7.25%	5.42%	6.15%	6.27%	4.69%	7.26%	9.16%	7.65%	3.23%	8.90%	7.63%	8.83%	7.42%	3.66%	5.25%	9.18%	9.36%	9.31%	6.94%	6.34%	8.63%	6.76%	6.90%	3.48%	6.50%	7.20%	7.52%	8.06%	6.76%	8.79%	8.70%	9.36%	9.39%	6.70%	5.90%	8.39%	8.15%	7.78%	7.11%	8.79%	6.75%	7.68%	6.31%	6.84%	6.98%					
																																																																																	
24	Против всех	3954	63	85	31	37	57	44	38	57	33	35	45	68	46	55	37	45	71	44	73	52	87	67	54	45	43	78	91	66	77	80	54	84	81	65	91	40	55	14	15	25	35	50	29	42	68	67	48	49	78	69	21	25	12	69	80	86	27	32	23	35	22	21	19	98	106	79	56	84	50	101	69	26	35	15					
		5.00%	5.44%	5.70%	4.69%	3.81%	5.41%	5.13%	4.92%	4.89%	3.91%	4.58%	4.84%	5.99%	4.42%	5.20%	4.49%	4.45%	5.72%	4.07%	5.52%	3.96%	5.11%	4.59%	4.59%	3.74%	2.98%	6.43%	5.80%	4.36%	5.21%	5.52%	4.12%	5.07%	5.40%	4.76%	5.65%	5.09%	4.58%	5.65%	3.93%	4.24%	3.86%	6.39%	4.08%	6.30%	5.29%	4.94%	4.22%	3.95%	5.56%	5.32%	3.38%	3.52%	3.48%	5.10%	5.76%	6.53%	3.40%	4.24%	4.70%	3.17%	2.64%	4.02%	4.90%	5.61%	5.85%	5.24%	4.11%	6.42%	4.94%	7.10%	6.54%	7.81%	9.21%	8.72%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
