Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Зерноградская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	860	10	10	10	10	5	5	35	5	10	10	10	20	50	10	10	10	15	5	10	10	30	15	20	15	15	15	15	20	15	20	5	20	5	20	30	15	5	20	25	5	5	25	5	15	20	5	5	5	5	10	5	20	5	15	15	25	15	30	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	333	2	0	0	1	0	5	6	5	0	1	4	2	0	8	3	5	4	2	10	3	13	2	18	9	7	3	7	5	2	7	1	1	0	6	26	7	1	2	10	0	0	3	0	2	6	5	5	5	5	9	5	20	4	9	6	10	6	30	5	0	0	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	2	0	0	1	0	0	2	0	0	0	0	1	0	1	2	1	3	0	0	0	4	1	3	0	4	2	1	9	5	3	2	2	0	5	3	5	6	2	1	1	0	10	1	1	0	2	0	0	0	0	0	3	3	2	1	3	2	0	1	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	527	8	10	10	9	5	0	29	0	10	9	6	18	50	2	7	5	11	3	0	7	17	13	2	6	8	12	8	15	13	13	4	19	5	14	4	8	4	18	15	5	5	22	5	13	14	0	0	0	0	1	0	0	1	6	9	15	9	0	5	10	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	298	4	0	0	3	2	1	11	2	0	2	3	9	0	0	0	3	2	1	2	1	10	4	15	6	14	9	11	10	10	11	0	8	1	10	31	17	9	5	10	0	0	7	2	1	2	0	2	1	1	1	0	5	1	8	6	9	7	5	1	2	0	0									
		1.44%	0.80%	0.00%	0.00%	1.78%	3.70%	1.16%	1.13%	2.63%	0.00%	1.37%	1.64%	1.55%	0.00%	0.00%	0.00%	1.52%	0.61%	0.76%	1.40%	0.69%	1.23%	1.34%	1.64%	1.29%	2.94%	1.54%	3.53%	2.16%	2.20%	1.97%	0.00%	2.01%	0.52%	1.25%	3.04%	3.85%	2.84%	1.55%	1.27%	0.00%	0.00%	0.95%	1.23%	0.39%	0.62%	0.00%	1.68%	0.78%	0.69%	0.75%	0.00%	0.64%	0.69%	1.40%	1.60%	1.20%	1.64%	1.11%	0.62%	0.99%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	880	15	3	3	9	3	7	54	2	3	11	18	31	5	0	6	11	15	6	8	8	49	23	56	10	24	24	18	17	21	28	15	17	5	23	43	15	14	14	30	2	2	24	2	11	12	2	1	5	6	1	2	29	3	15	16	42	14	13	2	7	3	2									
		4.25%	2.99%	1.74%	2.42%	5.33%	5.56%	8.14%	5.56%	2.63%	2.59%	7.53%	9.84%	5.34%	4.10%	0.00%	4.62%	5.56%	4.60%	4.55%	5.59%	5.52%	6.00%	7.72%	6.11%	2.15%	5.03%	4.10%	5.77%	3.66%	4.62%	5.01%	11.54%	4.26%	2.62%	2.89%	4.21%	3.39%	4.42%	4.33%	3.80%	2.33%	3.23%	3.25%	1.23%	4.30%	3.73%	1.31%	0.84%	3.88%	4.14%	0.75%	1.67%	3.74%	2.07%	2.63%	4.28%	5.59%	3.29%	2.90%	1.24%	3.47%	2.86%	1.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	389	9	6	1	2	1	2	20	0	1	4	2	12	3	2	1	3	3	0	4	5	20	3	23	12	10	12	11	6	11	14	1	17	0	21	19	11	6	3	11	0	1	10	1	3	5	0	0	1	1	0	0	13	4	10	8	12	8	5	7	4	2	2									
		1.88%	1.80%	3.49%	0.81%	1.18%	1.85%	2.33%	2.06%	0.00%	0.86%	2.74%	1.09%	2.07%	2.46%	2.60%	0.77%	1.52%	0.92%	0.00%	2.80%	3.45%	2.45%	1.01%	2.51%	2.58%	2.10%	2.05%	3.53%	1.29%	2.42%	2.50%	0.77%	4.26%	0.00%	2.63%	1.86%	2.49%	1.89%	0.93%	1.39%	0.00%	1.61%	1.36%	0.62%	1.17%	1.55%	0.00%	0.00%	0.78%	0.69%	0.00%	0.00%	1.68%	2.76%	1.75%	2.14%	1.60%	1.88%	1.11%	4.35%	1.98%	1.90%	1.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9870	302	108	62	97	31	37	506	42	62	74	81	213	66	44	57	102	154	83	58	51	317	132	345	154	168	234	109	153	170	207	45	139	136	323	439	178	141	193	367	42	35	454	101	184	209	116	98	98	106	102	81	399	87	239	125	376	185	277	93	122	57	104									
		47.62%	60.28%	62.79%	50.00%	57.40%	57.41%	43.02%	52.06%	55.26%	53.45%	50.68%	44.26%	36.72%	54.10%	57.14%	43.85%	51.52%	47.24%	62.88%	40.56%	35.17%	38.85%	44.30%	37.62%	33.05%	35.22%	40.00%	34.94%	32.97%	37.36%	37.03%	34.62%	34.84%	71.20%	40.53%	42.99%	40.27%	44.48%	59.75%	46.51%	48.84%	56.45%	61.52%	62.35%	71.88%	64.91%	75.82%	82.35%	75.97%	73.10%	76.69%	67.50%	51.42%	60.00%	41.86%	33.42%	50.00%	43.43%	61.69%	57.76%	60.40%	54.29%	79.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	149	2	1	2	1	0	0	5	1	2	0	0	1	1	0	1	2	0	1	1	2	10	2	14	2	5	5	2	4	3	7	3	5	2	4	18	4	5	1	5	0	1	3	0	0	0	0	0	0	0	1	0	3	1	5	0	2	5	1	1	0	1	1									
		0.72%	0.40%	0.58%	1.61%	0.59%	0.00%	0.00%	0.51%	1.32%	1.72%	0.00%	0.00%	0.17%	0.82%	0.00%	0.77%	1.01%	0.00%	0.76%	0.70%	1.38%	1.23%	0.67%	1.53%	0.43%	1.05%	0.85%	0.64%	0.86%	0.66%	1.25%	2.31%	1.25%	1.05%	0.50%	1.76%	0.90%	1.58%	0.31%	0.63%	0.00%	1.61%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.39%	0.69%	0.88%	0.00%	0.27%	1.17%	0.22%	0.62%	0.00%	0.95%	0.76%									
24	"6. Политическая партия ""Гражданская Платформа"""	57	1	1	0	2	0	0	1	0	0	1	0	3	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	3	0	0	0	2	0	4	2	2	4	0	0	1	0	1	1	0	0	0	0	0	0	2	1	1	0	2	1	11	1	0	0	0									
		0.28%	0.20%	0.58%	0.00%	1.18%	0.00%	0.00%	0.10%	0.00%	0.00%	0.68%	0.00%	0.52%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.70%	0.00%	0.12%	0.00%	0.00%	0.21%	0.21%	0.17%	0.32%	0.22%	0.22%	0.54%	0.00%	0.00%	0.00%	0.25%	0.00%	0.90%	0.63%	0.62%	0.51%	0.00%	0.00%	0.14%	0.00%	0.39%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.69%	0.18%	0.00%	0.27%	0.23%	2.45%	0.62%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3357	73	30	25	26	11	21	135	12	16	27	31	96	11	9	30	35	52	16	27	33	117	40	174	80	107	77	62	70	69	71	21	75	18	146	194	66	43	46	134	19	13	100	25	16	42	16	11	2	6	11	13	135	30	143	87	124	82	65	19	36	23	13									
		16.20%	14.57%	17.44%	20.16%	15.38%	20.37%	24.42%	13.89%	15.79%	13.79%	18.49%	16.94%	16.55%	9.02%	11.69%	23.08%	17.68%	15.95%	12.12%	18.88%	22.76%	14.34%	13.42%	18.97%	17.17%	22.43%	13.16%	19.87%	15.09%	15.16%	12.70%	16.15%	18.80%	9.42%	18.32%	19.00%	14.93%	13.56%	14.24%	16.98%	22.09%	20.97%	13.55%	15.43%	6.25%	13.04%	10.46%	9.24%	1.55%	4.14%	8.27%	10.83%	17.40%	20.69%	25.04%	23.26%	16.49%	19.25%	14.48%	11.80%	17.82%	21.90%	9.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	106	1	0	4	0	0	0	3	0	0	1	1	5	0	0	0	0	0	4	2	0	0	3	11	7	0	4	2	7	5	2	0	5	1	5	1	2	6	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	2	4	1	6	0	0	0	0									
		0.51%	0.20%	0.00%	3.23%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.68%	0.55%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	1.40%	0.00%	0.00%	1.01%	1.20%	1.50%	0.00%	0.68%	0.64%	1.51%	1.10%	0.36%	0.00%	1.25%	0.52%	0.63%	0.10%	0.45%	1.89%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.53%	0.53%	0.23%	1.34%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	167	3	0	1	2	1	0	8	0	0	0	0	6	1	1	0	2	3	0	1	2	6	3	3	6	3	5	4	8	6	5	2	6	0	22	9	8	4	0	4	0	0	3	0	2	0	0	0	0	0	0	1	5	1	3	7	4	2	0	2	1	1	0									
		0.81%	0.60%	0.00%	0.81%	1.18%	1.85%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	1.03%	0.82%	1.30%	0.00%	1.01%	0.92%	0.00%	0.70%	1.38%	0.74%	1.01%	0.33%	1.29%	0.63%	0.85%	1.28%	1.72%	1.32%	0.89%	1.54%	1.50%	0.00%	2.76%	0.88%	1.81%	1.26%	0.00%	0.51%	0.00%	0.00%	0.41%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.64%	0.69%	0.53%	1.87%	0.53%	0.47%	0.00%	1.24%	0.50%	0.95%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	0	0	0	1	0	0	1	0	0	2	0	1	1	0	0	1	1	0	0	0	0	0	0	12	2	1	1	1	0	0	0	2	0	0	0	1	3	1	4	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0									
		0.22%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.10%	0.00%	0.00%	1.37%	0.00%	0.17%	0.82%	0.00%	0.00%	0.51%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.58%	0.42%	0.17%	0.32%	0.22%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.23%	0.95%	0.31%	0.51%	0.00%	1.61%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.83%	0.13%	0.00%	0.00%	0.00%	0.13%	0.23%	0.00%	0.62%	0.50%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	160	0	2	0	0	0	0	3	0	0	0	2	4	0	0	1	1	3	1	1	6	6	4	8	5	1	7	1	11	2	10	1	9	0	17	16	3	3	0	3	0	0	5	0	0	0	0	0	0	1	0	0	4	1	4	3	8	2	0	1	0	0	0									
		0.77%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	1.09%	0.69%	0.00%	0.00%	0.77%	0.51%	0.92%	0.76%	0.70%	4.14%	0.74%	1.34%	0.87%	1.07%	0.21%	1.20%	0.32%	2.37%	0.44%	1.79%	0.77%	2.26%	0.00%	2.13%	1.57%	0.68%	0.95%	0.00%	0.38%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.52%	0.69%	0.70%	0.80%	1.06%	0.47%	0.00%	0.62%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4011	67	13	21	22	5	11	173	15	26	19	40	156	28	19	26	25	75	10	21	30	225	61	192	118	110	146	64	144	120	140	39	89	19	166	172	107	52	45	182	17	7	111	22	27	37	12	6	20	19	7	16	150	10	102	105	139	91	57	26	17	13	7									
		19.35%	13.37%	7.56%	16.94%	13.02%	9.26%	12.79%	17.80%	19.74%	22.41%	13.01%	21.86%	26.90%	22.95%	24.68%	20.00%	12.63%	23.01%	7.58%	14.69%	20.69%	27.57%	20.47%	20.94%	25.32%	23.06%	24.96%	20.51%	31.03%	26.37%	25.04%	30.00%	22.31%	9.95%	20.83%	16.85%	24.21%	16.40%	13.93%	23.07%	19.77%	11.29%	15.04%	13.58%	10.55%	11.49%	7.84%	5.04%	15.50%	13.10%	5.26%	13.33%	19.33%	6.90%	17.86%	28.07%	18.48%	21.36%	12.69%	16.15%	8.42%	12.38%	5.34%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	1	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	2	0	0	0	6	2	1	0	4	2	2	1	0	0	0	3	1	2	3	2	3	3	1	0	0	3	0	2	2	1	1	0	0	3	0	0	0	1	2	1	6	2	1	1	1	1									
		0.35%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.68%	0.00%	0.34%	0.82%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.74%	0.67%	0.11%	0.00%	0.84%	0.34%	0.64%	0.22%	0.00%	0.00%	0.00%	0.75%	0.52%	0.25%	0.29%	0.45%	0.95%	0.93%	0.13%	0.00%	0.00%	0.41%	0.00%	0.78%	0.62%	0.65%	0.84%	0.00%	0.00%	2.26%	0.00%	0.00%	0.00%	0.18%	0.53%	0.13%	1.41%	0.45%	0.62%	0.50%	0.95%	0.76%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	620	7	4	2	0	0	4	28	1	3	0	4	28	0	1	2	3	7	3	4	3	32	13	55	30	18	18	11	18	24	36	1	17	8	36	36	13	17	6	15	2	2	6	3	3	6	4	0	1	2	6	0	16	6	14	4	7	12	7	4	3	3	1									
		2.99%	1.40%	2.33%	1.61%	0.00%	0.00%	4.65%	2.88%	1.32%	2.59%	0.00%	2.19%	4.83%	0.00%	1.30%	1.54%	1.52%	2.15%	2.27%	2.80%	2.07%	3.92%	4.36%	5.99%	6.44%	3.77%	3.08%	3.53%	3.88%	5.27%	6.44%	0.77%	4.26%	4.19%	4.52%	3.53%	2.94%	5.36%	1.86%	1.90%	2.33%	3.23%	0.81%	1.85%	1.17%	1.86%	2.61%	0.00%	0.78%	1.38%	4.51%	0.00%	2.06%	4.14%	2.45%	1.07%	0.93%	2.82%	1.56%	2.48%	1.49%	2.86%	0.76%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
