Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																								
Дата голосования: 02.12.2007																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Прикубанская г.Краснодара																																																																																								
																																																																																								
Сводная таблица результатов выборов																																																																																								
																																																																																								
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2296	УИК №2297	УИК №2298	УИК №2299					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4720	90	90	10	20	40	20	40	40	140	90	120	70	90	20	40	40	40	70	40	40	90	20	10	140	20	30	40	70	20	40	40	120	40	130	40	40	40	40	40	40	40	40	40	70	40	70	20	70	20	40	40	40	40	40	40	50	500	40	40	40	40	90	40	20	20	40	40	40	40	20	60	40	60	500	70	40	40	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2103	45	46	6	14	21	14	23	26	77	47	102	25	66	11	23	40	18	20	27	35	39	15	7	53	18	21	30	21	17	37	33	24	30	83	31	32	30	31	31	30	21	24	30	25	27	28	16	21	11	20	25	20	31	24	15	21	16	32	29	23	25	36	22	7	9	10	16	30	21	17	17	35	11	11	11	36	31	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1784	37	17	9	21	26	27	29	40	35	39	34	13	17	25	9	6	10	10	29	27	20	4	31	12	5	12	23	21	9	43	68	20	16	16	11	31	2	28	31	0	12	19	51	15	12	14	32	14	15	19	16	15	26	31	8	39	45	27	13	18	15	9	5	6	4	11	18	7	16	8	7	8	7	38	18	16	59	70	6	99	53					
14	Число погашенных неиспользованных открепительных удостоверений	2617	45	44	4	6	19	6	17	14	63	43	18	45	24	9	17	0	22	50	13	5	51	5	3	87	2	9	10	49	3	3	7	96	10	47	9	8	10	9	9	10	19	16	10	45	13	42	4	49	9	20	15	20	9	16	25	29	484	8	11	17	15	54	18	13	11	30	24	10	19	3	43	5	49	489	59	4	9	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	1	2	0	0	2	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																								
18	1.Политическая партия «Аграрная партия России»	2611	32	47	6	24	38	24	31	30	51	31	25	45	25	22	16	20	27	36	34	38	30	24	11	54	23	23	35	10	10	33	37	36	30	39	23	38	32	26	26	34	41	29	49	23	28	27	28	38	24	31	38	43	35	29	39	27	160	64	47	38	36	32	30	18	28	27	21	26	44	26	19	29	27	136	14	23	29	6	3	8	15					
		2.26%	1.94%	2.60%	2.19%	2.29%	2.35%	1.95%	1.94%	2.13%	2.25%	1.81%	1.53%	3.98%	1.10%	2.11%	1.02%	1.72%	1.95%	2.88%	1.84%	2.28%	1.67%	2.97%	1.77%	2.75%	2.02%	1.92%	1.68%	1.21%	1.02%	1.81%	1.82%	1.89%	1.98%	1.50%	1.68%	2.41%	2.10%	1.50%	1.81%	2.36%	3.09%	2.12%	3.28%	1.83%	1.96%	2.24%	2.15%	3.03%	1.99%	2.46%	2.55%	2.69%	2.34%	2.08%	2.56%	1.78%	7.18%	3.55%	3.09%	2.45%	2.39%	1.84%	1.73%	1.47%	2.53%	2.19%	1.25%	1.67%	3.06%	3.04%	1.63%	2.05%	3.16%	4.92%	1.94%	1.44%	1.98%	1.20%	1.64%	1.79%	1.48%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1809	46	54	2	13	20	21	34	23	33	33	28	21	32	26	26	20	18	11	49	38	44	5	6	24	11	9	25	7	16	51	25	37	32	27	13	22	35	25	30	28	13	23	29	24	36	20	23	13	18	30	35	21	22	16	24	1	28	54	19	22	12	22	22	11	13	14	16	9	8	10	19	21	12	47	12	23	33	7	0	1	6					
		1.57%	2.79%	2.99%	0.73%	1.24%	1.23%	1.71%	2.13%	1.63%	1.46%	1.93%	1.71%	1.86%	1.40%	2.49%	1.66%	1.72%	1.30%	0.88%	2.66%	2.28%	2.45%	0.62%	0.96%	1.22%	0.97%	0.75%	1.20%	0.85%	1.63%	2.80%	1.23%	1.95%	2.11%	1.04%	0.95%	1.40%	2.30%	1.44%	2.09%	1.95%	0.98%	1.68%	1.94%	1.91%	2.53%	1.66%	1.77%	1.04%	1.50%	2.38%	2.35%	1.32%	1.47%	1.15%	1.58%	0.07%	1.26%	2.99%	1.25%	1.42%	0.80%	1.27%	1.27%	0.90%	1.18%	1.14%	0.95%	0.58%	0.56%	1.17%	1.63%	1.48%	1.41%	1.70%	1.67%	1.44%	2.25%	1.41%	0.00%	0.22%	0.59%					
20	3.Политическая партия «Демократическая партия России»	194	0	3	1	0	3	6	4	8	3	1	5	2	3	0	2	2	0	0	1	2	1	1	0	2	1	3	8	2	3	8	1	8	1	12	2	3	2	2	5	1	0	1	2	0	3	2	0	0	0	0	1	1	3	2	0	5	9	1	3	8	4	1	1	0	1	0	2	6	3	2	2	1	1	8	2	2	1	2	0	1	1					
		0.17%	0.00%	0.17%	0.36%	0.00%	0.19%	0.49%	0.25%	0.57%	0.13%	0.06%	0.31%	0.18%	0.13%	0.00%	0.13%	0.17%	0.00%	0.00%	0.05%	0.12%	0.06%	0.12%	0.00%	0.10%	0.09%	0.25%	0.38%	0.24%	0.31%	0.44%	0.05%	0.42%	0.07%	0.46%	0.15%	0.19%	0.13%	0.12%	0.35%	0.07%	0.00%	0.07%	0.13%	0.00%	0.21%	0.17%	0.00%	0.00%	0.00%	0.00%	0.07%	0.06%	0.20%	0.14%	0.00%	0.33%	0.40%	0.06%	0.20%	0.52%	0.27%	0.06%	0.06%	0.00%	0.09%	0.00%	0.12%	0.39%	0.21%	0.23%	0.17%	0.07%	0.12%	0.29%	0.28%	0.13%	0.07%	0.40%	0.00%	0.22%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	20426	358	308	35	211	410	232	376	284	343	340	236	231	282	159	240	179	193	233	347	355	401	170	74	308	180	180	283	150	175	355	366	265	235	292	352	339	336	305	328	299	343	299	340	244	248	240	242	226	198	272	198	275	260	256	282	252	214	423	293	316	330	274	276	211	228	237	338	322	276	138	188	196	80	264	134	249	215	61	27	68	148					
		17.71%	21.75%	17.05%	12.77%	20.13%	25.31%	18.85%	23.50%	20.18%	15.12%	19.85%	14.43%	20.42%	12.37%	15.22%	15.36%	15.43%	13.90%	18.61%	18.81%	21.31%	22.35%	21.01%	11.90%	15.66%	15.85%	15.05%	13.61%	18.16%	17.80%	19.51%	18.05%	13.94%	15.51%	11.21%	25.67%	21.51%	22.09%	17.58%	22.84%	20.79%	25.81%	21.86%	22.74%	19.46%	17.40%	19.88%	18.62%	18.04%	16.49%	21.60%	13.29%	17.23%	17.38%	18.38%	18.52%	16.66%	9.61%	23.47%	19.26%	20.36%	21.87%	15.76%	15.94%	17.18%	20.61%	19.25%	20.07%	20.73%	19.18%	16.12%	16.14%	13.84%	9.37%	9.54%	18.61%	15.62%	14.69%	12.25%	14.75%	15.25%	14.62%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1022	6	41	0	6	17	13	15	13	25	27	22	12	14	12	9	5	10	6	21	11	21	5	0	10	8	7	15	7	6	21	6	3	10	13	3	11	16	16	27	23	12	25	18	22	16	19	11	7	13	9	28	8	17	6	11	17	24	16	14	17	8	13	11	10	5	6	9	5	10	5	8	17	10	32	3	13	17	6	0	3	8					
		0.89%	0.36%	2.27%	0.00%	0.57%	1.05%	1.06%	0.94%	0.92%	1.10%	1.58%	1.34%	1.06%	0.61%	1.15%	0.58%	0.43%	0.72%	0.48%	1.14%	0.66%	1.17%	0.62%	0.00%	0.51%	0.70%	0.59%	0.72%	0.85%	0.61%	1.15%	0.30%	0.16%	0.66%	0.50%	0.22%	0.70%	1.05%	0.92%	1.88%	1.60%	0.90%	1.83%	1.20%	1.75%	1.12%	1.57%	0.85%	0.56%	1.08%	0.71%	1.88%	0.50%	1.14%	0.43%	0.72%	1.12%	1.08%	0.89%	0.92%	1.10%	0.53%	0.75%	0.64%	0.81%	0.45%	0.49%	0.53%	0.32%	0.69%	0.58%	0.69%	1.20%	1.17%	1.16%	0.42%	0.82%	1.16%	1.20%	0.00%	0.67%	0.79%					
23	6.Политическая партия «Партия социальной справедливости»	283	5	2	0	4	6	1	4	5	7	6	6	5	1	1	3	5	3	2	7	4	6	2	2	2	5	5	4	1	4	5	2	6	5	8	4	6	2	5	5	2	3	5	2	3	6	3	2	0	2	6	2	3	3	4	1	4	12	4	7	3	2	1	1	3	2	2	2	2	1	3	2	4	3	6	1	2	9	0	0	1	3					
		0.25%	0.30%	0.11%	0.00%	0.38%	0.37%	0.08%	0.25%	0.36%	0.31%	0.35%	0.37%	0.44%	0.04%	0.10%	0.19%	0.43%	0.22%	0.16%	0.38%	0.24%	0.33%	0.25%	0.32%	0.10%	0.44%	0.42%	0.19%	0.12%	0.41%	0.27%	0.10%	0.32%	0.33%	0.31%	0.29%	0.38%	0.13%	0.29%	0.35%	0.14%	0.23%	0.37%	0.13%	0.24%	0.42%	0.25%	0.15%	0.00%	0.17%	0.48%	0.13%	0.19%	0.20%	0.29%	0.07%	0.26%	0.54%	0.22%	0.46%	0.19%	0.13%	0.06%	0.06%	0.24%	0.18%	0.16%	0.12%	0.13%	0.07%	0.35%	0.17%	0.28%	0.35%	0.22%	0.14%	0.13%	0.61%	0.00%	0.00%	0.22%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	10145	140	146	21	90	115	108	135	110	223	158	144	88	246	72	134	103	118	117	171	134	137	45	38	146	91	79	186	74	104	167	202	196	141	396	94	107	120	147	102	107	109	113	111	108	116	78	90	99	104	96	110	143	108	101	140	121	351	157	111	113	124	130	163	77	89	95	147	130	146	86	103	146	57	433	51	153	123	26	15	41	79					
		8.80%	8.51%	8.08%	7.66%	8.59%	7.10%	8.77%	8.44%	7.82%	9.83%	9.22%	8.80%	7.78%	10.79%	6.89%	8.57%	8.88%	8.50%	9.35%	9.27%	8.04%	7.64%	5.56%	6.11%	7.42%	8.01%	6.61%	8.95%	8.96%	10.58%	9.18%	9.96%	10.31%	9.31%	15.21%	6.86%	6.79%	7.89%	8.47%	7.10%	7.44%	8.20%	8.26%	7.42%	8.61%	8.14%	6.46%	6.92%	7.90%	8.66%	7.63%	7.38%	8.96%	7.22%	7.25%	9.19%	7.99%	15.75%	8.71%	7.30%	7.28%	8.22%	7.48%	9.42%	6.27%	8.05%	7.72%	8.73%	8.37%	10.15%	10.05%	8.84%	10.31%	6.67%	15.65%	7.08%	9.60%	8.40%	5.22%	8.20%	9.19%	7.81%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8433	129	125	16	65	123	99	101	69	165	123	135	98	142	55	150	70	99	66	138	140	138	56	47	176	79	61	119	39	72	144	148	129	124	188	110	138	130	155	119	138	100	80	91	83	102	127	123	115	99	115	89	106	144	109	138	116	140	154	118	137	113	114	108	72	78	77	90	99	125	55	75	82	57	178	37	95	126	37	20	22	69					
		7.31%	7.84%	6.92%	5.84%	6.20%	7.59%	8.04%	6.31%	4.90%	7.28%	7.18%	8.25%	8.66%	6.23%	5.26%	9.60%	6.03%	7.13%	5.27%	7.48%	8.40%	7.69%	6.92%	7.56%	8.95%	6.95%	5.10%	5.72%	4.72%	7.32%	7.91%	7.30%	6.79%	8.18%	7.22%	8.02%	8.76%	8.55%	8.93%	8.29%	9.60%	7.52%	5.85%	6.09%	6.62%	7.16%	10.52%	9.46%	9.18%	8.24%	9.13%	5.97%	6.64%	9.63%	7.82%	9.06%	7.67%	6.28%	8.55%	7.76%	8.83%	7.49%	6.56%	6.24%	5.86%	7.05%	6.26%	5.34%	6.37%	8.69%	6.43%	6.44%	5.79%	6.67%	6.44%	5.14%	5.96%	8.61%	7.43%	10.93%	4.93%	6.82%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1599	31	33	4	17	18	19	12	23	23	37	20	8	30	10	7	4	15	16	28	20	33	21	8	35	14	5	19	10	14	54	40	26	34	65	29	24	23	21	22	10	17	15	18	25	23	21	24	17	18	23	22	12	22	16	18	16	25	27	28	32	17	34	17	10	6	16	21	19	26	1	19	19	17	16	7	11	15	9	3	2	13					
		1.39%	1.88%	1.83%	1.46%	1.62%	1.11%	1.54%	0.75%	1.63%	1.01%	2.16%	1.22%	0.71%	1.32%	0.96%	0.45%	0.34%	1.08%	1.28%	1.52%	1.20%	1.84%	2.60%	1.29%	1.78%	1.23%	0.42%	0.91%	1.21%	1.42%	2.97%	1.97%	1.37%	2.24%	2.50%	2.12%	1.52%	1.51%	1.21%	1.53%	0.70%	1.28%	1.10%	1.20%	1.99%	1.61%	1.74%	1.85%	1.36%	1.50%	1.83%	1.48%	0.75%	1.47%	1.15%	1.18%	1.06%	1.12%	1.50%	1.84%	2.06%	1.13%	1.96%	0.98%	0.81%	0.54%	1.30%	1.25%	1.22%	1.81%	0.12%	1.63%	1.34%	1.99%	0.58%	0.97%	0.69%	1.02%	1.81%	1.64%	0.45%	1.28%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	64205	860	961	174	581	786	654	821	765	1294	849	932	583	1436	669	927	720	867	729	964	847	907	456	414	1152	678	784	1327	496	550	932	1128	1132	838	1471	676	832	761	930	686	734	615	672	750	649	776	623	711	666	689	622	904	913	809	791	812	893	1210	814	826	793	823	1076	1050	777	616	714	988	891	755	492	692	845	557	1569	413	961	816	318	107	269	635					
		55.67%	52.25%	53.21%	63.50%	55.44%	48.52%	53.13%	51.31%	54.37%	57.05%	49.56%	56.97%	51.55%	63.01%	64.02%	59.31%	62.07%	62.46%	58.23%	52.25%	50.84%	50.56%	56.37%	66.56%	58.57%	59.68%	65.55%	63.83%	60.05%	55.95%	51.21%	55.62%	59.55%	55.31%	56.49%	49.31%	52.79%	50.03%	53.60%	47.77%	51.04%	46.28%	49.12%	50.17%	51.75%	54.46%	51.62%	54.69%	53.15%	57.37%	49.40%	60.67%	57.21%	54.08%	56.78%	53.32%	59.02%	54.31%	45.17%	54.31%	51.10%	54.54%	61.87%	60.66%	63.27%	55.70%	58.00%	58.67%	57.37%	52.47%	57.48%	59.40%	59.68%	65.22%	56.72%	57.36%	60.29%	55.74%	63.86%	58.47%	60.31%	62.75%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2400	21	67	1	13	47	34	39	32	54	52	64	23	40	10	17	22	23	0	56	39	52	8	9	24	10	12	31	12	17	33	37	22	31	37	44	37	10	63	48	45	43	27	44	47	40	34	42	50	26	29	47	26	39	31	25	32	16	61	35	36	19	19	22	10	12	18	12	12	22	15	21	43	24	35	23	36	55	11	4	9	12					
		2.08%	1.28%	3.71%	0.36%	1.24%	2.90%	2.76%	2.44%	2.27%	2.38%	3.04%	3.91%	2.03%	1.76%	0.96%	1.09%	1.90%	1.66%	0.00%	3.04%	2.34%	2.90%	0.99%	1.45%	1.22%	0.88%	1.00%	1.49%	1.45%	1.73%	1.81%	1.82%	1.16%	2.05%	1.42%	3.21%	2.35%	0.66%	3.63%	3.34%	3.13%	3.24%	1.97%	2.94%	3.75%	2.81%	2.82%	3.23%	3.99%	2.16%	2.30%	3.15%	1.63%	2.61%	2.23%	1.64%	2.12%	0.72%	3.39%	2.30%	2.32%	1.26%	1.09%	1.27%	0.81%	1.08%	1.46%	0.71%	0.77%	1.53%	1.75%	1.80%	3.04%	2.81%	1.27%	3.19%	2.26%	3.76%	2.21%	2.19%	2.02%	1.19%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
