Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Моршанская																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262					
11	Число полученных открепительных  удостоверений	349	10	8	3	5	5	5	3	5	5	3	8	5	5	7	8	5	3	3	3	5	3	3	8	6	10	10	12	14	5	10	5	5	6	5	3	3	5	3	3	3	3	3	3	8	7	5	5	6	7	3	5	10	10	5	10	8	5	3	5	5	3	4					
12	Число выданных открепительных удостоверений	99	2	2	0	1	0	4	0	0	0	0	1	1	2	7	4	1	0	2	2	0	0	0	0	0	4	1	10	12	0	2	1	1	6	5	0	0	5	0	0	0	0	0	0	5	1	0	1	1	2	0	0	3	9	0	0	0	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	1	3	2	3	1	3	2	0	3	0	1	1	1	3	1	6	2	2	2	0	0	0	0	1	2	0	4	5	2	1	1	1	1	3	3	5	1	0	1	0	1	0	1	3	1	1	1	2	1	0	4	4	3	0	3	0	1	0	3	1	1	2					
14	Число неиспользованных открепительных удостоверений	250	8	6	3	4	5	1	3	5	5	3	7	4	3	0	4	4	3	1	1	5	3	3	8	6	6	9	2	2	5	8	4	4	0	0	3	3	0	3	3	3	3	3	3	3	6	5	4	5	5	3	5	7	1	5	10	8	5	3	5	5	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	540	20	9	0	5	2	3	2	3	2	3	24	0	9	13	16	9	1	1	0	10	2	1	32	11	28	25	30	7	5	16	4	7	10	3	2	2	5	0	1	1	1	0	0	15	6	5	6	13	13	0	0	40	20	13	14	20	9	1	22	9	5	4					
		2.42%	2.20%	1.37%	0.00%	1.48%	0.74%	1.38%	0.80%	1.01%	0.75%	2.19%	4.59%	0.00%	2.82%	2.78%	2.72%	3.40%	0.88%	0.45%	0.00%	3.01%	1.59%	0.50%	6.26%	2.79%	3.30%	3.40%	3.43%	3.55%	1.54%	1.87%	1.17%	2.10%	1.73%	0.86%	2.86%	1.83%	1.63%	0.00%	0.97%	1.54%	1.06%	0.00%	0.00%	2.52%	1.27%	1.52%	2.50%	3.34%	2.67%	0.00%	0.00%	5.28%	2.78%	3.39%	2.02%	2.62%	3.03%	1.03%	5.42%	3.02%	3.25%	1.45%					
19	. Малышкин Олег Александрович	463	14	11	5	10	1	4	9	7	5	13	11	1	5	4	14	11	1	2	2	10	1	6	10	12	11	24	14	9	9	10	5	9	4	7	3	0	6	3	2	0	0	2	4	12	23	11	3	3	4	0	7	17	22	10	17	8	6	0	9	8	4	8					
		2.08%	1.54%	1.67%	5.21%	2.97%	0.37%	1.83%	3.59%	2.36%	1.87%	9.49%	2.10%	0.35%	1.57%	0.86%	2.38%	4.15%	0.88%	0.90%	1.74%	3.01%	0.79%	3.00%	1.96%	3.05%	1.30%	3.26%	1.60%	4.57%	2.77%	1.17%	1.46%	2.70%	0.69%	2.00%	4.29%	0.00%	1.96%	1.68%	1.94%	0.00%	0.00%	1.19%	4.76%	2.01%	4.88%	3.33%	1.25%	0.77%	0.82%	0.00%	2.03%	2.24%	3.06%	2.60%	2.45%	1.05%	2.02%	0.00%	2.22%	2.68%	2.60%	2.91%					
20	. Миронов Сергей Михайлович	153	5	1	0	1	1	0	0	1	0	0	1	5	0	2	4	2	0	1	1	1	1	2	9	2	8	9	9	2	0	6	1	1	3	2	0	1	1	1	0	0	0	1	1	4	0	4	4	5	2	0	2	3	6	2	8	9	2	0	10	2	0	4					
		0.69%	0.55%	0.15%	0.00%	0.30%	0.37%	0.00%	0.00%	0.34%	0.00%	0.00%	0.19%	1.75%	0.00%	0.43%	0.68%	0.75%	0.00%	0.45%	0.87%	0.30%	0.79%	1.00%	1.76%	0.51%	0.94%	1.22%	1.03%	1.02%	0.00%	0.70%	0.29%	0.30%	0.52%	0.57%	0.00%	0.92%	0.33%	0.56%	0.00%	0.00%	0.00%	0.60%	1.19%	0.67%	0.00%	1.21%	1.67%	1.29%	0.41%	0.00%	0.58%	0.40%	0.83%	0.52%	1.15%	1.18%	0.67%	0.00%	2.46%	0.67%	0.00%	1.45%					
21	. Путин Владимир Владимирович	14514	539	442	61	231	206	173	159	205	184	92	340	215	220	351	357	125	67	143	81	204	79	154	343	272	563	471	505	93	199	592	243	222	335	192	65	70	218	149	84	51	39	116	45	353	309	215	171	294	331	51	260	412	417	223	396	565	217	86	272	156	102	189					
		65.14%	59.23%	67.07%	63.54%	68.55%	76.30%	79.36%	63.35%	69.02%	68.66%	67.15%	65.01%	75.44%	68.97%	75.16%	60.71%	47.17%	58.77%	64.41%	70.43%	61.45%	62.70%	77.00%	67.12%	69.04%	66.39%	63.99%	57.71%	47.21%	61.23%	69.08%	70.85%	66.67%	57.96%	54.86%	92.86%	64.22%	71.24%	83.24%	81.55%	78.46%	41.49%	69.05%	53.57%	59.23%	65.61%	65.15%	71.25%	75.58%	68.11%	92.73%	75.58%	54.35%	57.92%	58.07%	57.14%	73.95%	73.06%	88.66%	67.00%	52.35%	66.23%	68.73%					
22	. Хакамада Ирина Муцуовна	290	9	8	4	5	2	4	2	1	4	2	3	3	6	2	25	9	4	2	0	2	4	3	3	9	0	17	8	4	7	9	4	8	8	8	0	0	3	0	0	1	3	5	0	7	11	2	5	0	3	0	4	8	5	13	11	8	1	0	4	5	2	0					
		1.30%	0.99%	1.21%	4.17%	1.48%	0.74%	1.83%	0.80%	0.34%	1.49%	1.46%	0.57%	1.05%	1.88%	0.43%	4.25%	3.40%	3.51%	0.90%	0.00%	0.60%	3.17%	1.50%	0.59%	2.28%	0.00%	2.31%	0.91%	2.03%	2.15%	1.05%	1.17%	2.40%	1.38%	2.29%	0.00%	0.00%	0.98%	0.00%	0.00%	1.54%	3.19%	2.98%	0.00%	1.17%	2.34%	0.61%	2.08%	0.00%	0.62%	0.00%	1.16%	1.06%	0.69%	3.39%	1.59%	1.05%	0.34%	0.00%	0.99%	1.68%	1.30%	0.00%					
23	. Харитонов Николай Михайлович	5579	288	167	23	71	53	15	71	76	67	24	140	56	74	82	157	90	40	71	30	90	37	32	92	70	197	169	253	78	101	195	79	81	199	133	0	35	56	17	16	10	50	40	32	175	102	79	45	71	126	4	59	243	223	96	222	136	53	9	65	106	40	68					
		25.04%	31.65%	25.34%	23.96%	21.07%	19.63%	6.88%	28.29%	25.59%	25.00%	17.52%	26.77%	19.65%	23.20%	17.56%	26.70%	33.96%	35.09%	31.98%	26.09%	27.11%	29.37%	16.00%	18.00%	17.77%	23.23%	22.96%	28.91%	39.59%	31.08%	22.75%	23.03%	24.32%	34.43%	38.00%	0.00%	32.11%	18.30%	9.50%	15.53%	15.38%	53.19%	23.81%	38.10%	29.36%	21.66%	23.94%	18.75%	18.25%	25.93%	7.27%	17.15%	32.06%	30.97%	25.00%	32.03%	17.80%	17.85%	9.28%	16.01%	35.57%	25.97%	24.73%					
																																																																					
24	Против всех	522	27	14	2	10	3	18	6	2	2	3	2	2	1	7	10	19	1	2	0	13	2	2	19	12	26	16	48	3	1	20	3	3	12	4	0	0	7	6	0	2	1	2	1	21	17	9	3	2	3	0	8	29	21	21	12	12	7	1	8	12	0	2					
		2.34%	2.97%	2.12%	2.08%	2.97%	1.11%	8.26%	2.39%	0.67%	0.75%	2.19%	0.38%	0.70%	0.31%	1.50%	1.70%	7.17%	0.88%	0.90%	0.00%	3.92%	1.59%	1.00%	3.72%	3.05%	3.07%	2.17%	5.49%	1.52%	0.31%	2.33%	0.87%	0.90%	2.08%	1.14%	0.00%	0.00%	2.29%	3.35%	0.00%	3.08%	1.06%	1.19%	1.19%	3.52%	3.61%	2.73%	1.25%	0.51%	0.62%	0.00%	2.33%	3.83%	2.92%	5.47%	1.73%	1.57%	2.36%	1.03%	1.97%	4.03%	0.00%	0.73%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
