Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Острогожская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659					
		25.05%	27.78%	27.40%	43.48%	23.44%	30.26%	28.50%	22.14%	23.04%	25.17%	26.25%	29.20%	7.76%	5.45%	14.89%	24.91%	30.92%	27.96%	26.78%	20.36%	15.22%	24.77%	25.46%	37.40%	19.23%	16.57%	30.82%	27.84%	15.32%	25.76%	52.78%	25.93%	21.62%	31.46%	28.97%	22.22%	25.50%	36.59%	35.78%	44.50%	42.34%	26.99%	29.51%	26.92%	23.15%	17.26%	39.58%	29.50%	28.65%	31.24%	17.41%	31.34%	22.64%	24.32%	27.16%	37.45%	28.56%	40.15%	30.89%	12.57%					
																																																																		
24	Против всех	769	24	24	3	8	23	25	8	21	25	19	25	63	52	50	23	23	28	32	29	3	2	11	6	3	6	4	8	6	1	0	4	2	10	12	13	18	4	3	4	3	4	3	9	4	10	17	13	15	7	2	0	11	7	4	6	13	1	2	13					
		2.28%	2.72%	2.59%	4.35%	3.83%	2.47%	3.02%	6.11%	2.17%	2.44%	2.31%	2.63%	3.91%	3.15%	4.05%	2.81%	2.32%	2.30%	3.62%	2.77%	0.90%	0.92%	1.85%	2.36%	0.72%	3.31%	0.89%	2.16%	2.42%	0.34%	0.00%	0.99%	1.80%	2.00%	3.08%	2.49%	3.99%	1.22%	2.75%	1.07%	1.35%	1.23%	0.98%	3.15%	1.23%	1.98%	1.55%	1.23%	2.92%	1.16%	0.53%	0.00%	2.17%	4.73%	0.69%	1.30%	1.13%	0.39%	0.39%	2.33%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
