Выборы Президента Российской Федерации																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Дмитровcкая																																																																																																	
																																																																																																	
Итоги голосования 																																																																																																	
																																																																																																	
		Сумма	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293									
		1.65%	2.42%	1.23%	1.24%	1.26%	0.74%	1.81%	1.40%	1.42%	1.46%	1.46%	1.81%	1.40%	2.23%	1.42%	1.57%	2.47%	0.92%	1.48%	1.90%	3.55%	1.81%	1.29%	0.98%	1.90%	2.65%	2.28%	0.77%	0.98%	1.25%	1.51%	1.48%	2.14%	0.48%	1.53%	1.46%	1.82%	2.07%	2.10%	1.01%	1.92%	0.51%	1.04%	1.31%	0.84%	2.94%	2.02%	1.83%	2.54%	3.08%	2.28%	1.38%	0.89%	0.69%	1.69%	0.54%	2.10%	2.96%	3.23%	0.72%	1.51%	1.73%	1.30%	1.52%	1.47%	0.83%	1.41%	1.33%	1.56%	2.04%	1.32%	3.35%	2.07%	2.12%	3.04%	2.76%	2.09%	1.23%	1.53%	1.04%	1.59%	2.18%	0.32%	0.68%	1.87%	2.13%	2.30%									
20	. Миронов Сергей Михайлович	440	6	0	11	10	3	13	13	9	7	5	5	9	7	8	5	0	5	15	7	19	7	6	9	11	2	3	8	3	7	0	6	9	5	4	5	4	6	7	2	9	3	2	2	3	1	0	6	11	1	3	2	4	4	3	3	0	0	6	0	6	11	2	5	6	9	1	0	6	6	4	0	1	1	5	3	7	2	4	1	0	5	4	3	3	6	15									
		0.58%	0.85%	0.00%	0.80%	0.79%	0.22%	1.12%	0.87%	0.61%	0.78%	0.81%	0.45%	0.79%	0.60%	0.76%	0.44%	0.00%	0.46%	0.96%	0.53%	1.73%	0.51%	0.55%	0.68%	0.84%	0.33%	0.38%	1.23%	0.33%	0.42%	0.00%	0.39%	0.67%	0.79%	0.36%	0.73%	0.28%	0.78%	0.78%	0.25%	0.64%	0.51%	0.26%	0.26%	0.25%	0.33%	0.00%	1.00%	0.78%	0.22%	0.68%	0.46%	0.35%	0.69%	0.51%	1.62%	0.00%	0.00%	1.21%	0.00%	0.91%	0.50%	0.37%	0.45%	1.10%	0.93%	0.28%	0.00%	0.39%	2.45%	0.59%	0.00%	0.41%	0.09%	0.42%	0.38%	0.59%	0.49%	0.61%	0.13%	0.00%	0.45%	0.64%	1.02%	0.35%	3.19%	1.11%									
21	. Путин Владимир Владимирович	55600	473	230	947	920	962	832	1048	1017	622	451	830	781	819	764	806	210	774	1255	925	720	1005	784	836	897	453	520	512	727	1354	524	1229	954	534	809	499	984	595	650	600	1005	434	531	575	970	247	584	436	1023	357	315	332	907	473	385	155	309	129	443	220	562	1635	429	856	416	770	305	674	1174	158	545	170	186	858	837	562	795	322	437	602	271	768	460	213	637	126	1150									
		73.81%	67.28%	70.77%	69.28%	72.56%	71.58%	71.54%	69.87%	68.58%	69.73%	73.10%	75.11%	68.15%	70.12%	72.28%	70.45%	74.20%	71.07%	80.55%	70.29%	65.51%	72.56%	72.06%	62.81%	68.11%	75.12%	65.74%	78.53%	79.11%	80.88%	79.27%	78.98%	70.56%	84.63%	72.95%	72.63%	69.00%	76.97%	71.98%	75.85%	71.33%	74.06%	69.32%	75.46%	81.58%	80.72%	73.55%	72.67%	72.30%	78.63%	71.75%	76.50%	80.41%	82.12%	65.03%	83.78%	72.03%	76.33%	89.49%	79.42%	85.02%	74.52%	79.89%	76.36%	76.47%	79.55%	86.16%	81.20%	76.23%	64.49%	80.15%	81.34%	76.86%	75.66%	70.69%	70.43%	66.53%	79.51%	66.92%	78.49%	71.69%	69.88%	74.07%	72.45%	74.59%	67.02%	85.25%									
22	. Хакамада Ирина Муцуовна	2415	29	6	55	59	53	50	77	62	34	24	33	41	34	33	58	8	59	42	56	62	52	57	70	64	17	41	14	34	42	18	49	55	17	31	24	64	29	27	28	37	13	34	25	19	2	18	6	22	8	9	15	33	15	18	4	10	11	2	3	4	82	10	33	20	12	1	17	23	9	14	4	3	21	31	18	43	0	12	9	11	35	37	10	19	4	21									
		3.21%	4.13%	1.85%	4.02%	4.65%	3.94%	4.30%	5.13%	4.18%	3.81%	3.89%	2.99%	3.58%	2.91%	3.12%	5.07%	2.83%	5.42%	2.70%	4.26%	5.64%	3.75%	5.24%	5.26%	4.86%	2.82%	5.18%	2.15%	3.70%	2.51%	2.72%	3.15%	4.07%	2.69%	2.80%	3.49%	4.49%	3.75%	2.99%	3.54%	2.63%	2.22%	4.44%	3.28%	1.60%	0.65%	2.27%	1.00%	1.55%	1.76%	2.05%	3.46%	2.93%	2.60%	3.04%	2.16%	2.33%	6.51%	0.40%	1.08%	0.61%	3.74%	1.86%	2.94%	3.68%	1.24%	0.28%	2.05%	1.49%	3.67%	2.06%	1.91%	1.24%	1.85%	2.62%	2.26%	3.60%	0.00%	1.84%	1.17%	2.91%	3.18%	5.96%	3.40%	2.22%	2.13%	1.56%									
23	. Харитонов Николай Михайлович	8193	89	47	171	133	135	119	153	199	105	59	105	156	128	119	147	42	123	111	138	130	166	126	216	185	67	113	71	77	111	56	117	150	38	138	66	182	66	101	47	145	79	95	59	96	24	85	78	160	36	68	40	77	38	123	16	73	15	16	34	53	157	54	134	41	113	24	93	191	43	46	17	30	136	171	114	162	43	124	103	63	145	56	49	100	34	38									
		10.88%	12.66%	14.46%	12.51%	10.49%	10.04%	10.23%	10.20%	13.42%	11.77%	9.56%	9.50%	13.61%	10.96%	11.26%	12.85%	14.84%	11.29%	7.12%	10.49%	11.83%	11.99%	11.58%	16.23%	14.05%	11.11%	14.29%	10.89%	8.38%	6.63%	8.47%	7.52%	11.09%	6.02%	12.44%	9.61%	12.76%	8.54%	11.18%	5.94%	10.29%	13.48%	12.40%	7.74%	8.07%	7.84%	10.71%	13.00%	11.31%	7.93%	15.49%	9.22%	6.83%	6.60%	20.78%	8.65%	17.02%	8.88%	3.23%	12.27%	8.02%	7.16%	10.06%	11.95%	7.54%	11.67%	6.78%	11.20%	12.40%	17.55%	6.76%	8.13%	12.40%	11.99%	14.44%	14.29%	13.56%	10.62%	18.99%	13.43%	16.67%	13.19%	9.02%	16.67%	11.71%	18.09%	2.82%									
																																																																																																	
24	Против всех	3420	35	17	82	63	93	56	95	93	50	33	50	67	73	54	51	7	61	62	71	66	67	46	73	54	22	45	20	32	86	32	63	75	11	43	30	78	33	37	36	84	23	43	24	33	12	28	42	84	17	13	16	35	10	25	2	13	4	5	8	7	150	13	33	36	26	10	17	43	11	24	5	9	38	51	31	71	12	26	25	21	52	29	3	33	8	53									
		4.54%	4.98%	5.23%	6.00%	4.97%	6.92%	4.82%	6.33%	6.27%	5.61%	5.35%	4.52%	5.85%	6.25%	5.11%	4.46%	2.47%	5.60%	3.98%	5.40%	6.01%	4.84%	4.23%	5.48%	4.10%	3.65%	5.69%	3.07%	3.48%	5.14%	4.84%	4.05%	5.55%	1.74%	3.88%	4.37%	5.47%	4.27%	4.10%	4.55%	5.96%	3.92%	5.61%	3.15%	2.78%	3.92%	3.53%	7.00%	5.94%	3.74%	2.96%	3.69%	3.10%	1.74%	4.22%	1.08%	3.03%	2.37%	1.01%	2.89%	1.06%	6.84%	2.42%	2.94%	6.62%	2.69%	2.82%	2.05%	2.79%	4.49%	3.53%	2.39%	3.72%	3.35%	4.31%	3.88%	5.94%	2.96%	3.98%	3.26%	5.56%	4.73%	4.67%	1.02%	3.86%	4.26%	3.93%									
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
