Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Терская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489					
18	"1. ""ЕДИНЕНИЕ"""	38	4	3	1	1	1	1	0	2	2	1	3	7	12					
		1.14%	5.63%	3.84%	1.72%	0.89%	2.0%	1.81%	0.0%	1.22%	0.44%	0.31%	0.48%	1.30%	1.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	74	1	3	2	4	1	0	0	2	11	10	14	12	14					
		2.23%	1.40%	3.84%	3.44%	3.57%	2.0%	0.0%	0.0%	1.22%	2.42%	3.10%	2.27%	2.23%	1.79%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	178	4	4	2	5	3	1	1	3	20	21	33	28	53					
		5.37%	5.63%	5.12%	3.44%	4.46%	6.0%	1.81%	6.66%	1.84%	4.40%	6.52%	5.35%	5.22%	6.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	98	0	3	0	3	0	2	0	3	18	5	23	21	20					
		2.96%	0.0%	3.84%	0.0%	2.67%	0.0%	3.63%	0.0%	1.84%	3.96%	1.55%	3.73%	3.91%	2.56%					
22	"5. ""За Русь Святую"""	17	3	1	2	1	0	1	0	0	1	1	1	3	3					
		0.51%	4.22%	1.28%	3.44%	0.89%	0.0%	1.81%	0.0%	0.0%	0.22%	0.31%	0.16%	0.55%	0.38%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	0	0	1	0	1	0	0	0	0	0	1	0	2					
		0.15%	0.0%	0.0%	1.72%	0.0%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	12	0	0	0	0	0	1	0	0	1	3	2	3	2					
		0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	1.81%	0.0%	0.0%	0.22%	0.93%	0.32%	0.55%	0.25%					
25	"8. ""Народно-республиканская партия России"""	9	0	0	0	0	0	0	0	1	0	4	0	1	3					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	1.24%	0.0%	0.18%	0.38%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	0	1	0	1	0	0	0	0	0	0	0	1	0					
		0.09%	0.0%	1.28%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%					
27	"10. ""Аграрная партия России"""	89	2	2	1	3	3	1	1	5	14	13	15	5	24					
		2.68%	2.81%	2.56%	1.72%	2.67%	6.0%	1.81%	6.66%	3.06%	3.08%	4.03%	2.43%	0.93%	3.08%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	73	2	0	0	2	1	0	0	4	13	8	17	8	18					
		2.20%	2.81%	0.0%	0.0%	1.78%	2.0%	0.0%	0.0%	2.45%	2.86%	2.48%	2.75%	1.49%	2.31%					
30	"13. ""Демократическая партия России"""	10	1	0	0	0	0	1	0	0	0	3	0	2	3					
		0.30%	1.40%	0.0%	0.0%	0.0%	0.0%	1.81%	0.0%	0.0%	0.0%	0.93%	0.0%	0.37%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	0	0	0	0	0	0	0	0	1	0	1	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.16%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	2	0	0	0	0	0	0	0	0	0	1	0	0	1					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	415	4	11	3	3	2	2	0	17	63	30	90	73	117					
		12.54%	5.63%	14.10%	5.17%	2.67%	4.0%	3.63%	0.0%	10.42%	13.87%	9.31%	14.61%	13.61%	15.01%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	0	0	0	0	0	1	0	0	1	2	1	1	3					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	1.81%	0.0%	0.0%	0.22%	0.62%	0.16%	0.18%	0.38%					
35	"18. ""ЛДПР"""	361	9	5	1	5	2	2	1	30	52	39	77	49	89					
		10.90%	12.67%	6.41%	1.72%	4.46%	4.0%	3.63%	6.66%	18.40%	11.45%	12.11%	12.5%	9.14%	11.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	38	0	0	0	0	0	0	0	2	4	10	5	10	7					
		1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.22%	0.88%	3.10%	0.81%	1.86%	0.89%					
37	"20. ""Политическая партия ""Единая Россия"""	1291	22	39	33	51	26	36	10	44	179	117	233	228	273					
		39.01%	30.98%	50.0%	56.89%	45.53%	52.0%	65.45%	66.66%	26.99%	39.42%	36.33%	37.82%	42.53%	35.04%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	0	0	0	0	0	0	0	0	0	1	2	3	5					
		0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.32%	0.55%	0.64%					
39	"22. ""Развитие предпринимательства"""	6	0	0	0	0	0	0	0	0	1	0	0	2	3					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.37%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	338	2	3	8	24	9	2	0	32	40	34	64	50	70					
		10.21%	2.81%	3.84%	13.79%	21.42%	18.0%	3.63%	0.0%	19.63%	8.81%	10.55%	10.38%	9.32%	8.98%					
																				
41	Против всех	185	17	2	1	5	1	4	2	13	25	11	32	27	45					
		5.59%	23.94%	2.56%	1.72%	4.46%	2.0%	7.27%	13.33%	7.97%	5.50%	3.41%	5.19%	5.03%	5.77%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
