Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Домодедовская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387					
19	. Малышкин Олег Александрович	1039	26	25	26	29	23	7	20	22	32	19	30	30	11	15	30	26	20	23	27	19	8	11	20	13	13	3	16	24	11	21	5	8	12	13	4	6	30	1	33	9	20	5	16	31	1	17	7	29	17	22	25	12	9	7	16	10	37	23	14					
		1.83%	2.34%	2.30%	1.90%	2.12%	2.54%	1.01%	1.72%	1.89%	2.49%	1.29%	2.18%	2.07%	1.23%	1.15%	2.17%	1.81%	1.48%	1.53%	1.79%	2.45%	1.48%	1.77%	2.51%	1.57%	2.25%	0.80%	1.24%	1.61%	0.83%	1.72%	0.49%	1.27%	1.81%	1.44%	1.90%	4.92%	2.29%	0.91%	2.29%	1.30%	2.18%	1.82%	2.09%	1.98%	0.49%	3.04%	0.60%	1.83%	3.95%	2.53%	2.42%	1.72%	1.16%	1.03%	1.79%	2.83%	1.84%	2.37%	3.67%					
20	. Миронов Сергей Михайлович	301	6	6	3	7	7	4	9	6	3	12	11	7	3	6	5	1	7	11	8	4	2	4	2	9	4	2	5	8	11	9	6	5	4	8	0	1	5	0	12	0	4	2	3	6	0	8	2	9	3	6	5	4	7	0	4	1	5	5	4					
		0.53%	0.54%	0.55%	0.22%	0.51%	0.77%	0.58%	0.78%	0.52%	0.23%	0.82%	0.80%	0.48%	0.34%	0.46%	0.36%	0.07%	0.52%	0.73%	0.53%	0.52%	0.37%	0.65%	0.25%	1.09%	0.69%	0.53%	0.39%	0.54%	0.83%	0.74%	0.58%	0.79%	0.60%	0.89%	0.00%	0.82%	0.38%	0.00%	0.83%	0.00%	0.44%	0.73%	0.39%	0.38%	0.00%	1.43%	0.17%	0.57%	0.70%	0.69%	0.48%	0.57%	0.90%	0.00%	0.45%	0.28%	0.25%	0.51%	1.05%					
21	. Путин Владимир Владимирович	40856	811	800	950	965	591	453	815	880	897	1017	965	1002	632	929	992	995	927	1017	1081	583	347	434	553	544	450	281	891	990	926	823	702	453	490	705	176	91	959	91	1009	484	643	211	566	1158	177	374	907	1176	316	642	727	540	536	498	621	268	1743	777	275					
		71.83%	73.06%	73.73%	69.34%	70.49%	65.30%	65.65%	70.20%	75.67%	69.91%	69.28%	70.28%	69.10%	70.69%	71.46%	71.73%	69.15%	68.77%	67.80%	71.49%	75.13%	64.26%	70.00%	69.47%	65.70%	77.72%	75.13%	69.12%	66.49%	70.05%	67.46%	68.42%	71.79%	74.02%	78.07%	83.41%	74.59%	73.09%	82.73%	70.07%	69.74%	70.04%	76.73%	73.79%	74.14%	85.92%	66.91%	77.59%	74.15%	73.49%	73.71%	70.45%	77.47%	69.25%	73.56%	69.46%	75.92%	86.85%	79.94%	72.18%					
22	. Хакамада Ирина Муцуовна	2084	36	37	44	73	38	32	49	38	71	57	60	61	80	40	58	67	50	64	88	13	18	42	45	47	14	16	59	57	50	51	38	28	16	13	4	4	45	2	37	26	18	5	28	36	2	18	27	67	10	15	16	25	18	24	25	4	27	38	13					
		3.66%	3.24%	3.41%	3.21%	5.33%	4.20%	4.64%	4.22%	3.27%	5.53%	3.88%	4.37%	4.21%	8.95%	3.08%	4.19%	4.66%	3.71%	4.27%	5.82%	1.68%	3.33%	6.77%	5.65%	5.68%	2.42%	4.28%	4.58%	3.83%	3.78%	4.18%	3.70%	4.44%	2.42%	1.44%	1.90%	3.28%	3.43%	1.82%	2.57%	3.75%	1.96%	1.82%	3.65%	2.30%	0.97%	3.22%	2.31%	4.22%	2.33%	1.72%	1.55%	3.59%	2.33%	3.55%	2.80%	1.13%	1.35%	3.91%	3.41%					
23	. Харитонов Николай Михайлович	5727	105	112	180	136	104	88	130	102	120	182	128	143	47	171	132	149	147	178	121	77	89	34	56	71	45	35	134	177	158	156	145	74	63	91	18	6	121	8	204	106	150	29	62	139	17	73	79	117	32	107	130	29	89	62	89	40	61	44	35					
		10.07%	9.46%	10.32%	13.14%	9.93%	11.49%	12.75%	11.20%	8.77%	9.35%	12.40%	9.32%	9.86%	5.26%	13.15%	9.54%	10.35%	10.91%	11.87%	8.00%	9.92%	16.48%	5.48%	7.04%	8.57%	7.77%	9.36%	10.40%	11.89%	11.95%	12.79%	14.13%	11.73%	9.52%	10.08%	8.53%	4.92%	9.22%	7.27%	14.17%	15.27%	16.34%	10.55%	8.08%	8.90%	8.25%	13.06%	6.76%	7.38%	7.44%	12.28%	12.60%	4.16%	11.50%	9.16%	9.96%	11.33%	3.04%	4.53%	9.19%					
																																																																		
24	Против всех	3068	60	53	70	67	55	33	73	57	76	86	79	103	58	58	56	88	74	89	83	32	34	42	55	63	26	11	82	123	72	69	49	29	30	24	7	10	69	7	63	38	42	7	49	85	8	23	71	79	21	29	50	36	31	30	76	18	94	48	18					
		5.39%	5.41%	4.88%	5.11%	4.89%	6.08%	4.78%	6.29%	4.90%	5.92%	5.86%	5.75%	7.10%	6.49%	4.46%	4.05%	6.12%	5.49%	5.93%	5.49%	4.12%	6.30%	6.77%	6.91%	7.61%	4.49%	2.94%	6.36%	8.26%	5.45%	5.66%	4.78%	4.60%	4.53%	2.66%	3.32%	8.20%	5.26%	6.36%	4.38%	5.48%	4.58%	2.55%	6.39%	5.44%	3.88%	4.11%	6.07%	4.98%	4.88%	3.33%	4.84%	5.16%	4.01%	4.43%	8.50%	5.10%	4.68%	4.94%	4.72%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
