Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Богучанская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	2221	2	40	144	44	2	1	11	24	85	73	5	160	112	96	118	108	109	83	22	104	83	17	125	101	3	20	128	6	138	43	19	129	23	43	0					
		13.39%	3.28%	15.38%	17.14%	12.50%	2.78%	2.86%	8.87%	9.23%	11.27%	9.16%	5.56%	23.74%	21.66%	20.43%	20.52%	19.67%	19.60%	16.53%	5.10%	16.17%	14.31%	7.83%	13.02%	11.57%	2.56%	5.42%	9.94%	7.06%	14.10%	6.74%	4.99%	18.75%	7.37%	8.27%	0.00%					
19	. Малышкин Олег Александрович	286	0	8	16	14	1	0	5	9	12	8	0	5	9	7	5	4	14	11	10	9	13	6	17	12	0	0	16	2	17	7	5	19	7	18	0					
		1.72%	0.00%	3.08%	1.90%	3.98%	1.39%	0.00%	4.03%	3.46%	1.59%	1.00%	0.00%	0.74%	1.74%	1.49%	0.87%	0.73%	2.52%	2.19%	2.32%	1.40%	2.24%	2.76%	1.77%	1.37%	0.00%	0.00%	1.24%	2.35%	1.74%	1.10%	1.31%	2.76%	2.24%	3.46%	0.00%					
20	. Миронов Сергей Михайлович	97	3	1	4	3	0	1	2	0	12	8	0	4	1	8	3	2	0	4	4	6	4	0	1	1	1	3	8	0	4	4	0	4	0	1	0					
		0.58%	4.92%	0.38%	0.48%	0.85%	0.00%	2.86%	1.61%	0.00%	1.59%	1.00%	0.00%	0.59%	0.19%	1.70%	0.52%	0.36%	0.00%	0.80%	0.93%	0.93%	0.69%	0.00%	0.10%	0.11%	0.85%	0.81%	0.62%	0.00%	0.41%	0.63%	0.00%	0.58%	0.00%	0.19%	0.00%					
21	. Путин Владимир Владимирович	11083	32	157	500	221	56	29	88	176	528	562	64	353	292	276	355	334	339	310	344	437	398	144	706	634	106	319	830	69	623	482	294	405	240	377	3					
		66.83%	52.46%	60.38%	59.52%	62.78%	77.78%	82.86%	70.97%	67.69%	70.03%	70.51%	71.11%	52.37%	56.48%	58.72%	61.74%	60.84%	60.97%	61.75%	79.81%	67.96%	68.62%	66.36%	73.54%	72.62%	90.60%	86.45%	64.44%	81.18%	63.64%	75.55%	77.17%	58.87%	76.92%	72.50%	21.43%					
22	. Хакамада Ирина Муцуовна	448	1	5	18	16	1	2	1	4	9	22	2	21	16	13	20	25	18	20	6	17	12	5	23	30	1	5	41	0	33	12	7	18	14	10	0					
		2.70%	1.64%	1.92%	2.14%	4.55%	1.39%	5.71%	0.81%	1.54%	1.19%	2.76%	2.22%	3.12%	3.09%	2.77%	3.48%	4.55%	3.24%	3.98%	1.39%	2.64%	2.07%	2.30%	2.40%	3.44%	0.85%	1.36%	3.18%	0.00%	3.37%	1.88%	1.84%	2.62%	4.49%	1.92%	0.00%					
23	. Харитонов Николай Михайлович	1978	23	36	101	38	11	0	16	38	90	112	16	117	67	56	58	66	61	55	40	56	62	43	71	68	6	15	215	7	146	70	45	106	16	50	1					
		11.93%	37.70%	13.85%	12.02%	10.80%	15.28%	0.00%	12.90%	14.62%	11.94%	14.05%	17.78%	17.36%	12.96%	11.91%	10.09%	12.02%	10.97%	10.96%	9.28%	8.71%	10.69%	19.82%	7.40%	7.79%	5.13%	4.07%	16.69%	8.24%	14.91%	10.97%	11.81%	15.41%	5.13%	9.62%	7.14%					
																																										
24	Против всех	388	0	10	57	14	0	0	1	5	10	8	3	14	15	8	15	9	14	19	4	9	5	2	13	24	0	5	47	1	11	12	10	6	8	19	10					
		2.34%	0.00%	3.85%	6.79%	3.98%	0.00%	0.00%	0.81%	1.92%	1.33%	1.00%	3.33%	2.08%	2.90%	1.70%	2.61%	1.64%	2.52%	3.78%	0.93%	1.40%	0.86%	0.92%	1.35%	2.75%	0.00%	1.36%	3.65%	1.18%	1.12%	1.88%	2.62%	0.87%	2.56%	3.65%	71.43%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
