Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Боровичcкая																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	690	10	10	10	10	10	10	10	10	20	10	10	10	10	20	0	10	10	10	10	10	20	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	20	20	30	10	10	10	10	10	10	10	10	10									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	382	8	5	9	9	4	5	7	8	14	0	2	7	5	13	0	8	6	5	1	5	17	4	6	10	5	9	7	10	4	9	16	1	7	4	3	1	1	3	3	0	7	16	4	10	2	2	1	1	11	20	16	3	9	7	3	5	10	8	5	1									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	363	4	5	6	6	6	6	8	1	12	0	4	7	5	9	4	4	11	2	3	4	8	29	10	14	7	3	1	6	4	9	6	7	11	3	6	5	3	4	4	4	1	6	7	7	4	3	0	11	3	7	5	5	21	5	6	5	6	3	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	308	2	5	1	1	6	5	3	2	6	10	8	3	5	7	0	2	4	5	9	5	3	6	4	0	5	1	3	0	6	11	4	9	3	6	7	9	9	7	7	10	3	4	6	0	8	8	9	9	9	0	14	7	1	3	7	5	0	2	5	9									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	15	0	0	0	0	1	2	1	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
18	1.Политическая партия «Аграрная партия России»	1081	35	30	28	30	23	41	15	20	33	18	19	21	5	25	2	19	31	36	11	17	25	14	6	36	19	23	14	30	25	45	21	13	22	15	18	2	1	27	8	11	9	14	52	24	8	14	8	7	7	8	33	3	0	12	15	11	15	3	1	3									
		2.80%	2.25%	4.62%	3.54%	3.42%	2.54%	3.13%	2.08%	2.09%	3.28%	3.19%	3.19%	2.38%	1.04%	2.39%	1.72%	2.41%	2.36%	3.26%	2.94%	3.01%	2.30%	2.09%	0.89%	3.09%	2.75%	3.72%	2.15%	2.63%	2.35%	3.27%	1.90%	2.53%	1.89%	3.62%	4.68%	1.29%	1.67%	4.05%	2.63%	5.21%	3.06%	4.42%	6.01%	3.57%	4.44%	4.29%	3.14%	1.67%	3.04%	1.91%	2.98%	1.35%	0.00%	1.64%	3.35%	2.96%	4.69%	1.88%	1.37%	1.40%									
19	2.Всероссийская политическая партия «Гражданская Сила»	340	25	13	15	5	3	12	6	7	17	9	3	13	5	3	2	8	15	10	1	4	6	2	7	9	10	3	6	14	10	24	15	2	15	3	3	0	0	7	3	0	3	1	3	4	0	0	0	4	0	0	4	1	2	0	1	0	1	1	0	0									
		0.88%	1.61%	2.00%	1.90%	0.57%	0.33%	0.92%	0.83%	0.73%	1.69%	1.59%	0.50%	1.48%	1.04%	0.29%	1.72%	1.01%	1.14%	0.90%	0.27%	0.71%	0.55%	0.30%	1.03%	0.77%	1.45%	0.49%	0.92%	1.23%	0.94%	1.75%	1.36%	0.39%	1.29%	0.72%	0.78%	0.00%	0.00%	1.05%	0.99%	0.00%	1.02%	0.32%	0.35%	0.59%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.36%	0.45%	0.86%	0.00%	0.22%	0.00%	0.31%	0.63%	0.00%	0.00%									
20	3.Политическая партия «Демократическая партия России»	50	0	0	3	1	0	3	1	0	0	0	1	2	2	1	0	1	1	4	0	3	3	2	2	1	0	0	0	1	0	0	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	1	1	0	0	0									
		0.13%	0.00%	0.00%	0.38%	0.11%	0.00%	0.23%	0.14%	0.00%	0.00%	0.00%	0.17%	0.23%	0.41%	0.10%	0.00%	0.13%	0.08%	0.36%	0.00%	0.53%	0.28%	0.30%	0.30%	0.09%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.18%	0.58%	0.17%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.43%	0.14%	0.00%	0.27%	0.31%	0.00%	0.00%	0.00%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3778	153	85	110	133	136	192	69	94	136	61	47	83	40	94	11	86	112	96	38	52	106	54	40	156	80	49	67	114	134	138	103	63	136	27	22	9	2	52	22	11	25	24	76	57	8	40	20	16	13	24	71	13	15	73	28	23	25	7	0	7									
		9.79%	9.85%	13.08%	13.91%	15.18%	15.01%	14.65%	9.56%	9.83%	13.52%	10.80%	7.89%	9.42%	8.30%	8.97%	9.48%	10.89%	8.53%	8.69%	10.16%	9.20%	9.76%	8.05%	5.91%	13.38%	11.59%	7.93%	10.29%	10.00%	12.57%	10.04%	9.34%	12.26%	11.66%	6.52%	5.71%	5.81%	3.33%	7.81%	7.24%	5.21%	8.50%	7.57%	8.79%	8.47%	4.44%	12.27%	7.84%	3.82%	5.65%	5.73%	6.40%	5.86%	6.47%	9.97%	6.25%	6.20%	7.81%	4.38%	0.00%	3.27%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	100	5	2	3	2	6	1	0	0	4	2	1	3	0	5	0	1	5	2	0	2	1	0	1	7	5	1	5	2	2	5	9	1	5	1	0	0	1	2	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	1	0	1	1	0	0									
		0.26%	0.32%	0.31%	0.38%	0.23%	0.66%	0.08%	0.00%	0.00%	0.40%	0.35%	0.17%	0.34%	0.00%	0.48%	0.00%	0.13%	0.38%	0.18%	0.00%	0.35%	0.09%	0.00%	0.15%	0.60%	0.72%	0.16%	0.77%	0.18%	0.19%	0.36%	0.82%	0.19%	0.43%	0.24%	0.00%	0.00%	1.67%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.22%	0.00%	0.31%	0.63%	0.00%	0.00%									
23	6.Политическая партия «Партия социальной справедливости»	81	1	2	3	5	0	2	2	3	3	0	2	3	1	4	0	0	0	4	0	1	0	0	1	2	5	3	1	5	3	4	4	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	2	2	0	0	0	3	1	0	0	1	0									
		0.21%	0.06%	0.31%	0.38%	0.57%	0.00%	0.15%	0.28%	0.31%	0.30%	0.00%	0.34%	0.34%	0.21%	0.38%	0.00%	0.00%	0.00%	0.36%	0.00%	0.18%	0.00%	0.00%	0.15%	0.17%	0.72%	0.49%	0.15%	0.44%	0.28%	0.29%	0.36%	0.19%	0.09%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.48%	0.43%	0.48%	0.18%	0.00%	0.00%	0.00%	0.67%	0.27%	0.00%	0.00%	1.37%	0.00%									
24	7.Политическая партия «Либерально-демократическая партия России»	4141	180	69	78	82	85	122	71	113	88	77	82	102	48	120	7	90	153	149	42	61	117	76	86	134	75	81	91	127	85	184	141	72	143	42	19	11	3	78	24	10	39	24	70	43	21	28	33	51	19	23	129	17	18	67	52	33	29	10	8	9									
		10.73%	11.59%	10.62%	9.86%	9.36%	9.38%	9.31%	9.83%	11.82%	8.75%	13.63%	13.76%	11.58%	9.96%	11.45%	6.03%	11.39%	11.65%	13.48%	11.23%	10.80%	10.77%	11.33%	12.70%	11.49%	10.87%	13.11%	13.98%	11.14%	7.97%	13.38%	12.78%	14.01%	12.26%	10.14%	4.94%	7.10%	5.00%	11.71%	7.89%	4.74%	13.27%	7.57%	8.09%	6.39%	11.67%	8.59%	12.94%	12.17%	8.26%	5.49%	11.63%	7.66%	7.76%	9.15%	11.61%	8.89%	9.06%	6.25%	10.96%	4.21%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3321	161	61	76	77	124	139	49	101	80	45	53	98	42	121	8	111	102	85	27	49	131	36	49	114	89	63	67	124	117	131	111	43	136	20	8	4	0	32	12	17	12	31	45	35	6	4	14	20	8	23	55	7	11	45	44	8	14	14	6	6									
		8.61%	10.37%	9.38%	9.61%	8.79%	13.69%	10.60%	6.79%	10.56%	7.95%	7.96%	8.89%	11.12%	8.71%	11.55%	6.90%	14.05%	7.77%	7.69%	7.22%	8.67%	12.06%	5.37%	7.24%	9.78%	12.90%	10.19%	10.29%	10.88%	10.98%	9.53%	10.06%	8.37%	11.66%	4.83%	2.08%	2.58%	0.00%	4.80%	3.95%	8.06%	4.08%	9.78%	5.20%	5.20%	3.33%	1.23%	5.49%	4.77%	3.48%	5.49%	4.96%	3.15%	4.74%	6.15%	9.82%	2.16%	4.38%	8.75%	8.22%	2.80%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	707	38	16	26	25	17	33	20	14	28	8	12	25	10	24	2	15	22	19	1	8	16	13	12	28	10	10	12	29	30	36	15	5	14	6	6	1	0	7	3	1	2	5	9	9	2	2	3	8	3	4	13	0	1	9	5	2	6	2	2	3									
		1.83%	2.45%	2.46%	3.29%	2.85%	1.88%	2.52%	2.77%	1.46%	2.78%	1.42%	2.01%	2.84%	2.07%	2.29%	1.72%	1.90%	1.68%	1.72%	0.27%	1.42%	1.47%	1.94%	1.77%	2.40%	1.45%	1.62%	1.84%	2.54%	2.81%	2.62%	1.36%	0.97%	1.20%	1.45%	1.56%	0.65%	0.00%	1.05%	0.99%	0.47%	0.68%	1.58%	1.04%	1.34%	1.11%	0.61%	1.18%	1.91%	1.30%	0.95%	1.17%	0.00%	0.43%	1.23%	1.12%	0.54%	1.88%	1.25%	2.74%	1.40%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	24354	930	357	433	499	500	735	486	587	597	339	367	519	319	632	82	453	856	689	251	359	671	466	466	641	385	376	376	673	636	761	665	309	675	296	303	126	52	454	228	157	189	218	600	498	134	233	176	268	177	330	787	174	180	519	295	289	221	122	54	184									
		63.12%	59.88%	54.92%	54.74%	56.96%	55.19%	56.06%	67.31%	61.40%	59.34%	60.00%	61.58%	58.91%	66.18%	60.31%	70.69%	57.34%	65.19%	62.35%	67.11%	63.54%	61.79%	69.45%	68.83%	54.97%	55.80%	60.84%	57.76%	59.04%	59.66%	55.35%	60.29%	60.12%	57.89%	71.50%	78.70%	81.29%	86.67%	68.17%	75.00%	74.41%	64.29%	68.77%	69.36%	73.99%	74.44%	71.47%	69.02%	63.96%	76.96%	78.76%	70.96%	78.38%	77.59%	70.90%	65.85%	77.90%	69.06%	76.25%	73.97%	85.98%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	292	18	11	10	10	8	16	2	10	13	2	4	5	3	9	0	4	8	3	1	7	3	1	3	18	5	3	6	14	11	30	8	0	6	1	2	0	0	4	2	0	4	0	4	0	1	1	1	4	1	4	4	0	1	2	0	2	0	0	0	2									
		0.76%	1.16%	1.69%	1.26%	1.14%	0.88%	1.22%	0.28%	1.05%	1.29%	0.35%	0.67%	0.57%	0.62%	0.86%	0.00%	0.51%	0.61%	0.27%	0.27%	1.24%	0.28%	0.15%	0.44%	1.54%	0.72%	0.49%	0.92%	1.23%	1.03%	2.18%	0.73%	0.00%	0.51%	0.24%	0.52%	0.00%	0.00%	0.60%	0.66%	0.00%	1.36%	0.00%	0.46%	0.00%	0.56%	0.31%	0.39%	0.95%	0.43%	0.95%	0.36%	0.00%	0.43%	0.27%	0.00%	0.54%	0.00%	0.00%	0.00%	0.93%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
