Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Зональная																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882									
		4.75%	6.20%	4.67%	8.11%	6.12%	6.93%	3.61%	2.78%	6.10%	6.36%	3.50%	2.95%	4.29%	6.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	107	8	24	0	2	3	12	2	4	1	3	20	14	14									
		1.96%	1.34%	2.15%	0.00%	2.04%	0.83%	3.09%	0.51%	0.98%	0.91%	2.10%	2.27%	2.73%	3.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2117	239	365	27	33	140	153	202	155	44	68	334	203	154									
		38.84%	40.03%	32.76%	36.49%	33.67%	38.78%	39.43%	51.01%	37.80%	40.00%	47.55%	37.91%	39.57%	42.08%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	2	6	1	1	1	5	3	0	0	1	3	0	2									
		0.46%	0.34%	0.54%	1.35%	1.02%	0.28%	1.29%	0.76%	0.00%	0.00%	0.70%	0.34%	0.00%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	1	2	2	0	0	2	0	1	0	0	2	1	1									
		0.22%	0.17%	0.18%	2.70%	0.00%	0.00%	0.52%	0.00%	0.24%	0.00%	0.00%	0.23%	0.19%	0.27%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1189	114	214	19	34	57	100	91	92	32	34	227	119	56									
		21.81%	19.10%	19.21%	25.68%	34.69%	15.79%	25.77%	22.98%	22.44%	29.09%	23.78%	25.77%	23.20%	15.30%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	3	3	0	0	0	2	0	1	0	0	4	1	1									
		0.28%	0.50%	0.27%	0.00%	0.00%	0.00%	0.52%	0.00%	0.24%	0.00%	0.00%	0.45%	0.19%	0.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	1	8	0	0	2	4	0	2	0	0	0	4	1									
		0.40%	0.17%	0.72%	0.00%	0.00%	0.55%	1.03%	0.00%	0.49%	0.00%	0.00%	0.00%	0.78%	0.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	2	2	0	0	0	0	1	0	0	0	3	0	0									
		0.15%	0.34%	0.18%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	45	2	10	0	1	6	0	2	4	1	0	7	7	5									
		0.83%	0.34%	0.90%	0.00%	1.02%	1.66%	0.00%	0.51%	0.98%	0.91%	0.00%	0.79%	1.36%	1.37%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	973	115	261	15	11	80	52	39	76	12	19	150	82	61									
		17.85%	19.26%	23.43%	20.27%	11.22%	22.16%	13.40%	9.85%	18.54%	10.91%	13.29%	17.03%	15.98%	16.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	2	6	0	0	0	0	2	1	2	2	3	1	1									
		0.37%	0.34%	0.54%	0.00%	0.00%	0.00%	0.00%	0.51%	0.24%	1.82%	1.40%	0.34%	0.19%	0.27%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	485	60	106	1	5	37	35	35	34	6	4	77	51	34									
		8.90%	10.05%	9.52%	1.35%	5.10%	10.25%	9.02%	8.84%	8.29%	5.45%	2.80%	8.74%	9.94%	9.29%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
