Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Рассказовская городская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	93	0	0	1	3	5	3	10	3	9	5	11	4	4	2	6	3	5	2	10	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	3	0	5	3	6	4	6	8	2	2	3	3	7	3	8	2	8	5	1	5	1					
14	Число погашенных открепительных удостоверений	117	10	10	9	7	5	7	0	7	1	5	9	6	6	8	4	7	5	8	0	3	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	4	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	196	8	2	7	7	18	7	14	14	6	9	11	21	12	2	13	9	13	3	9	9	2					
		1.33%	1.47%	0.23%	2.42%	0.75%	2.81%	0.76%	1.56%	2.18%	1.04%	1.12%	1.12%	1.71%	1.53%	0.70%	1.57%	1.17%	1.63%	0.61%	1.47%	1.08%	2.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	279	6	22	2	9	15	10	29	15	23	8	12	25	11	6	11	6	16	11	13	25	4					
		1.89%	1.10%	2.60%	0.69%	0.97%	2.34%	1.08%	3.25%	2.34%	3.99%	1.00%	1.22%	2.04%	1.41%	2.12%	1.32%	0.78%	2.01%	2.25%	2.13%	3.01%	4.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	539	23	28	20	28	30	41	37	22	0	24	29	59	27	10	28	30	27	20	17	35	4					
		3.65%	4.23%	3.30%	6.92%	3.02%	4.69%	4.46%	4.14%	3.43%	0.0%	3.00%	2.97%	4.82%	3.46%	3.54%	3.38%	3.90%	3.39%	4.10%	2.79%	4.22%	4.93%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	528	17	32	3	27	23	34	56	38	24	28	37	34	35	14	25	23	26	4	24	18	6					
		3.58%	3.13%	3.78%	1.03%	2.91%	3.59%	3.69%	6.27%	5.93%	4.16%	3.50%	3.79%	2.77%	4.48%	4.96%	3.01%	2.99%	3.27%	0.82%	3.94%	2.17%	7.40%					
22	"5. ""За Русь Святую"""	89	2	0	1	9	2	5	7	1	5	2	9	6	4	6	4	4	8	0	4	8	2					
		0.60%	0.36%	0.0%	0.34%	0.97%	0.31%	0.54%	0.78%	0.15%	0.86%	0.25%	0.92%	0.49%	0.51%	2.12%	0.48%	0.52%	1.00%	0.0%	0.65%	0.96%	2.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	1	0	0	1	1	0	3	1	1	2	1	0	0	1	1	1	1	1	2	2	0					
		0.13%	0.18%	0.0%	0.0%	0.10%	0.15%	0.0%	0.33%	0.15%	0.17%	0.25%	0.10%	0.0%	0.0%	0.35%	0.12%	0.13%	0.12%	0.20%	0.32%	0.24%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	73	0	11	2	3	0	2	6	3	5	5	5	3	1	1	8	1	7	1	1	8	0					
		0.49%	0.0%	1.30%	0.69%	0.32%	0.0%	0.21%	0.67%	0.46%	0.86%	0.62%	0.51%	0.24%	0.12%	0.35%	0.96%	0.13%	0.88%	0.20%	0.16%	0.96%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	0	2	0	1	1	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0					
		0.06%	0.0%	0.23%	0.0%	0.10%	0.15%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.24%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	2	1	0	1	0	4	3	2	2	0	4	3	2	0	3	3	2	2	0	0	0					
		0.23%	0.36%	0.11%	0.0%	0.10%	0.0%	0.43%	0.33%	0.31%	0.34%	0.0%	0.40%	0.24%	0.25%	0.0%	0.36%	0.39%	0.25%	0.41%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	378	19	31	5	27	14	16	13	14	9	28	18	16	28	6	16	17	25	13	14	47	2					
		2.56%	3.49%	3.66%	1.73%	2.91%	2.19%	1.74%	1.45%	2.18%	1.56%	3.50%	1.84%	1.30%	3.58%	2.12%	1.93%	2.21%	3.14%	2.66%	2.29%	5.67%	2.46%					
28	"11. ""Истинные патриоты России"""	80	1	0	1	1	5	9	7	0	4	4	17	6	3	0	10	1	1	7	1	1	1					
		0.54%	0.18%	0.0%	0.34%	0.10%	0.78%	0.97%	0.78%	0.0%	0.69%	0.50%	1.74%	0.49%	0.38%	0.0%	1.20%	0.13%	0.12%	1.43%	0.16%	0.12%	1.23%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	170	6	6	6	5	9	8	12	7	7	8	12	10	16	3	14	10	5	8	8	8	2					
		1.15%	1.10%	0.70%	2.07%	0.53%	1.40%	0.87%	1.34%	1.09%	1.21%	1.00%	1.22%	0.81%	2.05%	1.06%	1.69%	1.30%	0.62%	1.64%	1.31%	0.96%	2.46%					
30	"13. ""Демократическая партия России"""	32	1	2	1	0	3	1	1	2	1	2	0	2	2	1	1	0	5	1	1	4	1					
		0.21%	0.18%	0.23%	0.34%	0.0%	0.46%	0.10%	0.11%	0.31%	0.17%	0.25%	0.0%	0.16%	0.25%	0.35%	0.12%	0.0%	0.62%	0.20%	0.16%	0.48%	1.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0					
		0.04%	0.18%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.12%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%					
32	"15. ""Партия СЛОН"""	11	1	0	0	0	0	1	1	0	0	1	0	2	1	0	0	0	2	0	0	2	0					
		0.07%	0.18%	0.0%	0.0%	0.0%	0.0%	0.10%	0.11%	0.0%	0.0%	0.12%	0.0%	0.16%	0.12%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.24%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1230	21	58	19	80	62	91	73	58	34	71	98	108	60	32	58	62	75	56	54	58	2					
		8.35%	3.86%	6.85%	6.57%	8.63%	9.70%	9.90%	8.18%	9.06%	5.90%	8.88%	10.04%	8.82%	7.69%	11.34%	7.00%	8.06%	9.43%	11.49%	8.86%	7.00%	2.46%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	0	5	1	0	4	2	2	3	4	2	0	3	3	0	1	2	3	2	0	2	0					
		0.26%	0.0%	0.59%	0.34%	0.0%	0.62%	0.21%	0.22%	0.46%	0.69%	0.25%	0.0%	0.24%	0.38%	0.0%	0.12%	0.26%	0.37%	0.41%	0.0%	0.24%	0.0%					
35	"18. ""ЛДПР"""	1975	53	118	42	141	63	102	99	89	99	89	153	162	113	23	115	134	85	62	108	110	15					
		13.40%	9.76%	13.94%	14.53%	15.22%	9.85%	11.09%	11.09%	13.90%	17.18%	11.13%	15.67%	13.23%	14.48%	8.15%	13.88%	17.42%	10.69%	12.73%	17.73%	13.28%	18.51%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	260	9	22	3	12	17	17	13	14	7	16	20	16	16	5	10	13	13	8	14	13	2					
		1.76%	1.65%	2.60%	1.03%	1.29%	2.66%	1.84%	1.45%	2.18%	1.21%	2.00%	2.04%	1.30%	2.05%	1.77%	1.20%	1.69%	1.63%	1.64%	2.29%	1.57%	2.46%					
37	"20. ""Политическая партия ""Единая Россия"""	4247	177	245	89	284	175	273	251	196	165	235	282	322	230	96	217	238	266	154	149	186	17					
		28.83%	32.59%	28.95%	30.79%	30.66%	27.38%	29.70%	28.13%	30.62%	28.64%	29.41%	28.89%	26.30%	29.48%	34.04%	26.20%	30.94%	33.45%	31.62%	24.46%	22.46%	20.98%					
38	"21. ""Российская Конституционно-демократическая партия"""	22	0	4	0	1	2	2	0	0	0	1	2	1	0	1	1	3	1	0	1	2	0					
		0.14%	0.0%	0.47%	0.0%	0.10%	0.31%	0.21%	0.0%	0.0%	0.0%	0.12%	0.20%	0.08%	0.0%	0.35%	0.12%	0.39%	0.12%	0.0%	0.16%	0.24%	0.0%					
39	"22. ""Развитие предпринимательства"""	30	0	3	0	0	0	2	4	4	3	0	4	1	4	0	1	0	1	1	0	2	0					
		0.20%	0.0%	0.35%	0.0%	0.0%	0.0%	0.21%	0.44%	0.62%	0.52%	0.0%	0.40%	0.08%	0.51%	0.0%	0.12%	0.0%	0.12%	0.20%	0.0%	0.24%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3285	142	203	54	223	163	194	194	110	117	182	200	317	152	51	216	151	151	103	136	217	9					
		22.30%	26.15%	23.99%	18.68%	24.08%	25.50%	21.10%	21.74%	17.18%	20.31%	22.77%	20.49%	25.89%	19.48%	18.08%	26.08%	19.63%	18.99%	21.14%	22.33%	26.20%	11.11%					
																												
41	Против всех	894	34	39	26	50	27	79	54	43	42	54	50	78	41	19	56	35	45	20	39	54	9					
		6.07%	6.26%	4.60%	8.99%	5.39%	4.22%	8.59%	6.05%	6.71%	7.29%	6.75%	5.12%	6.37%	5.25%	6.73%	6.76%	4.55%	5.66%	4.10%	6.40%	6.52%	11.11%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
