Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Владивосток, Советская"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №880	УИК №881									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	729	5	23	4	8	16	20	22	19	14	97	6	8	2	15	9	19	3	3	1	14	6	9	8	9	20	18	19	14	6	12	28	10	22	13	19	13	11	12	19	22	17	19	13	7	10	7	18	16	15	9	0									
		2.82%	2.28%	4.01%	0.74%	1.22%	3.05%	3.07%	3.69%	3.24%	3.34%	16.84%	3.19%	2.22%	0.29%	2.88%	3.15%	2.72%	1.23%	2.07%	0.68%	1.98%	1.17%	1.79%	2.06%	2.41%	2.69%	2.51%	2.55%	2.73%	2.73%	2.04%	3.40%	1.20%	3.51%	1.98%	2.67%	3.76%	2.62%	2.89%	4.14%	3.25%	2.65%	2.66%	1.81%	1.75%	2.40%	1.87%	3.11%	2.74%	2.74%	3.88%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	967	7	24	2	19	21	31	25	21	10	17	11	14	5	13	8	34	4	2	13	35	3	30	14	21	24	25	30	21	8	23	29	24	28	24	16	11	19	16	32	37	21	41	30	6	11	8	31	19	30	19	0									
		3.74%	3.20%	4.18%	0.37%	2.91%	4.01%	4.75%	4.19%	3.58%	2.39%	2.95%	5.85%	3.89%	0.73%	2.50%	2.80%	4.86%	1.64%	1.38%	8.84%	4.94%	0.58%	5.98%	3.61%	5.63%	3.23%	3.49%	4.03%	4.10%	3.64%	3.91%	3.52%	2.87%	4.47%	3.65%	2.25%	3.18%	4.52%	3.86%	6.97%	5.47%	3.27%	5.73%	4.17%	1.50%	2.64%	2.13%	5.36%	3.25%	5.48%	8.19%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9063	165	188	408	324	241	276	184	195	222	280	50	182	478	197	62	199	75	43	42	190	257	172	94	98	192	210	247	113	81	185	271	504	167	174	237	86	85	104	109	191	135	250	194	109	110	140	137	145	181	73	11									
		35.05%	75.34%	32.75%	75.84%	49.54%	45.99%	42.33%	30.87%	33.22%	52.98%	48.61%	26.60%	50.56%	69.48%	37.88%	21.68%	28.47%	30.74%	29.66%	28.57%	26.84%	50.10%	34.26%	24.23%	26.27%	25.81%	29.29%	33.20%	22.07%	36.82%	31.46%	32.93%	60.29%	26.68%	26.44%	33.33%	24.86%	20.24%	25.06%	23.75%	28.21%	21.03%	34.97%	26.94%	27.18%	26.38%	37.33%	23.70%	24.83%	33.09%	31.47%	22.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	299	3	7	6	3	2	3	10	8	1	7	3	0	3	9	2	7	3	2	3	10	5	9	5	5	17	9	10	10	1	6	5	4	9	8	12	2	4	3	8	5	15	12	7	10	0	4	6	9	6	0	1									
		1.16%	1.37%	1.22%	1.12%	0.46%	0.38%	0.46%	1.68%	1.36%	0.24%	1.22%	1.60%	0.00%	0.44%	1.73%	0.70%	1.00%	1.23%	1.38%	2.04%	1.41%	0.97%	1.79%	1.29%	1.34%	2.28%	1.26%	1.34%	1.95%	0.45%	1.02%	0.61%	0.48%	1.44%	1.22%	1.69%	0.58%	0.95%	0.72%	1.74%	0.74%	2.34%	1.68%	0.97%	2.49%	0.00%	1.07%	1.04%	1.54%	1.10%	0.00%	2.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	3	2	0	0	0	0	1	2	0	0	1	4	1	3	0	2	0	0	1	0	2	3	4	1	0	0	0	1	0	0	0	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.17%	0.00%	0.00%	0.53%	0.00%	0.00%	0.19%	0.35%	0.14%	0.41%	0.00%	0.00%	0.42%	0.39%	0.00%	0.00%	0.00%	0.00%	0.14%	0.27%	0.00%	0.00%	0.17%	0.49%	0.12%	0.48%	0.00%	0.28%	0.00%	0.00%	0.24%	0.00%	0.30%	0.47%	0.56%	0.14%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4315	16	155	30	86	72	112	125	119	35	90	19	73	82	101	74	124	51	34	30	123	62	88	85	55	124	102	162	73	32	86	107	78	111	108	99	60	73	67	78	107	108	113	117	90	86	81	123	118	101	50	20									
		16.69%	7.31%	27.00%	5.58%	13.15%	13.74%	17.18%	20.97%	20.27%	8.35%	15.63%	10.11%	20.28%	11.92%	19.42%	25.87%	17.74%	20.90%	23.45%	20.41%	17.37%	12.09%	17.53%	21.91%	14.75%	16.67%	14.23%	21.77%	14.26%	14.55%	14.63%	13.00%	9.33%	17.73%	16.41%	13.92%	17.34%	17.38%	16.14%	16.99%	15.81%	16.82%	15.80%	16.25%	22.44%	20.62%	21.60%	21.28%	20.21%	18.46%	21.55%	40.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	396	0	8	3	8	10	4	9	11	1	8	11	4	4	6	7	19	4	6	4	13	3	2	9	11	19	9	3	22	1	9	8	7	10	13	3	8	5	0	13	11	12	14	12	5	7	9	13	9	8	1	0									
		1.53%	0.00%	1.39%	0.56%	1.22%	1.91%	0.61%	1.51%	1.87%	0.24%	1.39%	5.85%	1.11%	0.58%	1.15%	2.45%	2.72%	1.64%	4.14%	2.72%	1.84%	0.58%	0.40%	2.32%	2.95%	2.55%	1.26%	0.40%	4.30%	0.45%	1.53%	0.97%	0.84%	1.60%	1.98%	0.42%	2.31%	1.19%	0.00%	2.83%	1.62%	1.87%	1.96%	1.67%	1.25%	1.68%	2.40%	2.25%	1.54%	1.46%	0.43%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	841	2	16	16	17	10	13	11	20	11	21	21	13	11	9	2	36	12	4	5	23	9	22	16	13	29	27	20	22	7	12	29	11	22	30	31	14	14	15	18	28	13	34	26	37	10	5	13	15	25	1	0									
		3.25%	0.91%	2.79%	2.97%	2.60%	1.91%	1.99%	1.85%	3.41%	2.63%	3.65%	11.17%	3.61%	1.60%	1.73%	0.70%	5.15%	4.92%	2.76%	3.40%	3.25%	1.75%	4.38%	4.12%	3.49%	3.90%	3.77%	2.69%	4.30%	3.18%	2.04%	3.52%	1.32%	3.51%	4.56%	4.36%	4.05%	3.33%	3.61%	3.92%	4.14%	2.02%	4.76%	3.61%	9.23%	2.40%	1.33%	2.25%	2.57%	4.57%	0.43%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	3	1	2	0	1	0	1	1	2	0	0	0	0	1	0	0	1	0	1	1									
		0.11%	0.46%	0.17%	0.00%	0.00%	0.38%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.14%	0.00%	0.20%	0.00%	0.27%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.16%	0.30%	0.00%	0.29%	0.00%	0.24%	0.22%	0.30%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.17%	0.00%	0.43%	2.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	872	1	11	2	18	6	8	14	19	22	19	12	7	6	11	8	21	6	2	8	35	8	29	14	18	48	26	21	31	14	17	31	11	21	35	16	17	24	15	20	28	28	23	26	19	18	6	19	23	27	3	0									
		3.37%	0.46%	1.92%	0.37%	2.75%	1.15%	1.23%	2.35%	3.24%	5.25%	3.30%	6.38%	1.94%	0.87%	2.12%	2.80%	3.00%	2.46%	1.38%	5.44%	4.94%	1.56%	5.78%	3.61%	4.83%	6.45%	3.63%	2.82%	6.05%	6.36%	2.89%	3.77%	1.32%	3.35%	5.32%	2.25%	4.91%	5.71%	3.61%	4.36%	4.14%	4.36%	3.22%	3.61%	4.74%	4.32%	1.60%	3.29%	3.94%	4.94%	1.29%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5023	14	94	25	91	98	121	131	107	66	0	26	36	64	93	67	144	56	41	31	174	38	87	81	94	166	175	162	108	48	141	179	121	142	166	196	92	122	116	99	130	190	121	165	67	94	64	113	115	99	50	3									
		19.43%	6.39%	16.38%	4.65%	13.91%	18.70%	18.56%	21.98%	18.23%	15.75%	0.00%	13.83%	10.00%	9.30%	17.88%	23.43%	20.60%	22.95%	28.28%	21.09%	24.58%	7.41%	17.33%	20.88%	25.20%	22.31%	24.41%	21.77%	21.09%	21.82%	23.98%	21.75%	14.47%	22.68%	25.23%	27.57%	26.59%	29.05%	27.95%	21.57%	19.20%	29.60%	16.92%	22.92%	16.71%	22.54%	17.07%	19.55%	19.69%	18.10%	21.55%	6.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	124	1	3	0	3	1	3	3	11	1	3	0	3	1	1	1	7	2	0	0	1	0	1	2	4	3	3	0	4	0	3	4	2	2	3	1	0	1	3	3	0	1	9	7	1	7	1	7	3	3	1	0									
		0.48%	0.46%	0.52%	0.00%	0.46%	0.19%	0.46%	0.50%	1.87%	0.24%	0.52%	0.00%	0.83%	0.15%	0.19%	0.35%	1.00%	0.82%	0.00%	0.00%	0.14%	0.00%	0.20%	0.52%	1.07%	0.40%	0.42%	0.00%	0.78%	0.00%	0.51%	0.49%	0.24%	0.32%	0.46%	0.14%	0.00%	0.24%	0.72%	0.65%	0.00%	0.16%	1.26%	0.97%	0.25%	1.68%	0.27%	1.21%	0.51%	0.55%	0.43%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1798	2	30	30	26	22	31	35	29	24	26	15	7	12	31	21	52	11	7	2	48	13	32	37	21	61	72	41	60	13	59	81	40	61	51	58	19	32	40	37	60	61	48	67	29	38	33	58	76	25	13	1									
		6.95%	0.91%	5.23%	5.58%	3.98%	4.20%	4.75%	5.87%	4.94%	5.73%	4.51%	7.98%	1.94%	1.74%	5.96%	7.34%	7.44%	4.51%	4.83%	1.36%	6.78%	2.53%	6.37%	9.54%	5.63%	8.20%	10.04%	5.51%	11.72%	5.91%	10.03%	9.84%	4.78%	9.74%	7.75%	8.16%	5.49%	7.62%	9.64%	8.06%	8.86%	9.50%	6.71%	9.31%	7.23%	9.11%	8.80%	10.03%	13.01%	4.57%	5.60%	2.00%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
