Выборы Президента Российской Федерации																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
Наименование Избирательной комиссии:    Кировская №3																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
Итоги голосования 																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946					
11	Число полученных открепительных  удостоверений	3690	50	30	30	30	30	40	50	40	30	60	30	30	40	40	40	30	40	40	50	60	60	20	50	40	40	50	40	50	50	50	40	40	30	30	20	30	40	20	40	40	50	40	40	40	40	30	40	40	40	40	40	40	40	50	40	40	40	50	60	50	70	40	70	50	60	50	50	40	50	60	60	40	40	60	60	70	60	60	60	40	50	50	60	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1513	17	11	16	12	7	22	19	14	8	57	4	15	19	7	15	12	25	9	2	13	11	7	12	18	18	13	25	16	14	25	16	11	16	16	8	17	10	6	18	18	30	19	18	25	12	17	12	25	18	26	15	23	13	17	18	19	15	17	15	22	31	8	30	23	41	17	20	23	27	11	19	22	18	15	22	28	23	29	25	17	25	34	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1063	12	9	17	8	16	10	23	7	12	18	10	12	12	11	9	5	19	12	15	12	34	3	13	4	3	9	13	19	18	3	20	16	4	7	8	9	14	16	20	7	10	16	8	12	8	7	15	9	24	8	11	20	9	12	10	8	11	11	6	10	16	18	14	12	13	9	24	6	19	9	5	5	11	11	12	5	18	17	14	12	14	12	12	5	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	2177	33	19	14	18	23	18	31	26	22	3	26	15	21	33	25	18	15	31	48	47	49	13	38	22	22	37	15	34	36	25	24	29	14	14	12	13	30	14	22	22	20	21	22	15	28	13	28	15	22	14	25	17	27	33	22	21	25	33	45	28	39	32	40	27	19	33	30	17	23	49	41	18	22	45	38	42	37	31	35	23	25	16	43	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	1	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																																																																																																										
18	. Глазьев Сергей Юрьевич	3356	25	17	25	20	32	19	23	19	17	18	14	15	37	46	39	16	29	25	42	35	58	23	44	33	39	41	37	52	48	59	43	46	30	30	20	32	24	27	35	43	46	22	39	42	38	37	36	40	36	38	49	38	41	52	45	25	32	45	45	58	59	35	56	47	43	35	67	24	61	66	38	39	48	58	37	60	91	50	64	57	61	43	46	3	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	1	1	2	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	7	5	3	0	7	0	5	0	0	1	0	0	3	1	4	1	5	1	0	2	1	0	1	0	0	1	0	1	0					
		3.98%	2.98%	2.53%	4.65%	3.34%	4.62%	2.41%	2.64%	3.06%	2.72%	1.68%	3.44%	2.45%	4.70%	5.82%	4.36%	2.97%	3.99%	3.07%	4.06%	4.03%	5.52%	5.05%	4.03%	3.86%	5.81%	4.25%	4.32%	4.60%	4.73%	4.89%	4.71%	4.74%	4.09%	4.12%	3.77%	3.67%	2.65%	6.14%	3.57%	4.45%	4.02%	2.44%	3.78%	4.18%	3.96%	4.58%	3.72%	4.05%	3.42%	3.43%	4.73%	4.06%	4.25%	3.73%	3.96%	2.37%	3.88%	3.78%	3.40%	4.77%	3.97%	3.43%	3.83%	4.24%	3.55%	3.05%	5.08%	2.49%	4.65%	4.56%	3.46%	3.63%	4.03%	4.41%	3.09%	3.92%	5.68%	3.64%	4.02%	5.29%	4.94%	3.56%	3.54%	1.33%	1.77%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	18.18%	0.00%	10.00%	9.09%	8.33%	22.22%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	10.00%	10.00%	0.00%	0.00%	0.00%	6.25%	0.00%	9.09%	0.00%	0.00%	18.18%	8.33%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	9.09%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	18.18%	9.09%	9.09%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	4.76%	4.35%	0.00%	10.00%	7.14%	0.00%	12.73%	7.25%	20.00%	0.00%	100.00%	0.00%	100.00%	0.00%	0.00%	2.17%	0.00%	0.00%	13.64%	4.00%	16.67%	5.56%	20.00%	8.33%	0.00%	16.67%	9.09%	0.00%	8.33%	0.00%	0.00%	8.33%	0.00%	9.09%	0.00%					
19	. Малышкин Олег Александрович	672	11	6	8	4	9	6	10	7	2	8	1	7	4	7	5	5	4	6	8	11	11	1	3	15	6	4	5	6	8	11	3	11	6	3	3	7	7	2	2	4	8	5	10	17	10	13	7	7	11	8	3	6	9	15	11	11	8	8	9	10	8	8	6	8	10	5	5	5	5	12	7	9	12	13	12	13	13	9	14	8	5	9	12	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	3	0	0	0	1	2	3	0	0	1	0	0	0	0	0	0	1	2	0					
		0.80%	1.31%	0.89%	1.49%	0.67%	1.30%	0.76%	1.15%	1.13%	0.32%	0.75%	0.25%	1.15%	0.51%	0.89%	0.56%	0.93%	0.55%	0.74%	0.77%	1.27%	1.05%	0.22%	0.27%	1.76%	0.89%	0.41%	0.58%	0.53%	0.79%	0.91%	0.33%	1.13%	0.82%	0.41%	0.56%	0.80%	0.77%	0.45%	0.20%	0.41%	0.70%	0.55%	0.97%	1.69%	1.04%	1.61%	0.72%	0.71%	1.05%	0.72%	0.29%	0.64%	0.93%	1.08%	0.97%	1.04%	0.97%	0.67%	0.68%	0.82%	0.54%	0.78%	0.41%	0.72%	0.83%	0.44%	0.38%	0.52%	0.38%	0.83%	0.64%	0.84%	1.01%	0.99%	1.00%	0.85%	0.81%	0.66%	0.88%	0.74%	0.41%	0.75%	0.92%	1.33%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.45%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	23.08%	0.00%	0.00%	0.00%	4.17%	11.11%	12.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	18.18%	0.00%					
