Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Альметьевская городская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1905	41	43	35	15	31	36	43	43	31	41	31	33	36	36	31	34	33	24	26	33	25	0	42	15	14	39	42	32	40	33	38	39	29	41	29	35	29	31	30	31	42	40	40	35	37	39	36	37	33	44	49	24	24	30	0	40	27	28	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1090	14	25	15	8	6	17	8	16	28	30	20	20	32	17	17	18	21	24	22	25	21	0	16	14	9	17	38	25	25	17	16	12	12	32	17	24	16	20	15	26	27	19	17	11	22	10	16	29	13	19	39	2	12	14	0	36	27	19	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	475	4	9	37	5	1	6	10	20	5	6	6	9	4	6	4	11	5	8	12	15	13	51	3	2	3	9	8	5	10	6	6	7	2	4	3	7	4	2	9	1	7	10	9	3	2	9	5	4	2	14	10	9	3	17	0	9	22	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	815	27	18	20	7	25	19	35	27	3	11	11	13	4	19	14	16	12	0	4	8	4	0	26	1	5	22	4	7	15	16	22	27	17	9	12	11	13	11	15	5	15	21	23	24	15	29	20	8	20	25	10	22	12	16	0	4	0	9	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2488	10	44	64	2	28	54	10	41	35	110	27	8	35	14	50	7	32	4	36	20	48	2	53	5	10	58	55	35	31	73	57	21	71	60	19	212	15	8	47	19	15	259	52	2	48	10	8	21	31	10	48	41	28	47	1	193	82	44	18					
		2.64%	0.50%	2.04%	3.66%	0.25%	1.68%	3.10%	0.43%	2.01%	2.33%	5.50%	1.81%	0.53%	1.98%	0.77%	3.55%	0.39%	1.99%	0.33%	3.53%	1.26%	3.98%	0.58%	2.54%	0.67%	1.34%	2.96%	2.84%	2.26%	1.65%	4.64%	3.17%	1.05%	5.32%	3.02%	1.35%	13.01%	1.09%	0.51%	3.42%	1.26%	0.75%	14.14%	2.61%	0.11%	2.43%	0.54%	0.45%	1.07%	1.91%	0.48%	2.05%	3.31%	2.13%	3.06%	0.48%	8.58%	5.74%	3.15%	3.73%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2583	9	88	29	1	34	38	35	54	55	18	41	29	18	127	44	34	17	56	7	14	36	1	34	22	35	19	4	49	22	28	57	21	53	40	24	152	51	72	4	7	18	130	48	37	30	40	71	32	34	72	101	34	31	79	0	224	65	31	27					
		2.74%	0.45%	4.09%	1.66%	0.12%	2.04%	2.18%	1.52%	2.65%	3.65%	0.90%	2.74%	1.91%	1.02%	7.00%	3.12%	1.92%	1.06%	4.62%	0.69%	0.88%	2.99%	0.29%	1.63%	2.95%	4.67%	0.97%	0.21%	3.16%	1.17%	1.78%	3.17%	1.05%	3.97%	2.01%	1.71%	9.33%	3.71%	4.63%	0.29%	0.47%	0.89%	7.10%	2.40%	2.01%	1.52%	2.15%	3.99%	1.63%	2.10%	3.46%	4.31%	2.75%	2.36%	5.15%	0.00%	9.96%	4.55%	2.22%	5.60%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	359	6	16	2	1	0	4	0	6	5	4	6	5	9	3	7	3	4	1	6	1	7	0	12	7	4	6	2	1	7	2	6	2	12	6	2	11	9	6	2	4	1	14	1	8	7	5	3	20	16	10	8	7	11	8	0	34	5	3	1					
		0.38%	0.30%	0.74%	0.11%	0.12%	0.00%	0.23%	0.00%	0.29%	0.33%	0.20%	0.40%	0.33%	0.51%	0.17%	0.50%	0.17%	0.25%	0.08%	0.59%	0.06%	0.58%	0.00%	0.58%	0.94%	0.53%	0.31%	0.10%	0.06%	0.37%	0.13%	0.33%	0.10%	0.90%	0.30%	0.14%	0.68%	0.65%	0.39%	0.15%	0.27%	0.05%	0.76%	0.05%	0.44%	0.35%	0.27%	0.17%	1.02%	0.99%	0.48%	0.34%	0.57%	0.84%	0.52%	0.00%	1.51%	0.35%	0.21%	0.21%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11037	296	255	191	97	93	228	341	350	174	220	209	217	175	101	169	213	193	105	118	258	181	4	198	87	76	82	229	212	259	132	198	227	122	193	158	347	109	167	188	192	150	375	241	195	259	185	267	254	128	287	246	64	101	77	3	472	124	183	62					
		11.70%	14.73%	11.85%	10.93%	12.09%	5.58%	13.10%	14.76%	17.19%	11.56%	11.00%	13.98%	14.32%	9.89%	5.57%	11.99%	12.01%	11.99%	8.66%	11.58%	16.30%	15.02%	1.16%	9.51%	11.68%	10.15%	4.18%	11.83%	13.69%	13.80%	8.40%	11.02%	11.39%	9.15%	9.71%	11.25%	21.30%	7.93%	10.73%	13.68%	12.77%	7.46%	20.47%	12.07%	10.62%	13.13%	9.92%	14.99%	12.97%	7.89%	13.80%	10.49%	5.17%	7.70%	5.02%	1.43%	20.98%	8.68%	13.08%	12.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	466	5	2	3	1	5	4	7	10	15	4	5	9	17	2	13	3	3	8	13	3	10	0	2	4	0	6	2	15	4	15	18	3	3	8	2	25	15	4	1	3	5	20	3	3	5	0	3	16	17	3	22	1	7	12	0	62	14	0	1					
		0.49%	0.25%	0.09%	0.17%	0.12%	0.30%	0.23%	0.30%	0.49%	0.99%	0.20%	0.33%	0.59%	0.96%	0.11%	0.92%	0.17%	0.19%	0.66%	1.28%	0.19%	0.83%	0.00%	0.10%	0.54%	0.00%	0.31%	0.10%	0.97%	0.21%	0.95%	1.00%	0.15%	0.22%	0.40%	0.14%	1.53%	1.09%	0.26%	0.07%	0.20%	0.25%	1.09%	0.15%	0.16%	0.25%	0.00%	0.17%	0.82%	1.05%	0.14%	0.94%	0.08%	0.53%	0.78%	0.00%	2.76%	0.98%	0.00%	0.21%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	76270	1677	1710	1439	694	1490	1393	1917	1561	1212	1637	1191	1232	1488	1559	1115	1510	1349	1030	832	1283	915	328	1725	604	615	1778	1619	1218	1529	1297	1455	1708	1068	1678	1169	812	1150	1276	1126	1251	1795	980	1649	1580	1608	1607	1425	1570	1366	1663	1901	1076	1095	1290	206	1218	1108	1120	373					
		80.88%	83.47%	79.46%	82.32%	86.53%	89.38%	80.01%	82.99%	76.67%	80.53%	81.85%	79.67%	81.32%	84.12%	85.99%	79.08%	85.12%	83.79%	84.98%	81.65%	81.05%	75.93%	94.80%	82.81%	81.07%	82.11%	90.71%	83.67%	78.63%	81.46%	82.51%	81.01%	85.70%	80.06%	84.41%	83.26%	49.85%	83.64%	82.01%	81.95%	83.23%	89.21%	53.49%	82.62%	86.01%	81.50%	86.21%	80.01%	80.18%	84.22%	79.99%	81.10%	86.91%	83.46%	84.04%	98.10%	54.13%	77.59%	80.06%	77.39%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	277	2	6	9	0	1	4	0	5	6	2	0	5	9	1	1	4	8	1	4	2	7	1	3	8	0	5	3	7	6	4	5	4	2	3	1	15	8	5	1	2	0	10	0	8	4	0	4	13	16	8	13	3	10	10	0	12	5	1	0					
		0.29%	0.10%	0.28%	0.51%	0.00%	0.06%	0.23%	0.00%	0.25%	0.40%	0.10%	0.00%	0.33%	0.51%	0.06%	0.07%	0.23%	0.50%	0.08%	0.39%	0.13%	0.58%	0.29%	0.14%	1.07%	0.00%	0.26%	0.16%	0.45%	0.32%	0.25%	0.28%	0.20%	0.15%	0.15%	0.07%	0.92%	0.58%	0.32%	0.07%	0.13%	0.00%	0.55%	0.00%	0.44%	0.20%	0.00%	0.22%	0.66%	0.99%	0.38%	0.55%	0.24%	0.76%	0.65%	0.00%	0.53%	0.35%	0.07%	0.00%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
