Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1890	35	35	35	35	35	35	35	35	35	35	20	35	35	35	35	35	35	35	20	35	35	35	35	35	35	35	35	35	35	35	15	35	35	0	35	35	35	35	35	0	35	15	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	681	4	16	8	8	7	21	14	16	10	15	5	5	5	9	13	10	9	5	1	9	20	22	10	23	14	10	13	19	13	20	1	9	18	0	7	17	7	11	20	0	14	1	16	17	12	16	5	8	7	13	9	12	15	8	20	17	24	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	404	2	3	5	5	11	7	3	7	9	6	2	0	6	3	0	6	38	3	4	7	9	13	9	12	7	1	7	16	7	10	4	12	5	0	1	9	22	3	3	0	10	6	2	5	12	5	0	5	8	8	5	9	7	2	4	6	14	19									
14	Число погашенных неиспользованных открепительных удостоверений	1209	31	19	27	27	28	14	21	19	25	20	15	30	30	26	22	25	26	30	19	26	15	13	25	12	21	25	22	16	22	15	14	26	17	0	28	18	28	24	15	0	21	14	19	18	23	19	30	27	28	22	26	23	20	27	15	18	11	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	0	1	2	1	0	3	2	2	1	2	0	0	0	2	0	0	0	0	1	0	0	0	4	0	3	1	2	1	3	1	0	1	1	0	0	0	2	2	1	0	0	0	1	1	0	2	0	0	1	3	0	0	1	1	1	1	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	868	25	36	25	17	14	39	21	20	24	25	8	20	20	11	18	12	10	7	6	8	8	15	16	13	15	16	11	8	14	15	2	16	18	8	9	10	6	25	20	10	8	2	12	16	16	12	7	9	16	7	11	16	25	7	25	23	8	27									
		2.50%	7.74%	3.95%	4.48%	3.58%	2.19%	4.06%	2.56%	4.05%	4.40%	2.60%	2.16%	5.03%	2.52%	1.87%	3.91%	1.78%	1.56%	1.83%	1.88%	1.15%	1.66%	3.69%	3.49%	2.33%	3.25%	3.95%	1.33%	1.00%	1.51%	1.58%	1.32%	4.44%	2.00%	1.31%	2.16%	1.41%	0.65%	2.46%	3.44%	3.08%	2.02%	0.88%	2.30%	3.01%	3.02%	2.68%	2.08%	1.88%	3.45%	1.75%	2.93%	1.74%	2.78%	0.82%	2.01%	4.21%	1.34%	3.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	872	9	27	17	13	10	26	21	16	15	27	5	10	7	7	26	13	28	17	16	9	21	7	17	13	8	18	12	11	18	10	7	7	25	23	35	13	12	13	18	23	10	4	18	12	14	13	5	20	14	10	14	12	20	10	21	16	11	18									
		2.51%	2.79%	2.96%	3.05%	2.74%	1.56%	2.71%	2.56%	3.24%	2.75%	2.81%	1.35%	2.51%	0.88%	1.19%	5.65%	1.93%	4.38%	4.45%	5.00%	1.29%	4.37%	1.72%	3.70%	2.33%	1.74%	4.44%	1.45%	1.38%	1.94%	1.05%	4.64%	1.94%	2.78%	3.76%	8.39%	1.83%	1.29%	1.28%	3.09%	7.08%	2.52%	1.75%	3.45%	2.26%	2.65%	2.90%	1.49%	4.17%	3.02%	2.51%	3.73%	1.31%	2.23%	1.18%	1.69%	2.93%	1.84%	2.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	645	1	11	10	9	4	19	10	14	18	12	3	8	12	11	17	6	11	5	3	3	17	6	8	9	16	7	11	14	14	16	4	7	5	14	12	9	7	67	18	15	9	3	9	14	4	12	6	9	8	7	7	8	18	16	10	15	13	14									
		1.85%	0.31%	1.21%	1.79%	1.89%	0.63%	1.98%	1.22%	2.83%	3.30%	1.25%	0.81%	2.01%	1.51%	1.87%	3.70%	0.89%	1.72%	1.31%	0.94%	0.43%	3.53%	1.47%	1.74%	1.61%	3.47%	1.73%	1.33%	1.75%	1.51%	1.69%	2.65%	1.94%	0.56%	2.29%	2.88%	1.27%	0.76%	6.59%	3.09%	4.62%	2.27%	1.32%	1.73%	2.63%	0.76%	2.68%	1.79%	1.88%	1.72%	1.75%	1.87%	0.87%	2.00%	1.88%	0.81%	2.75%	2.18%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18633	176	520	235	173	406	564	486	158	192	560	240	136	528	351	202	405	438	222	138	489	191	189	143	233	165	153	574	580	616	631	69	119	601	428	210	471	684	683	190	136	144	58	217	182	231	150	138	159	153	136	127	622	541	521	787	193	272	317									
		53.56%	54.49%	57.08%	42.11%	36.42%	63.54%	58.75%	59.27%	31.98%	35.23%	58.21%	64.86%	34.17%	66.42%	59.80%	43.91%	60.00%	68.54%	58.12%	43.13%	70.16%	39.71%	46.44%	31.15%	41.68%	35.79%	37.78%	69.32%	72.50%	66.31%	66.49%	45.70%	33.06%	66.78%	69.93%	50.36%	66.43%	73.79%	67.22%	32.65%	41.85%	36.27%	25.44%	41.65%	34.21%	43.67%	33.48%	41.07%	33.13%	32.97%	34.09%	33.87%	67.68%	60.24%	61.22%	63.42%	35.35%	45.56%	42.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	216	2	2	0	3	4	3	9	8	5	5	1	4	4	3	7	5	2	5	1	1	4	6	9	6	0	2	1	6	2	2	0	5	8	4	1	5	1	5	5	2	4	0	1	4	1	3	2	1	3	6	4	5	1	3	10	5	7	8									
		0.62%	0.62%	0.22%	0.00%	0.63%	0.63%	0.31%	1.10%	1.62%	0.92%	0.52%	0.27%	1.01%	0.50%	0.51%	1.52%	0.74%	0.31%	1.31%	0.31%	0.14%	0.83%	1.47%	1.96%	1.07%	0.00%	0.49%	0.12%	0.75%	0.22%	0.21%	0.00%	1.39%	0.89%	0.65%	0.24%	0.71%	0.11%	0.49%	0.86%	0.62%	1.01%	0.00%	0.19%	0.75%	0.19%	0.67%	0.60%	0.21%	0.65%	1.50%	1.07%	0.54%	0.11%	0.35%	0.81%	0.92%	1.17%	1.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	42	1	1	0	2	0	0	0	1	0	1	1	1	2	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	2	2	0	0	2	0	0	0	1	0	2	1	3	0	0	0	2	0	0	0	1	1	1	0	2	0	2	3	0	2									
		0.12%	0.31%	0.11%	0.00%	0.42%	0.00%	0.00%	0.00%	0.20%	0.00%	0.10%	0.27%	0.25%	0.25%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.13%	0.22%	0.21%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.11%	0.00%	0.34%	0.31%	0.76%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.22%	0.25%	0.27%	0.00%	0.22%	0.00%	0.16%	0.55%	0.00%	0.27%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3428	32	86	75	65	62	72	54	65	63	80	27	63	62	58	51	55	43	46	47	42	57	52	54	54	65	55	57	45	74	68	16	42	61	41	39	57	70	69	94	39	63	18	60	54	66	51	49	59	62	57	65	76	54	84	97	67	79	110									
		9.85%	9.91%	9.44%	13.44%	13.68%	9.70%	7.50%	6.59%	13.16%	11.56%	8.32%	7.30%	15.83%	7.80%	9.88%	11.09%	8.15%	6.73%	12.04%	14.69%	6.03%	11.85%	12.78%	11.76%	9.66%	14.10%	13.58%	6.88%	5.63%	7.97%	7.17%	10.60%	11.67%	6.78%	6.70%	9.35%	8.04%	7.55%	6.79%	16.15%	12.00%	15.87%	7.89%	11.52%	10.15%	12.48%	11.38%	14.58%	12.29%	13.36%	14.29%	17.33%	8.27%	6.01%	9.87%	7.82%	12.27%	13.23%	14.84%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	354	0	8	0	0	0	10	3	5	10	4	3	15	4	8	6	7	6	4	3	1	9	4	6	9	7	2	6	6	9	9	0	10	7	0	4	3	8	9	11	15	6	1	4	6	11	5	1	4	3	13	3	5	10	7	15	10	8	11									
		1.02%	0.00%	0.88%	0.00%	0.00%	0.00%	1.04%	0.37%	1.01%	1.83%	0.42%	0.81%	3.77%	0.50%	1.36%	1.30%	1.04%	0.94%	1.05%	0.94%	0.14%	1.87%	0.98%	1.31%	1.61%	1.52%	0.49%	0.72%	0.75%	0.97%	0.95%	0.00%	2.78%	0.78%	0.00%	0.96%	0.42%	0.86%	0.89%	1.89%	4.62%	1.51%	0.44%	0.77%	1.13%	2.08%	1.12%	0.30%	0.83%	0.65%	3.26%	0.80%	0.54%	1.11%	0.82%	1.21%	1.83%	1.34%	1.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	405	2	9	7	9	5	2	10	10	11	10	5	14	11	7	2	5	5	4	2	1	4	7	10	10	4	8	10	5	5	7	0	13	10	2	7	10	8	11	12	6	3	0	6	8	5	6	4	0	11	7	4	5	7	15	9	10	13	12									
		1.16%	0.62%	0.99%	1.25%	1.89%	0.78%	0.21%	1.22%	2.02%	2.02%	1.04%	1.35%	3.52%	1.38%	1.19%	0.43%	0.74%	0.78%	1.05%	0.63%	0.14%	0.83%	1.72%	2.18%	1.79%	0.87%	1.98%	1.21%	0.63%	0.54%	0.74%	0.00%	3.61%	1.11%	0.33%	1.68%	1.41%	0.86%	1.08%	2.06%	1.85%	0.76%	0.00%	1.15%	1.50%	0.95%	1.34%	1.19%	0.00%	2.37%	1.75%	1.07%	0.54%	0.78%	1.76%	0.73%	1.83%	2.18%	1.62%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	60	1	0	0	0	2	0	0	1	1	0	0	0	0	1	4	1	2	1	1	1	1	1	3	1	0	2	2	1	1	2	0	1	1	0	1	0	0	1	0	2	1	0	0	0	1	6	0	12	0	0	1	0	0	0	0	0	1	2									
		0.17%	0.31%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.20%	0.18%	0.00%	0.00%	0.00%	0.00%	0.17%	0.87%	0.15%	0.31%	0.26%	0.31%	0.14%	0.21%	0.25%	0.65%	0.18%	0.00%	0.49%	0.24%	0.13%	0.11%	0.21%	0.00%	0.28%	0.11%	0.00%	0.24%	0.00%	0.00%	0.10%	0.00%	0.62%	0.25%	0.00%	0.00%	0.00%	0.19%	1.34%	0.00%	2.50%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.27%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	670	6	10	11	9	13	16	17	7	18	18	11	15	9	6	10	13	15	5	3	6	8	5	7	10	17	15	6	3	9	12	1	13	14	5	12	13	10	15	17	8	10	1	15	11	11	10	6	12	13	21	20	12	23	14	16	17	18	22									
		1.93%	1.86%	1.10%	1.97%	1.89%	2.03%	1.67%	2.07%	1.42%	3.30%	1.87%	2.97%	3.77%	1.13%	1.02%	2.17%	1.93%	2.35%	1.31%	0.94%	0.86%	1.66%	1.23%	1.53%	1.79%	3.69%	3.70%	0.72%	0.38%	0.97%	1.26%	0.66%	3.61%	1.56%	0.82%	2.88%	1.83%	1.08%	1.48%	2.92%	2.46%	2.52%	0.44%	2.88%	2.07%	2.08%	2.23%	1.79%	2.50%	2.80%	5.26%	5.33%	1.31%	2.56%	1.65%	1.29%	3.11%	3.02%	2.97%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5365	44	127	108	118	68	129	102	105	121	109	35	73	87	71	80	93	48	45	75	85	90	75	131	159	95	73	74	62	89	99	33	88	88	53	56	52	66	80	107	37	92	130	124	150	109	131	73	131	108	85	72	88	120	126	151	115	106	124									
		15.42%	13.62%	13.94%	19.35%	24.84%	10.64%	13.44%	12.44%	21.26%	22.20%	11.33%	9.46%	18.34%	10.94%	12.10%	17.39%	13.78%	7.51%	11.78%	23.44%	12.20%	18.71%	18.43%	28.54%	28.44%	20.61%	18.02%	8.94%	7.75%	9.58%	10.43%	21.85%	24.44%	9.78%	8.66%	13.43%	7.33%	7.12%	7.87%	18.38%	11.38%	23.17%	57.02%	23.80%	28.20%	20.60%	29.24%	21.73%	27.29%	23.28%	21.30%	19.20%	9.58%	13.36%	14.81%	12.17%	21.06%	17.76%	16.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	114	2	4	2	0	0	1	5	3	2	2	0	3	1	1	3	5	0	0	0	0	2	2	5	4	1	3	4	1	2	4	1	3	1	2	0	3	0	2	4	0	1	0	4	4	2	1	1	2	2	2	2	6	1	0	3	3	1	1									
		0.33%	0.62%	0.44%	0.36%	0.00%	0.00%	0.10%	0.61%	0.61%	0.37%	0.21%	0.00%	0.75%	0.13%	0.17%	0.65%	0.74%	0.00%	0.00%	0.00%	0.00%	0.42%	0.49%	1.09%	0.72%	0.22%	0.74%	0.48%	0.13%	0.22%	0.42%	0.66%	0.83%	0.11%	0.33%	0.00%	0.42%	0.00%	0.20%	0.69%	0.00%	0.25%	0.00%	0.77%	0.75%	0.38%	0.22%	0.30%	0.42%	0.43%	0.50%	0.53%	0.65%	0.11%	0.00%	0.24%	0.55%	0.17%	0.13%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2508	14	59	63	45	39	65	66	65	43	99	24	30	37	38	32	54	30	20	18	42	53	30	45	34	51	35	54	31	58	54	16	27	38	24	20	49	50	28	71	25	36	6	33	58	52	46	28	51	52	36	36	54	61	37	81	57	50	58									
		7.21%	4.33%	6.48%	11.29%	9.47%	6.10%	6.77%	8.05%	13.16%	7.89%	10.29%	6.49%	7.54%	4.65%	6.47%	6.96%	8.00%	4.69%	5.24%	5.63%	6.03%	11.02%	7.37%	9.80%	6.08%	11.06%	8.64%	6.52%	3.88%	6.24%	5.69%	10.60%	7.50%	4.22%	3.92%	4.80%	6.91%	5.39%	2.76%	12.20%	7.69%	9.07%	2.63%	6.33%	10.90%	9.83%	10.27%	8.33%	10.63%	11.21%	9.02%	9.60%	5.88%	6.79%	4.35%	6.53%	10.44%	8.38%	7.83%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
