Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																				
Дата голосования: 18.09.2016																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Белгородская районная																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																				
																																																																																																				
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №924									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2628	85	15	10	20	40	15	10	25	45	10	1	5	20	20	30	5	20	18	5	50	35	40	45	30	10	50	15	25	25	10	50	45	20	10	55	35	35	25	45	35	35	50	20	35	55	60	55	45	30	15	15	35	35	35	45	54	35	45	45	15	5	10	35	15	20	25	10	10	10	15	20	15	10	35	30	35	40	25	35	30	25	45	30	35	40	55	45	50	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2574	85	15	7	20	40	15	10	25	45	10	1	5	20	20	30	5	18	18	5	50	35	40	45	30	9	50	15	25	25	10	50	45	20	10	55	35	35	17	45	35	35	50	20	35	55	60	55	45	30	15	15	35	35	33	36	54	35	45	45	15	5	10	35	15	20	25	10	10	10	15	17	13	10	27	30	35	40	25	35	21	18	45	30	35	40	55	45	50	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1542	40	11	4	25	9	6	3	12	6	5	0	1	0	6	14	9	19	9	6	39	58	20	44	5	12	4	1	15	7	4	7	3	25	9	23	27	17	9	48	24	45	14	4	83	23	81	34	17	10	8	4	55	20	9	8	31	24	11	25	31	3	4	17	3	2	6	1	3	10	7	5	13	9	5	35	3	11	8	9	3	32	7	30	20	18	54	16	65	20									
14	Число погашенных неиспользованных открепительных удостоверений	54	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	8	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	87	6	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	1	0	0	0	1	0	1	0	0	0	1	2	2	0	0	3	2	3	1	1	0	0	2	5	3	0	1	1	5	1	2	1	3	1	1	2	1	0	0	2	1	0	1	0	0	2	0	0	1	1	0	2	2	1	0	0	0	1	4	0	1	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1132	11	13	0	12	26	12	5	11	11	1	2	3	5	5	10	5	6	0	3	25	31	18	40	4	9	6	3	13	15	3	13	2	15	2	26	13	18	7	16	9	29	12	4	25	17	25	13	14	21	11	9	24	21	9	12	23	19	26	20	6	2	5	14	7	1	1	1	0	11	10	22	23	9	9	4	14	14	12	25	12	12	12	11	25	17	41	16	21	12									
		1.79%	0.84%	2.35%	0.00%	1.74%	3.39%	3.60%	2.46%	1.42%	1.41%	0.43%	0.71%	1.30%	1.27%	0.68%	1.39%	1.30%	1.09%	0.00%	1.52%	1.71%	2.26%	1.41%	2.46%	0.87%	1.42%	0.80%	3.45%	2.08%	1.82%	0.59%	1.09%	0.38%	2.20%	0.73%	2.59%	1.95%	2.45%	1.79%	2.51%	1.82%	3.49%	1.80%	1.58%	2.91%	1.46%	2.38%	1.46%	1.57%	1.85%	1.50%	1.93%	1.90%	2.02%	1.49%	1.49%	1.87%	2.20%	3.11%	1.95%	1.29%	0.73%	0.81%	1.39%	1.56%	0.52%	0.35%	0.98%	0.00%	2.03%	1.56%	2.15%	3.36%	1.47%	1.14%	0.52%	1.56%	1.61%	1.45%	2.24%	1.98%	1.74%	1.62%	3.65%	2.18%	2.13%	2.92%	1.54%	2.14%	1.76%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1341	35	7	0	10	23	4	3	6	21	2	1	4	9	41	21	6	14	8	8	28	26	22	15	11	12	14	5	9	25	11	28	9	16	6	25	15	19	11	13	8	12	22	4	19	24	20	18	21	29	17	7	29	24	13	17	33	12	17	14	15	1	6	34	8	6	5	1	4	10	17	27	20	12	20	22	20	13	12	18	39	14	12	12	19	10	22	15	19	5									
		2.13%	2.66%	1.27%	0.00%	1.45%	3.00%	1.20%	1.48%	0.78%	2.69%	0.87%	0.35%	1.74%	2.28%	5.59%	2.92%	1.55%	2.54%	3.54%	4.04%	1.92%	1.90%	1.73%	0.92%	2.40%	1.90%	1.86%	5.75%	1.44%	3.03%	2.17%	2.34%	1.73%	2.35%	2.19%	2.49%	2.25%	2.58%	2.81%	2.04%	1.62%	1.45%	3.30%	1.58%	2.21%	2.06%	1.91%	2.02%	2.36%	2.55%	2.32%	1.50%	2.29%	2.31%	2.15%	2.11%	2.68%	1.39%	2.04%	1.36%	3.22%	0.36%	0.97%	3.37%	1.78%	3.11%	1.73%	0.98%	1.88%	1.85%	2.65%	2.64%	2.92%	1.95%	2.53%	2.88%	2.23%	1.49%	1.45%	1.61%	6.43%	2.03%	1.62%	3.99%	1.66%	1.25%	1.57%	1.45%	1.94%	0.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1408	19	16	4	22	28	8	2	11	21	4	7	3	5	19	35	11	12	5	5	21	50	28	27	10	8	15	1	13	17	4	30	2	12	5	30	23	15	8	17	12	20	15	4	21	11	22	21	14	32	13	12	34	31	16	16	27	16	27	36	7	3	5	13	6	5	3	2	1	16	14	18	13	20	14	15	16	18	16	29	18	15	28	3	27	16	34	21	26	13									
		2.23%	1.44%	2.89%	3.51%	3.18%	3.66%	2.40%	0.99%	1.42%	2.69%	1.74%	2.47%	1.30%	1.27%	2.59%	4.87%	2.85%	2.17%	2.21%	2.53%	1.44%	3.65%	2.20%	1.66%	2.18%	1.27%	1.99%	1.15%	2.08%	2.06%	0.79%	2.51%	0.38%	1.76%	1.82%	2.99%	3.45%	2.04%	2.05%	2.67%	2.42%	2.41%	2.25%	1.58%	2.44%	0.94%	2.10%	2.36%	1.57%	2.81%	1.78%	2.57%	2.69%	2.98%	2.65%	1.99%	2.20%	1.86%	3.23%	3.50%	1.50%	1.09%	0.81%	1.29%	1.34%	2.59%	1.04%	1.96%	0.47%	2.95%	2.18%	1.76%	1.90%	3.26%	1.77%	1.97%	1.79%	2.07%	1.94%	2.59%	2.97%	2.18%	3.77%	0.99%	2.36%	2.01%	2.42%	2.02%	2.65%	1.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29949	442	253	51	331	295	191	105	404	381	154	128	129	206	310	327	187	229	126	93	883	696	509	936	213	398	498	38	379	374	265	733	386	294	120	364	246	269	174	252	264	324	313	174	388	615	514	406	469	457	281	160	599	499	227	305	534	355	344	440	260	195	449	596	364	95	219	71	166	252	299	500	326	357	328	319	341	359	264	421	247	246	289	113	600	357	627	460	393	399									
		47.47%	33.56%	45.75%	44.74%	47.90%	38.51%	57.36%	51.72%	52.20%	48.78%	66.96%	45.23%	56.09%	52.15%	42.29%	45.48%	48.45%	41.49%	55.75%	46.97%	60.48%	50.77%	39.95%	57.49%	46.51%	62.97%	66.14%	43.68%	60.54%	45.28%	52.17%	61.34%	74.09%	43.11%	43.80%	36.29%	36.88%	36.55%	44.50%	39.56%	53.33%	39.04%	46.93%	68.77%	45.12%	52.79%	48.99%	45.57%	52.70%	40.16%	38.39%	34.26%	47.31%	47.98%	37.58%	37.84%	43.41%	41.18%	41.20%	42.80%	55.79%	71.17%	72.89%	59.01%	81.07%	49.22%	75.78%	69.61%	77.93%	46.49%	46.57%	48.97%	47.59%	58.14%	41.47%	41.81%	38.06%	41.22%	32.00%	37.66%	40.69%	35.76%	38.90%	37.54%	52.36%	44.79%	44.69%	44.32%	40.10%	58.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	610	4	0	0	6	21	4	0	5	7	0	0	2	8	18	2	3	7	2	0	11	16	23	20	3	1	5	2	6	10	3	4	0	7	1	15	7	18	7	13	11	8	1	0	9	6	14	11	9	9	3	5	9	5	6	18	11	10	17	12	2	2	7	7	1	0	0	0	0	2	5	6	5	1	4	9	9	3	10	14	3	13	9	2	3	14	18	13	6	7									
		0.97%	0.30%	0.00%	0.00%	0.87%	2.74%	1.20%	0.00%	0.65%	0.90%	0.00%	0.00%	0.87%	2.03%	2.46%	0.28%	0.78%	1.27%	0.88%	0.00%	0.75%	1.17%	1.81%	1.23%	0.66%	0.16%	0.66%	2.30%	0.96%	1.21%	0.59%	0.33%	0.00%	1.03%	0.36%	1.50%	1.05%	2.45%	1.79%	2.04%	2.22%	0.96%	0.15%	0.00%	1.05%	0.52%	1.33%	1.23%	1.01%	0.79%	0.41%	1.07%	0.71%	0.48%	0.99%	2.23%	0.89%	1.16%	2.04%	1.17%	0.43%	0.73%	1.14%	0.69%	0.22%	0.00%	0.00%	0.00%	0.00%	0.37%	0.78%	0.59%	0.73%	0.16%	0.51%	1.18%	1.00%	0.34%	1.21%	1.25%	0.49%	1.89%	1.21%	0.66%	0.26%	1.76%	1.28%	1.25%	0.61%	1.03%									
24	"6. Политическая партия ""Гражданская Платформа"""	182	8	0	0	1	14	1	0	2	0	2	0	0	4	5	4	0	6	1	0	3	2	7	4	1	1	0	1	3	4	0	0	0	0	0	3	2	1	2	1	0	3	0	0	4	1	2	3	3	1	0	2	5	4	0	2	2	1	7	2	0	0	2	2	0	0	0	0	0	1	2	0	4	1	0	2	3	1	4	4	2	2	1	0	4	4	6	4	5	3									
		0.29%	0.61%	0.00%	0.00%	0.14%	1.83%	0.30%	0.00%	0.26%	0.00%	0.87%	0.00%	0.00%	1.01%	0.68%	0.56%	0.00%	1.09%	0.44%	0.00%	0.21%	0.15%	0.55%	0.25%	0.22%	0.16%	0.00%	1.15%	0.48%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.30%	0.14%	0.51%	0.16%	0.00%	0.36%	0.00%	0.00%	0.47%	0.09%	0.19%	0.34%	0.34%	0.09%	0.00%	0.43%	0.39%	0.38%	0.00%	0.25%	0.16%	0.12%	0.84%	0.19%	0.00%	0.00%	0.32%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.31%	0.00%	0.58%	0.16%	0.00%	0.26%	0.33%	0.11%	0.48%	0.36%	0.33%	0.29%	0.13%	0.00%	0.35%	0.50%	0.43%	0.39%	0.51%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	10956	212	91	28	131	130	59	38	165	158	33	34	53	73	143	126	78	129	40	27	165	182	216	237	81	116	99	21	94	149	71	177	56	144	59	189	109	141	72	99	95	163	145	31	145	194	176	164	164	199	157	108	222	207	143	183	248	158	179	219	76	39	67	126	41	41	33	17	17	97	128	176	127	92	157	134	168	156	108	263	120	130	122	64	147	138	255	160	155	77									
		17.37%	16.10%	16.46%	24.56%	18.96%	16.97%	17.72%	18.72%	21.32%	20.23%	14.35%	12.01%	23.04%	18.48%	19.51%	17.52%	20.21%	23.37%	17.70%	13.64%	11.30%	13.27%	16.95%	14.56%	17.69%	18.35%	13.15%	24.14%	15.02%	18.04%	13.98%	14.81%	10.75%	21.11%	21.53%	18.84%	16.34%	19.16%	18.41%	15.54%	19.19%	19.64%	21.74%	12.25%	16.86%	16.65%	16.78%	18.41%	18.43%	17.49%	21.45%	23.13%	17.54%	19.90%	23.68%	22.70%	20.16%	18.33%	21.44%	21.30%	16.31%	14.23%	10.88%	12.48%	9.13%	21.24%	11.42%	16.67%	7.98%	17.90%	19.94%	17.24%	18.54%	14.98%	19.85%	17.56%	18.75%	17.91%	13.09%	23.52%	19.77%	18.90%	16.42%	21.26%	12.83%	17.31%	18.18%	15.41%	15.82%	11.31%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	382	2	6	0	5	8	0	2	3	3	0	0	0	0	10	6	0	1	0	2	3	19	5	12	1	2	0	2	1	5	0	1	1	4	1	22	1	4	1	6	2	12	3	1	5	10	10	8	1	8	5	7	5	7	0	13	6	7	11	5	3	1	0	2	0	0	0	0	0	2	4	7	2	6	5	2	5	3	3	4	3	3	7	4	3	9	10	9	13	7									
		0.61%	0.15%	1.08%	0.00%	0.72%	1.04%	0.00%	0.99%	0.39%	0.38%	0.00%	0.00%	0.00%	0.00%	1.36%	0.83%	0.00%	0.18%	0.00%	1.01%	0.21%	1.39%	0.39%	0.74%	0.22%	0.32%	0.00%	2.30%	0.16%	0.61%	0.00%	0.08%	0.19%	0.59%	0.36%	2.19%	0.15%	0.54%	0.26%	0.94%	0.40%	1.45%	0.45%	0.40%	0.58%	0.86%	0.95%	0.90%	0.11%	0.70%	0.68%	1.50%	0.39%	0.67%	0.00%	1.61%	0.49%	0.81%	1.32%	0.49%	0.64%	0.36%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.62%	0.69%	0.29%	0.98%	0.63%	0.26%	0.56%	0.34%	0.36%	0.36%	0.49%	0.44%	0.94%	1.33%	0.26%	1.13%	0.71%	0.87%	1.33%	1.03%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	651	17	4	1	9	12	3	1	2	2	3	0	1	1	2	4	1	0	1	0	19	28	24	31	7	1	5	0	5	6	1	4	1	6	6	5	4	12	0	8	3	17	2	0	7	13	13	12	6	15	8	6	16	6	12	23	22	18	17	24	1	1	5	9	0	1	0	0	0	3	2	7	4	2	3	5	10	6	3	20	3	9	6	3	13	8	14	12	8	16									
		1.03%	1.29%	0.72%	0.88%	1.30%	1.57%	0.90%	0.49%	0.26%	0.26%	1.30%	0.00%	0.43%	0.25%	0.27%	0.56%	0.26%	0.00%	0.44%	0.00%	1.30%	2.04%	1.88%	1.90%	1.53%	0.16%	0.66%	0.00%	0.80%	0.73%	0.20%	0.33%	0.19%	0.88%	2.19%	0.50%	0.60%	1.63%	0.00%	1.26%	0.61%	2.05%	0.30%	0.00%	0.81%	1.12%	1.24%	1.35%	0.67%	1.32%	1.09%	1.28%	1.26%	0.58%	1.99%	2.85%	1.79%	2.09%	2.04%	2.33%	0.21%	0.36%	0.81%	0.89%	0.00%	0.52%	0.00%	0.00%	0.00%	0.55%	0.31%	0.69%	0.58%	0.33%	0.38%	0.66%	1.12%	0.69%	0.36%	1.79%	0.49%	1.31%	0.81%	0.99%	1.13%	1.00%	0.99%	1.16%	0.82%	2.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	109	3	0	0	0	14	2	1	1	0	0	0	1	2	2	1	0	0	0	2	1	2	3	0	1	1	0	0	0	1	0	1	1	2	0	0	2	1	1	0	0	5	0	0	1	2	0	2	1	0	1	2	1	2	3	4	3	1	3	0	0	0	0	0	1	1	0	0	0	0	1	5	0	1	0	1	3	0	3	2	2	1	0	0	5	0	1	4	0	1									
		0.17%	0.23%	0.00%	0.00%	0.00%	1.83%	0.60%	0.49%	0.13%	0.00%	0.00%	0.00%	0.43%	0.51%	0.27%	0.14%	0.00%	0.00%	0.00%	1.01%	0.07%	0.15%	0.24%	0.00%	0.22%	0.16%	0.00%	0.00%	0.00%	0.12%	0.00%	0.08%	0.19%	0.29%	0.00%	0.00%	0.30%	0.14%	0.26%	0.00%	0.00%	0.60%	0.00%	0.00%	0.12%	0.17%	0.00%	0.22%	0.11%	0.00%	0.14%	0.43%	0.08%	0.19%	0.50%	0.50%	0.24%	0.12%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.52%	0.00%	0.00%	0.00%	0.00%	0.16%	0.49%	0.00%	0.16%	0.00%	0.13%	0.33%	0.00%	0.36%	0.18%	0.33%	0.15%	0.00%	0.00%	0.44%	0.00%	0.07%	0.39%	0.00%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	655	15	3	0	5	9	1	3	5	6	1	64	2	0	3	7	1	7	3	2	24	19	15	22	3	6	0	1	5	5	3	4	2	10	0	9	4	10	1	6	4	16	3	2	8	10	7	10	6	8	8	5	16	11	2	14	12	20	17	12	4	1	5	11	1	3	0	0	0	4	6	8	7	6	4	2	7	3	4	11	6	11	8	4	13	7	16	6	10	10									
		1.04%	1.14%	0.54%	0.00%	0.72%	1.17%	0.30%	1.48%	0.65%	0.77%	0.43%	22.61%	0.87%	0.00%	0.41%	0.97%	0.26%	1.27%	1.33%	1.01%	1.64%	1.39%	1.18%	1.35%	0.66%	0.95%	0.00%	1.15%	0.80%	0.61%	0.59%	0.33%	0.38%	1.47%	0.00%	0.90%	0.60%	1.36%	0.26%	0.94%	0.81%	1.93%	0.45%	0.79%	0.93%	0.86%	0.67%	1.12%	0.67%	0.70%	1.09%	1.07%	1.26%	1.06%	0.33%	1.74%	0.98%	2.32%	2.04%	1.17%	0.86%	0.36%	0.81%	1.09%	0.22%	1.55%	0.00%	0.00%	0.00%	0.74%	0.93%	0.78%	1.02%	0.98%	0.51%	0.26%	0.78%	0.34%	0.48%	0.98%	0.99%	1.60%	1.08%	1.33%	1.13%	0.88%	1.14%	0.58%	1.02%	1.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9409	153	79	7	102	119	28	28	100	109	22	31	20	46	116	99	67	93	28	42	153	196	224	157	85	41	69	9	65	133	112	137	44	114	52	168	123	126	69	107	57	121	111	20	180	170	162	133	98	285	144	101	177	154	123	125	190	173	116	176	57	17	37	124	17	19	17	4	14	100	100	156	114	65	150	135	158	168	174	177	97	141	128	53	150	140	197	154	193	64									
		14.91%	11.62%	14.29%	6.14%	14.76%	15.54%	8.41%	13.79%	12.92%	13.96%	9.57%	10.95%	8.70%	11.65%	15.83%	13.77%	17.36%	16.85%	12.39%	21.21%	10.48%	14.30%	17.58%	9.64%	18.56%	6.49%	9.16%	10.34%	10.38%	16.10%	22.05%	11.46%	8.45%	16.72%	18.98%	16.75%	18.44%	17.12%	17.65%	16.80%	11.52%	14.58%	16.64%	7.91%	20.93%	14.59%	15.44%	14.93%	11.01%	25.04%	19.67%	21.63%	13.98%	14.81%	20.36%	15.51%	15.45%	20.07%	13.89%	17.12%	12.23%	6.20%	6.01%	12.28%	3.79%	9.84%	5.88%	3.92%	6.57%	18.45%	15.58%	15.28%	16.64%	10.59%	18.96%	17.69%	17.63%	19.29%	21.09%	15.83%	15.98%	20.49%	17.23%	17.61%	13.09%	17.57%	14.04%	14.84%	19.69%	9.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	253	1	0	0	1	10	3	1	3	5	0	1	0	1	9	5	3	4	2	0	2	7	11	5	3	1	1	0	0	2	0	2	2	0	0	5	1	2	1	5	2	4	3	0	1	4	2	7	2	4	6	4	7	2	4	6	1	4	6	6	2	3	0	4	0	0	0	0	0	4	3	8	2	1	0	6	4	2	3	5	2	4	5	0	2	3	9	3	4	0									
