Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Канашская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	768	17	20	13	3	7	8	11	5	4	6	11	7	2	13	10	8	68	10	4	17	14	3	4	20	5	4	12	5	11	2	11	7	6	6	7	6	16	7	7	5	7	22	25	5	29	12	9	31	9	11	5	17	12	20	9	7	9	7	14	5	20	6	14	7	11	10	12	5	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	186	1	1	1	0	0	0	2	1	0	2	2	0	0	0	1	1	11	0	0	9	6	1	0	3	0	0	2	0	3	0	4	7	0	4	1	0	1	0	7	1	0	5	2	0	6	0	3	22	0	0	3	3	0	13	4	0	9	1	12	1	20	2	0	0	1	3	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	110	6	2	2	0	2	4	1	2	0	0	2	1	0	3	2	0	5	1	2	0	2	1	2	4	0	0	0	2	1	1	1	4	2	1	0	1	3	2	2	3	0	1	0	0	2	0	0	0	1	2	2	3	5	7	4	5	4	2	1	1	1	0	0	0	0	0	1	0	1					
14	Число погашенных открепительных удостоверений	582	16	19	12	3	7	8	9	4	4	4	9	7	2	13	9	7	57	10	4	8	8	2	4	17	5	4	10	5	8	2	7	0	6	2	6	6	15	7	0	4	7	17	23	5	23	12	6	9	9	11	2	14	12	7	5	7	0	6	2	4	0	4	14	7	10	7	12	3	14					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	"1. ""ЕДИНЕНИЕ"""	497	23	13	12	2	5	5	12	2	3	4	14	11	3	6	11	5	37	2	4	6	17	0	1	13	1	3	3	1	5	2	9	2	2	3	2	4	9	9	7	5	1	18	16	3	16	4	2	10	7	7	10	5	9	22	11	5	7	5	12	0	9	5	7	3	6	3	4	3	9					
		2.72%	4.90%	2.69%	3.68%	2.19%	2.76%	2.80%	4.34%	1.36%	2.77%	2.81%	5.22%	5.11%	3.22%	1.86%	4.60%	2.63%	2.63%	0.84%	3.50%	1.56%	5.15%	0.0%	0.96%	2.95%	0.76%	2.56%	1.28%	0.86%	2.20%	3.17%	3.58%	1.39%	1.12%	1.98%	1.17%	2.25%	2.45%	5.32%	4.14%	3.08%	0.64%	3.55%	3.61%	2.5%	2.60%	1.37%	1.11%	1.57%	3.05%	2.39%	8.06%	1.24%	3.22%	3.97%	4.41%	3.03%	2.62%	2.67%	4.02%	0.0%	2.06%	3.44%	2.08%	2.08%	2.26%	1.35%	1.04%	2.22%	2.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	378	9	13	13	1	12	8	6	0	0	3	5	1	4	14	3	1	14	3	3	9	2	3	2	2	0	1	3	4	6	1	1	4	3	9	3	2	9	4	7	2	1	26	26	3	12	9	2	7	6	3	1	7	4	9	8	8	2	9	4	5	10	1	1	2	10	1	5	1	5					
		2.07%	1.91%	2.69%	3.98%	1.09%	6.62%	4.49%	2.17%	0.0%	0.0%	2.11%	1.86%	0.46%	4.30%	4.34%	1.25%	0.52%	0.99%	1.26%	2.63%	2.34%	0.60%	4.34%	1.92%	0.45%	0.0%	0.85%	1.28%	3.47%	2.64%	1.58%	0.39%	2.79%	1.68%	5.96%	1.76%	1.12%	2.45%	2.36%	4.14%	1.23%	0.64%	5.12%	5.88%	2.5%	1.95%	3.10%	1.11%	1.10%	2.62%	1.02%	0.80%	1.74%	1.43%	1.62%	3.21%	4.84%	0.74%	4.81%	1.34%	3.18%	2.29%	0.68%	0.29%	1.38%	3.77%	0.45%	1.30%	0.74%	1.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	276	9	10	6	1	5	1	1	1	1	4	2	3	2	9	1	2	21	1	6	4	7	1	1	0	4	1	4	0	0	2	4	3	6	1	2	0	2	4	3	2	0	14	12	2	7	2	1	9	2	11	0	5	2	10	2	6	8	6	1	3	4	5	3	2	2	4	7	4	5					
		1.51%	1.91%	2.07%	1.84%	1.09%	2.76%	0.56%	0.36%	0.68%	0.92%	2.81%	0.74%	1.39%	2.15%	2.79%	0.41%	1.05%	1.49%	0.42%	5.26%	1.04%	2.12%	1.44%	0.96%	0.0%	3.05%	0.85%	1.70%	0.0%	0.0%	3.17%	1.59%	2.09%	3.37%	0.66%	1.17%	0.0%	0.54%	2.36%	1.77%	1.23%	0.0%	2.76%	2.71%	1.66%	1.14%	0.68%	0.55%	1.41%	0.87%	3.76%	0.0%	1.24%	0.71%	1.80%	0.80%	3.63%	2.99%	3.20%	0.33%	1.91%	0.91%	3.44%	0.89%	1.38%	0.75%	1.80%	1.82%	2.96%	1.27%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	386	9	4	13	1	7	4	4	4	1	2	4	6	0	8	6	4	29	4	1	8	3	1	4	5	3	1	2	0	2	3	0	1	1	1	0	12	10	4	6	0	4	15	36	1	16	5	4	11	5	8	0	8	5	11	3	5	2	5	8	6	10	4	13	1	1	9	7	3	2					
		2.11%	1.91%	0.82%	3.98%	1.09%	3.86%	2.24%	1.44%	2.73%	0.92%	1.40%	1.49%	2.79%	0.0%	2.48%	2.51%	2.10%	2.06%	1.68%	0.87%	2.08%	0.90%	1.44%	3.84%	1.13%	2.29%	0.85%	0.85%	0.0%	0.88%	4.76%	0.0%	0.69%	0.56%	0.66%	0.0%	6.77%	2.73%	2.36%	3.55%	0.0%	2.56%	2.95%	8.14%	0.83%	2.60%	1.72%	2.23%	1.73%	2.18%	2.73%	0.0%	1.99%	1.79%	1.98%	1.20%	3.03%	0.74%	2.67%	2.68%	3.82%	2.29%	2.75%	3.86%	0.69%	0.37%	4.07%	1.82%	2.22%	0.51%					
22	"5. ""За Русь Святую"""	106	4	1	2	0	0	0	2	2	0	1	0	1	0	3	0	0	11	0	0	2	4	0	0	2	2	0	0	1	0	1	2	0	3	1	1	1	3	0	0	1	1	4	0	0	6	2	1	8	0	2	2	4	3	8	0	2	1	0	0	1	1	2	0	2	2	0	3	0	0					
		0.58%	0.85%	0.20%	0.61%	0.0%	0.0%	0.0%	0.72%	1.36%	0.0%	0.70%	0.0%	0.46%	0.0%	0.93%	0.0%	0.0%	0.78%	0.0%	0.0%	0.52%	1.21%	0.0%	0.0%	0.45%	1.52%	0.0%	0.0%	0.86%	0.0%	1.58%	0.79%	0.0%	1.68%	0.66%	0.58%	0.56%	0.81%	0.0%	0.0%	0.61%	0.64%	0.78%	0.0%	0.0%	0.97%	0.68%	0.55%	1.26%	0.0%	0.68%	1.61%	0.99%	1.07%	1.44%	0.0%	1.21%	0.37%	0.0%	0.0%	0.63%	0.22%	1.37%	0.0%	1.38%	0.75%	0.0%	0.78%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	61	2	2	0	0	0	1	1	1	0	0	0	2	0	1	0	1	5	0	1	3	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	1	0	0	0	1	4	3	0	1	2	0	3	0	1	0	4	0	2	2	0	0	1	2	1	1	0	0	0	0	1	1	2	2					
		0.33%	0.42%	0.41%	0.0%	0.0%	0.0%	0.56%	0.36%	0.68%	0.0%	0.0%	0.0%	0.93%	0.0%	0.31%	0.0%	0.52%	0.35%	0.0%	0.87%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.44%	1.58%	0.79%	0.69%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.64%	0.78%	0.67%	0.0%	0.16%	0.68%	0.0%	0.47%	0.0%	0.34%	0.0%	0.99%	0.0%	0.36%	0.80%	0.0%	0.0%	0.53%	0.67%	0.63%	0.22%	0.0%	0.0%	0.0%	0.0%	0.45%	0.26%	1.48%	0.51%					
24	"7. ""Новый курс - Автомобильная Россия"""	59	1	3	0	0	1	2	1	0	0	2	1	2	0	2	3	1	7	0	0	3	2	0	0	1	0	0	1	1	0	0	2	0	0	0	1	4	1	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	1	1	0	2	0	0	2	1	2	0	1					
		0.32%	0.21%	0.62%	0.0%	0.0%	0.55%	1.12%	0.36%	0.0%	0.0%	1.40%	0.37%	0.93%	0.0%	0.62%	1.25%	0.52%	0.49%	0.0%	0.0%	0.78%	0.60%	0.0%	0.0%	0.22%	0.0%	0.0%	0.42%	0.86%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.58%	2.25%	0.27%	0.59%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.31%	0.43%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.37%	0.0%	0.33%	0.63%	0.0%	1.37%	0.0%	0.0%	0.75%	0.45%	0.52%	0.0%	0.25%					
25	"8. ""Народно-республиканская партия России"""	56	0	4	1	0	0	0	2	1	0	0	1	0	0	0	1	0	3	0	0	3	1	0	1	1	1	1	1	0	0	0	3	2	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	2	1	0	2	1	2	0	1	3	1	1	0	2	0	0	0	1	2	1	1	2					
		0.30%	0.0%	0.82%	0.30%	0.0%	0.0%	0.0%	0.72%	0.68%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.41%	0.0%	0.21%	0.0%	0.0%	0.78%	0.30%	0.0%	0.96%	0.22%	0.76%	0.85%	0.42%	0.0%	0.0%	0.0%	1.19%	1.39%	0.0%	0.0%	1.17%	0.56%	0.0%	0.59%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.87%	0.34%	0.0%	0.49%	0.35%	0.36%	0.0%	0.60%	1.12%	0.53%	0.33%	0.0%	0.45%	0.0%	0.0%	0.0%	0.37%	0.90%	0.26%	0.74%	0.51%					
26	"9. ""Российская экологическая партия ""Зеленые"""	38	1	1	3	0	0	0	2	0	0	2	0	0	0	3	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	2	3	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1					
		0.20%	0.21%	0.20%	0.92%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.22%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.56%	0.27%	0.0%	0.0%	0.0%	0.64%	0.0%	0.22%	1.66%	0.48%	0.34%	0.0%	0.15%	0.43%	0.34%	0.0%	0.0%	0.35%	0.18%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.22%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%					
27	"10. ""Аграрная партия России"""	2001	38	25	24	0	27	18	40	13	15	12	13	11	5	34	23	17	119	20	12	61	68	6	10	65	22	5	32	23	52	6	30	51	20	17	33	21	29	6	15	11	26	25	42	5	33	33	4	58	18	16	13	17	20	41	27	10	8	9	47	19	54	18	62	31	93	76	31	13	103					
		10.97%	8.10%	5.17%	7.36%	0.0%	14.91%	10.11%	14.49%	8.90%	13.88%	8.45%	4.85%	5.11%	5.37%	10.55%	9.62%	8.94%	8.46%	8.43%	10.52%	15.92%	20.60%	8.69%	9.61%	14.77%	16.79%	4.27%	13.67%	19.99%	22.90%	9.52%	11.95%	35.66%	11.23%	11.25%	19.41%	11.86%	7.92%	3.55%	8.87%	6.79%	16.66%	4.93%	9.50%	4.16%	5.37%	11.37%	2.23%	9.14%	7.86%	5.47%	10.48%	4.23%	7.16%	7.40%	10.84%	6.06%	2.99%	4.81%	15.77%	12.10%	12.38%	12.41%	18.45%	21.52%	35.09%	34.38%	8.07%	9.62%	26.27%					
28	"11. ""Истинные патриоты России"""	22	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.12%	0.21%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.41%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.39%	0.0%	0.0%	0.66%	0.0%	0.0%	0.54%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.43%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	169	2	12	3	0	2	3	5	6	0	0	4	4	0	5	1	0	10	1	1	2	4	1	2	4	1	2	2	2	1	0	1	0	1	2	3	2	1	1	3	1	2	13	2	1	5	0	1	9	2	1	1	6	8	2	2	0	1	0	3	0	3	2	2	0	4	2	1	0	1					
		0.92%	0.42%	2.48%	0.92%	0.0%	1.10%	1.68%	1.81%	4.10%	0.0%	0.0%	1.49%	1.86%	0.0%	1.55%	0.41%	0.0%	0.71%	0.42%	0.87%	0.52%	1.21%	1.44%	1.92%	0.90%	0.76%	1.70%	0.85%	1.73%	0.44%	0.0%	0.39%	0.0%	0.56%	1.32%	1.76%	1.12%	0.27%	0.59%	1.77%	0.61%	1.28%	2.56%	0.45%	0.83%	0.81%	0.0%	0.55%	1.41%	0.87%	0.34%	0.80%	1.49%	2.86%	0.36%	0.80%	0.0%	0.37%	0.0%	1.00%	0.0%	0.68%	1.37%	0.59%	0.0%	1.50%	0.90%	0.26%	0.0%	0.25%					
30	"13. ""Демократическая партия России"""	46	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	3	1	1	0	0	0	2	0	1	0	1	1	4	0	0	1	1	3	0	1	0	0	0	2	1	1	2	2					
		0.25%	0.0%	0.62%	0.30%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	1.23%	1.28%	0.59%	0.22%	0.83%	0.0%	0.0%	0.0%	0.31%	0.0%	0.34%	0.0%	0.24%	0.35%	0.72%	0.0%	0.0%	0.37%	0.53%	1.00%	0.0%	0.22%	0.0%	0.0%	0.0%	0.75%	0.45%	0.26%	1.48%	0.51%					
31	"14. ""Великая Россия - Евразийский Союз"""	38	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	4	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	2	1	0	1	0	1	3	3	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0					
		0.20%	0.21%	0.0%	0.30%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	1.07%	0.31%	0.41%	0.52%	0.28%	0.0%	0.0%	0.26%	0.0%	1.44%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.66%	0.58%	0.0%	0.0%	0.0%	0.59%	0.61%	0.0%	0.39%	0.22%	0.0%	0.16%	0.0%	0.55%	0.47%	1.31%	0.34%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.33%	0.0%	0.22%	0.0%	0.0%	0.69%	0.0%	0.0%	0.26%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	36	1	0	1	0	0	0	0	0	1	0	1	2	0	1	0	0	2	0	0	3	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	2	0	0	2	0	0	0	4	0	0	1	1	2	0	0	0					
		0.19%	0.21%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.37%	0.93%	0.0%	0.31%	0.0%	0.0%	0.14%	0.0%	0.0%	0.78%	0.30%	1.44%	0.0%	0.0%	0.0%	0.85%	0.42%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.27%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.16%	0.0%	0.55%	0.0%	0.0%	0.34%	0.0%	0.0%	0.35%	0.36%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.91%	0.0%	0.0%	0.69%	0.37%	0.90%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	640	26	24	11	7	11	2	2	4	3	15	11	14	5	12	6	5	57	8	5	19	15	4	2	23	5	3	4	4	4	2	4	3	6	7	6	4	9	3	4	3	9	17	12	3	27	16	4	32	5	8	3	9	5	14	9	5	2	5	14	2	16	3	6	4	17	6	13	4	8					
		3.50%	5.54%	4.96%	3.37%	7.69%	6.07%	1.12%	0.72%	2.73%	2.77%	10.56%	4.10%	6.51%	5.37%	3.72%	2.51%	2.63%	4.05%	3.37%	4.38%	4.96%	4.54%	5.79%	1.92%	5.22%	3.81%	2.56%	1.70%	3.47%	1.76%	3.17%	1.59%	2.09%	3.37%	4.63%	3.52%	2.25%	2.45%	1.77%	2.36%	1.85%	5.76%	3.35%	2.71%	2.5%	4.39%	5.51%	2.23%	5.04%	2.18%	2.73%	2.41%	2.24%	1.79%	2.52%	3.61%	3.03%	0.74%	2.67%	4.69%	1.27%	3.66%	2.06%	1.78%	2.77%	6.41%	2.71%	3.38%	2.96%	2.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	133	5	6	1	3	1	1	1	3	0	1	3	3	0	3	1	1	8	4	0	0	2	2	0	2	2	0	0	0	0	1	2	0	3	0	1	2	2	1	1	0	3	4	2	1	0	4	0	2	2	2	0	3	2	5	5	2	4	1	0	2	5	3	2	0	4	2	4	1	2					
		0.72%	1.06%	1.24%	0.30%	3.29%	0.55%	0.56%	0.36%	2.05%	0.0%	0.70%	1.11%	1.39%	0.0%	0.93%	0.41%	0.52%	0.56%	1.68%	0.0%	0.0%	0.60%	2.89%	0.0%	0.45%	1.52%	0.0%	0.0%	0.0%	0.0%	1.58%	0.79%	0.0%	1.68%	0.0%	0.58%	1.12%	0.54%	0.59%	0.59%	0.0%	1.92%	0.78%	0.45%	0.83%	0.0%	1.37%	0.0%	0.31%	0.87%	0.68%	0.0%	0.74%	0.71%	0.90%	2.00%	1.21%	1.49%	0.53%	0.0%	1.27%	1.14%	2.06%	0.59%	0.0%	1.50%	0.90%	1.04%	0.74%	0.51%					
35	"18. ""ЛДПР"""	1285	38	27	50	13	9	10	29	8	7	8	25	9	6	34	18	14	118	13	15	20	14	7	4	23	6	8	7	7	19	9	22	3	8	12	19	7	19	14	10	6	13	38	34	8	42	14	21	53	8	4	6	32	15	30	13	15	13	11	29	18	52	10	21	11	11	11	26	9	22					
		7.04%	8.10%	5.59%	15.33%	14.28%	4.97%	5.61%	10.50%	5.47%	6.48%	5.63%	9.32%	4.18%	6.45%	10.55%	7.53%	7.36%	8.39%	5.48%	13.15%	5.22%	4.24%	10.14%	3.84%	5.22%	4.58%	6.83%	2.99%	6.08%	8.37%	14.28%	8.76%	2.09%	4.49%	7.94%	11.17%	3.95%	5.19%	8.28%	5.91%	3.70%	8.33%	7.49%	7.69%	6.66%	6.84%	4.82%	11.73%	8.35%	3.49%	1.36%	4.83%	7.98%	5.37%	5.41%	5.22%	9.09%	4.86%	5.88%	9.73%	11.46%	11.92%	6.89%	6.25%	7.63%	4.15%	4.97%	6.77%	6.66%	5.61%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	313	7	14	5	3	1	3	3	2	0	4	4	2	2	10	3	4	26	6	0	4	6	2	4	17	2	3	2	4	3	1	1	2	5	7	1	5	9	2	4	1	0	16	3	0	13	7	2	5	0	3	3	6	5	6	5	2	2	3	4	5	7	2	2	5	2	0	7	2	12					
		1.71%	1.49%	2.89%	1.53%	3.29%	0.55%	1.68%	1.08%	1.36%	0.0%	2.81%	1.49%	0.93%	2.15%	3.10%	1.25%	2.10%	1.85%	2.53%	0.0%	1.04%	1.81%	2.89%	3.84%	3.86%	1.52%	2.56%	0.85%	3.47%	1.32%	1.58%	0.39%	1.39%	2.80%	4.63%	0.58%	2.82%	2.45%	1.18%	2.36%	0.61%	0.0%	3.15%	0.67%	0.0%	2.11%	2.41%	1.11%	0.78%	0.0%	1.02%	2.41%	1.49%	1.79%	1.08%	2.00%	1.21%	0.74%	1.60%	1.34%	3.18%	1.60%	1.37%	0.59%	3.47%	0.75%	0.0%	1.82%	1.48%	3.06%					
