Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Плавская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	440	15	15	15	15	20	15	15	15	15	20	15	15	15	15	15	15	20	4	8	13	14	8	4	15	8	8	4	8	8	4	4	15	13	8	8	8	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	440	15	15	15	15	20	15	15	15	15	20	15	15	15	15	15	15	20	4	8	13	14	8	4	15	8	8	4	8	8	4	4	15	13	8	8	8	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	223	13	14	11	3	17	9	16	4	7	10	10	8	12	10	8	4	4	0	6	8	2	4	3	6	2	1	0	2	2	4	6	2	3	4	2	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	112	5	7	11	8	3	10	3	8	3	11	2	0	1	4	4	1	6	1	2	1	4	1	0	5	0	1	0	0	1	0	0	1	0	5	1	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	3	3	2	7	7	6	7	7	5	4	3	5	8	1	1	5	5	2	0	0	1	4	0	9	0	0	0	5	0	1	0	6	1	1	0	1	4									
		1.06%	1.06%	0.98%	0.72%	2.22%	2.26%	1.61%	2.16%	1.92%	1.54%	1.26%	1.04%	1.33%	2.18%	0.36%	0.34%	0.96%	0.77%	1.59%	0.00%	0.00%	0.20%	1.44%	0.00%	1.75%	0.00%	0.00%	0.00%	2.73%	0.00%	0.79%	0.00%	1.25%	0.33%	0.44%	0.00%	0.68%	2.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	212	11	5	10	4	5	10	5	8	15	8	10	3	7	3	11	9	12	3	8	5	6	2	1	10	4	4	2	2	1	1	5	5	1	9	2	1	4									
		1.97%	3.90%	1.63%	3.62%	1.27%	1.61%	2.68%	1.54%	2.20%	4.62%	2.52%	3.46%	0.80%	1.91%	1.07%	3.78%	1.73%	1.85%	2.38%	2.00%	1.68%	1.19%	0.72%	0.72%	1.95%	2.41%	2.06%	1.94%	1.09%	0.41%	0.79%	4.27%	1.04%	0.33%	3.95%	2.20%	0.68%	2.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	210	9	9	7	13	4	8	5	13	10	5	5	11	10	7	9	9	3	0	20	4	7	8	2	11	4	0	0	2	4	1	0	1	1	1	2	1	4									
		1.95%	3.19%	2.93%	2.54%	4.11%	1.29%	2.14%	1.54%	3.57%	3.08%	1.57%	1.73%	2.93%	2.72%	2.50%	3.09%	1.73%	0.46%	0.00%	5.00%	1.34%	1.38%	2.88%	1.45%	2.14%	2.41%	0.00%	0.00%	1.09%	1.64%	0.79%	0.00%	0.21%	0.33%	0.44%	2.20%	0.68%	2.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7294	144	178	150	170	206	209	160	205	153	162	172	191	240	167	164	376	521	115	276	247	438	219	103	335	114	149	81	145	194	104	98	379	285	161	50	122	111									
		67.69%	51.06%	57.98%	54.35%	53.80%	66.45%	56.03%	49.38%	56.32%	47.08%	50.94%	59.52%	50.80%	65.40%	59.64%	56.36%	72.31%	80.15%	91.27%	69.00%	82.89%	86.56%	78.78%	74.64%	65.18%	68.67%	76.80%	78.64%	79.23%	79.51%	81.89%	83.76%	79.12%	93.14%	70.61%	54.95%	82.99%	68.10%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	50	2	1	3	4	0	5	1	1	1	1	3	5	3	2	3	0	2	0	1	0	1	0	2	1	0	0	0	0	1	2	0	0	0	1	1	2	1									
		0.46%	0.71%	0.33%	1.09%	1.27%	0.00%	1.34%	0.31%	0.27%	0.31%	0.31%	1.04%	1.33%	0.82%	0.71%	1.03%	0.00%	0.31%	0.00%	0.25%	0.00%	0.20%	0.00%	1.45%	0.19%	0.00%	0.00%	0.00%	0.00%	0.41%	1.57%	0.00%	0.00%	0.00%	0.44%	1.10%	1.36%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	0	0	1	0	1	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.32%	0.00%	0.27%	0.00%	0.55%	0.31%	0.00%	0.00%	0.00%	0.00%	0.36%	0.34%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.39%	0.00%	0.52%	0.00%	0.00%	0.41%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1306	49	45	44	42	35	57	61	42	62	54	30	91	56	40	46	57	66	4	38	22	20	29	14	64	25	25	10	14	25	3	9	39	11	29	18	12	18									
		12.12%	17.38%	14.66%	15.94%	13.29%	11.29%	15.28%	18.83%	11.54%	19.08%	16.98%	10.38%	24.20%	15.26%	14.29%	15.81%	10.96%	10.15%	3.17%	9.50%	7.38%	3.95%	10.43%	10.14%	12.45%	15.06%	12.89%	9.71%	7.65%	10.25%	2.36%	7.69%	8.14%	3.59%	12.72%	19.78%	8.16%	11.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	46	3	0	2	0	0	4	7	1	3	6	2	5	1	0	2	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0									
		0.43%	1.06%	0.00%	0.72%	0.00%	0.00%	1.07%	2.16%	0.27%	0.92%	1.89%	0.69%	1.33%	0.27%	0.00%	0.69%	0.00%	0.15%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.44%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	4	1	1	2	0	0	4	1	5	3	2	5	0	0	0	2	5	0	1	0	1	0	0	0	2	0	0	1	0	0	0	2	0	0	0	2	0									
		0.41%	1.42%	0.33%	0.36%	0.63%	0.00%	0.00%	1.23%	0.27%	1.54%	0.94%	0.69%	1.33%	0.00%	0.00%	0.00%	0.38%	0.77%	0.00%	0.25%	0.00%	0.20%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	1.36%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	1	1	1	0	1	1	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0									
		0.12%	0.00%	0.33%	0.36%	0.32%	0.00%	0.27%	0.31%	0.27%	0.31%	0.31%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	82	3	2	5	4	0	7	3	3	4	6	2	5	3	2	4	1	3	0	4	1	0	2	0	5	1	2	1	2	1	1	0	1	1	3	0	0	0									
		0.76%	1.06%	0.65%	1.81%	1.27%	0.00%	1.88%	0.93%	0.82%	1.23%	1.89%	0.69%	1.33%	0.82%	0.71%	1.37%	0.19%	0.46%	0.00%	1.00%	0.34%	0.00%	0.72%	0.00%	0.97%	0.60%	1.03%	0.97%	1.09%	0.41%	0.79%	0.00%	0.21%	0.33%	1.32%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1071	36	38	44	47	46	49	55	65	50	47	51	37	37	39	40	45	19	0	40	13	24	8	14	60	14	8	7	10	9	11	4	40	5	18	15	6	20									
		9.94%	12.77%	12.38%	15.94%	14.87%	14.84%	13.14%	16.98%	17.86%	15.38%	14.78%	17.65%	9.84%	10.08%	13.93%	13.75%	8.65%	2.92%	0.00%	10.00%	4.36%	4.74%	2.88%	10.14%	11.67%	8.43%	4.12%	6.80%	5.46%	3.69%	8.66%	3.42%	8.35%	1.63%	7.89%	16.48%	4.08%	12.27%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	2	1	1	4	0	1	1	2	2	2	1	1	0	1	0	0	1	1	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0									
		0.27%	0.71%	0.33%	0.36%	1.27%	0.00%	0.27%	0.31%	0.55%	0.62%	0.63%	0.35%	0.27%	0.00%	0.36%	0.00%	0.00%	0.15%	0.79%	0.25%	0.34%	0.59%	0.00%	0.00%	0.19%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	165	12	11	3	9	0	10	6	7	8	14	6	10	2	8	3	9	7	1	2	2	5	2	1	10	1	2	1	1	3	0	1	2	0	4	1	0	1									
		1.53%	4.26%	3.58%	1.09%	2.85%	0.00%	2.68%	1.85%	1.92%	2.46%	4.40%	2.08%	2.66%	0.54%	2.86%	1.03%	1.73%	1.08%	0.79%	0.50%	0.67%	0.99%	0.72%	0.72%	1.95%	0.60%	1.03%	0.97%	0.55%	1.23%	0.00%	0.85%	0.42%	0.00%	1.75%	1.10%	0.00%	0.61%									
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
