Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
"Наименование Избирательной комиссии:    Астрахань, Трусовская"																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1751	30	40	50	45	30	50	30	36	30	30	50	40	50	40	30	30	45	30	30	50	75	30	50	51	50	40	50	30	30	30	30	70	55	30	65	45	54	45	55	30	40	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1593	9	34	50	44	28	47	28	36	26	23	38	40	50	30	30	30	40	27	23	50	62	30	50	51	47	40	49	26	27	21	27	65	53	30	54	43	47	45	55	30	33	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1530	20	14	22	20	29	163	40	83	24	126	20	28	72	16	13	10	57	4	34	85	15	11	80	4	16	22	11	12	9	11	67	20	23	58	30	25	35	64	31	24	16	35	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	158	21	6	0	1	2	3	2	0	4	7	12	0	0	10	0	0	5	3	7	0	13	0	0	0	3	0	1	4	3	9	3	5	2	0	11	2	7	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	591	4	13	19	15	9	26	18	14	7	12	23	22	12	27	16	19	12	19	10	16	22	10	34	35	22	14	12	3	5	4	5	12	10	7	12	10	8	16	7	14	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	223	2	8	6	6	5	12	11	2	4	6	4	2	5	5	0	3	7	3	4	7	9	0	7	10	12	8	11	5	2	1	2	2	10	0	2	5	0	10	12	2	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0									
		0.86%	0.65%	1.21%	0.87%	1.11%	1.53%	1.21%	1.47%	0.44%	0.91%	1.06%	0.65%	0.41%	0.95%	0.91%	0.00%	0.61%	1.08%	0.60%	1.35%	1.25%	1.33%	0.00%	0.85%	1.27%	1.41%	1.21%	1.47%	1.40%	0.76%	0.30%	0.47%	0.20%	1.22%	0.00%	0.25%	0.61%	0.00%	1.27%	1.47%	0.29%	0.77%	0.53%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	615	13	19	15	17	7	18	18	53	10	14	13	8	9	9	11	12	11	13	6	16	11	10	22	8	22	15	15	13	11	13	14	8	21	0	7	19	2	9	20	22	15	11	10	0	3	0	1	0	0	1	1	0	1	0	0	0	2	3	0	1	0	0	2	1	0	0	0	4	1	0	2	0	1	1	0	0	0									
		2.37%	4.25%	2.87%	2.18%	3.15%	2.15%	1.81%	2.41%	11.65%	2.28%	2.48%	2.12%	1.63%	1.71%	1.64%	3.04%	2.44%	1.69%	2.61%	2.02%	2.87%	1.63%	2.17%	2.67%	1.02%	2.58%	2.27%	2.01%	3.65%	4.20%	3.85%	3.26%	0.79%	2.57%	0.00%	0.87%	2.32%	0.28%	1.15%	2.45%	3.23%	2.90%	1.95%	4.44%	0.00%	21.43%	0.00%	7.69%	0.00%	0.00%	7.14%	7.14%	0.00%	7.14%	0.00%	0.00%	0.00%	14.29%	21.43%	0.00%	7.14%	0.00%	0.00%	14.29%	7.14%	0.00%	0.00%	0.00%	28.57%	7.14%	0.00%	14.29%	0.00%	7.14%	7.14%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	315	3	9	9	5	9	14	6	13	11	4	3	0	4	4	3	7	4	12	5	5	8	6	15	10	4	9	11	7	9	4	3	6	20	0	6	12	4	1	17	4	3	1	4	0	1	0	0	0	3	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	2	0	2	0	3	0	0	1	2	0	2									
		1.21%	0.98%	1.36%	1.31%	0.93%	2.76%	1.41%	0.80%	2.86%	2.51%	0.71%	0.49%	0.00%	0.76%	0.73%	0.83%	1.42%	0.62%	2.40%	1.68%	0.90%	1.19%	1.30%	1.82%	1.27%	0.47%	1.36%	1.47%	1.97%	3.44%	1.18%	0.70%	0.59%	2.45%	0.00%	0.74%	1.47%	0.55%	0.13%	2.09%	0.59%	0.58%	0.18%	1.78%	0.00%	7.14%	0.00%	0.00%	0.00%	21.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	7.14%	7.14%	0.00%	0.00%	7.14%	7.14%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	14.29%	0.00%	21.43%	0.00%	0.00%	7.14%	14.29%	0.00%	15.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10790	122	246	228	197	122	348	179	192	179	255	206	182	158	231	114	131	262	221	121	252	366	160	278	220	263	210	274	151	114	175	158	654	254	309	315	377	480	393	294	256	388	394	92	10	9	10	10	10	7	8	2	8	10	7	7	8	6	6	5	6	11	8	6	8	6	12	9	9	5	10	8	6	9	9	10	7	7									
		41.56%	39.87%	37.22%	33.19%	36.55%	37.42%	35.05%	23.96%	42.20%	40.87%	45.21%	33.61%	36.99%	30.10%	42.08%	31.49%	26.63%	40.37%	44.29%	40.74%	45.16%	54.22%	34.78%	33.78%	27.99%	30.87%	31.82%	36.73%	42.42%	43.51%	51.78%	36.74%	64.50%	31.09%	53.00%	38.94%	46.09%	66.21%	50.06%	36.07%	37.54%	75.05%	69.86%	40.89%	71.43%	64.29%	76.92%	76.92%	71.43%	50.00%	57.14%	14.29%	57.14%	71.43%	50.00%	50.00%	57.14%	42.86%	42.86%	41.67%	42.86%	78.57%	57.14%	42.86%	57.14%	50.00%	85.71%	64.29%	64.29%	35.71%	71.43%	57.14%	42.86%	64.29%	64.29%	71.43%	58.33%	53.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	162	4	3	1	2	2	3	6	2	6	4	3	2	6	2	1	3	5	3	2	9	2	1	6	5	11	3	6	1	2	1	6	1	7	0	2	5	2	2	9	3	0	4	3	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0									
		0.62%	1.31%	0.45%	0.15%	0.37%	0.61%	0.30%	0.80%	0.44%	1.37%	0.71%	0.49%	0.41%	1.14%	0.36%	0.28%	0.61%	0.77%	0.60%	0.67%	1.61%	0.30%	0.22%	0.73%	0.64%	1.29%	0.45%	0.80%	0.28%	0.76%	0.30%	1.40%	0.10%	0.86%	0.00%	0.25%	0.61%	0.28%	0.25%	1.10%	0.44%	0.00%	0.71%	1.33%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	7.14%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	7.14%	0.00%	7.14%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	0.00%	0.00%	21.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	1	0	0	1	0	0	0	1	0	2	1	0	2	0	0	0	1	1	1	1	0	2	0	1	2	0	2	0	0	0	3	0	0	0	2	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.12%	0.33%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.22%	0.00%	0.35%	0.16%	0.00%	0.38%	0.00%	0.00%	0.00%	0.15%	0.20%	0.34%	0.18%	0.00%	0.43%	0.00%	0.13%	0.23%	0.00%	0.27%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.13%	0.25%	0.00%	0.00%	0.18%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3513	36	130	89	102	73	146	87	70	53	81	100	79	73	92	55	82	108	51	64	111	86	97	131	100	138	70	131	61	30	37	79	40	105	27	90	99	54	71	116	125	10	24	32	1	1	3	2	0	0	1	6	5	3	2	3	3	3	3	3	2	1	4	2	4	2	2	3	1	1	4	0	3	2	3	0	1	4									
		13.53%	11.76%	19.67%	12.95%	18.92%	22.39%	14.70%	11.65%	15.38%	12.10%	14.36%	16.31%	16.06%	13.90%	16.76%	15.19%	16.67%	16.64%	10.22%	21.55%	19.89%	12.74%	21.09%	15.92%	12.72%	16.20%	10.61%	17.56%	17.13%	11.45%	10.95%	18.37%	3.94%	12.85%	4.63%	11.12%	12.10%	7.45%	9.04%	14.23%	18.33%	1.93%	4.26%	14.22%	7.14%	7.14%	23.08%	15.38%	0.00%	0.00%	7.14%	42.86%	35.71%	21.43%	14.29%	21.43%	21.43%	21.43%	21.43%	25.00%	14.29%	7.14%	28.57%	14.29%	28.57%	16.67%	14.29%	21.43%	7.14%	7.14%	28.57%	0.00%	21.43%	14.29%	21.43%	0.00%	8.33%	30.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	235	3	4	8	5	5	7	22	1	5	3	4	5	9	6	8	7	3	0	0	8	10	3	14	3	8	5	13	1	1	1	3	13	6	0	5	4	2	8	5	3	1	5	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.91%	0.98%	0.61%	1.16%	0.93%	1.53%	0.70%	2.95%	0.22%	1.14%	0.53%	0.65%	1.02%	1.71%	1.09%	2.21%	1.42%	0.46%	0.00%	0.00%	1.43%	1.48%	0.65%	1.70%	0.38%	0.94%	0.76%	1.74%	0.28%	0.38%	0.30%	0.70%	1.28%	0.73%	0.00%	0.62%	0.49%	0.28%	1.02%	0.61%	0.44%	0.19%	0.89%	1.33%	0.00%	0.00%	0.00%	0.00%	14.29%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	208	1	6	1	7	3	11	8	3	2	7	9	11	6	0	1	5	2	7	0	4	14	1	5	11	10	4	8	1	2	4	8	2	11	0	4	7	0	1	9	3	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.80%	0.33%	0.91%	0.15%	1.30%	0.92%	1.11%	1.07%	0.66%	0.46%	1.24%	1.47%	2.24%	1.14%	0.00%	0.28%	1.02%	0.31%	1.40%	0.00%	0.72%	2.07%	0.22%	0.61%	1.40%	1.17%	0.61%	1.07%	0.28%	0.76%	1.18%	1.86%	0.20%	1.35%	0.00%	0.49%	0.86%	0.00%	0.13%	1.10%	0.44%	0.58%	0.53%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	31	0	1	1	0	0	0	3	0	1	0	1	0	0	1	0	1	1	0	0	0	3	0	0	0	1	0	2	1	0	0	2	2	2	0	0	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.12%	0.00%	0.15%	0.15%	0.00%	0.00%	0.00%	0.40%	0.00%	0.23%	0.00%	0.16%	0.00%	0.00%	0.18%	0.00%	0.20%	0.15%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.12%	0.00%	0.27%	0.28%	0.00%	0.00%	0.47%	0.20%	0.24%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.44%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	270	2	2	12	5	0	16	8	3	1	5	4	4	3	4	1	2	9	8	3	8	8	1	6	7	8	8	11	8	3	6	4	36	4	0	10	5	0	9	10	10	4	6	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		1.04%	0.65%	0.30%	1.75%	0.93%	0.00%	1.61%	1.07%	0.66%	0.23%	0.89%	0.65%	0.81%	0.57%	0.73%	0.28%	0.41%	1.39%	1.60%	1.01%	1.43%	1.19%	0.22%	0.73%	0.89%	0.94%	1.21%	1.47%	2.25%	1.15%	1.78%	0.93%	3.55%	0.49%	0.00%	1.24%	0.61%	0.00%	1.15%	1.23%	1.47%	0.77%	1.06%	1.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2828	63	63	102	62	33	114	100	10	62	60	104	45	78	59	55	68	73	62	40	43	58	72	102	108	124	71	66	56	44	38	62	42	83	45	93	92	37	25	86	127	27	20	27	1	0	0	0	2	0	2	3	0	0	3	1	1	0	0	3	0	0	0	2	1	2	0	0	0	0	0	0	0	2	0	1	3	0									
		10.89%	20.59%	9.53%	14.85%	11.50%	10.12%	11.48%	13.39%	2.20%	14.16%	10.64%	16.97%	9.15%	14.86%	10.75%	15.19%	13.82%	11.25%	12.42%	13.47%	7.71%	8.59%	15.65%	12.39%	13.74%	14.55%	10.76%	8.85%	15.73%	16.79%	11.24%	14.42%	4.14%	10.16%	7.72%	11.50%	11.25%	5.10%	3.18%	10.55%	18.62%	5.22%	3.55%	12.00%	7.14%	0.00%	0.00%	0.00%	14.29%	0.00%	14.29%	21.43%	0.00%	0.00%	21.43%	7.14%	7.14%	0.00%	0.00%	25.00%	0.00%	0.00%	0.00%	14.29%	7.14%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	7.14%	25.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	0	1	0	1	1	1	1	0	3	2	0	2	1	0	1	3	3	3	2	2	0	2	5	3	2	1	3	0	0	1	2	1	4	2	0	1	0	0	4	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.25%	0.00%	0.15%	0.00%	0.19%	0.31%	0.10%	0.13%	0.00%	0.68%	0.35%	0.00%	0.41%	0.19%	0.00%	0.28%	0.61%	0.46%	0.60%	0.67%	0.36%	0.00%	0.43%	0.61%	0.38%	0.23%	0.15%	0.40%	0.00%	0.00%	0.30%	0.47%	0.10%	0.49%	0.34%	0.00%	0.12%	0.00%	0.00%	0.49%	0.15%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	7.14%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6083	52	157	175	108	52	273	257	96	88	94	142	142	152	130	101	168	149	100	47	81	90	88	217	274	241	232	168	44	44	51	73	202	263	196	243	173	141	255	214	113	60	83	39	0	0	0	0	0	1	1	0	0	0	0	3	1	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0									
		23.43%	16.99%	23.75%	25.47%	20.04%	15.95%	27.49%	34.40%	21.10%	20.09%	16.67%	23.16%	28.86%	28.95%	23.68%	27.90%	34.15%	22.96%	20.04%	15.82%	14.52%	13.33%	19.13%	26.37%	34.86%	28.29%	35.15%	22.52%	12.36%	16.79%	15.09%	16.98%	19.92%	32.19%	33.62%	30.04%	21.15%	19.45%	32.48%	26.26%	16.57%	11.61%	14.72%	17.33%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	7.14%	0.00%	0.00%	0.00%	0.00%	21.43%	7.14%	7.14%	0.00%	0.00%	7.14%	7.14%	7.14%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	8.33%	0.00%									
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
