Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Спас-Деменская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615					
		2.34%	3.12%	3.47%	2.4%	0.74%	1.96%	1.13%	0.79%	3.73%	0.0%	1.58%	2.21%	3.5%	0.54%	0.0%	1.09%					
37	"20. ""Политическая партия ""Единая Россия"""	2409	514	469	108	87	143	90	177	53	81	72	157	124	116	56	162					
		49.91%	44.57%	42.83%	43.2%	64.44%	70.09%	51.13%	46.70%	49.53%	64.28%	57.14%	69.46%	62.0%	63.73%	54.36%	44.50%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	0	1	0	2	0	2	4	0	4	1	0	1	0	0	0					
		0.31%	0.0%	0.09%	0.0%	1.48%	0.0%	1.13%	1.05%	0.0%	3.17%	0.79%	0.0%	0.5%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	13	1	4	1	0	1	0	4	0	0	0	0	1	0	1	0					
		0.26%	0.08%	0.36%	0.4%	0.0%	0.49%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.97%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	699	145	197	27	13	25	24	74	12	22	20	17	10	33	20	60					
		14.48%	12.57%	17.99%	10.8%	9.62%	12.25%	13.63%	19.52%	11.21%	17.46%	15.87%	7.52%	5.0%	18.13%	19.41%	16.48%					
																						
41	Против всех	118	30	42	6	0	1	2	10	0	1	2	3	2	5	1	13					
		2.44%	2.60%	3.83%	2.4%	0.0%	0.49%	1.13%	2.63%	0.0%	0.79%	1.58%	1.32%	1.0%	2.74%	0.97%	3.57%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
