Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Коломенская городская																																																																																																											
																																																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																											
																																																																																																											
		Сумма	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5038	УИК №5039	УИК №5040	УИК №5066	УИК №5067	УИК №5068	УИК №5069	УИК №5070	УИК №5071	УИК №5072	УИК №5073	УИК №5074	УИК №5107	УИК №5108	УИК №5113	УИК №5114	УИК №5252	УИК №5361					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2016	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	0	0	0	0	0	0	20	20	20	20	140	20	15	15	35	0	15	30	10	20	20	5	5	50	100	10	20	20	30	40	30	0	3	3	20	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	852	5	12	10	6	4	12	18	10	13	9	10	13	15	15	4	13	4	18	10	9	1	4	12	8	11	3	20	2	1	12	12	19	10	14	18	10	17	14	7	5	9	15	11	6	18	4	7	1	14	13	10	13	7	13	15	8	7	37	7	6	7	4	0	0	0	0	0	0	8	16	8	20	2	12	13	9	16	0	8	20	10	4	0	1	0	0	9	0	0	16	0	38	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	610	7	3	12	4	7	14	9	7	5	7	3	6	4	87	2	11	9	11	5	14	3	1	10	5	9	2	3	5	3	4	6	3	2	6	5	4	3	11	9	9	3	5	2	11	9	2	4	3	8	2	3	0	3	6	0	7	5	8	3	10	8	2	0	0	3	0	0	0	5	4	4	0	32	3	17	9	7	0	0	0	0	0	5	1	0	5	2	0	0	0	0	1	0	54	4	4	2	0	1	13					
14	Число погашенных открепительных удостоверений	1164	15	8	10	14	16	18	2	10	7	11	10	7	5	5	16	7	16	2	10	11	19	16	8	12	9	17	0	18	19	8	8	1	10	6	12	10	3	6	13	15	11	5	9	14	2	16	13	19	6	7	10	7	13	7	5	12	13	3	13	14	13	16	0	0	0	0	0	0	12	4	12	0	138	8	2	6	19	0	7	10	0	16	20	4	5	50	91	10	20	4	30	2	30	0	3	3	20	0	0	0					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																											
18	"1. ""ЕДИНЕНИЕ"""	895	5	4	5	4	9	21	12	4	9	2	8	5	3	1	2	19	9	9	11	2	4	2	7	8	7	8	12	4	4	5	14	5	13	5	9	6	8	7	5	6	8	8	7	6	3	7	9	4	17	15	9	2	11	17	8	4	7	22	7	7	14	4	1	0	2	1	1	1	7	13	1	11	16	19	37	20	18	8	19	22	24	23	12	12	2	6	24	10	8	5	3	21	5	27	4	1	10	0	8	14					
		1.02%	0.86%	0.72%	0.72%	0.62%	1.04%	1.28%	0.94%	0.61%	0.62%	0.34%	0.76%	0.57%	0.40%	0.10%	0.49%	1.58%	1.25%	0.64%	1.27%	0.42%	1.13%	0.49%	0.64%	0.93%	0.82%	1.53%	0.94%	0.52%	0.40%	0.55%	1.25%	0.50%	1.14%	0.47%	0.81%	0.54%	0.76%	0.92%	0.60%	0.70%	0.72%	0.66%	0.64%	0.64%	0.23%	0.88%	1.14%	0.76%	1.28%	1.27%	0.95%	0.18%	1.50%	1.37%	0.89%	0.35%	0.77%	1.13%	0.83%	1.14%	1.38%	0.97%	0.41%	0.0%	1.19%	2.27%	1.88%	1.53%	1.03%	1.04%	0.07%	0.96%	1.39%	1.48%	5.10%	3.35%	5.57%	4.79%	2.31%	1.94%	3.19%	2.52%	1.12%	2.06%	1.14%	1.97%	4.10%	2.96%	1.78%	0.69%	0.41%	1.44%	0.16%	0.56%	1.76%	1.05%	4.29%	0.0%	0.73%	2.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3007	19	16	21	18	34	37	44	35	66	12	51	32	37	42	13	74	33	82	54	29	23	14	64	44	42	24	43	27	32	41	45	41	58	61	41	35	35	42	22	35	43	51	48	38	37	17	32	14	58	31	27	31	33	45	36	30	29	81	18	15	45	10	2	5	4	0	2	3	24	53	56	38	60	28	22	35	8	2	3	8	7	19	74	63	12	20	11	18	17	4	3	10	0	29	24	16	18	3	8	11					
		3.45%	3.28%	2.90%	3.04%	2.79%	3.93%	2.26%	3.46%	5.35%	4.54%	2.09%	4.88%	3.66%	4.94%	4.26%	3.19%	6.18%	4.60%	5.89%	6.24%	6.13%	6.53%	3.48%	5.90%	5.13%	4.95%	4.60%	3.37%	3.53%	3.21%	4.54%	4.04%	4.11%	5.11%	5.74%	3.72%	3.17%	3.36%	5.54%	2.67%	4.09%	3.91%	4.23%	4.41%	4.07%	2.86%	2.14%	4.07%	2.66%	4.38%	2.63%	2.87%	2.83%	4.50%	3.65%	4.03%	2.66%	3.20%	4.17%	2.15%	2.45%	4.44%	2.43%	0.83%	5.15%	2.38%	0.0%	3.77%	4.61%	3.53%	4.24%	4.37%	3.33%	5.22%	2.19%	3.03%	5.86%	2.47%	1.19%	0.36%	0.70%	0.93%	2.08%	6.95%	10.82%	6.89%	6.57%	1.88%	5.34%	3.78%	0.55%	0.41%	0.68%	0.0%	0.60%	10.61%	16.84%	7.72%	5.76%	0.73%	1.76%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2158	23	17	26	13	17	21	46	17	34	31	28	30	32	29	8	26	13	30	16	21	9	22	44	27	14	24	32	34	33	29	38	29	29	12	28	43	44	36	34	41	36	26	28	42	35	28	21	22	67	57	34	30	23	55	20	21	9	34	32	23	28	14	10	1	8	0	1	2	14	23	18	24	12	18	14	12	4	2	7	3	7	10	14	7	5	6	10	6	6	27	5	22	9	38	1	2	10	3	14	18					
		2.48%	3.97%	3.09%	3.77%	2.01%	1.96%	1.28%	3.62%	2.59%	2.34%	5.40%	2.68%	3.43%	4.27%	2.94%	1.96%	2.17%	1.81%	2.15%	1.84%	4.43%	2.55%	5.47%	4.05%	3.15%	1.65%	4.60%	2.51%	4.45%	3.31%	3.21%	3.41%	2.90%	2.55%	1.12%	2.54%	3.90%	4.23%	4.74%	4.13%	4.79%	3.28%	2.16%	2.57%	4.50%	2.71%	3.53%	2.67%	4.19%	5.06%	4.85%	3.62%	2.73%	3.13%	4.46%	2.24%	1.86%	0.99%	1.75%	3.82%	3.77%	2.76%	3.41%	4.16%	1.03%	4.76%	0.0%	1.88%	3.07%	2.06%	1.84%	1.40%	2.10%	1.04%	1.40%	1.93%	2.01%	1.23%	1.19%	0.85%	0.26%	0.93%	1.09%	1.31%	1.20%	2.87%	1.97%	1.71%	1.78%	1.33%	3.76%	0.68%	1.50%	0.29%	0.79%	0.44%	2.10%	4.29%	5.76%	1.28%	2.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3879	17	29	31	24	39	37	55	56	105	20	58	50	43	69	22	84	65	93	86	33	28	23	70	54	64	37	90	55	62	53	46	69	85	85	63	58	54	60	49	46	51	93	54	47	56	43	34	17	63	64	33	54	45	66	47	27	35	56	40	31	65	13	6	4	1	2	2	0	36	77	68	58	67	15	16	13	6	2	6	9	1	5	66	24	4	25	7	7	4	11	1	8	0	24	38	15	36	3	3	8					
		4.46%	2.94%	5.27%	4.49%	3.72%	4.51%	2.26%	4.33%	8.56%	7.23%	3.48%	5.55%	5.72%	5.74%	7.01%	5.40%	7.02%	9.07%	6.68%	9.94%	6.97%	7.95%	5.72%	6.45%	6.30%	7.55%	7.10%	7.06%	7.19%	6.23%	5.86%	4.13%	6.92%	7.48%	8.00%	5.72%	5.26%	5.19%	7.91%	5.96%	5.38%	4.64%	7.73%	4.97%	5.04%	4.34%	5.42%	4.33%	3.23%	4.75%	5.44%	3.51%	4.93%	6.13%	5.35%	5.26%	2.39%	3.86%	2.88%	4.77%	5.08%	6.42%	3.17%	2.5%	4.12%	0.59%	4.54%	3.77%	0.0%	5.30%	6.16%	5.31%	5.08%	5.83%	1.17%	2.20%	2.17%	1.85%	1.19%	0.73%	0.79%	0.13%	0.54%	6.20%	4.12%	2.29%	8.22%	1.19%	2.07%	0.89%	1.53%	0.13%	0.54%	0.0%	0.49%	16.81%	15.78%	15.45%	5.76%	0.27%	1.28%					
22	"5. ""За Русь Святую"""	429	1	1	6	8	9	7	6	3	3	2	1	5	2	9	1	4	1	9	6	6	0	3	9	8	3	3	4	2	10	3	4	2	2	4	5	3	6	0	2	6	6	4	5	5	8	5	2	5	4	8	2	3	4	15	2	11	3	19	4	6	10	0	3	0	1	0	0	0	0	5	3	6	8	3	4	4	4	0	4	2	2	8	3	4	1	1	1	2	3	36	5	1	3	5	0	0	0	0	6	1					
		0.49%	0.17%	0.18%	0.87%	1.24%	1.04%	0.42%	0.47%	0.45%	0.20%	0.34%	0.09%	0.57%	0.26%	0.91%	0.24%	0.33%	0.13%	0.64%	0.69%	1.26%	0.0%	0.74%	0.83%	0.93%	0.35%	0.57%	0.31%	0.26%	1.00%	0.33%	0.35%	0.20%	0.17%	0.37%	0.45%	0.27%	0.57%	0.0%	0.24%	0.70%	0.54%	0.33%	0.46%	0.53%	0.62%	0.63%	0.25%	0.95%	0.30%	0.68%	0.21%	0.27%	0.54%	1.21%	0.22%	0.97%	0.33%	0.97%	0.47%	0.98%	0.98%	0.0%	1.25%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.40%	0.23%	0.52%	0.69%	0.23%	0.55%	0.67%	1.23%	0.0%	0.48%	0.17%	0.26%	0.87%	0.28%	0.68%	0.57%	0.32%	0.17%	0.59%	0.66%	5.01%	0.68%	0.06%	0.09%	0.10%	0.0%	0.0%	0.0%	0.0%	0.55%	0.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	218	0	0	0	1	5	6	1	2	1	1	1	2	1	6	0	1	1	2	2	0	3	0	2	1	0	0	4	0	2	1	2	2	0	0	6	2	3	1	0	4	4	2	2	1	1	1	1	1	2	5	0	3	0	3	1	3	1	7	1	0	1	0	1	0	0	0	0	0	2	1	3	0	2	1	6	1	5	0	1	6	2	7	2	11	0	0	0	2	0	4	10	29	5	10	0	0	0	0	1	0					
		0.25%	0.0%	0.0%	0.0%	0.15%	0.57%	0.36%	0.07%	0.30%	0.06%	0.17%	0.09%	0.22%	0.13%	0.60%	0.0%	0.08%	0.13%	0.14%	0.23%	0.0%	0.85%	0.0%	0.18%	0.11%	0.0%	0.0%	0.31%	0.0%	0.20%	0.11%	0.17%	0.20%	0.0%	0.0%	0.54%	0.18%	0.28%	0.13%	0.0%	0.46%	0.36%	0.16%	0.18%	0.10%	0.07%	0.12%	0.12%	0.19%	0.15%	0.42%	0.0%	0.27%	0.0%	0.24%	0.11%	0.26%	0.11%	0.36%	0.11%	0.0%	0.09%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.08%	0.23%	0.0%	0.17%	0.07%	0.82%	0.16%	1.54%	0.0%	0.12%	0.53%	0.26%	0.76%	0.18%	1.89%	0.0%	0.0%	0.0%	0.59%	0.0%	0.55%	1.37%	1.98%	0.16%	0.20%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	757	8	7	10	3	10	31	14	6	17	6	7	8	8	3	0	13	11	15	9	9	1	4	5	10	11	9	21	5	11	6	11	9	7	12	13	4	10	2	11	14	4	9	14	6	15	7	5	4	9	15	8	9	2	9	7	8	7	35	10	11	4	1	1	0	2	0	0	0	11	15	17	17	5	10	16	15	6	2	7	2	4	9	2	1	0	4	5	1	1	4	2	2	3	12	1	0	3	1	1	5					
		0.87%	1.38%	1.27%	1.45%	0.46%	1.15%	1.89%	1.10%	0.91%	1.17%	1.04%	0.67%	0.91%	1.06%	0.30%	0.0%	1.08%	1.53%	1.07%	1.04%	1.90%	0.28%	0.99%	0.46%	1.16%	1.29%	1.72%	1.64%	0.65%	1.10%	0.66%	0.98%	0.90%	0.61%	1.12%	1.18%	0.36%	0.96%	0.26%	1.33%	1.63%	0.36%	0.74%	1.28%	0.64%	1.16%	0.88%	0.63%	0.76%	0.67%	1.27%	0.85%	0.82%	0.27%	0.73%	0.78%	0.71%	0.77%	1.80%	1.19%	1.80%	0.39%	0.24%	0.41%	0.0%	1.19%	0.0%	0.0%	0.0%	1.62%	1.20%	1.32%	1.49%	0.43%	0.78%	2.20%	2.51%	1.85%	1.19%	0.85%	0.17%	0.53%	0.98%	0.18%	0.17%	0.0%	1.31%	0.85%	0.29%	0.22%	0.55%	0.27%	0.13%	0.09%	0.24%	0.44%	0.0%	1.28%	1.92%	0.09%	0.80%					
25	"8. ""Народно-республиканская партия России"""	140	0	2	4	1	0	2	4	1	3	1	7	1	0	0	0	3	1	0	0	1	0	1	1	2	2	0	2	0	2	0	3	2	1	0	1	3	4	0	0	0	0	1	2	0	3	1	0	2	0	0	4	3	0	2	4	2	3	2	0	0	1	1	0	0	0	0	2	0	0	6	1	1	6	3	3	4	0	0	0	0	0	1	0	1	2	0	2	0	0	4	1	0	0	12	0	0	0	0	4	1					
		0.16%	0.0%	0.36%	0.58%	0.15%	0.0%	0.12%	0.31%	0.15%	0.20%	0.17%	0.67%	0.11%	0.0%	0.0%	0.0%	0.25%	0.13%	0.0%	0.0%	0.21%	0.0%	0.24%	0.09%	0.23%	0.23%	0.0%	0.15%	0.0%	0.20%	0.0%	0.26%	0.20%	0.08%	0.0%	0.09%	0.27%	0.38%	0.0%	0.0%	0.0%	0.0%	0.08%	0.18%	0.0%	0.23%	0.12%	0.0%	0.38%	0.0%	0.0%	0.42%	0.27%	0.0%	0.16%	0.44%	0.17%	0.33%	0.10%	0.0%	0.0%	0.09%	0.24%	0.0%	0.0%	0.0%	0.0%	3.77%	0.0%	0.0%	0.48%	0.07%	0.08%	0.52%	0.23%	0.41%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.17%	1.14%	0.0%	0.34%	0.0%	0.0%	0.55%	0.13%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.36%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	416	2	2	5	1	4	12	6	3	5	1	2	1	2	3	0	10	3	8	6	2	2	0	9	4	7	2	5	4	6	5	6	8	6	10	7	4	2	1	5	13	2	3	7	3	5	1	4	13	2	8	3	10	1	8	3	5	7	10	4	3	0	2	0	0	0	0	0	0	6	7	9	13	5	9	7	7	5	0	3	1	7	5	4	4	1	3	2	4	1	2	2	3	0	5	3	3	3	2	2	0					
		0.47%	0.34%	0.36%	0.72%	0.15%	0.46%	0.73%	0.47%	0.45%	0.34%	0.17%	0.19%	0.11%	0.26%	0.30%	0.0%	0.83%	0.41%	0.57%	0.69%	0.42%	0.56%	0.0%	0.83%	0.46%	0.82%	0.38%	0.39%	0.52%	0.60%	0.55%	0.53%	0.80%	0.52%	0.94%	0.63%	0.36%	0.19%	0.13%	0.60%	1.52%	0.18%	0.24%	0.64%	0.32%	0.38%	0.12%	0.50%	2.47%	0.15%	0.68%	0.31%	0.91%	0.13%	0.64%	0.33%	0.44%	0.77%	0.51%	0.47%	0.49%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.88%	0.56%	0.70%	1.14%	0.43%	0.70%	0.96%	1.17%	1.54%	0.0%	0.36%	0.08%	0.93%	0.54%	0.37%	0.68%	0.57%	0.98%	0.34%	1.18%	0.22%	0.27%	0.27%	0.20%	0.0%	0.10%	1.32%	3.15%	1.28%	3.84%	0.18%	0.0%					
27	"10. ""Аграрная партия России"""	1708	17	21	26	28	16	26	38	14	36	13	30	17	20	18	13	26	14	25	23	6	11	10	22	18	24	19	30	19	32	26	32	33	25	26	20	38	35	19	20	23	30	33	31	41	20	17	19	9	30	20	26	21	21	32	23	29	24	31	18	16	25	9	6	1	9	1	3	3	13	25	11	21	9	5	10	16	2	1	3	1	4	6	4	3	1	4	2	2	0	5	2	4	5	77	4	1	5	0	3	2					
		1.96%	2.94%	3.81%	3.77%	4.34%	1.85%	1.59%	2.99%	2.14%	2.48%	2.26%	2.87%	1.94%	2.67%	1.82%	3.19%	2.17%	1.95%	1.79%	2.65%	1.26%	3.12%	2.48%	2.02%	2.10%	2.83%	3.64%	2.35%	2.48%	3.21%	2.87%	2.87%	3.30%	2.20%	2.44%	1.81%	3.45%	3.36%	2.50%	2.43%	2.69%	2.73%	2.74%	2.85%	4.39%	1.55%	2.14%	2.42%	1.71%	2.26%	1.70%	2.77%	1.91%	2.86%	2.59%	2.57%	2.57%	2.65%	1.59%	2.15%	2.62%	2.47%	2.19%	2.5%	1.03%	5.35%	2.27%	5.66%	4.61%	1.91%	2.00%	0.86%	1.84%	0.78%	0.39%	1.37%	2.68%	0.61%	0.59%	0.36%	0.08%	0.53%	0.65%	0.37%	0.51%	0.57%	1.31%	0.34%	0.59%	0.0%	0.69%	0.27%	0.27%	0.16%	1.60%	1.76%	1.05%	2.14%	0.0%	0.27%	0.32%					
28	"11. ""Истинные патриоты России"""	94	2	0	1	0	2	5	0	1	0	0	1	0	1	0	0	0	1	5	0	2	0	0	1	0	2	0	2	0	0	0	3	0	0	1	2	2	0	0	0	0	0	1	0	1	1	1	0	0	0	2	0	1	0	1	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	1	0	0	0	4	5	2	0	1	0	2	1	0	1	2	1	2	3	5	0	0	5	1	2	0					
		0.10%	0.34%	0.0%	0.14%	0.0%	0.23%	0.30%	0.0%	0.15%	0.0%	0.0%	0.09%	0.0%	0.13%	0.0%	0.0%	0.0%	0.13%	0.35%	0.0%	0.42%	0.0%	0.0%	0.09%	0.0%	0.23%	0.0%	0.15%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.09%	0.18%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.10%	0.07%	0.12%	0.0%	0.0%	0.0%	0.17%	0.0%	0.09%	0.0%	0.08%	0.0%	0.0%	0.0%	0.36%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.07%	0.27%	0.16%	0.0%	0.0%	0.0%	0.35%	0.66%	0.21%	0.0%	0.17%	0.0%	0.65%	0.17%	0.0%	0.22%	0.27%	0.13%	0.13%	0.09%	0.10%	0.0%	0.0%	2.14%	1.92%	0.18%	0.0%					
