Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																															
Дата голосования: 04.12.2011																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Нижневартовская городская																																																																																															
																																																																																															
Сводная таблица результатов выборов																																																																																															
																																																																																															
		Сумма	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1834	24	26	25	18	16	31	18	16	28	22	19	25	21	21	19	17	24	18	19	19	23	17	19	16	20	21	27	26	29	26	23	28	25	26	23	22	24	25	27	33	26	30	32	24	35	25	23	18	20	23	22	20	25	18	19	24	26	21	13	25	18	19	21	35	24	21	34	24	27	10	19	23	24	15	10	16	12	10	19	20	20	5	5	5	13	5	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1223	20	26	15	13	14	19	13	8	20	15	14	18	20	9	13	15	11	17	12	10	17	9	17	8	10	15	18	16	25	21	16	24	19	20	11	13	16	18	15	29	20	24	22	19	29	19	16	6	11	18	10	8	19	5	11	16	12	13	9	13	9	10	14	21	16	19	34	22	24	5	7	13	16	9	4	6	4	4	15	10	14	0	0	0	6	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	614	4	12	24	10	4	14	15	5	8	3	9	3	10	2	6	3	14	2	13	7	3	2	1	7	7	13	8	7	21	16	8	7	3	4	3	2	12	11	4	22	14	4	9	3	7	11	6	17	5	2	0	8	2	5	11	8	6	4	8	15	5	12	7	3	9	8	4	1	7	4	4	1	4	9	0	1	6	1	2	11	3	9	3	4	0	6	12	4					
14	Число погашенных неиспользованных открепительных удостоверений	611	4	0	10	5	2	12	5	8	8	7	5	7	1	12	6	2	13	1	7	9	6	8	2	8	10	6	9	10	4	5	7	4	6	6	12	9	8	7	12	4	6	6	10	5	6	6	7	12	9	5	12	12	6	13	8	8	14	8	4	12	9	9	7	14	8	2	0	2	3	5	12	10	8	6	6	10	8	6	4	10	6	5	5	5	7	3	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	2	1	2	1	2	1	0	1	1	0	1	0	6	2	0	0	3	0	2	2	3	2	1	0	0	2	2	1	3	1	1	2	1	1	0	0	3	0	0	2	1	1	2	2	2	0	0	0	1	2	0	2	1	1	3	3	0	1	1	2	0	0	3	3	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12890	187	159	150	103	103	133	104	101	135	122	155	126	143	160	143	143	236	155	181	122	180	132	153	109	142	228	186	225	169	183	93	114	119	237	205	162	194	184	270	215	234	232	223	236	172	198	187	151	152	168	151	113	121	147	147	195	187	162	114	202	110	132	212	220	217	192	200	167	229	34	161	205	147	80	60	75	46	46	90	130	125	9	13	9	72	22	27	7					
		15.70%	16.23%	12.75%	12.99%	13.32%	13.52%	13.17%	12.22%	12.66%	14.77%	14.47%	17.63%	15.81%	14.07%	15.08%	15.65%	16.03%	19.23%	16.10%	19.19%	14.02%	15.60%	16.38%	17.89%	13.66%	15.94%	20.50%	17.75%	17.97%	14.81%	17.48%	12.47%	18.51%	13.46%	18.36%	16.51%	13.97%	15.02%	14.06%	18.62%	18.55%	17.66%	17.76%	16.29%	18.14%	14.96%	16.02%	16.45%	16.38%	15.69%	15.89%	14.80%	12.01%	14.39%	15.51%	16.48%	16.74%	13.77%	18.08%	16.59%	15.61%	13.46%	14.32%	16.77%	17.67%	17.57%	18.41%	16.76%	17.63%	16.88%	13.55%	16.33%	17.54%	17.17%	12.84%	14.63%	11.26%	10.27%	12.92%	12.11%	11.64%	14.78%	11.11%	10.00%	8.91%	12.41%	10.05%	11.64%	4.86%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	18950	251	275	295	194	187	267	203	209	218	190	200	175	223	243	206	214	261	248	176	199	244	209	178	191	201	247	201	279	242	208	196	113	223	304	300	278	338	278	333	283	304	287	284	276	289	277	240	209	220	256	225	272	210	210	191	276	347	214	158	313	213	223	302	238	278	212	260	204	304	41	216	255	172	160	102	155	110	84	186	278	200	17	41	27	148	51	76	59					
		23.08%	21.79%	22.05%	25.54%	25.10%	24.54%	26.44%	23.85%	26.19%	23.85%	22.54%	22.75%	21.96%	21.95%	22.90%	22.54%	23.99%	21.27%	25.75%	18.66%	22.87%	21.14%	25.93%	20.82%	23.93%	22.56%	22.21%	19.18%	22.28%	21.21%	19.87%	26.27%	18.34%	25.23%	23.55%	24.15%	23.97%	26.16%	21.24%	22.97%	24.42%	22.94%	21.98%	20.75%	21.21%	25.13%	22.41%	21.11%	22.67%	22.70%	24.22%	22.06%	28.91%	24.97%	22.15%	21.41%	23.69%	25.55%	23.88%	22.99%	24.19%	26.07%	24.19%	23.89%	19.12%	22.51%	20.33%	21.79%	21.54%	22.40%	16.33%	21.91%	21.81%	20.09%	25.68%	24.88%	23.27%	24.55%	23.60%	25.03%	24.89%	23.64%	20.99%	31.54%	26.73%	25.52%	23.29%	32.76%	40.97%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1427	14	19	18	10	13	18	16	11	18	13	17	14	20	18	17	20	15	22	18	21	18	8	14	8	15	13	22	16	25	18	11	12	15	20	23	22	16	29	27	19	32	20	26	37	24	13	16	23	18	17	25	19	19	17	11	16	26	21	16	29	9	11	20	23	23	14	25	18	32	3	19	19	17	17	9	5	7	7	5	13	6	0	1	1	7	3	4	1					
		1.74%	1.22%	1.52%	1.56%	1.29%	1.71%	1.78%	1.88%	1.38%	1.97%	1.54%	1.93%	1.76%	1.97%	1.70%	1.86%	2.24%	1.22%	2.28%	1.91%	2.41%	1.56%	0.99%	1.64%	1.00%	1.68%	1.17%	2.10%	1.28%	2.19%	1.72%	1.47%	1.95%	1.70%	1.55%	1.85%	1.90%	1.24%	2.22%	1.86%	1.64%	2.42%	1.53%	1.90%	2.84%	2.09%	1.05%	1.41%	2.49%	1.86%	1.61%	2.45%	2.02%	2.26%	1.79%	1.23%	1.37%	1.91%	2.34%	2.33%	2.24%	1.10%	1.19%	1.58%	1.85%	1.86%	1.34%	2.10%	1.90%	2.36%	1.20%	1.93%	1.63%	1.99%	2.73%	2.20%	0.75%	1.56%	1.97%	0.67%	1.16%	0.71%	0.00%	0.77%	0.99%	1.21%	1.37%	1.72%	0.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14176	236	228	194	111	120	169	143	143	158	148	134	149	191	197	140	139	208	130	136	136	233	119	132	114	150	198	197	185	215	192	122	107	195	236	210	233	221	253	261	186	219	241	270	227	180	231	196	160	168	184	161	180	143	175	167	222	210	120	104	211	139	154	203	210	226	187	241	150	234	60	178	199	181	119	66	114	77	54	112	178	134	21	20	18	104	25	25	9					
		17.26%	20.49%	18.28%	16.80%	14.36%	15.75%	16.73%	16.80%	17.92%	17.29%	17.56%	15.24%	18.70%	18.80%	18.57%	15.32%	15.58%	16.95%	13.50%	14.42%	15.63%	20.19%	14.76%	15.44%	14.29%	16.84%	17.81%	18.80%	14.78%	18.84%	18.34%	16.35%	17.37%	22.06%	18.28%	16.91%	20.09%	17.11%	19.33%	18.00%	16.05%	16.53%	18.45%	19.72%	17.45%	15.65%	18.69%	17.24%	17.35%	17.34%	17.41%	15.78%	19.13%	17.00%	18.46%	18.72%	19.06%	15.46%	13.39%	15.14%	16.31%	17.01%	16.70%	16.06%	16.87%	18.30%	17.93%	20.20%	15.84%	17.24%	23.90%	18.05%	17.02%	21.14%	19.10%	16.10%	17.12%	17.19%	15.17%	15.07%	15.94%	15.84%	25.93%	15.38%	17.82%	17.93%	11.42%	10.78%	6.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3074	66	60	44	28	33	36	20	28	31	13	18	43	46	56	32	43	52	26	27	14	46	35	32	39	39	42	42	57	49	58	35	46	26	48	48	35	35	57	46	41	58	55	55	67	46	44	58	32	38	39	46	28	32	51	26	32	28	19	22	61	26	42	36	65	49	38	40	37	51	15	40	40	27	28	11	14	5	10	23	23	23	1	2	2	8	7	2	0					
		3.74%	5.73%	4.81%	3.81%	3.62%	4.33%	3.56%	2.35%	3.51%	3.39%	1.54%	2.05%	5.40%	4.53%	5.28%	3.50%	4.82%	4.24%	2.70%	2.86%	1.61%	3.99%	4.34%	3.74%	4.89%	4.38%	3.78%	4.01%	4.55%	4.29%	5.54%	4.69%	7.47%	2.94%	3.72%	3.86%	3.02%	2.71%	4.35%	3.17%	3.54%	4.38%	4.21%	4.02%	5.15%	4.00%	3.56%	5.10%	3.47%	3.92%	3.69%	4.51%	2.98%	3.80%	5.38%	2.91%	2.75%	2.06%	2.12%	3.20%	4.71%	3.18%	4.56%	2.85%	5.22%	3.97%	3.64%	3.35%	3.91%	3.76%	5.98%	4.06%	3.42%	3.15%	4.49%	2.68%	2.10%	1.12%	2.81%	3.10%	2.06%	2.72%	1.23%	1.54%	1.98%	1.38%	3.20%	0.86%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29451	370	452	424	305	286	363	337	280	329	334	324	275	366	365	347	308	422	355	387	356	407	287	319	312	334	358	366	462	411	369	272	204	287	417	419	394	454	475	488	395	448	434	461	429	418	428	407	330	353	368	391	303	296	329	321	397	520	334	258	453	288	339	462	455	416	374	399	334	472	94	341	416	277	204	146	282	192	150	305	460	335	32	53	40	231	103	95	63					
		35.87%	32.12%	36.25%	36.71%	39.46%	37.53%	35.94%	39.60%	35.09%	35.99%	39.62%	36.86%	34.50%	36.02%	34.40%	37.96%	34.53%	34.39%	36.86%	41.04%	40.92%	35.27%	35.61%	37.31%	39.10%	37.49%	32.19%	34.92%	36.90%	36.02%	35.24%	36.46%	33.12%	32.47%	32.30%	33.74%	33.97%	35.14%	36.29%	33.66%	34.08%	33.81%	33.23%	33.67%	32.97%	36.35%	34.63%	35.80%	35.79%	36.43%	34.82%	38.33%	32.20%	35.20%	34.70%	35.99%	34.08%	38.29%	37.28%	37.55%	35.01%	35.25%	36.77%	36.55%	36.55%	33.68%	35.86%	33.45%	35.27%	34.78%	37.45%	34.58%	35.59%	32.36%	32.74%	35.61%	42.34%	42.86%	42.13%	41.05%	41.18%	39.60%	39.51%	40.77%	39.60%	39.83%	47.03%	40.95%	43.75%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	474	6	8	8	3	6	6	6	6	8	3	6	2	6	8	6	4	5	5	1	7	4	3	4	2	8	5	7	4	8	9	4	5	5	3	8	6	10	7	4	2	10	13	15	6	8	11	4	3	2	9	8	5	3	7	6	6	7	7	2	6	5	7	10	3	12	6	5	6	9	1	9	8	5	5	3	2	3	0	6	5	3	0	0	0	3	0	1	1					
		0.58%	0.52%	0.64%	0.69%	0.39%	0.79%	0.59%	0.71%	0.75%	0.88%	0.36%	0.68%	0.25%	0.59%	0.75%	0.66%	0.45%	0.41%	0.52%	0.11%	0.80%	0.35%	0.37%	0.47%	0.25%	0.90%	0.45%	0.67%	0.32%	0.70%	0.86%	0.54%	0.81%	0.57%	0.23%	0.64%	0.52%	0.77%	0.53%	0.28%	0.17%	0.75%	0.99%	1.10%	0.46%	0.70%	0.89%	0.35%	0.33%	0.21%	0.85%	0.78%	0.53%	0.36%	0.74%	0.67%	0.52%	0.52%	0.78%	0.29%	0.46%	0.61%	0.76%	0.79%	0.24%	0.97%	0.58%	0.42%	0.63%	0.66%	0.40%	0.91%	0.68%	0.58%	0.80%	0.73%	0.30%	0.67%	0.00%	0.81%	0.45%	0.35%	0.00%	0.00%	0.00%	0.52%	0.00%	0.43%	0.69%					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
