Выборы Президента Российской Федерации																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Архангельск, Ломоносовская"																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №1083	УИК №1084	УИК №1085	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1157					
11	Число полученных открепительных  удостоверений	1440	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	608	48	40	19	27	25	19	26	34	17	21	29	24	23	23	16	29	24	25	26	13	21	27	23	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	631	14	28	28	23	32	20	22	37	11	40	30	16	23	15	40	18	20	20	22	15	29	24	12	50	6	28	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	832	12	20	41	33	35	41	34	26	43	39	31	36	37	37	44	31	36	35	34	47	39	33	37	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	37	1	1	1	1	2	0	4	1	4	2	2	2	1	1	2	1	1	1	0	0	2	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																			
18	. Глазьев Сергей Юрьевич	1397	63	30	31	60	41	47	56	30	37	65	76	43	61	45	49	60	78	85	56	51	84	73	33	66	3	5	2	3	1	0	5	1	0	2	2	3	3	3	2	1	0	2	2	1	0	0	0	3	3	2	4	1	1	2	2	1	1	1	0	3	1	0	1	0	1	3	0	2	2	1	0	0	0	1	0	0					
		3.76%	4.13%	2.63%	2.24%	4.02%	2.53%	3.33%	3.53%	1.97%	3.78%	3.50%	4.23%	3.10%	3.79%	4.23%	3.19%	3.51%	4.57%	4.82%	3.33%	3.93%	5.18%	4.38%	2.65%	5.66%	2.34%	4.10%	3.28%	3.16%	2.86%	0.00%	21.74%	4.35%	0.00%	8.33%	9.09%	14.29%	15.79%	13.64%	11.76%	4.76%	0.00%	10.00%	6.90%	5.00%	0.00%	0.00%	0.00%	16.67%	16.67%	11.11%	22.22%	5.88%	5.56%	12.50%	11.11%	6.67%	5.88%	6.67%	0.00%	20.00%	6.25%	0.00%	5.88%	0.00%	5.56%	9.68%	0.00%	8.33%	22.22%	6.25%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%					
19	. Малышкин Олег Александрович	583	27	11	30	31	27	21	21	28	18	33	29	21	29	19	24	22	23	25	27	16	23	16	17	15	0	3	1	7	0	0	0	1	0	1	1	2	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1					
		1.57%	1.77%	0.96%	2.17%	2.07%	1.66%	1.49%	1.32%	1.84%	1.84%	1.78%	1.61%	1.51%	1.80%	1.78%	1.56%	1.29%	1.35%	1.42%	1.60%	1.23%	1.42%	0.96%	1.36%	1.29%	0.00%	2.46%	1.64%	7.37%	0.00%	0.00%	0.00%	4.35%	0.00%	4.17%	4.55%	9.52%	5.26%	0.00%	5.88%	4.76%	0.00%	10.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	6.67%	0.00%	6.67%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.23%					
20	. Миронов Сергей Михайлович	292	9	8	8	16	12	13	15	14	7	20	14	9	20	4	8	16	10	12	15	7	11	9	9	12	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1					
		0.79%	0.59%	0.70%	0.58%	1.07%	0.74%	0.92%	0.94%	0.92%	0.71%	1.08%	0.78%	0.65%	1.24%	0.38%	0.52%	0.94%	0.59%	0.68%	0.89%	0.54%	0.68%	0.54%	0.72%	1.03%	0.78%	0.82%	3.28%	1.05%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	6.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	3.23%					
21	. Путин Владимир Владимирович	27535	1163	895	1097	1108	1263	1064	1195	1232	729	1360	1304	1061	1173	807	1154	1236	1229	1280	1228	964	1179	1117	933	814	109	90	42	77	33	15	14	18	17	20	14	11	10	13	12	17	16	9	17	13	15	16	16	10	12	11	10	11	7	11	11	6	14	10	12	7	12	8	10	8	14	19	22	10	5	10	12	11	9	12	14	28					
		74.18%	76.26%	78.37%	79.21%	74.16%	77.87%	75.35%	75.25%	81.11%	74.39%	73.32%	72.57%	76.44%	72.81%	75.77%	75.08%	72.24%	72.08%	72.56%	72.96%	74.21%	72.64%	67.09%	74.88%	69.75%	85.16%	73.77%	68.85%	81.05%	94.29%	62.50%	60.87%	78.26%	73.91%	83.33%	63.64%	52.38%	52.63%	59.09%	70.59%	80.95%	80.00%	45.00%	58.62%	65.00%	71.43%	80.00%	76.19%	55.56%	66.67%	61.11%	55.56%	64.71%	38.89%	68.75%	61.11%	40.00%	82.35%	66.67%	75.00%	46.67%	75.00%	53.33%	58.82%	80.00%	77.78%	61.29%	73.33%	41.67%	55.56%	62.50%	80.00%	84.62%	75.00%	92.31%	100.00%	90.32%					
22	. Хакамада Ирина Муцуовна	2955	101	88	74	116	137	120	136	85	72	162	161	95	135	68	116	162	129	139	126	109	129	208	107	121	5	3	2	2	0	2	1	0	1	0	1	1	1	0	0	1	1	1	1	0	2	2	2	0	0	0	0	1	2	1	2	3	1	2	1	0	1	1	2	2	0	2	6	1	1	0	0	1	0	0	0	0					
		7.96%	6.62%	7.71%	5.34%	7.76%	8.45%	8.50%	8.56%	5.60%	7.35%	8.73%	8.96%	6.84%	8.38%	6.38%	7.55%	9.47%	7.57%	7.88%	7.49%	8.39%	7.95%	12.49%	8.59%	10.37%	3.91%	2.46%	3.28%	2.11%	0.00%	8.33%	4.35%	0.00%	4.35%	0.00%	4.55%	4.76%	5.26%	0.00%	0.00%	4.76%	5.00%	5.00%	3.45%	0.00%	9.52%	10.00%	9.52%	0.00%	0.00%	0.00%	0.00%	5.88%	11.11%	6.25%	11.11%	20.00%	5.88%	13.33%	6.25%	0.00%	6.25%	6.67%	11.76%	20.00%	0.00%	6.45%	20.00%	4.17%	11.11%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2787	106	75	91	97	83	90	107	72	76	135	139	105	130	83	123	146	168	158	168	98	131	162	95	81	1	18	8	2	0	0	0	1	3	0	0	1	2	3	1	0	2	0	0	1	2	0	1	1	1	3	0	0	3	0	1	0	0	0	0	0	0	3	1	0	0	1	0	6	0	0	0	1	0	0	0	1					
		7.51%	6.95%	6.57%	6.57%	6.49%	5.12%	6.37%	6.74%	4.74%	7.76%	7.28%	7.74%	7.56%	8.07%	7.79%	8.00%	8.53%	9.85%	8.96%	9.98%	7.54%	8.07%	9.73%	7.62%	6.94%	0.78%	14.75%	13.11%	2.11%	0.00%	0.00%	0.00%	4.35%	13.04%	0.00%	0.00%	4.76%	10.53%	13.64%	5.88%	0.00%	10.00%	0.00%	0.00%	5.00%	9.52%	0.00%	4.76%	5.56%	5.56%	16.67%	0.00%	0.00%	16.67%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	5.88%	0.00%	0.00%	3.23%	0.00%	25.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	3.23%					
																																																																																			
24	Против всех	1452	51	27	47	60	57	49	54	55	40	78	68	50	56	35	62	60	59	63	60	51	63	71	48	56	9	1	4	1	1	6	3	2	2	1	4	3	2	3	0	1	1	5	7	5	2	2	2	4	2	2	4	4	4	2	2	4	1	1	2	5	2	0	2	0	3	4	1	5	1	5	3	0	2	0	0	0					
		3.91%	3.34%	2.36%	3.39%	4.02%	3.51%	3.47%	3.40%	3.62%	4.08%	4.20%	3.78%	3.60%	3.48%	3.29%	4.03%	3.51%	3.46%	3.57%	3.57%	3.93%	3.88%	4.26%	3.85%	4.80%	7.03%	0.82%	6.56%	1.05%	2.86%	25.00%	13.04%	8.70%	8.70%	4.17%	18.18%	14.29%	10.53%	13.64%	0.00%	4.76%	5.00%	25.00%	24.14%	25.00%	9.52%	10.00%	9.52%	22.22%	11.11%	11.11%	22.22%	23.53%	22.22%	12.50%	11.11%	26.67%	5.88%	6.67%	12.50%	33.33%	12.50%	0.00%	11.76%	0.00%	16.67%	12.90%	3.33%	20.83%	11.11%	31.25%	20.00%	0.00%	16.67%	0.00%	0.00%	0.00%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
