Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																									
Дата голосования: 18.09.2016																																																																																																																									
																																																																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Ленинская"																																																																																																																									
																																																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																									
																																																																																																																									
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4900	40	30	60	60	60	50	20	50	30	30	30	30	50	40	40	60	60	60	50	40	40	60	30	20	20	40	60	50	50	50	60	60	40	50	50	50	50	60	60	50	60	60	60	60	50	50	50	50	50	60	50	60	40	50	50	60	50	60	50	40	40	40	40	40	40	50	60	50	60	50	50	60	50	50	40	50	50	50	40	50	30	40	30	40	30	50	40	40	50	40	40	40	30	50	50	40	30	20	50	60	50	50	50	50	40	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1139	4	6	25	16	11	11	7	5	2	9	8	8	12	8	15	11	19	4	5	11	12	12	2	3	7	7	6	4	16	8	13	26	15	8	12	7	17	18	10	16	12	11	27	17	13	7	5	16	10	8	11	17	12	16	12	9	8	12	9	6	5	2	13	14	8	8	8	8	14	15	7	12	6	12	8	15	18	12	8	19	12	11	4	7	11	14	7	8	15	4	15	7	9	11	14	8	8	5	19	27	17	13	16	7	4	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	898	11	6	22	6	5	12	22	10	10	13	9	10	9	10	11	11	10	5	5	3	10	6	5	9	11	4	7	11	6	9	3	14	7	10	8	13	6	6	6	7	11	9	5	21	18	10	6	9	8	12	6	10	18	8	3	6	4	7	4	6	7	8	5	7	4	4	15	4	5	7	2	9	10	6	2	9	10	12	7	5	5	10	5	14	1	10	8	0	8	6	11	12	17	6	8	6	9	7	7	21	6	7	11	7	3	0	6	0	4	6									
14	Число погашенных неиспользованных открепительных удостоверений	3761	36	24	35	44	49	39	13	45	28	21	22	22	38	32	25	49	41	56	45	29	28	48	28	17	13	33	54	46	34	42	47	34	25	42	38	43	33	42	50	34	48	49	33	43	37	43	45	34	40	52	39	43	28	34	38	51	42	48	41	34	35	38	27	26	32	42	52	42	46	35	43	48	44	38	32	35	32	38	32	31	18	29	26	33	19	36	33	32	35	36	25	33	21	39	36	32	22	15	31	33	33	37	34	43	36	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	0	0	1	0	2	1	1	0	0	1	0	1	2	0	0	0	0	1	0	3	1	1	0	0	0	1	1	2	0	1	1	1	2	1	1	1	3	2	0	1	0	4	2	4	1	0	0	2	2	2	1	1	0	2	2	0	1	0	1	0	1	0	0	2	1	3	0	1	1	2	0	0	0	2	1	0	0	5	0	2	0	2	1	0	0	2	0	0	0	1	2	2	0	0	2	0	2	1	3	2	0	0	2	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2001	29	14	39	22	35	31	13	5	16	18	12	10	29	17	19	31	20	10	12	12	27	18	3	4	13	8	14	15	23	25	17	38	22	18	23	10	36	11	15	11	12	24	36	27	22	12	12	15	21	19	28	24	16	16	14	16	32	25	21	18	13	4	15	12	10	16	7	18	7	20	16	27	27	21	13	22	30	21	12	24	14	14	18	23	11	28	21	12	38	19	21	33	18	11	32	22	10	0	25	33	20	24	17	22	16	1	2	2	2	2									
		3.22%	5.26%	3.85%	4.40%	2.85%	5.31%	4.70%	4.02%	1.21%	4.58%	4.80%	3.05%	2.27%	4.04%	3.07%	3.61%	3.44%	2.99%	1.59%	1.99%	3.77%	5.18%	2.05%	1.05%	3.23%	5.58%	2.56%	1.97%	3.11%	3.10%	3.75%	2.48%	4.60%	3.57%	2.80%	4.32%	1.75%	5.33%	1.56%	2.07%	1.87%	1.59%	3.15%	4.09%	3.23%	3.85%	2.27%	1.95%	2.21%	3.33%	2.57%	4.19%	3.59%	3.11%	2.36%	1.95%	2.66%	4.39%	3.01%	2.88%	4.83%	3.19%	0.85%	3.30%	2.04%	2.26%	2.83%	1.06%	2.75%	1.02%	3.08%	2.40%	3.46%	4.61%	3.23%	2.19%	3.58%	3.74%	2.83%	2.55%	3.53%	3.68%	3.00%	3.77%	4.49%	3.03%	3.92%	3.55%	3.93%	5.70%	4.91%	4.08%	4.80%	3.62%	1.95%	5.08%	5.00%	2.23%	0.00%	3.64%	4.44%	3.42%	3.25%	2.51%	3.04%	4.03%	0.84%	6.90%	3.45%	3.33%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1946	12	4	19	29	6	13	9	10	10	13	8	14	18	15	14	36	25	25	14	13	11	25	11	8	2	9	24	12	19	22	28	21	17	15	14	23	26	26	34	28	24	32	21	22	14	17	21	18	33	12	25	28	14	22	25	20	28	22	26	14	8	15	14	22	16	19	19	26	21	23	37	18	18	18	16	20	23	24	8	22	10	11	11	8	11	23	21	7	19	13	11	21	16	11	18	12	12	7	16	20	26	37	27	31	14	8	0	5	2	11									
		3.13%	2.18%	1.10%	2.14%	3.76%	0.91%	1.97%	2.79%	2.42%	2.87%	3.47%	2.03%	3.17%	2.51%	2.71%	2.66%	3.99%	3.75%	3.97%	2.32%	4.09%	2.11%	2.85%	3.83%	6.45%	0.86%	2.88%	3.37%	2.49%	2.56%	3.30%	4.08%	2.54%	2.76%	2.34%	2.63%	4.03%	3.85%	3.69%	4.68%	4.76%	3.17%	4.19%	2.39%	2.63%	2.45%	3.22%	3.41%	2.65%	5.23%	1.62%	3.74%	4.19%	2.72%	3.25%	3.49%	3.33%	3.84%	2.65%	3.57%	3.75%	1.96%	3.18%	3.08%	3.75%	3.61%	3.36%	2.88%	3.97%	3.06%	3.54%	5.55%	2.30%	3.07%	2.76%	2.69%	3.25%	2.86%	3.24%	1.70%	3.24%	2.63%	2.36%	2.30%	1.56%	3.03%	3.22%	3.55%	2.30%	2.85%	3.36%	2.14%	3.05%	3.22%	1.95%	2.86%	2.73%	2.68%	3.26%	2.33%	2.69%	4.45%	5.01%	3.99%	4.29%	3.53%	6.72%	0.00%	8.62%	3.33%	6.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1243	23	6	16	8	14	7	9	3	8	7	4	10	11	8	9	22	11	11	6	8	7	11	1	2	5	7	6	5	20	10	15	13	11	11	8	12	17	8	13	22	20	21	20	17	9	15	16	15	23	17	14	13	11	18	8	17	7	19	19	2	6	11	11	6	5	9	12	14	12	15	15	15	10	16	15	9	20	8	6	12	4	14	10	5	8	6	15	11	7	9	16	13	12	10	17	10	19	2	11	19	16	20	20	11	7	5	1	2	1	9									
		1.99%	4.17%	1.65%	1.80%	1.04%	2.12%	1.06%	2.79%	0.73%	2.29%	1.87%	1.02%	2.27%	1.53%	1.44%	1.71%	2.44%	1.65%	1.75%	0.99%	2.52%	1.34%	1.25%	0.35%	1.61%	2.15%	2.24%	0.84%	1.04%	2.69%	1.50%	2.19%	1.57%	1.78%	1.71%	1.50%	2.10%	2.51%	1.13%	1.79%	3.74%	2.65%	2.75%	2.27%	2.03%	1.58%	2.84%	2.60%	2.21%	3.65%	2.30%	2.09%	1.94%	2.14%	2.66%	1.12%	2.83%	0.96%	2.29%	2.61%	0.54%	1.47%	2.33%	2.42%	1.02%	1.13%	1.59%	1.82%	2.14%	1.75%	2.31%	2.25%	1.92%	1.71%	2.46%	2.53%	1.46%	2.49%	1.08%	1.28%	1.76%	1.05%	3.00%	2.09%	0.98%	2.20%	0.84%	2.54%	3.61%	1.05%	2.33%	3.11%	1.89%	2.41%	1.77%	2.70%	2.27%	4.24%	0.93%	1.60%	2.56%	2.74%	2.71%	2.96%	1.52%	1.76%	4.20%	3.45%	3.45%	1.67%	5.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22119	152	112	303	257	226	221	80	130	123	117	122	151	238	166	190	313	237	239	293	138	169	397	140	57	84	136	403	148	239	200	250	291	213	218	180	209	221	261	256	209	284	306	315	318	202	228	221	261	233	319	250	265	181	227	242	215	246	267	235	143	147	192	188	236	144	187	245	232	263	226	253	290	211	243	184	215	267	255	163	199	125	133	162	174	129	230	198	91	211	141	177	256	166	172	161	153	162	76	241	258	221	267	258	241	152	43	11	23	33	67									
		35.59%	27.59%	30.77%	34.16%	33.33%	34.29%	33.54%	24.77%	31.48%	35.24%	31.20%	30.96%	34.24%	33.15%	29.96%	36.05%	34.74%	35.53%	37.99%	48.59%	43.40%	32.44%	45.27%	48.78%	45.97%	36.05%	43.59%	56.60%	30.71%	32.17%	30.03%	36.44%	35.23%	34.52%	33.96%	33.77%	36.60%	32.69%	37.02%	35.26%	35.54%	37.57%	40.10%	35.80%	37.99%	35.38%	43.18%	35.93%	38.44%	36.93%	43.11%	37.37%	39.61%	35.21%	33.53%	33.75%	35.77%	33.74%	32.17%	32.28%	38.34%	36.03%	40.68%	41.32%	40.20%	32.51%	33.10%	37.18%	35.42%	38.28%	34.77%	37.93%	37.13%	36.01%	37.33%	30.98%	34.96%	33.25%	34.41%	34.68%	29.26%	32.89%	28.54%	33.89%	33.98%	35.54%	32.17%	33.50%	29.84%	31.63%	36.43%	34.37%	37.21%	33.40%	30.44%	25.56%	34.77%	36.16%	35.35%	35.08%	34.72%	37.84%	36.18%	38.17%	33.33%	38.29%	36.13%	37.93%	39.66%	55.00%	39.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	550	10	1	15	10	9	12	4	3	6	0	0	5	12	3	8	11	8	9	4	1	6	5	0	0	2	1	5	5	6	7	5	6	3	2	5	4	6	2	6	2	5	1	7	4	5	4	5	4	3	6	3	9	4	6	6	4	9	9	5	0	3	4	1	6	0	3	6	5	6	6	4	7	4	6	8	7	7	8	4	7	5	4	7	5	3	6	10	7	14	5	6	7	4	11	6	5	6	1	10	4	2	3	2	5	1	1	0	0	0	0									
		0.88%	1.81%	0.27%	1.69%	1.30%	1.37%	1.82%	1.24%	0.73%	1.72%	0.00%	0.00%	1.13%	1.67%	0.54%	1.52%	1.22%	1.20%	1.43%	0.66%	0.31%	1.15%	0.57%	0.00%	0.00%	0.86%	0.32%	0.70%	1.04%	0.81%	1.05%	0.73%	0.73%	0.49%	0.31%	0.94%	0.70%	0.89%	0.28%	0.83%	0.34%	0.66%	0.13%	0.80%	0.48%	0.88%	0.76%	0.81%	0.59%	0.48%	0.81%	0.45%	1.35%	0.78%	0.89%	0.84%	0.67%	1.23%	1.08%	0.69%	0.00%	0.74%	0.85%	0.22%	1.02%	0.00%	0.53%	0.91%	0.76%	0.87%	0.92%	0.60%	0.90%	0.68%	0.92%	1.35%	1.14%	0.87%	1.08%	0.85%	1.03%	1.32%	0.86%	1.46%	0.98%	0.83%	0.84%	1.69%	2.30%	2.10%	1.29%	1.17%	1.02%	0.80%	1.95%	0.95%	1.14%	1.34%	0.47%	1.46%	0.54%	0.34%	0.41%	0.30%	0.69%	0.25%	0.84%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	148	1	1	1	4	3	5	1	4	0	0	1	3	0	2	1	3	2	0	1	1	1	0	2	0	0	0	2	0	2	3	0	4	4	1	0	0	1	0	3	0	1	1	2	2	1	3	3	1	2	1	3	0	0	0	1	2	1	0	2	0	1	1	0	1	1	3	1	3	1	1	2	0	1	1	0	3	6	1	1	1	0	0	2	1	0	1	1	0	4	3	2	1	4	2	3	0	0	0	3	1	1	2	1	1	0	1	1	0	0	1									
		0.24%	0.18%	0.27%	0.11%	0.52%	0.46%	0.76%	0.31%	0.97%	0.00%	0.00%	0.25%	0.68%	0.00%	0.36%	0.19%	0.33%	0.30%	0.00%	0.17%	0.31%	0.19%	0.00%	0.70%	0.00%	0.00%	0.00%	0.28%	0.00%	0.27%	0.45%	0.00%	0.48%	0.65%	0.16%	0.00%	0.00%	0.15%	0.00%	0.41%	0.00%	0.13%	0.13%	0.23%	0.24%	0.18%	0.57%	0.49%	0.15%	0.32%	0.14%	0.45%	0.00%	0.00%	0.00%	0.14%	0.33%	0.14%	0.00%	0.27%	0.00%	0.25%	0.21%	0.00%	0.17%	0.23%	0.53%	0.15%	0.46%	0.15%	0.15%	0.30%	0.00%	0.17%	0.15%	0.00%	0.49%	0.75%	0.13%	0.21%	0.15%	0.00%	0.00%	0.42%	0.20%	0.00%	0.14%	0.17%	0.00%	0.60%	0.78%	0.39%	0.15%	0.80%	0.35%	0.48%	0.00%	0.00%	0.00%	0.44%	0.13%	0.17%	0.27%	0.15%	0.14%	0.00%	0.84%	3.45%	0.00%	0.00%	0.59%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9911	60	45	115	126	87	87	42	102	51	50	54	61	75	80	70	125	84	107	137	52	59	186	72	23	54	69	126	91	103	107	113	132	114	117	89	96	106	119	126	106	145	113	151	192	106	83	101	104	94	131	92	87	78	94	89	116	96	125	133	81	85	94	96	107	83	87	133	101	129	106	94	113	83	88	104	100	141	142	64	100	39	52	61	86	57	123	67	47	113	57	93	88	55	86	91	68	69	38	95	128	73	106	93	111	64	18	3	8	8	35									
		15.95%	10.89%	12.36%	12.97%	16.34%	13.20%	13.20%	13.00%	24.70%	14.61%	13.33%	13.71%	13.83%	10.45%	14.44%	13.28%	13.87%	12.59%	17.01%	22.72%	16.35%	11.32%	21.21%	25.09%	18.55%	23.18%	22.12%	17.70%	18.88%	13.86%	16.07%	16.47%	15.98%	18.48%	18.22%	16.70%	16.81%	15.68%	16.88%	17.36%	18.03%	19.18%	14.81%	17.16%	22.94%	18.56%	15.72%	16.42%	15.32%	14.90%	17.70%	13.75%	13.00%	15.18%	13.88%	12.41%	19.30%	13.17%	15.06%	18.27%	21.72%	20.83%	19.92%	21.10%	18.23%	18.74%	15.40%	20.18%	15.42%	18.78%	16.31%	14.09%	14.47%	14.16%	13.52%	17.51%	16.26%	17.56%	19.16%	13.62%	14.71%	10.26%	11.16%	12.76%	16.80%	15.70%	17.20%	11.34%	15.41%	16.94%	14.73%	18.06%	12.79%	11.07%	15.22%	14.44%	15.45%	15.40%	17.67%	13.83%	17.23%	12.50%	14.36%	13.76%	15.35%	16.12%	15.13%	10.34%	13.79%	13.33%	20.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	849	9	7	18	20	28	32	8	6	6	10	8	5	9	14	7	8	11	5	3	4	11	10	0	2	4	6	3	11	8	10	8	15	3	7	10	3	5	10	9	13	15	8	6	5	6	4	11	6	3	5	7	8	11	5	9	5	20	9	7	6	4	5	2	3	4	5	11	10	5	12	6	14	5	11	11	3	12	10	2	9	6	10	4	9	4	8	3	5	10	7	10	11	11	6	13	3	2	4	5	10	4	8	6	16	6	1	0	1	0	0									
		1.37%	1.63%	1.92%	2.03%	2.59%	4.25%	4.86%	2.48%	1.45%	1.72%	2.67%	2.03%	1.13%	1.25%	2.53%	1.33%	0.89%	1.65%	0.79%	0.50%	1.26%	2.11%	1.14%	0.00%	1.61%	1.72%	1.92%	0.42%	2.28%	1.08%	1.50%	1.17%	1.82%	0.49%	1.09%	1.88%	0.53%	0.74%	1.42%	1.24%	2.21%	1.98%	1.05%	0.68%	0.60%	1.05%	0.76%	1.79%	0.88%	0.48%	0.68%	1.05%	1.20%	2.14%	0.74%	1.26%	0.83%	2.74%	1.08%	0.96%	1.61%	0.98%	1.06%	0.44%	0.51%	0.90%	0.88%	1.67%	1.53%	0.73%	1.85%	0.90%	1.79%	0.85%	1.69%	1.85%	0.49%	1.49%	1.35%	0.43%	1.32%	1.58%	2.15%	0.84%	1.76%	1.10%	1.12%	0.51%	1.64%	1.50%	1.81%	1.94%	1.60%	2.21%	1.06%	2.06%	0.68%	0.45%	1.86%	0.73%	1.35%	0.68%	1.08%	0.89%	2.21%	1.51%	0.84%	0.00%	1.72%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	818	18	14	21	12	25	15	13	2	1	17	6	6	16	11	14	12	17	9	0	8	12	5	1	3	4	1	2	10	5	6	7	14	4	14	10	3	4	14	7	3	6	2	6	4	6	3	8	10	4	8	2	4	10	7	8	10	7	14	6	5	3	1	7	2	4	7	6	5	3	3	10	5	9	11	8	5	3	5	8	13	7	8	9	6	5	15	5	9	13	5	9	1	1	14	19	11	7	0	14	12	4	7	5	7	5	2	0	1	2	1									
