Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Кущевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849									
		48.18%	46.30%	46.67%	44.17%	46.23%	45.23%	43.55%	40.93%	42.31%	44.33%	43.60%	44.91%	42.00%	49.82%	72.64%	45.71%	60.87%	63.10%	51.72%	41.53%	52.11%	55.04%	50.13%	45.71%	44.55%	53.18%	51.29%	48.10%	66.21%	54.72%	50.27%	51.90%	43.42%	61.25%	52.39%	50.75%	49.30%	33.85%	49.00%	47.95%	53.33%	59.83%	64.95%	47.51%	54.70%	51.92%	65.38%	48.51%	51.21%	44.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	108	3	5	8	1	5	6	1	3	9	6	8	0	3	0	1	1	0	2	2	0	2	0	4	1	0	5	2	1	3	1	5	0	2	3	2	1	2	0	1	0	0	2	3	0	0	0	3	1	0									
		0.49%	0.34%	0.54%	0.91%	0.17%	0.55%	0.63%	0.16%	0.50%	0.96%	0.58%	0.69%	0.00%	1.07%	0.00%	0.57%	0.72%	0.00%	0.99%	0.46%	0.00%	0.42%	0.00%	0.82%	0.99%	0.00%	0.68%	0.36%	0.69%	0.73%	0.54%	0.60%	0.00%	0.54%	0.65%	0.50%	1.41%	1.54%	0.00%	0.68%	0.00%	0.00%	0.93%	0.68%	0.00%	0.00%	0.00%	0.22%	0.17%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	40	1	2	1	1	6	1	0	3	1	1	0	0	0	0	0	0	0	1	1	0	1	2	2	1	0	3	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	2	0	0									
		0.18%	0.11%	0.22%	0.11%	0.17%	0.67%	0.10%	0.00%	0.50%	0.11%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.23%	0.00%	0.21%	0.18%	0.41%	0.99%	0.00%	0.41%	0.18%	0.69%	0.00%	0.54%	0.12%	0.26%	0.00%	0.22%	0.25%	0.00%	0.00%	0.00%	0.68%	0.74%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4338	165	179	176	123	183	185	160	137	273	200	228	38	63	11	45	17	8	25	103	17	65	204	91	23	92	123	102	14	75	29	165	85	38	54	61	14	29	18	26	32	38	41	75	20	22	11	282	125	48									
		19.49%	18.77%	19.25%	19.93%	20.60%	20.29%	19.41%	24.81%	22.91%	29.23%	19.38%	19.69%	25.33%	22.42%	10.38%	25.71%	12.32%	9.52%	12.32%	23.90%	23.94%	13.66%	18.10%	18.57%	22.77%	19.49%	16.69%	18.44%	9.66%	18.16%	15.68%	19.64%	22.37%	10.30%	11.74%	15.25%	19.72%	22.31%	18.00%	17.81%	23.70%	16.59%	19.16%	16.97%	17.09%	21.15%	10.58%	20.95%	21.55%	19.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	72	3	3	2	0	7	2	1	1	4	2	9	0	0	1	0	0	0	0	1	0	1	3	3	0	1	2	1	0	1	2	5	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	3	0									
		0.32%	0.34%	0.32%	0.23%	0.00%	0.78%	0.21%	0.16%	0.17%	0.43%	0.19%	0.78%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.21%	0.27%	0.61%	0.00%	0.21%	0.27%	0.18%	0.00%	0.24%	1.08%	0.60%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.59%	0.52%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	117	5	7	7	2	8	11	6	1	3	12	8	0	2	0	0	0	0	0	0	0	1	3	1	0	4	9	3	0	0	0	5	1	1	0	0	0	0	1	1	1	2	0	1	1	0	2	3	2	3									
		0.53%	0.57%	0.75%	0.79%	0.34%	0.89%	1.15%	0.93%	0.17%	0.32%	1.16%	0.69%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.27%	0.20%	0.00%	0.85%	1.22%	0.54%	0.00%	0.00%	0.00%	0.60%	0.26%	0.27%	0.00%	0.00%	0.00%	0.00%	1.00%	0.68%	0.74%	0.87%	0.00%	0.23%	0.85%	0.00%	1.92%	0.22%	0.34%	1.23%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	1	0	1	1	1	3	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0									
		0.12%	0.11%	0.00%	0.11%	0.17%	0.11%	0.31%	0.16%	0.00%	0.11%	0.00%	0.17%	0.00%	0.00%	0.94%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.99%	0.21%	0.14%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	202	10	10	14	9	12	10	2	6	6	14	15	0	0	0	2	3	1	0	1	0	1	12	9	0	6	8	5	2	1	0	8	1	1	1	3	0	0	0	1	1	1	1	15	0	0	0	7	3	0									
		0.91%	1.14%	1.08%	1.59%	1.51%	1.33%	1.05%	0.31%	1.00%	0.64%	1.36%	1.30%	0.00%	0.00%	0.00%	1.14%	2.17%	1.19%	0.00%	0.23%	0.00%	0.21%	1.06%	1.84%	0.00%	1.27%	1.09%	0.90%	1.38%	0.24%	0.00%	0.95%	0.26%	0.27%	0.22%	0.75%	0.00%	0.00%	0.00%	0.68%	0.74%	0.44%	0.47%	3.39%	0.00%	0.00%	0.00%	0.52%	0.52%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3721	150	162	168	97	155	192	122	106	106	199	210	26	49	8	32	10	9	40	102	11	93	180	89	10	60	103	79	12	58	42	129	73	65	79	65	9	21	10	33	21	26	15	88	19	26	9	232	72	49									
		16.72%	17.06%	17.42%	19.03%	16.25%	17.18%	20.15%	18.91%	17.73%	11.35%	19.28%	18.13%	17.33%	17.44%	7.55%	18.29%	7.25%	10.71%	19.70%	23.67%	15.49%	19.54%	15.97%	18.16%	9.90%	12.71%	13.98%	14.29%	8.28%	14.04%	22.70%	15.36%	19.21%	17.62%	17.17%	16.25%	12.68%	16.15%	10.00%	22.60%	15.56%	11.35%	7.01%	19.91%	16.24%	25.00%	8.65%	17.24%	12.41%	20.16%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	75	1	1	4	3	1	3	1	1	5	1	6	1	0	1	0	1	0	0	3	0	7	7	0	0	2	5	5	0	1	0	1	0	0	3	1	0	0	0	0	0	0	1	2	0	0	1	2	3	1									
		0.34%	0.11%	0.11%	0.45%	0.50%	0.11%	0.31%	0.16%	0.17%	0.54%	0.10%	0.52%	0.67%	0.00%	0.94%	0.00%	0.72%	0.00%	0.00%	0.70%	0.00%	1.47%	0.62%	0.00%	0.00%	0.42%	0.68%	0.90%	0.00%	0.24%	0.00%	0.12%	0.00%	0.00%	0.65%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.45%	0.00%	0.00%	0.96%	0.15%	0.52%	0.41%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	950	54	52	36	22	36	32	16	34	20	46	55	12	9	4	9	12	6	14	9	2	10	45	15	9	25	41	50	3	16	6	24	27	10	25	14	3	15	13	8	5	5	3	23	1	1	5	39	17	12									
		4.27%	6.14%	5.59%	4.08%	3.69%	3.99%	3.36%	2.48%	5.69%	2.14%	4.46%	4.75%	8.00%	3.20%	3.77%	5.14%	8.70%	7.14%	6.90%	2.09%	2.82%	2.10%	3.99%	3.06%	8.91%	5.30%	5.56%	9.04%	2.07%	3.87%	3.24%	2.86%	7.11%	2.71%	5.43%	3.50%	4.23%	11.54%	13.00%	5.48%	3.70%	2.18%	1.40%	5.20%	0.85%	0.96%	4.81%	2.90%	2.93%	4.94%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
