Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
"Наименование Избирательной комиссии:    Калуга, Октябрьская"																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  5181	УИК  5182	УИК  5183	УИК  5184	УИК  5185	УИК  5186					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1589	35	35	35	35	35	30	35	35	30	30	29	20	35	35	35	30	35	35	30	35	30	35	35	35	35	35	35	35	35	30	20	30	30	35	35	30	35	35	35	35	35	20	20	20	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	367	7	12	4	7	12	5	5	8	10	4	6	6	10	14	10	13	11	14	10	12	8	11	14	12	12	4	10	11	8	4	0	8	3	3	9	4	23	15	9	8	9	2	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	322	4	9	4	6	3	2	4	9	3	12	7	4	6	13	7	24	10	4	11	10	11	9	6	11	6	4	11	11	6	3	12	6	3	9	7	3	3	4	5	5	1	1	5	1	10	6	1	5	3	2					
14	Число погашенных открепительных удостоверений	1222	28	23	31	28	23	25	30	27	20	26	23	14	25	21	25	17	24	21	20	23	22	24	21	23	23	31	25	24	27	26	20	22	27	32	26	26	12	20	26	27	26	18	20	20	30	30	30	30	30	30					
15	Число открепительных удостоверений выданных ТИК	88	2	2	1	1	1	4	5	2	3	2	5	0	2	2	2	2	2	4	0	1	0	1	2	1	3	5	2	1	1	3	0	0	5	5	0	0	2	5	1	3	1	0	2	2	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	451	4	8	12	9	3	4	6	7	5	6	5	2	8	6	11	5	5	6	10	7	5	10	9	6	10	9	11	7	3	2	7	11	6	8	4	4	8	14	10	8	15	0	1	7	18	26	21	17	33	32					
		0.79%	0.30%	0.57%	1.18%	0.83%	0.36%	0.58%	0.64%	0.52%	0.77%	0.82%	0.68%	0.40%	0.66%	0.50%	0.93%	0.44%	0.42%	0.51%	0.94%	0.57%	0.62%	0.77%	0.71%	0.43%	0.85%	0.71%	0.85%	0.51%	0.27%	0.35%	1.21%	1.12%	0.93%	0.74%	0.35%	0.65%	0.55%	1.07%	0.80%	0.60%	1.34%	0.0%	0.62%	1.62%	0.82%	0.99%	0.90%	1.06%	1.60%	1.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1720	42	48	30	30	27	16	37	43	29	29	32	29	51	54	49	42	59	54	56	47	29	44	67	52	33	32	48	60	26	15	5	33	24	31	28	15	31	48	29	43	24	0	1	9	68	29	21	16	24	31					
		3.02%	3.20%	3.46%	2.95%	2.77%	3.26%	2.34%	3.99%	3.25%	4.48%	3.97%	4.35%	5.81%	4.20%	4.50%	4.16%	3.76%	5.03%	4.63%	5.29%	3.89%	3.64%	3.39%	5.33%	3.79%	2.82%	2.53%	3.72%	4.39%	2.42%	2.63%	0.86%	3.38%	3.74%	2.87%	2.51%	2.43%	2.15%	3.68%	2.33%	3.24%	2.15%	0.0%	0.62%	2.09%	3.11%	1.10%	0.90%	0.99%	1.16%	1.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1455	35	28	24	32	28	11	17	43	26	17	29	20	42	41	38	40	39	31	31	46	23	38	25	35	30	33	26	19	36	12	17	32	14	33	22	19	51	26	39	29	28	7	2	17	42	34	42	35	34	37					
		2.56%	2.66%	2.02%	2.36%	2.95%	3.38%	1.61%	1.83%	3.25%	4.01%	2.32%	3.95%	4.00%	3.46%	3.42%	3.22%	3.58%	3.32%	2.66%	2.93%	3.81%	2.88%	2.93%	1.98%	2.55%	2.56%	2.61%	2.01%	1.39%	3.35%	2.10%	2.95%	3.27%	2.18%	3.05%	1.97%	3.08%	3.54%	1.99%	3.14%	2.18%	2.51%	7.77%	1.25%	3.95%	1.92%	1.29%	1.80%	2.18%	1.65%	1.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2437	62	65	44	50	46	27	44	43	42	59	39	26	61	78	75	73	77	89	59	55	38	65	81	93	84	69	71	76	22	23	6	70	33	40	47	37	83	50	42	45	34	2	3	11	78	21	47	16	6	30					
		4.28%	4.72%	4.69%	4.33%	4.61%	5.56%	3.95%	4.75%	3.25%	6.49%	8.08%	5.31%	5.21%	5.03%	6.51%	6.37%	6.54%	6.56%	7.63%	5.57%	4.55%	4.77%	5.01%	6.44%	6.79%	7.17%	5.46%	5.51%	5.57%	2.05%	4.03%	1.04%	7.17%	5.14%	3.70%	4.22%	6.01%	5.76%	3.84%	3.38%	3.39%	3.05%	2.22%	1.88%	2.55%	3.57%	0.80%	2.02%	0.99%	0.29%	1.47%					
22	"5. ""За Русь Святую"""	422	14	12	11	4	1	7	11	9	3	4	6	4	11	9	8	6	8	14	12	17	6	12	3	17	10	11	10	8	18	6	3	8	6	12	17	10	3	6	18	4	9	1	0	2	5	13	2	14	8	9					
		0.74%	1.06%	0.86%	1.08%	0.36%	0.12%	1.02%	1.18%	0.68%	0.46%	0.54%	0.81%	0.80%	0.90%	0.75%	0.67%	0.53%	0.68%	1.20%	1.13%	1.40%	0.75%	0.92%	0.23%	1.24%	0.85%	0.87%	0.77%	0.58%	1.67%	1.05%	0.52%	0.81%	0.93%	1.11%	1.52%	1.62%	0.20%	0.46%	1.45%	0.30%	0.80%	1.11%	0.0%	0.46%	0.22%	0.49%	0.08%	0.87%	0.38%	0.44%					
23	"6. ""Объединенная Российская партия ""Русь"""	127	1	1	5	4	1	1	1	2	1	1	1	0	0	1	4	1	1	3	3	2	2	3	3	6	4	4	1	2	0	1	1	3	0	3	5	2	6	0	1	6	6	0	1	1	5	3	12	3	0	9					
		0.22%	0.07%	0.07%	0.49%	0.36%	0.12%	0.14%	0.10%	0.15%	0.15%	0.13%	0.13%	0.0%	0.0%	0.08%	0.33%	0.08%	0.08%	0.25%	0.28%	0.16%	0.25%	0.23%	0.23%	0.43%	0.34%	0.31%	0.07%	0.14%	0.0%	0.17%	0.17%	0.30%	0.0%	0.27%	0.44%	0.32%	0.41%	0.0%	0.08%	0.45%	0.53%	0.0%	0.62%	0.23%	0.22%	0.11%	0.51%	0.18%	0.0%	0.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	509	11	17	19	13	7	5	5	20	5	8	4	6	11	18	17	16	16	16	21	11	7	8	11	23	14	24	21	12	12	5	3	5	3	7	13	5	18	10	12	17	11	1	0	1	3	7	3	1	3	3					
		0.89%	0.83%	1.22%	1.87%	1.20%	0.84%	0.73%	0.53%	1.51%	0.77%	1.09%	0.54%	1.20%	0.90%	1.50%	1.44%	1.43%	1.36%	1.37%	1.98%	0.91%	0.87%	0.61%	0.87%	1.68%	1.19%	1.90%	1.63%	0.87%	1.11%	0.87%	0.52%	0.51%	0.46%	0.64%	1.16%	0.81%	1.25%	0.76%	0.96%	1.28%	0.98%	1.11%	0.0%	0.23%	0.13%	0.26%	0.12%	0.06%	0.14%	0.14%					
25	"8. ""Народно-республиканская партия России"""	53	0	2	2	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	1	1	1	3	1	0	0	8	0	1	1	0	1	1	0	2	0	0	2	0	2	0	1	1	1	0	1	1	8	2	0	3					
		0.09%	0.0%	0.14%	0.19%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.25%	0.08%	0.0%	0.0%	0.0%	0.09%	0.08%	0.12%	0.23%	0.07%	0.0%	0.0%	0.63%	0.0%	0.07%	0.09%	0.0%	0.17%	0.10%	0.0%	0.18%	0.0%	0.0%	0.13%	0.0%	0.16%	0.0%	0.08%	1.11%	0.62%	0.0%	0.04%	0.03%	0.34%	0.12%	0.0%	0.14%					
26	"9. ""Российская экологическая партия ""Зеленые"""	225	1	11	6	4	4	4	0	3	3	5	3	2	9	5	10	1	8	7	5	7	7	10	5	7	5	3	7	3	4	2	1	4	0	5	5	3	4	9	4	7	3	0	0	2	1	4	9	5	1	7					
		0.39%	0.07%	0.79%	0.59%	0.36%	0.48%	0.58%	0.0%	0.22%	0.46%	0.68%	0.40%	0.40%	0.74%	0.41%	0.84%	0.08%	0.68%	0.60%	0.47%	0.57%	0.87%	0.77%	0.39%	0.51%	0.42%	0.23%	0.54%	0.21%	0.37%	0.35%	0.17%	0.40%	0.0%	0.46%	0.44%	0.48%	0.27%	0.69%	0.32%	0.52%	0.26%	0.0%	0.0%	0.46%	0.04%	0.15%	0.38%	0.31%	0.04%	0.34%					
27	"10. ""Аграрная партия России"""	1446	36	27	28	29	21	21	30	48	9	17	22	16	30	25	48	27	27	35	31	22	22	35	25	46	27	34	34	39	29	14	11	20	17	24	32	13	26	43	33	42	34	5	30	15	17	49	56	54	29	42					
		2.54%	2.74%	1.95%	2.75%	2.67%	2.53%	3.07%	3.23%	3.63%	1.39%	2.32%	2.99%	3.20%	2.47%	2.08%	4.07%	2.41%	2.30%	3.00%	2.93%	1.82%	2.76%	2.70%	1.98%	3.36%	2.30%	2.69%	2.63%	2.85%	2.70%	2.45%	1.90%	2.04%	2.65%	2.22%	2.87%	2.11%	1.80%	3.30%	2.66%	3.16%	3.05%	5.55%	18.86%	3.48%	0.77%	1.87%	2.41%	3.36%	1.41%	2.06%					
28	"11. ""Истинные патриоты России"""	34	1	1	2	2	0	0	2	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	1	1	0	2	0	1	2	0	0	0	3	0	1	0	1	0	1	1	2	1					
		0.05%	0.07%	0.07%	0.19%	0.18%	0.0%	0.0%	0.21%	0.0%	0.15%	0.0%	0.27%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.07%	0.14%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.17%	0.10%	0.0%	0.18%	0.0%	0.16%	0.13%	0.0%	0.0%	0.0%	0.26%	0.0%	0.62%	0.0%	0.04%	0.0%	0.04%	0.06%	0.09%	0.04%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	681	13	16	14	11	9	6	9	18	7	5	11	4	10	15	7	16	13	15	16	23	7	20	19	19	12	5	12	13	7	3	4	17	2	19	14	4	20	15	15	18	8	1	6	7	26	47	38	21	22	22					
		1.19%	0.99%	1.15%	1.37%	1.01%	1.08%	0.87%	0.97%	1.36%	1.08%	0.68%	1.49%	0.80%	0.82%	1.25%	0.59%	1.43%	1.10%	1.28%	1.51%	1.90%	0.87%	1.54%	1.51%	1.38%	1.02%	0.39%	0.93%	0.95%	0.65%	0.52%	0.69%	1.74%	0.31%	1.76%	1.25%	0.65%	1.38%	1.15%	1.20%	1.35%	0.71%	1.11%	3.77%	1.62%	1.19%	1.79%	1.63%	1.31%	1.07%	1.08%					
30	"13. ""Демократическая партия России"""	100	2	5	3	4	1	2	0	3	1	0	0	0	0	2	1	1	1	8	1	0	5	1	4	1	0	3	2	2	3	3	1	1	1	1	4	2	0	0	1	3	1	0	0	0	1	2	5	5	10	3					
		0.17%	0.15%	0.36%	0.29%	0.36%	0.12%	0.29%	0.0%	0.22%	0.15%	0.0%	0.0%	0.0%	0.0%	0.16%	0.08%	0.08%	0.08%	0.68%	0.09%	0.0%	0.62%	0.07%	0.31%	0.07%	0.0%	0.23%	0.15%	0.14%	0.27%	0.52%	0.17%	0.10%	0.15%	0.09%	0.35%	0.32%	0.0%	0.0%	0.08%	0.22%	0.08%	0.0%	0.0%	0.0%	0.04%	0.07%	0.21%	0.31%	0.48%	0.14%					
31	"14. ""Великая Россия - Евразийский Союз"""	89	1	2	1	0	1	1	3	2	0	3	0	1	2	2	2	2	0	2	0	0	1	3	1	3	0	0	1	2	0	2	1	1	2	2	2	0	4	2	2	3	4	0	0	0	3	5	5	6	3	6					
		0.15%	0.07%	0.14%	0.09%	0.0%	0.12%	0.14%	0.32%	0.15%	0.0%	0.41%	0.0%	0.20%	0.16%	0.16%	0.16%	0.17%	0.0%	0.17%	0.0%	0.0%	0.12%	0.23%	0.07%	0.21%	0.0%	0.0%	0.07%	0.14%	0.0%	0.35%	0.17%	0.10%	0.31%	0.18%	0.17%	0.0%	0.27%	0.15%	0.16%	0.22%	0.35%	0.0%	0.0%	0.0%	0.13%	0.19%	0.21%	0.37%	0.14%	0.29%					
32	"15. ""Партия СЛОН"""	228	1	4	1	0	0	6	1	11	5	2	4	4	0	3	6	3	5	5	7	13	6	9	9	9	3	3	12	32	0	1	1	8	0	1	5	2	5	6	7	10	5	0	0	3	0	0	3	0	2	5					
		0.40%	0.07%	0.28%	0.09%	0.0%	0.0%	0.87%	0.10%	0.83%	0.77%	0.27%	0.54%	0.80%	0.0%	0.25%	0.50%	0.26%	0.42%	0.42%	0.66%	1.07%	0.75%	0.69%	0.71%	0.65%	0.25%	0.23%	0.93%	2.34%	0.0%	0.17%	0.17%	0.81%	0.0%	0.09%	0.44%	0.32%	0.34%	0.46%	0.56%	0.75%	0.44%	0.0%	0.0%	0.69%	0.0%	0.0%	0.12%	0.0%	0.09%	0.24%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7951	178	190	128	157	83	74	92	176	88	137	99	71	171	198	193	179	157	147	103	148	120	170	190	165	147	161	202	203	175	84	6	125	81	133	165	103	233	190	145	163	119	11	7	48	404	434	403	244	316	235					
		13.99%	13.56%	13.72%	12.61%	14.49%	10.03%	10.85%	9.93%	13.31%	13.60%	18.76%	13.48%	14.22%	14.10%	16.52%	16.39%	16.03%	13.39%	12.61%	9.73%	12.26%	15.07%	13.11%	15.11%	12.05%	12.56%	12.74%	15.68%	14.88%	16.32%	14.73%	1.04%	12.80%	12.63%	12.32%	14.83%	16.74%	16.18%	14.59%	11.69%	12.28%	10.68%	12.22%	4.40%	11.16%	18.50%	16.56%	17.35%	15.22%	15.39%	11.57%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	110	1	2	3	0	2	1	1	3	2	0	2	0	1	0	0	2	0	4	2	3	0	1	1	5	0	0	1	1	0	4	4	0	3	3	0	1	3	2	0	3	2	1	0	0	5	9	6	9	9	8					
		0.19%	0.07%	0.14%	0.29%	0.0%	0.24%	0.14%	0.10%	0.22%	0.30%	0.0%	0.27%	0.0%	0.08%	0.0%	0.0%	0.17%	0.0%	0.34%	0.18%	0.24%	0.0%	0.07%	0.07%	0.36%	0.0%	0.0%	0.07%	0.07%	0.0%	0.70%	0.69%	0.0%	0.46%	0.27%	0.0%	0.16%	0.20%	0.15%	0.0%	0.22%	0.17%	1.11%	0.0%	0.0%	0.22%	0.34%	0.25%	0.56%	0.43%	0.39%					
35	"18. ""ЛДПР"""	7333	188	186	130	161	131	89	122	172	79	74	92	53	114	97	103	143	126	117	121	147	117	178	149	167	138	154	162	157	152	86	29	108	99	150	171	82	167	171	159	268	171	11	22	54	142	413	307	184	311	409					
		12.90%	14.32%	13.43%	12.80%	14.86%	15.84%	13.04%	13.17%	13.01%	12.21%	10.13%	12.53%	10.62%	9.40%	8.09%	8.75%	12.81%	10.75%	10.04%	11.43%	12.17%	14.69%	13.73%	11.85%	12.19%	11.79%	12.19%	12.57%	11.51%	14.17%	15.08%	5.03%	11.06%	15.44%	13.90%	15.37%	13.33%	11.59%	13.13%	12.82%	20.19%	15.35%	12.22%	13.83%	12.55%	6.50%	15.76%	13.22%	11.47%	15.15%	20.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	862	25	29	19	19	13	14	16	21	7	9	14	7	25	18	22	19	27	24	20	23	9	19	21	19	10	15	15	17	16	8	7	23	14	28	22	6	21	27	15	21	18	2	2	9	21	26	24	20	17	19					
		1.51%	1.90%	2.09%	1.87%	1.75%	1.57%	2.05%	1.72%	1.58%	1.08%	1.23%	1.90%	1.40%	2.06%	1.50%	1.86%	1.70%	2.30%	2.06%	1.89%	1.90%	1.13%	1.46%	1.67%	1.38%	0.85%	1.18%	1.16%	1.24%	1.49%	1.40%	1.21%	2.35%	2.18%	2.59%	1.97%	0.97%	1.45%	2.07%	1.20%	1.58%	1.61%	2.22%	1.25%	2.09%	0.96%	0.99%	1.03%	1.24%	0.82%	0.93%					
37	"20. ""Политическая партия ""Единая Россия"""	19778	453	476	299	323	254	236	321	426	196	220	202	148	397	370	374	309	348	326	306	399	236	365	365	418	402	387	395	434	343	184	360	336	162	336	329	208	410	383	435	398	362	36	60	147	1046	1251	1039	734	915	919					
		34.80%	34.52%	34.39%	29.45%	29.82%	30.71%	34.60%	34.66%	32.22%	30.29%	30.13%	27.52%	29.65%	32.75%	30.88%	31.77%	27.68%	29.69%	27.98%	28.92%	33.05%	29.64%	28.16%	29.03%	30.53%	34.35%	30.64%	30.66%	31.81%	31.99%	32.28%	62.5%	34.42%	25.27%	31.13%	29.58%	33.82%	28.47%	29.41%	35.08%	29.99%	32.49%	40.0%	37.73%	34.18%	47.91%	47.74%	44.74%	45.78%	44.59%	45.27%					
38	"21. ""Российская Конституционно-демократическая партия"""	73	0	2	4	0	3	1	1	2	0	0	1	0	1	1	0	0	0	3	0	1	2	1	2	3	1	0	0	2	0	0	4	2	2	1	0	0	3	3	1	5	1	0	1	1	2	4	1	3	2	6					
		0.12%	0.0%	0.14%	0.39%	0.0%	0.36%	0.14%	0.10%	0.15%	0.0%	0.0%	0.13%	0.0%	0.08%	0.08%	0.0%	0.0%	0.0%	0.25%	0.0%	0.08%	0.25%	0.07%	0.15%	0.21%	0.08%	0.0%	0.0%	0.14%	0.0%	0.0%	0.69%	0.20%	0.31%	0.09%	0.0%	0.0%	0.20%	0.23%	0.08%	0.37%	0.08%	0.0%	0.62%	0.23%	0.09%	0.15%	0.04%	0.18%	0.09%	0.29%					
39	"22. ""Развитие предпринимательства"""	135	3	5	1	4	1	1	7	4	2	0	1	2	3	2	1	1	6	5	2	6	2	0	4	2	3	1	3	1	4	0	0	5	0	2	8	2	1	4	2	5	4	0	0	0	4	8	4	2	6	1					
		0.23%	0.22%	0.36%	0.09%	0.36%	0.12%	0.14%	0.75%	0.30%	0.30%	0.0%	0.13%	0.40%	0.24%	0.16%	0.08%	0.08%	0.51%	0.42%	0.18%	0.49%	0.25%	0.0%	0.31%	0.14%	0.25%	0.07%	0.23%	0.07%	0.37%	0.0%	0.0%	0.51%	0.0%	0.18%	0.71%	0.32%	0.06%	0.30%	0.16%	0.37%	0.35%	0.0%	0.0%	0.0%	0.18%	0.30%	0.17%	0.12%	0.29%	0.04%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6624	148	153	151	124	118	81	122	179	83	100	106	59	156	150	130	162	165	163	162	136	89	169	147	154	139	165	134	161	131	66	50	88	114	160	95	52	178	188	162	152	153	11	12	59	236	180	180	138	252	161					
		11.65%	11.28%	11.05%	14.87%	11.44%	14.26%	11.87%	13.17%	13.54%	12.82%	13.69%	14.44%	11.82%	12.87%	12.52%	11.04%	14.51%	14.07%	13.99%	15.31%	11.26%	11.18%	13.04%	11.69%	11.24%	11.88%	13.06%	10.40%	11.80%	12.22%	11.57%	8.68%	9.01%	17.78%	14.82%	8.54%	8.45%	12.36%	14.43%	13.06%	11.45%	13.73%	12.22%	7.54%	13.72%	10.81%	6.87%	7.75%	8.60%	12.28%	7.93%					
																																																									
41	Против всех	3154	72	87	68	86	60	65	73	82	45	26	48	43	98	83	65	64	73	82	65	82	55	106	90	96	80	119	106	99	77	41	31	62	51	63	113	39	124	92	88	19	72	0	9	28	23	33	23	16	14	18					
		5.55%	5.48%	6.28%	6.69%	7.94%	7.25%	9.53%	7.88%	6.20%	6.95%	3.56%	6.53%	8.61%	8.08%	6.92%	5.52%	5.73%	6.22%	7.03%	6.14%	6.79%	6.90%	8.17%	7.15%	7.01%	6.83%	9.42%	8.22%	7.25%	7.18%	7.19%	5.38%	6.35%	7.95%	5.83%	10.16%	6.34%	8.61%	7.06%	7.09%	1.43%	6.46%	0.0%	5.66%	6.51%	1.05%	1.25%	0.99%	0.99%	0.68%	0.88%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
