Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Верхнепышминская городская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188	УИК  1189	УИК  1190	УИК  1191	УИК  1192	УИК  1193	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	123	5	7	4	6	9	6	6	6	2	11	4	6	2	2	7	2	3	7	5	1	7	4	0	1	0	5	2	1	1	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	12	6	1	1	3	1	1	1	3	2	2	0	0	4	2	0	0	7	3	0	16	3	10	2	2	5	2	3	2	3	7	0	9	11					
14	Число погашенных открепительных удостоверений	473	34	33	11	9	21	24	14	14	13	19	26	14	28	13	23	13	27	0	25	4	3	26	5	9	5	10	3	14	4	5	5	5	9	5					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	258	7	9	4	11	21	13	9	5	6	10	4	5	11	11	11	11	43	7	11	1	1	7	7	3	0	12	2	8	0	0	1	2	1	4					
		1.07%	0.50%	0.66%	0.74%	1.13%	2.16%	1.06%	0.96%	0.59%	0.97%	0.86%	0.35%	0.48%	1.06%	2.29%	1.04%	1.69%	2.59%	0.83%	0.89%	0.27%	0.75%	0.79%	4.0%	0.60%	0.0%	1.47%	2.0%	1.15%	0.0%	0.0%	1.0%	2.29%	0.20%	1.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1514	110	85	34	55	48	93	92	82	38	99	100	86	51	25	87	37	72	42	82	15	1	45	2	19	5	26	4	37	11	3	3	1	15	9					
		6.28%	7.89%	6.25%	6.34%	5.67%	4.95%	7.59%	9.83%	9.72%	6.15%	8.60%	8.84%	8.34%	4.93%	5.20%	8.23%	5.69%	4.35%	5.03%	6.69%	4.08%	0.75%	5.13%	1.14%	3.84%	2.10%	3.18%	4.0%	5.33%	11.57%	2.67%	3.0%	1.14%	3.07%	4.18%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1171	60	79	39	75	63	53	46	26	45	59	25	49	50	20	41	22	37	40	67	16	5	62	13	17	18	54	3	26	4	8	9	0	27	13					
		4.86%	4.30%	5.81%	7.27%	7.73%	6.50%	4.32%	4.91%	3.08%	7.29%	5.13%	2.21%	4.75%	4.83%	4.16%	3.87%	3.38%	2.23%	4.79%	5.46%	4.35%	3.75%	7.06%	7.42%	3.44%	7.59%	6.61%	3.0%	3.74%	4.21%	7.14%	9.0%	0.0%	5.53%	6.04%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1341	93	98	30	55	48	92	63	74	40	73	76	47	63	23	62	27	55	44	101	26	3	45	15	16	6	20	4	9	7	3	2	2	16	3					
		5.56%	6.67%	7.21%	5.59%	5.67%	4.95%	7.51%	6.73%	8.77%	6.48%	6.34%	6.72%	4.55%	6.09%	4.79%	5.86%	4.15%	3.32%	5.27%	8.24%	7.08%	2.25%	5.13%	8.57%	3.23%	2.53%	2.45%	4.0%	1.29%	7.36%	2.67%	2.0%	2.29%	3.27%	1.39%					
22	"5. ""За Русь Святую"""	111	5	6	1	9	8	3	2	4	1	6	5	5	2	5	3	3	8	6	7	3	2	4	0	3	5	0	0	2	0	1	0	0	2	0					
		0.46%	0.35%	0.44%	0.18%	0.92%	0.82%	0.24%	0.21%	0.47%	0.16%	0.52%	0.44%	0.48%	0.19%	1.04%	0.28%	0.46%	0.48%	0.71%	0.57%	0.81%	1.50%	0.45%	0.0%	0.60%	2.10%	0.0%	0.0%	0.28%	0.0%	0.89%	0.0%	0.0%	0.40%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	72	5	0	0	3	3	6	1	3	0	1	7	2	4	1	1	2	3	5	2	1	0	1	2	2	2	4	1	4	2	0	0	1	3	0					
		0.29%	0.35%	0.0%	0.0%	0.30%	0.30%	0.48%	0.10%	0.35%	0.0%	0.08%	0.61%	0.19%	0.38%	0.20%	0.09%	0.30%	0.18%	0.59%	0.16%	0.27%	0.0%	0.11%	1.14%	0.40%	0.84%	0.49%	1.0%	0.57%	2.10%	0.0%	0.0%	1.14%	0.61%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	253	14	22	7	9	8	8	12	4	5	11	13	10	9	6	8	3	31	21	15	1	2	9	5	5	0	4	0	2	1	1	1	0	6	0					
		1.05%	1.00%	1.61%	1.30%	0.92%	0.82%	0.65%	1.28%	0.47%	0.81%	0.95%	1.15%	0.96%	0.87%	1.25%	0.75%	0.46%	1.87%	2.51%	1.22%	0.27%	1.50%	1.02%	2.85%	1.01%	0.0%	0.49%	0.0%	0.28%	1.05%	0.89%	1.0%	0.0%	1.22%	0.0%					
25	"8. ""Народно-республиканская партия России"""	31	1	1	1	4	1	0	1	0	0	1	0	3	0	2	1	1	3	3	3	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0					
		0.12%	0.07%	0.07%	0.18%	0.41%	0.10%	0.0%	0.10%	0.0%	0.0%	0.08%	0.0%	0.29%	0.0%	0.41%	0.09%	0.15%	0.18%	0.35%	0.24%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.12%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	142	12	16	4	4	6	4	4	8	4	9	5	3	6	1	7	3	14	7	10	1	0	4	1	3	2	2	0	2	0	0	0	0	0	0					
		0.58%	0.86%	1.17%	0.74%	0.41%	0.61%	0.32%	0.42%	0.94%	0.64%	0.78%	0.44%	0.29%	0.58%	0.20%	0.66%	0.46%	0.84%	0.83%	0.81%	0.27%	0.0%	0.45%	0.57%	0.60%	0.84%	0.24%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	714	37	23	14	36	28	32	32	18	21	25	28	41	16	18	22	26	30	24	34	20	1	25	11	15	6	5	2	80	3	4	5	4	21	7					
		2.96%	2.65%	1.69%	2.61%	3.71%	2.88%	2.61%	3.42%	2.13%	3.40%	2.17%	2.47%	3.97%	1.54%	3.75%	2.08%	4.0%	1.81%	2.87%	2.77%	5.44%	0.75%	2.85%	6.28%	3.03%	2.53%	0.61%	2.0%	11.52%	3.15%	3.57%	5.0%	4.59%	4.30%	3.25%					
28	"11. ""Истинные патриоты России"""	39	1	2	0	1	1	0	2	2	1	1	2	1	1	0	1	4	0	2	4	1	0	3	0	0	0	1	0	4	0	0	3	0	1	0					
		0.16%	0.07%	0.14%	0.0%	0.10%	0.10%	0.0%	0.21%	0.23%	0.16%	0.08%	0.17%	0.09%	0.09%	0.0%	0.09%	0.61%	0.0%	0.23%	0.32%	0.27%	0.0%	0.34%	0.0%	0.0%	0.0%	0.12%	0.0%	0.57%	0.0%	0.0%	3.0%	0.0%	0.20%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	408	27	13	8	11	17	20	9	16	10	23	12	10	34	23	23	12	23	19	17	8	3	25	6	10	2	4	1	6	0	0	0	2	13	1					
		1.69%	1.93%	0.95%	1.49%	1.13%	1.75%	1.63%	0.96%	1.89%	1.62%	2.0%	1.06%	0.96%	3.28%	4.79%	2.17%	1.84%	1.39%	2.27%	1.38%	2.17%	2.25%	2.85%	3.42%	2.02%	0.84%	0.49%	1.0%	0.86%	0.0%	0.0%	0.0%	2.29%	2.66%	0.46%					
30	"13. ""Демократическая партия России"""	77	3	2	3	4	3	6	3	7	1	6	1	0	8	3	1	3	12	1	3	1	0	2	0	0	1	0	0	1	0	0	1	0	1	0					
		0.31%	0.21%	0.14%	0.55%	0.41%	0.30%	0.48%	0.32%	0.83%	0.16%	0.52%	0.08%	0.0%	0.77%	0.62%	0.09%	0.46%	0.72%	0.11%	0.24%	0.27%	0.0%	0.22%	0.0%	0.0%	0.42%	0.0%	0.0%	0.14%	0.0%	0.0%	1.0%	0.0%	0.20%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	69	4	5	2	3	1	2	4	2	0	4	1	4	3	0	2	0	10	0	7	3	0	2	0	0	0	4	0	1	1	0	3	0	1	0					
		0.28%	0.28%	0.36%	0.37%	0.30%	0.10%	0.16%	0.42%	0.23%	0.0%	0.34%	0.08%	0.38%	0.29%	0.0%	0.18%	0.0%	0.60%	0.0%	0.57%	0.81%	0.0%	0.22%	0.0%	0.0%	0.0%	0.49%	0.0%	0.14%	1.05%	0.0%	3.0%	0.0%	0.20%	0.0%					
32	"15. ""Партия СЛОН"""	63	4	1	0	1	3	1	1	0	0	4	1	1	2	0	1	2	22	9	0	0	0	4	0	2	0	1	0	1	0	0	0	1	1	0					
		0.26%	0.28%	0.07%	0.0%	0.10%	0.30%	0.08%	0.10%	0.0%	0.0%	0.34%	0.08%	0.09%	0.19%	0.0%	0.09%	0.30%	1.33%	1.07%	0.0%	0.0%	0.0%	0.45%	0.0%	0.40%	0.0%	0.12%	0.0%	0.14%	0.0%	0.0%	0.0%	1.14%	0.20%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1502	74	103	29	47	76	83	63	61	34	72	74	78	86	27	61	39	65	35	124	34	1	54	6	19	5	52	5	33	4	9	4	5	27	13					
		6.23%	5.30%	7.57%	5.41%	4.85%	7.84%	6.77%	6.73%	7.23%	5.51%	6.26%	6.54%	7.56%	8.31%	5.62%	5.77%	6.0%	3.92%	4.19%	10.12%	9.26%	0.75%	6.15%	3.42%	3.84%	2.10%	6.37%	5.0%	4.75%	4.21%	8.03%	4.0%	5.74%	5.53%	6.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	65	5	2	0	1	0	1	5	2	2	3	2	0	2	0	5	1	17	5	3	0	1	2	0	0	0	4	0	0	0	0	0	0	0	2					
		0.26%	0.35%	0.14%	0.0%	0.10%	0.0%	0.08%	0.53%	0.23%	0.32%	0.26%	0.17%	0.0%	0.19%	0.0%	0.47%	0.15%	1.02%	0.59%	0.24%	0.0%	0.75%	0.22%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%					
35	"18. ""ЛДПР"""	3819	219	238	60	125	143	195	136	136	84	179	216	165	159	73	186	102	243	153	171	64	26	99	30	83	54	130	10	128	14	23	16	23	110	26					
		15.85%	15.71%	17.51%	11.19%	12.89%	14.75%	15.91%	14.54%	16.13%	13.61%	15.56%	19.11%	16.00%	15.37%	15.20%	17.59%	15.69%	14.69%	18.34%	13.95%	17.43%	19.54%	11.28%	17.14%	16.80%	22.78%	15.93%	10.0%	18.44%	14.73%	20.53%	16.0%	26.43%	22.54%	12.09%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	416	29	23	19	21	18	27	12	10	12	15	21	11	13	11	26	14	14	12	20	4	4	14	3	9	2	14	2	14	3	2	1	2	12	2					
		1.72%	2.08%	1.69%	3.54%	2.16%	1.85%	2.20%	1.28%	1.18%	1.94%	1.30%	1.85%	1.06%	1.25%	2.29%	2.45%	2.15%	0.84%	1.43%	1.63%	1.08%	3.00%	1.59%	1.71%	1.82%	0.84%	1.71%	2.0%	2.01%	3.15%	1.78%	1.0%	2.29%	2.45%	0.93%					
37	"20. ""Политическая партия ""Единая Россия"""	8401	485	434	186	330	324	394	283	255	216	370	367	337	358	149	333	231	756	232	395	118	62	334	55	212	99	354	59	263	38	43	44	35	138	112					
		34.88%	34.79%	31.93%	34.70%	34.05%	33.43%	32.16%	30.26%	30.24%	35.00%	32.17%	32.47%	32.68%	34.62%	31.04%	31.50%	35.53%	45.70%	27.81%	32.24%	32.15%	46.61%	38.08%	31.42%	42.91%	41.77%	43.38%	59.0%	37.89%	40.0%	38.39%	44.0%	40.22%	28.27%	52.09%					
38	"21. ""Российская Конституционно-демократическая партия"""	59	2	0	2	4	0	2	8	1	0	2	0	3	3	1	0	1	10	1	3	2	0	1	0	4	0	2	1	1	0	2	0	0	3	0					
		0.24%	0.14%	0.0%	0.37%	0.41%	0.0%	0.16%	0.85%	0.11%	0.0%	0.17%	0.0%	0.29%	0.29%	0.20%	0.0%	0.15%	0.60%	0.11%	0.24%	0.54%	0.0%	0.11%	0.0%	0.80%	0.0%	0.24%	1.0%	0.14%	0.0%	1.78%	0.0%	0.0%	0.61%	0.0%					
39	"22. ""Развитие предпринимательства"""	77	4	2	1	5	1	7	1	6	3	3	9	1	4	2	1	2	5	7	5	1	0	2	1	0	0	1	1	0	1	0	0	0	1	0					
		0.31%	0.28%	0.14%	0.18%	0.51%	0.10%	0.57%	0.10%	0.71%	0.48%	0.26%	0.79%	0.09%	0.38%	0.41%	0.09%	0.30%	0.30%	0.83%	0.40%	0.27%	0.0%	0.22%	0.57%	0.0%	0.0%	0.12%	1.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.20%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1687	74	91	54	88	67	99	63	39	51	88	67	88	72	37	66	49	73	87	75	21	5	79	13	32	11	88	5	32	1	8	0	3	47	14					
		7.00%	5.30%	6.69%	10.07%	9.08%	6.91%	8.08%	6.73%	4.62%	8.26%	7.65%	5.92%	8.53%	6.96%	7.70%	6.24%	7.53%	4.41%	10.43%	6.12%	5.72%	3.75%	9.00%	7.42%	6.47%	4.64%	10.78%	5.0%	4.61%	1.05%	7.14%	0.0%	3.44%	9.63%	6.51%					
																																									
41	Против всех	1462	103	91	28	47	60	70	77	75	33	78	82	70	69	29	86	39	89	51	51	16	12	35	5	33	17	15	0	39	5	4	7	6	31	9					
		6.07%	7.38%	6.69%	5.22%	4.85%	6.19%	5.71%	8.23%	8.89%	5.34%	6.78%	7.25%	6.78%	6.67%	6.04%	8.13%	6.0%	5.38%	6.11%	4.16%	4.35%	9.02%	3.99%	2.85%	6.68%	7.17%	1.83%	0.0%	5.61%	5.26%	3.57%	7.0%	6.89%	6.35%	4.18%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
