Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
"Наименование Избирательной комиссии:    Нижний Новгород, Приокская"																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  1668	УИК  1669	УИК  1670	УИК  1671	УИК  1672	УИК  1673	УИК  1674	УИК  1675	УИК  1676	УИК  1677	УИК  1678	УИК  1679	УИК  1680	УИК  1681	УИК  1682	УИК  1683	УИК  1684	УИК  1685	УИК  1686	УИК  1687	УИК  1688	УИК  1689	УИК  1690	УИК  1691	УИК  1692	УИК  1693	УИК  1694	УИК  1695	УИК  1696	УИК  1697	УИК  1698	УИК  1699	УИК  1700	УИК  1701	УИК  1702	УИК  1703	УИК  1704	УИК  1705	УИК  1706					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	585	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	228	2	9	4	10	9	6	8	8	13	3	7	8	4	13	9	6	2	2	3	0	7	6	6	7	8	7	4	6	5	8	6	6	4	7	4	2	4	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	2	4	0	3	4	2	8	2	4	4	1	5	5	4	3	3	2	6	6	3	6	9	6	1	3	5	0	3	3	0	2	3	1	5	1	2	3	1	1					
14	Число погашенных открепительных удостоверений	357	13	6	11	5	6	9	7	7	2	12	8	7	11	2	6	9	13	13	12	15	8	9	9	8	7	8	11	9	10	7	9	9	11	8	11	13	11	11	14					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	269	9	6	13	10	4	1	5	6	15	5	11	6	10	6	0	13	3	8	8	4	10	14	12	7	3	8	5	5	11	7	7	4	1	7	2	5	8	6	4					
		0.75%	1.99%	0.52%	1.18%	0.72%	0.54%	0.12%	0.55%	0.46%	1.16%	0.54%	0.90%	0.51%	1.27%	0.55%	0.0%	1.21%	1.05%	1.25%	1.55%	1.57%	1.02%	1.17%	1.45%	0.63%	0.81%	0.66%	0.49%	0.51%	0.92%	0.64%	0.72%	0.48%	0.12%	0.70%	0.20%	0.46%	0.69%	0.67%	1.13%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4723	56	175	125	107	148	144	123	167	170	162	121	179	116	130	81	112	37	70	38	40	99	186	95	134	41	143	128	148	154	147	116	101	131	166	137	162	152	138	44					
		13.21%	12.38%	15.35%	11.36%	7.79%	20.27%	18.13%	13.63%	12.83%	13.22%	17.68%	9.95%	15.36%	14.81%	12.09%	10.34%	10.43%	12.98%	10.97%	7.36%	15.74%	10.11%	15.60%	11.51%	12.12%	11.11%	11.94%	12.76%	15.35%	12.91%	13.47%	11.98%	12.24%	15.82%	16.83%	13.97%	15.18%	13.13%	15.50%	12.5%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1118	6	32	46	20	31	33	43	28	40	21	24	41	26	53	22	27	8	34	26	5	23	53	28	50	6	32	40	29	42	41	17	27	32	22	27	27	26	18	12					
		3.12%	1.32%	2.80%	4.18%	1.45%	4.24%	4.15%	4.76%	2.15%	3.11%	2.29%	1.97%	3.51%	3.32%	4.93%	2.80%	2.51%	2.80%	5.32%	5.03%	1.96%	2.34%	4.44%	3.39%	4.52%	1.62%	2.67%	3.98%	3.00%	3.52%	3.75%	1.75%	3.27%	3.86%	2.23%	2.75%	2.53%	2.24%	2.02%	3.40%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1563	9	57	45	38	37	39	53	66	84	59	56	51	31	60	36	25	7	18	9	9	31	27	34	53	11	42	50	46	47	39	53	40	44	58	52	64	29	48	6					
		4.37%	1.99%	5.0%	4.09%	2.76%	5.06%	4.91%	5.87%	5.07%	6.53%	6.44%	4.60%	4.37%	3.95%	5.58%	4.59%	2.32%	2.45%	2.82%	1.74%	3.54%	3.16%	2.26%	4.12%	4.79%	2.98%	3.50%	4.98%	4.77%	3.94%	3.57%	5.47%	4.84%	5.31%	5.88%	5.30%	5.99%	2.50%	5.39%	1.70%					
22	"5. ""За Русь Святую"""	177	4	5	6	1	5	6	2	3	6	5	7	4	4	7	6	4	1	4	3	1	4	6	7	2	1	9	2	8	6	5	5	5	2	4	8	6	10	3	0					
		0.49%	0.88%	0.43%	0.54%	0.07%	0.68%	0.75%	0.22%	0.23%	0.46%	0.54%	0.57%	0.34%	0.51%	0.65%	0.76%	0.37%	0.35%	0.62%	0.58%	0.39%	0.40%	0.50%	0.84%	0.18%	0.27%	0.75%	0.19%	0.82%	0.50%	0.45%	0.51%	0.60%	0.24%	0.40%	0.81%	0.56%	0.86%	0.33%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	52	1	1	0	1	1	1	0	0	2	1	3	4	2	3	2	3	1	1	0	1	1	1	0	1	0	3	2	1	2	0	1	0	0	3	0	3	1	4	1					
		0.14%	0.22%	0.08%	0.0%	0.07%	0.13%	0.12%	0.0%	0.0%	0.15%	0.10%	0.24%	0.34%	0.25%	0.27%	0.25%	0.27%	0.35%	0.15%	0.0%	0.39%	0.10%	0.08%	0.0%	0.09%	0.0%	0.25%	0.19%	0.10%	0.16%	0.0%	0.10%	0.0%	0.0%	0.30%	0.0%	0.28%	0.08%	0.44%	0.28%					
24	"7. ""Новый курс - Автомобильная Россия"""	310	0	4	7	9	5	2	5	18	10	7	8	8	5	9	12	11	0	9	3	4	9	12	3	9	2	11	7	13	13	10	7	12	5	14	18	11	10	8	0					
		0.86%	0.0%	0.35%	0.63%	0.65%	0.68%	0.25%	0.55%	1.38%	0.77%	0.76%	0.65%	0.68%	0.63%	0.83%	1.53%	1.02%	0.0%	1.41%	0.58%	1.57%	0.91%	1.00%	0.36%	0.81%	0.54%	0.91%	0.69%	1.34%	1.09%	0.91%	0.72%	1.45%	0.60%	1.41%	1.83%	1.03%	0.86%	0.89%	0.0%					
25	"8. ""Народно-республиканская партия России"""	45	2	3	1	0	0	1	1	1	1	0	0	0	1	2	4	3	0	0	1	0	2	0	1	1	1	2	1	0	0	2	0	2	2	2	1	0	5	2	0					
		0.12%	0.44%	0.26%	0.09%	0.0%	0.0%	0.12%	0.11%	0.07%	0.07%	0.0%	0.0%	0.0%	0.12%	0.18%	0.51%	0.27%	0.0%	0.0%	0.19%	0.0%	0.20%	0.0%	0.12%	0.09%	0.27%	0.16%	0.09%	0.0%	0.0%	0.18%	0.0%	0.24%	0.24%	0.20%	0.10%	0.0%	0.43%	0.22%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	194	5	10	6	4	4	5	2	7	8	7	5	5	1	3	4	5	0	3	1	4	4	3	7	8	3	9	5	2	8	9	4	9	4	4	5	8	8	2	3					
		0.54%	1.10%	0.87%	0.54%	0.29%	0.54%	0.62%	0.22%	0.53%	0.62%	0.76%	0.41%	0.42%	0.12%	0.27%	0.51%	0.46%	0.0%	0.47%	0.19%	1.57%	0.40%	0.25%	0.84%	0.72%	0.81%	0.75%	0.49%	0.20%	0.67%	0.82%	0.41%	1.09%	0.48%	0.40%	0.51%	0.74%	0.69%	0.22%	0.85%					
27	"10. ""Аграрная партия России"""	887	6	27	27	21	25	17	26	35	30	31	28	14	15	30	30	18	7	25	16	7	22	25	15	26	49	14	24	25	32	29	21	31	12	26	19	24	37	11	10					
		2.48%	1.32%	2.36%	2.45%	1.52%	3.42%	2.14%	2.88%	2.69%	2.33%	3.38%	2.30%	1.20%	1.91%	2.79%	3.83%	1.67%	2.45%	3.91%	3.10%	2.75%	2.24%	2.09%	1.81%	2.35%	13.27%	1.16%	2.39%	2.59%	2.68%	2.65%	2.16%	3.75%	1.44%	2.63%	1.93%	2.24%	3.19%	1.23%	2.84%					
28	"11. ""Истинные патриоты России"""	53	1	0	1	15	1	0	1	0	1	0	3	1	4	3	1	5	2	0	1	1	4	1	0	1	0	0	0	0	0	0	3	1	0	0	0	1	1	0	0					
		0.14%	0.22%	0.0%	0.09%	1.09%	0.13%	0.0%	0.11%	0.0%	0.07%	0.0%	0.24%	0.08%	0.51%	0.27%	0.12%	0.46%	0.70%	0.0%	0.19%	0.39%	0.40%	0.08%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.12%	0.0%	0.0%	0.0%	0.09%	0.08%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	512	3	9	8	10	7	9	11	22	21	11	21	11	11	26	18	20	6	15	14	4	21	16	13	14	4	18	13	8	18	16	19	9	12	4	12	16	16	22	4					
		1.43%	0.66%	0.78%	0.72%	0.72%	0.95%	1.13%	1.21%	1.69%	1.63%	1.20%	1.72%	0.94%	1.40%	2.41%	2.29%	1.86%	2.10%	2.35%	2.71%	1.57%	2.14%	1.34%	1.57%	1.26%	1.08%	1.50%	1.29%	0.82%	1.51%	1.46%	1.96%	1.09%	1.44%	0.40%	1.22%	1.49%	1.38%	2.47%	1.13%					
30	"13. ""Демократическая партия России"""	59	1	1	0	3	0	3	0	0	8	0	0	7	0	3	4	1	0	1	1	1	1	0	1	2	0	2	3	2	3	1	2	1	1	2	1	2	1	0	0					
		0.16%	0.22%	0.08%	0.0%	0.21%	0.0%	0.37%	0.0%	0.0%	0.62%	0.0%	0.0%	0.60%	0.0%	0.27%	0.51%	0.09%	0.0%	0.15%	0.19%	0.39%	0.10%	0.0%	0.12%	0.18%	0.0%	0.16%	0.29%	0.20%	0.25%	0.09%	0.20%	0.12%	0.12%	0.20%	0.10%	0.18%	0.08%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	81	1	3	4	7	2	1	1	2	2	5	0	4	1	3	2	2	0	1	0	2	2	0	3	2	1	0	2	2	0	1	0	2	4	2	2	2	2	6	5					
		0.22%	0.22%	0.26%	0.36%	0.50%	0.27%	0.12%	0.11%	0.15%	0.15%	0.54%	0.0%	0.34%	0.12%	0.27%	0.25%	0.18%	0.0%	0.15%	0.0%	0.78%	0.20%	0.0%	0.36%	0.18%	0.27%	0.0%	0.19%	0.20%	0.0%	0.09%	0.0%	0.24%	0.48%	0.20%	0.20%	0.18%	0.17%	0.67%	1.42%					
32	"15. ""Партия СЛОН"""	148	7	4	9	9	1	15	1	9	3	4	4	7	1	5	3	4	0	0	2	0	5	5	3	2	1	0	3	4	2	2	4	4	4	5	4	7	2	3	0					
		0.41%	1.54%	0.35%	0.81%	0.65%	0.13%	1.88%	0.11%	0.69%	0.23%	0.43%	0.32%	0.60%	0.12%	0.46%	0.38%	0.37%	0.0%	0.0%	0.38%	0.0%	0.51%	0.41%	0.36%	0.18%	0.27%	0.0%	0.29%	0.41%	0.16%	0.18%	0.41%	0.48%	0.48%	0.50%	0.40%	0.65%	0.17%	0.33%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4879	35	182	182	112	101	110	140	182	196	102	173	170	101	136	94	138	25	57	33	27	111	181	114	144	25	196	153	148	185	179	133	108	121	162	150	190	153	117	13					
		13.64%	7.74%	15.96%	16.54%	8.15%	13.83%	13.85%	15.52%	13.98%	15.25%	11.13%	14.22%	14.59%	12.89%	12.65%	12.00%	12.86%	8.77%	8.93%	6.39%	10.62%	11.33%	15.18%	13.81%	13.03%	6.77%	16.37%	15.25%	15.35%	15.52%	16.40%	13.73%	13.09%	14.61%	16.43%	15.30%	17.80%	13.22%	13.14%	3.69%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	37	0	4	0	0	0	0	1	1	0	0	0	3	0	3	1	2	0	2	2	2	1	2	0	2	0	1	1	1	0	0	0	2	1	0	1	0	2	2	0					
		0.10%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.11%	0.07%	0.0%	0.0%	0.0%	0.25%	0.0%	0.27%	0.12%	0.18%	0.0%	0.31%	0.38%	0.78%	0.10%	0.16%	0.0%	0.18%	0.0%	0.08%	0.09%	0.10%	0.0%	0.0%	0.0%	0.24%	0.12%	0.0%	0.10%	0.0%	0.17%	0.22%	0.0%					
35	"18. ""ЛДПР"""	2820	38	59	89	160	43	36	44	90	73	58	123	83	66	98	70	163	25	65	69	25	91	97	62	93	31	93	57	75	76	82	56	63	50	97	75	67	89	63	26					
		7.88%	8.40%	5.17%	8.09%	11.65%	5.89%	4.53%	4.87%	6.91%	5.68%	6.33%	10.11%	7.12%	8.42%	9.11%	8.93%	15.19%	8.77%	10.18%	13.37%	9.84%	9.29%	8.13%	7.51%	8.41%	8.40%	7.76%	5.68%	7.78%	6.37%	7.51%	5.78%	7.63%	6.03%	9.83%	7.65%	6.27%	7.69%	7.07%	7.38%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	835	24	25	31	19	13	20	19	38	34	18	37	32	20	29	14	25	10	15	12	8	43	32	20	28	8	25	24	14	27	16	31	12	23	16	16	19	8	24	6					
		2.33%	5.30%	2.19%	2.81%	1.38%	1.78%	2.51%	2.10%	2.92%	2.64%	1.96%	3.04%	2.74%	2.55%	2.69%	1.78%	2.32%	3.50%	2.35%	2.32%	3.14%	4.39%	2.68%	2.42%	2.53%	2.16%	2.08%	2.39%	1.45%	2.26%	1.46%	3.20%	1.45%	2.77%	1.62%	1.63%	1.78%	0.69%	2.69%	1.70%					
37	"20. ""Политическая партия ""Единая Россия"""	9139	152	283	265	625	134	186	199	285	297	223	279	290	182	227	195	274	101	187	138	55	307	322	227	271	97	292	267	211	298	264	223	169	195	240	237	254	306	224	158					
		25.56%	33.62%	24.82%	24.09%	45.52%	18.35%	23.42%	22.06%	21.90%	23.11%	24.34%	22.94%	24.89%	23.24%	21.11%	24.90%	25.53%	35.43%	29.31%	26.74%	21.65%	31.35%	27.01%	27.51%	24.52%	26.28%	24.39%	26.62%	21.88%	25.0%	24.19%	23.03%	20.48%	23.55%	24.34%	24.18%	23.80%	26.44%	25.16%	44.88%					
38	"21. ""Российская Конституционно-демократическая партия"""	44	0	0	2	8	1	1	1	3	0	3	3	4	2	3	1	1	0	2	2	0	1	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0					
		0.12%	0.0%	0.0%	0.18%	0.58%	0.13%	0.12%	0.11%	0.23%	0.0%	0.32%	0.24%	0.34%	0.25%	0.27%	0.12%	0.09%	0.0%	0.31%	0.38%	0.0%	0.10%	0.0%	0.0%	0.09%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.10%	0.0%	0.12%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	128	1	8	1	1	3	5	2	8	4	4	4	1	9	5	2	4	2	2	5	1	4	3	1	3	1	0	3	5	4	3	2	2	1	5	6	1	7	3	2					
		0.35%	0.22%	0.70%	0.09%	0.07%	0.41%	0.62%	0.22%	0.61%	0.31%	0.43%	0.32%	0.08%	1.14%	0.46%	0.25%	0.37%	0.70%	0.31%	0.96%	0.39%	0.40%	0.25%	0.12%	0.27%	0.27%	0.0%	0.29%	0.51%	0.33%	0.27%	0.20%	0.24%	0.12%	0.50%	0.61%	0.09%	0.60%	0.33%	0.56%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4985	53	161	161	113	107	101	147	218	168	139	216	162	118	158	125	128	29	69	73	26	89	132	102	168	63	204	142	162	186	165	178	148	117	78	116	127	183	125	28					
		13.94%	11.72%	14.12%	14.63%	8.23%	14.65%	12.72%	16.29%	16.75%	13.07%	15.17%	17.76%	13.90%	15.07%	14.69%	15.96%	11.92%	10.17%	10.81%	14.14%	10.23%	9.09%	11.07%	12.36%	15.20%	17.07%	17.04%	14.15%	16.80%	15.60%	15.12%	18.38%	17.93%	14.13%	7.91%	11.83%	11.90%	15.81%	14.04%	7.95%					
																																														
41	Против всех	2350	37	71	62	73	46	47	64	103	98	41	72	65	56	64	43	75	18	41	43	23	74	64	64	75	19	81	61	46	73	62	67	65	63	62	87	69	95	57	24					
		6.57%	8.18%	6.22%	5.63%	5.31%	6.30%	5.91%	7.09%	7.91%	7.62%	4.47%	5.92%	5.57%	7.15%	5.95%	5.49%	6.98%	6.31%	6.42%	8.33%	9.05%	7.55%	5.36%	7.75%	6.78%	5.14%	6.76%	6.08%	4.77%	6.12%	5.68%	6.92%	7.87%	7.60%	6.28%	8.87%	6.46%	8.21%	6.40%	6.81%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
