Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Клинцовская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
27	"10. ""Аграрная партия России"""	695	58	14	1	6	17	28	26	6	12	14	15	28	2	29	15	77	38	1	93	3	11	4	2	50	0	9	3	26	10	24	4	0	39	15	2	13					
		7.31%	13.77%	3.76%	0.46%	6.25%	6.36%	8.53%	24.29%	2.36%	2.73%	3.20%	6.66%	7.0%	2.24%	12.23%	3.95%	16.04%	10.55%	0.93%	26.64%	3.15%	2.89%	3.66%	1.70%	25.12%	0.0%	3.27%	2.65%	7.30%	2.13%	5.59%	2.45%	0.0%	15.47%	6.27%	3.33%	2.70%					
28	"11. ""Истинные патриоты России"""	6	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.23%	0.0%	0.46%	0.0%	0.37%	0.0%	0.0%	0.39%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	105	4	1	1	1	0	4	0	3	6	5	7	6	0	1	5	1	9	1	4	0	5	4	0	1	0	0	4	7	6	9	0	0	3	0	1	6					
		1.10%	0.95%	0.26%	0.46%	1.04%	0.0%	1.21%	0.0%	1.18%	1.36%	1.14%	3.11%	1.5%	0.0%	0.42%	1.31%	0.20%	2.5%	0.93%	1.14%	0.0%	1.31%	3.66%	0.0%	0.50%	0.0%	0.0%	3.53%	1.96%	1.27%	2.09%	0.0%	0.0%	1.19%	0.0%	1.66%	1.25%					
30	"13. ""Демократическая партия России"""	19	2	1	0	1	0	0	0	2	0	0	0	1	0	1	3	1	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	1	0	0	0					
		0.19%	0.47%	0.26%	0.0%	1.04%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.25%	0.0%	0.42%	0.79%	0.20%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	0.63%	0.23%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	0	1	1	1	0	0	0	1	0	0	0	3	0	2	0	0	1	0	0	0	2	0	2	0	0	0	2	2	1	0	0	0	0	2	0	0					
		0.22%	0.0%	0.26%	0.46%	1.04%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.75%	0.0%	0.84%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.52%	0.0%	1.70%	0.0%	0.0%	0.0%	1.76%	0.56%	0.21%	0.0%	0.0%	0.0%	0.0%	0.83%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	18	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0					
		0.18%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.22%	0.44%	0.25%	0.0%	0.0%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.56%	0.21%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	430	31	29	11	0	4	23	4	21	14	16	11	12	2	14	11	1	24	0	10	2	19	1	7	4	1	13	1	13	37	24	10	3	20	9	3	25					
		4.52%	7.36%	7.79%	5.06%	0.0%	1.49%	7.01%	3.73%	8.26%	3.18%	3.66%	4.88%	3.0%	2.24%	5.90%	2.90%	0.20%	6.66%	0.0%	2.86%	2.10%	5.0%	0.91%	5.98%	2.01%	1.78%	4.72%	0.88%	3.65%	7.88%	5.59%	6.13%	2.04%	7.93%	3.76%	5.0%	5.20%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	2	2	0	1	2	0	0	0	1	1	1	1	1	1	2	0	4	1	0	0	1	0	0	1	1	3	1	3	2	1	0	0	1	2	0	0					
		0.37%	0.47%	0.53%	0.0%	1.04%	0.74%	0.0%	0.0%	0.0%	0.22%	0.22%	0.44%	0.25%	1.12%	0.42%	0.52%	0.0%	1.11%	0.93%	0.0%	0.0%	0.26%	0.0%	0.0%	0.50%	1.78%	1.09%	0.88%	0.84%	0.42%	0.23%	0.0%	0.0%	0.39%	0.83%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1075	39	40	20	11	26	22	8	31	51	58	13	34	5	33	47	57	38	15	56	6	47	1	23	16	5	28	6	28	98	37	37	15	37	18	3	66					
		11.31%	9.26%	10.75%	9.21%	11.45%	9.73%	6.70%	7.47%	12.20%	11.61%	13.27%	5.77%	8.5%	5.61%	13.92%	12.40%	11.87%	10.55%	14.01%	16.04%	6.31%	12.36%	0.91%	19.65%	8.04%	8.92%	10.18%	5.30%	7.86%	20.89%	8.62%	22.69%	10.20%	14.68%	7.53%	5.0%	13.75%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	258	16	16	8	2	7	25	7	5	12	10	5	4	0	15	19	6	5	2	3	0	11	3	4	3	2	2	2	4	13	17	7	1	6	5	3	8					
		2.71%	3.80%	4.30%	3.68%	2.08%	2.62%	7.62%	6.54%	1.96%	2.73%	2.28%	2.22%	1.0%	0.0%	6.32%	5.01%	1.25%	1.38%	1.86%	0.85%	0.0%	2.89%	2.75%	3.41%	1.50%	3.57%	0.72%	1.76%	1.12%	2.77%	3.96%	4.29%	0.68%	2.38%	2.09%	5.0%	1.66%					
37	"20. ""Политическая партия ""Единая Россия"""	3549	123	115	48	47	70	121	34	77	211	186	101	156	15	81	123	231	160	73	81	48	171	71	50	56	33	127	25	142	134	179	56	74	88	93	17	132					
		37.34%	29.21%	30.91%	22.11%	48.95%	26.21%	36.89%	31.77%	30.31%	48.06%	42.56%	44.88%	39.0%	16.85%	34.17%	32.45%	48.12%	44.44%	68.22%	23.20%	50.52%	45.0%	65.13%	42.73%	28.14%	58.92%	46.18%	22.12%	39.88%	28.57%	41.72%	34.35%	50.34%	34.92%	38.91%	28.33%	27.5%					
38	"21. ""Российская Конституционно-демократическая партия"""	54	2	2	2	1	0	3	0	0	1	1	0	1	1	2	1	4	4	0	2	6	2	1	0	0	3	0	0	2	1	3	1	2	0	1	1	4					
		0.56%	0.47%	0.53%	0.92%	1.04%	0.0%	0.91%	0.0%	0.0%	0.22%	0.22%	0.0%	0.25%	1.12%	0.84%	0.26%	0.83%	1.11%	0.0%	0.57%	6.31%	0.52%	0.91%	0.0%	0.0%	5.35%	0.0%	0.0%	0.56%	0.21%	0.69%	0.61%	1.36%	0.0%	0.41%	1.66%	0.83%					
39	"22. ""Развитие предпринимательства"""	36	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	1	2	0	1	0	1	0	0	0	1	3	5	2	1	0	0	0	2	1	0	11					
		0.37%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.45%	0.22%	0.0%	0.0%	0.0%	0.42%	0.0%	0.20%	0.55%	0.0%	0.28%	0.0%	0.26%	0.0%	0.0%	0.0%	1.78%	1.09%	4.42%	0.56%	0.21%	0.0%	0.0%	0.0%	0.79%	0.41%	0.0%	2.29%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1940	94	111	103	14	96	75	17	66	80	100	41	92	56	31	66	29	35	7	46	17	65	8	14	46	1	55	36	60	88	68	21	39	17	58	19	169					
		20.41%	22.32%	29.83%	47.46%	14.58%	35.95%	22.86%	15.88%	25.98%	18.22%	22.88%	18.22%	23.0%	62.92%	13.08%	17.41%	6.04%	9.72%	6.54%	13.18%	17.89%	17.10%	7.33%	11.96%	23.11%	1.78%	20.0%	31.85%	16.85%	18.76%	15.85%	12.88%	26.53%	6.74%	24.26%	31.66%	35.20%					
																																											
41	Против всех	330	9	6	5	4	12	5	0	12	18	8	7	22	5	4	20	19	17	0	10	2	15	4	7	9	3	8	8	9	34	18	3	6	13	6	2	0					
		3.47%	2.13%	1.61%	2.30%	4.16%	4.49%	1.52%	0.0%	4.72%	4.10%	1.83%	3.11%	5.5%	5.61%	1.68%	5.27%	3.95%	4.72%	0.0%	2.86%	2.10%	3.94%	3.66%	5.98%	4.52%	5.35%	2.90%	7.07%	2.52%	7.24%	4.19%	1.84%	4.08%	5.15%	2.51%	3.33%	0.0%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
